,VRTS
2003-09-10,188383999
2003-09-11,194183999
2003-09-12,194358000
2003-09-15,189196000
2003-09-16,195518000
2003-09-17,198533999
2003-09-18,204160000
2003-09-19,202883999
2003-09-22,194532000
2003-09-23,196446000
2003-09-24,188268000
2003-09-25,186238000
2003-09-26,180960000
2003-09-29,188268000
2003-09-30,182816000
2003-10-01,188442000
2003-10-02,185600000
2003-10-03,196794000
2003-10-06,198882000
2003-10-07,201839999
2003-10-08,200100000
2003-10-09,204276000
2003-10-10,201550000
2003-10-13,207756000
2003-10-14,205204000
2003-10-15,200100000
2003-10-16,200100000
2003-10-17,193720000
2003-10-20,197722000
2003-10-21,204682000
2003-10-22,196852000
2003-10-23,207060000
2003-10-24,207639999
2003-10-27,209258200
2003-10-28,216166000
2003-10-29,213962000
2003-10-30,210772000
2003-10-31,209264000
2003-11-03,215586000
2003-11-04,214889999
2003-11-05,222488000
2003-11-06,223938000
2003-11-07,225620000
2003-11-10,219936000
2003-11-11,214368000
2003-11-12,222894000
2003-11-13,220980000
2003-11-14,212048000
2003-11-17,208858000
2003-11-18,203348000
2003-11-19,201839999
2003-11-20,202246000
2003-11-21,203464000
2003-11-24,216282000
2003-11-25,213556000
2003-11-26,217906000
2003-11-28,220516000
2003-12-01,223880000
2003-12-02,213788000
2003-12-03,219239999
2003-12-04,216456000
2003-12-05,210076000
2003-12-08,214658000
2003-12-09,209438000
2003-12-10,207233999
2003-12-11,213266000
2003-12-12,210482000
2003-12-15,207350000
2003-12-16,212860000
2003-12-17,209960000
2003-12-18,213904000
2003-12-19,210714000
2003-12-22,211062000
2003-12-23,212164000
2003-12-24,211236000
2003-12-26,211583999
2003-12-29,215644000
2003-12-30,215933999
2003-12-31,214716000
2004-01-02,211177999
2004-01-05,220226000
2004-01-06,225968000
2004-01-07,227476000
2004-01-08,229912000
2004-01-09,226606000
2004-01-12,231246000
2004-01-13,228520000
2004-01-14,227186000
2004-01-15,232754000
2004-01-16,232522000
2004-01-20,231768000
2004-01-21,227302000
2004-01-22,220806000
2004-01-23,224518000
2004-01-26,224402000
2004-01-27,216339999
2004-01-28,211526000
2004-01-29,186992000
2004-01-30,191400000
2004-02-02,191980000
2004-02-03,194589999
2004-02-04,188558000
2004-02-05,191110000
2004-02-06,195518000
2004-02-09,191922000
2004-02-10,192733999
2004-02-11,194183999
2004-02-12,191110000
2004-02-13,190239999
2004-02-17,191748000
2004-02-18,194532000
2004-02-19,188036000
2004-02-20,185368000
2004-02-23,178408000
2004-02-24,182004000
2004-02-25,185716000
2004-02-26,182352000
2004-02-27,177190000
2004-03-01,178408000
2004-03-02,174870000
2004-03-03,174000000
2004-03-04,182236000
2004-03-05,177828000
2004-03-08,180728000
2004-03-09,179162000
2004-03-10,177712000
2004-03-11,173884000
2004-03-12,179858000
2004-03-15,169012000
2004-03-16,158282000
2004-03-17,163850000
2004-03-18,163328000
2004-06-16,165880000
2004-06-17,160718000
2004-06-18,161182000
2004-06-21,160080000
2004-06-22,163444000
2004-06-23,164604000
2004-06-24,165880000
2004-06-25,172782000
2004-06-28,161704000
2004-06-29,161414000
2004-06-30,161182000
2004-07-01,155266000
2004-07-02,153990000
2004-07-06,98600000
2004-07-07,98368000
2004-07-08,103240000
2004-07-09,107300000
2004-07-12,110316000
2004-07-13,104341999
2004-07-14,101558000
2004-07-15,104110000
2004-07-16,104284000
2004-07-19,104632000
2004-07-20,106372000
2004-07-21,102834000
2004-07-22,104748000
2004-07-23,104574000
2004-07-26,105386000
2004-07-27,110432000
2004-07-28,107184000
2004-07-29,109794000
2004-07-30,110548000
2004-08-02,110141999
2004-08-03,105850000
2004-08-04,106604000
2004-08-05,105791999
2004-08-06,104574000
2004-08-09,103240000
2004-08-10,108286000
2004-08-11,103240000
2004-08-12,100282000
2004-08-13,99818000
2004-08-16,100746000
2004-08-17,100340000
2004-08-18,102138000
2004-08-19,102834000
2004-08-20,103356000
2004-08-23,104284000
2004-08-24,102718000
2004-08-25,104863999
2004-08-26,104632000
2004-08-27,103588000
2004-08-30,100978000
2004-08-31,96976000
2004-09-01,97846000
2004-09-02,98716000
2004-09-03,95990000
2004-09-07,97091999
2004-09-08,96222000
2004-09-09,96860000
2004-09-10,103878000
2004-09-13,106488000
2004-09-14,106082000
2004-09-15,104168000
2004-09-16,104341999
2004-09-17,103472000
2004-09-20,101558000
2004-09-21,101268000
2004-09-22,99238000
2004-09-23,99180000
2004-09-24,99469999
2004-09-27,97091999
2004-09-28,96454000
2004-09-29,100978000
2004-09-30,103240000
2004-10-01,107416000
