,RJF
2000-01-03,810598792
2000-01-04,782647110
2000-01-05,773329882
2000-01-06,773329882
2000-01-07,782647110
2000-01-10,787305723
2000-01-11,796622951
2000-01-12,805940178
2000-01-13,854079187
2000-01-14,805940178
2000-01-18,833891861
2000-01-19,807493050
2000-01-20,799728693
2000-01-21,790411466
2000-01-24,805940178
2000-01-25,827680376
2000-01-26,840103346
2000-01-27,900665325
2000-01-28,863396414
2000-01-31,874266513
2000-02-01,857184929
2000-02-02,864949286
2000-02-03,883583741
2000-02-04,914641166
2000-02-07,905323938
2000-02-08,885136612
2000-02-09,863396414
2000-02-10,868055028
2000-02-11,847867702
2000-02-14,844761960
2000-02-15,868055028
2000-02-16,854079187
2000-02-17,850973445
2000-02-18,827680376
2000-02-22,830786118
2000-02-23,844761960
2000-02-24,850973445
2000-02-25,827680376
2000-02-28,871160771
2000-02-29,908429681
2000-03-01,922405522
2000-03-02,928617007
2000-03-03,945698591
2000-03-06,955015818
2000-03-07,888242355
2000-03-08,871160771
2000-03-09,883583741
2000-03-10,874266513
2000-03-13,868055028
2000-03-14,864949286
2000-03-15,864949286
2000-03-16,922405522
2000-03-17,914641166
2000-03-20,928617007
2000-03-21,920852651
2000-03-22,920852651
2000-03-23,917746908
2000-03-24,1000049085
2000-03-27,948804333
2000-03-28,925511265
2000-03-29,928617007
2000-03-30,917746908
2000-03-31,956676318
2000-04-03,942676177
2000-04-04,885120041
2000-04-05,902231325
2000-04-06,916231466
2000-04-07,885120041
2000-04-10,892897897
2000-04-11,875786613
2000-04-12,872675471
2000-04-13,855564187
2000-04-14,780896767
2000-04-17,788674623
2000-04-18,824452762
2000-04-19,826008333
2000-04-20,821341620
2000-04-24,829119476
2000-04-25,882008898
2000-04-26,899120182
2000-04-27,902231325
2000-04-28,927120465
2000-05-01,922453751
2000-05-02,892897897
2000-05-03,864897614
2000-05-04,875786613
2000-05-05,886675612
2000-05-08,886675612
2000-05-09,933342750
2000-05-10,872675471
2000-05-11,910009181
2000-05-12,919342608
2000-05-15,947342891
2000-05-16,959787461
2000-05-17,944231748
2000-05-18,933342750
2000-05-19,919342608
2000-05-22,913120323
2000-05-23,899120182
2000-05-24,913120323
2000-05-25,885120041
2000-05-26,885120041
2000-05-30,903786896
2000-05-31,903786896
2000-06-01,933342750
2000-06-02,980009887
2000-06-05,976898745
2000-06-06,959787461
2000-06-07,984676601
2000-06-08,953565176
2000-06-09,967565317
2000-06-12,953565176
2000-06-13,967565317
2000-06-14,981565458
2000-06-15,1000232313
2000-06-16,1001787885
2000-06-19,1057788450
2000-06-20,1051566165
2000-06-21,1017343597
2000-06-22,1045343880
2000-06-23,1048455022
2000-06-26,1062455163
2000-06-27,1065566306
2000-06-28,1082677590
2000-06-29,1071788591
2000-06-30,1042068273
2000-07-03,1053004522
2000-07-05,1035818988
2000-07-06,1053004522
2000-07-07,1063940771
2000-07-10,1090500232
2000-07-11,1120184336
2000-07-12,1270167176
2000-07-13,1182677186
2000-07-14,1168616295
2000-07-17,1140494512
2000-07-18,1140494512
2000-07-19,1117059693
2000-07-20,1140494512
2000-07-21,1137369870
2000-07-24,1148306118
2000-07-25,1182677186
2000-07-26,1154555403
2000-07-27,1102998802
2000-07-28,1079563983
2000-07-31,1157680046
2000-08-01,1124871300
2000-08-02,1174865580
2000-08-03,1182677186
2000-08-04,1220172896
2000-08-07,1256106284
2000-08-08,1220172896
2000-08-09,1223297538
2000-08-10,1185801828
2000-08-11,1240483072
2000-08-14,1238920751
2000-08-15,1209236647
2000-08-16,1188926471
2000-08-17,1157680046
2000-08-18,1157680046
2000-08-21,1145181476
2000-08-22,1226422181
2000-08-23,1223297538
2000-08-24,1226422181
2000-08-25,1206112005
2000-08-28,1256106284
2000-08-29,1337346990
2000-08-30,1382654306
2000-08-31,1318599135
2000-09-01,1348283238
2000-09-05,1354532523
2000-09-06,1395152876
2000-09-07,1385778948
2000-09-08,1423274658
2000-09-11,1446709477
2000-09-12,1412338409
2000-09-13,1409213767
2000-09-14,1440460192
2000-09-15,1409213767
2000-09-18,1351407881
2000-09-19,1399839840
2000-09-20,1376405021
2000-09-21,1327973062
2000-09-22,1351407881
2000-09-25,1351407881
2000-09-26,1342033953
2000-09-27,1304538243
2000-09-28,1415463052
2000-09-29,1536585120
2000-10-02,1464164100
2000-10-03,1475184689
2000-10-04,1505097720
2000-10-05,1536585120
2000-10-06,1457866620
2000-10-09,1448420400
2000-10-10,1410635520
2000-10-11,1407486780
2000-10-12,1361830050
2000-10-13,1492502760
2000-10-16,1522415790
2000-10-17,1443697290
2000-10-18,1440548550
2000-10-19,1472035950
2000-10-20,1539733860
2000-10-23,1525564530
2000-10-24,1498800240
2000-10-25,1465738470
2000-10-26,1413784260
2000-10-27,1427953590
2000-10-30,1527138900
2000-10-31,1577518740
2000-11-01,1536585120
2000-11-02,1605857400
2000-11-03,1597985550
2000-11-06,1553903189
2000-11-07,1557051930
2000-11-08,1550754450
2000-11-09,1519267050
2000-11-10,1481482170
2000-11-13,1446846030
2000-11-14,1478333430
2000-11-15,1509820830
2000-11-16,1512969570
2000-11-17,1522415790
2000-11-20,1464164100
2000-11-21,1399614930
2000-11-22,1369701900
2000-11-24,1423230479
2000-11-27,1387019970
2000-11-28,1335065760
2000-11-29,1369701900
2000-11-30,1317747689
2000-12-01,1361830050
2000-12-04,1407486780
2000-12-05,1484630910
2000-12-06,1437399810
2000-12-07,1446846030
