,LEG
2000-01-03,4087327999
2000-01-04,3876600000
2000-01-05,3876600000
2000-01-06,3864672000
2000-01-07,3926300000
2000-01-10,3914372000
2000-01-11,3938227999
2000-01-12,3814972000
2000-01-13,3814972000
2000-01-14,3838827999
2000-01-18,3838827999
2000-01-19,3777200000
2000-01-20,3677800000
2000-01-21,3789127999
2000-01-24,3715572000
2000-01-25,3590327999
2000-01-26,3616172000
2000-01-27,3604244000
2000-01-28,3566472000
2000-01-31,3578400000
2000-02-01,3628100000
2000-02-02,3516772000
2000-02-03,3616172000
2000-02-04,3504844000
2000-02-07,3441227999
2000-02-08,3479000000
2000-02-09,3441227999
2000-02-10,3391527999
2000-02-11,3329900000
2000-02-14,3329900000
2000-02-15,3280200000
2000-02-16,3341827999
2000-02-17,3341827999
2000-02-18,3230500000
2000-02-22,3242427999
2000-02-23,3242427999
2000-02-24,3192727999
2000-02-25,3192727999
2000-02-28,3192727999
2000-02-29,3341827999
2000-03-01,3242427999
2000-03-02,3218572000
2000-03-03,3180800000
2000-03-06,3093328000
2000-03-07,3069472000
2000-03-08,3143028000
2000-03-09,3355744000
2000-03-10,3379600000
2000-03-13,3341827999
2000-03-14,3317972000
2000-03-15,3628100000
2000-03-16,3938227999
2000-03-17,3976000000
2000-03-20,3803044000
2000-03-21,3976000000
2000-03-22,3838827999
2000-03-23,3914372000
2000-03-24,3838827999
2000-03-27,3838827999
2000-03-28,3803044000
2000-03-29,4001844000
2000-03-30,3952144000
2000-03-31,4278500000
2000-04-03,4167060000
2000-04-04,4190939999
2000-04-05,4141189999
2000-04-06,4254620000
2000-04-07,4228750000
2000-04-10,4290439999
2000-04-11,4328250000
2000-04-12,4378000000
2000-04-13,4378000000
2000-04-14,4190939999
2000-04-17,4228750000
2000-04-18,4266560000
2000-04-19,4228750000
2000-04-20,4278500000
2000-04-24,4316310000
2000-04-25,4427750000
2000-04-26,4328250000
2000-04-27,4254620000
2000-04-28,4254620000
2000-05-01,4328250000
2000-05-02,4167060000
2000-05-03,4141189999
2000-05-04,4167060000
2000-05-05,4079500000
2000-05-08,3968060000
2000-05-09,3980000000
2000-05-10,3991939999
2000-05-11,4091439999
2000-05-12,3930250000
2000-05-15,3930250000
2000-05-16,4041689999
2000-05-17,4029750000
2000-05-18,4041689999
2000-05-19,3842689999
2000-05-22,3906370000
2000-05-23,3918310000
2000-05-24,3842689999
2000-05-25,3892439999
2000-05-26,3868560000
2000-05-30,3836720000
2000-05-31,3985970000
2000-06-01,4041689999
2000-06-02,4216810000
2000-06-05,4135220000
2000-06-06,3936220000
2000-06-07,3892439999
2000-06-08,3836720000
2000-06-09,3824780000
