,MEDI
2023-03-31,11049545
2023-04-03,10909882
2023-04-04,10904510
2023-04-05,11006572
2023-04-06,11071032
2023-04-10,11114005
2023-04-11,11237554
2023-04-12,11259041
2023-04-13,11393333
2023-04-14,11280528
2023-04-17,11441678
2023-04-18,11366474
2023-04-19,11393333
2023-04-20,11328873
2023-04-21,11425563
2023-04-24,11430935
2023-04-25,11318129
2023-04-26,11135492
2023-04-27,11232182
2023-04-28,11285899
2023-05-01,11559855
2023-05-02,11441678
2023-05-03,11656545
2023-05-04,11678032
2023-05-05,11758607
2023-05-08,11737120
2023-05-09,11688775
2023-05-10,11688775
2023-05-11,11683404
2023-05-12,11721005
2023-05-15,11753235
2023-05-16,11678032
2023-05-17,11688775
2023-05-18,11624315
2023-05-19,11710262
2023-05-22,11710262
2023-05-23,11549112
2023-05-24,11463165
2023-05-25,11398704
2023-05-26,11430935
2023-05-30,11344988
2023-05-31,11404076
2023-06-01,11543740
2023-06-02,11715634
2023-06-05,11769350
2023-06-06,11806952
2023-06-07,11704890
2023-06-08,11769350
2023-06-09,11753235
2023-06-12,11817696
2023-06-13,11860669
2023-06-14,11661917
2023-06-15,11839182
2023-06-16,11763979
2023-06-20,11844554
2023-06-21,11839182
2023-06-22,11860669
2023-06-23,11790837
2023-06-26,11817696
2023-06-27,11892899
2023-06-28,11860669
2023-06-29,11935872
2023-06-30,12086280
2023-07-03,11935872
2023-07-05,11903642
2023-07-06,11796209
2023-07-07,11710262
2023-07-10,11839182
2023-07-11,11774722
2023-07-12,11721005
2023-07-13,11753235
2023-07-14,11989589
2023-07-17,11968103
2023-07-18,11994961
2023-07-19,12043306
2023-07-20,12054049
2023-07-21,12134625
2023-07-24,11994961
2023-07-25,12048678
2023-07-26,12011076
2023-07-27,11994961
2023-07-28,12150740
2023-07-31,12032563
2023-08-01,11978846
2023-08-02,11930501
2023-08-03,11887527
2023-08-04,11860669
2023-08-07,11823067
2023-08-08,11989589
2023-08-09,11989589
2023-08-10,11951988
2023-08-11,12011076
2023-08-14,12118510
2023-08-15,12107766
2023-08-16,11957359
2023-08-17,11737120
2023-08-18,11817696
2023-08-21,11887527
2023-08-22,11887527
2023-08-23,11871412
2023-08-24,11828439
2023-08-25,11919757
2023-08-28,11919757
2023-08-29,12043306
2023-08-30,12086280
2023-08-31,12000333
2023-09-01,12059421
2023-09-05,11946616
2023-09-06,12005704
2023-09-07,11984218
2023-09-08,11887527
2023-09-11,12016448
2023-09-12,12032563
2023-09-13,12027191
2023-09-14,12145368
2023-09-15,12258173
2023-09-18,12209828
2023-09-19,12134625
2023-09-20,12091651
2023-09-21,11876784
2023-09-22,11844554
2023-09-25,11887527
2023-09-26,11855297
2023-09-27,11919757
2023-09-28,12000333
2023-09-29,11860669
2023-10-02,11780094
2023-10-03,11602828
2023-10-04,11586713
2023-10-05,11726377
2023-10-06,11866041
2023-10-09,11855297
2023-10-10,11984218
2023-10-11,11909014
2023-10-12,11721005
2023-10-13,11828439
2023-10-16,11989589
2023-10-17,11973474
2023-10-18,11855297
2023-10-19,11774722
2023-10-20,11726377
2023-10-23,11565227
2023-10-24,11753235
2023-10-25,11522253
2023-10-26,11430935
2023-10-27,11344988
2023-10-30,11366474
2023-10-31,11425563
2023-11-01,11549112
2023-11-02,11618943
2023-11-03,11876784
2023-11-06,11817696
2023-11-07,11919757
2023-11-08,11785465
2023-11-09,11543740
2023-11-10,11592085
2023-11-13,11726377
2023-11-14,12016448
2023-11-15,11984218
2023-11-16,11994961
2023-11-17,12048678
2023-11-20,12070164
2023-11-21,12054049
2023-11-22,12139996
2023-11-24,12188341
2023-11-27,12161483
2023-11-28,12064793
2023-11-29,12156111
2023-11-30,12360235
2023-12-01,12510642
2023-12-04,12682536
2023-12-05,12720138
2023-12-06,12752368
2023-12-07,12865173
2023-12-08,12854430
2023-12-11,12832943
2023-12-12,12999465
2023-12-13,13316394
2023-12-14,13316394
2023-12-15,13300279
2023-12-18,13208961
2023-12-19,13343253
2023-12-20,13117642
2023-12-21,13010208
2023-12-22,13155244
2023-12-26,13294908
2023-12-27,13348624
2023-12-28,13370111
2023-12-29,13321766
2024-01-02,13413084
2024-01-03,13251934
2024-01-04,13311023
2024-01-05,13343253
2024-01-08,13611837
2024-01-09,13595722
2024-01-10,13601093
2024-01-11,13531261
2024-01-12,13359368
2024-01-16,13337881
2024-01-17,13327138
2024-01-18,13241191
2024-01-19,13171359
2024-01-22,13396969
2024-01-23,13472173
2024-01-24,13343253
2024-01-25,13198217
2024-01-26,13257306
2024-01-29,13391598
2024-01-30,13278792
2024-01-31,13230447
2024-02-01,13584978
2024-02-02,13520518
2024-02-05,13735385
2024-02-06,13842819
2024-02-07,13864306
2024-02-08,13939509
2024-02-09,13982483
2024-02-12,14084544
2024-02-13,13944881
2024-02-14,14132890
2024-02-15,14240323
2024-02-16,14422960
2024-02-20,14304783
2024-02-21,14277925
2024-02-22,14557252
2024-02-23,14637828
2024-02-26,14659314
2024-02-27,14686173
2024-02-28,14390730
2024-02-29,14294040
2024-03-01,14530394
2024-03-04,14396102
2024-03-05,14304783
2024-03-06,14337013
2024-03-07,14433704
2024-03-08,14396102
2024-03-11,14363872
2024-03-12,14525022
2024-03-13,14541137
2024-03-14,14379987
2024-03-15,14283297
2024-03-18,14315527
2024-03-19,14374615
2024-03-20,14320898
2024-03-21,14331642
2024-03-22,14315527
2024-03-25,14277925
2024-03-26,14412217
2024-03-27,14508907
2024-03-28,14584111
2024-04-01,14476677
2024-04-02,14116775
2024-04-03,14170491
2024-04-04,13950252
2024-04-05,14149005
2024-04-08,14122146
2024-04-09,14267182
2024-04-10,14149005
2024-04-11,14084544
2024-04-12,13740757
2024-04-15,13665553
2024-04-16,13644067
2024-04-17,13644067
2024-04-18,13617208
2024-04-19,13574235
2024-04-22,13746129
2024-04-23,13853562
2024-04-24,13654810
2024-04-25,13574235
2024-04-26,13515146
2024-04-29,13644067
2024-04-30,13563492
2024-05-01,13692412
2024-05-02,13815960
2024-05-03,13821332
2024-05-06,14016335
2024-05-07,14130910
2024-05-08,13915917
2024-05-09,13981817
2024-05-10,13893950
2024-05-13,13736887
2024-05-14,13704168
2024-05-15,13889580
2024-05-16,13976753
2024-05-17,13883538
2024-05-20,14115066
2024-05-21,14037051
2024-05-22,14170791
