,AIV
2000-01-03,480758370
2000-01-04,474432621
2000-01-05,479176956
2000-01-06,488665628
2000-01-07,494200670
2000-01-10,502107833
2000-01-11,499735713
2000-01-12,499735713
2000-01-13,491828455
2000-01-14,475223327
2000-01-18,483130585
2000-01-19,487084214
2000-01-20,479176956
2000-01-21,483130585
2000-01-24,477595543
2000-01-25,471269793
2000-01-26,467316164
2000-01-27,477595543
2000-01-28,477595543
2000-01-31,479176956
2000-02-01,479967663
2000-02-02,479176956
2000-02-03,479176956
2000-02-04,464153242
2000-02-07,464943949
2000-02-08,469688285
2000-02-09,472851207
2000-02-10,470478992
2000-02-11,464943949
2000-02-14,468106871
2000-02-15,471269793
2000-02-16,480758370
2000-02-17,481549077
2000-02-18,474432621
2000-02-22,470478992
2000-02-23,470478992
2000-02-24,468106871
2000-02-25,470478992
2000-02-28,463362536
2000-02-29,468106871
2000-03-01,466525458
2000-03-02,465734656
2000-03-03,470478992
2000-03-06,475223327
2000-03-07,474432621
2000-03-08,473641914
2000-03-09,468897578
2000-03-10,469688285
2000-03-13,467316164
2000-03-14,468106871
2000-03-15,494991377
2000-03-16,498945006
2000-03-17,503689342
2000-03-20,498154299
2000-03-21,496572791
2000-03-22,487084214
2000-03-23,483130585
2000-03-24,480758370
2000-03-27,483130585
2000-03-28,484711999
2000-03-29,487084214
2000-03-30,480758370
2000-03-31,482621491
2000-04-03,480251775
2000-04-04,479461902
2000-04-05,484201238
2000-04-06,488940574
2000-04-07,496049532
2000-04-10,501578742
2000-04-11,503948457
2000-04-12,505528204
2000-04-13,510267541
2000-04-14,504738331
2000-04-17,503158584
2000-04-18,505528204
2000-04-19,505528204
2000-04-20,507107952
2000-04-24,510267541
2000-04-25,507107952
2000-04-26,499209121
2000-04-27,500788868
2000-04-28,502368710
2000-05-01,513427130
2000-05-02,527645044
2000-05-03,515796751
2000-05-04,515006877
2000-05-05,514217003
2000-05-08,511847288
2000-05-09,513427130
2000-05-10,508687794
2000-05-11,511057414
2000-05-12,511847288
2000-05-15,510267541
2000-05-16,511847288
2000-05-17,507897920
2000-05-18,508687794
2000-05-19,510267541
2000-05-22,511847288
2000-05-23,518166466
2000-05-24,514217003
2000-05-25,518166466
2000-05-26,508687794
2000-05-30,506318078
2000-05-31,506318078
2000-06-01,513427130
2000-06-02,513032193
2000-06-05,511452351
2000-06-06,520141150
2000-06-07,524880487
2000-06-08,527250108
2000-06-09,528039981
2000-06-12,528829950
2000-06-13,531199570
2000-06-14,535938907
2000-06-15,539888370
2000-06-16,530409697
2000-06-19,532779317
2000-06-20,547787200
2000-06-21,548577074
2000-06-22,548577074
2000-06-23,546207453
2000-06-26,539493433
2000-06-27,551341726
2000-06-28,556081063
2000-06-29,563979894
2000-06-30,596431174
2000-07-03,603276848
2000-07-05,605843937
2000-07-06,614401106
2000-07-07,624669669
2000-07-10,622102477
2000-07-11,624669669
2000-07-12,622102477
2000-07-13,623813869
2000-07-14,622958173
2000-07-17,623813869
2000-07-18,623813869
2000-07-19,622958173
2000-07-20,629803950
2000-07-21,632371039
2000-07-24,637505320
2000-07-25,641356056
2000-07-26,656758797
2000-07-27,665743815
2000-07-28,661893078
2000-07-31,662320926
2000-08-01,658042342
2000-08-02,645206690
2000-08-03,640928106
2000-08-04,634938128
2000-08-07,634082432
2000-08-08,634082432
2000-08-09,630659646
2000-08-10,631943191
2000-08-11,632798887
2000-08-14,637933168
2000-08-15,637505320
2000-08-16,640928106
2000-08-17,638361016
2000-08-18,634938128
2000-08-21,630231798
2000-08-22,629803950
2000-08-23,626381061
2000-08-24,627236758
2000-08-25,618679691
2000-08-28,617823892
2000-08-29,604988241
2000-08-30,612689714
2000-08-31,613973258
2000-09-01,615256803
2000-09-05,616112499
2000-09-06,615256803
2000-09-07,620391084
2000-09-08,633226735
2000-09-11,639216713
2000-09-12,634082432
2000-09-13,634938128
2000-09-14,630659646
2000-09-15,620391084
2000-09-18,599426111
2000-09-19,616112499
2000-09-20,611833914
2000-09-21,610122522
2000-09-22,613545410
2000-09-25,610978218
2000-09-26,612689714
2000-09-27,622530325
2000-09-28,628948151
2000-09-29,630659646
2000-10-02,614479460
2000-10-03,616195852
2000-10-04,616195852
2000-10-05,617054048
2000-10-06,615337656
2000-10-09,615337656
2000-10-10,615337656
2000-10-11,608471882
2000-10-12,594740540
2000-10-13,598173427
2000-10-16,598173427
2000-10-17,593882344
2000-10-18,591307653
2000-10-19,599031623
2000-10-20,609330181
2000-10-23,610188377
2000-10-24,599031623
2000-10-25,596456932
2000-10-26,608471882
2000-10-27,610188377
2000-10-30,604180902
2000-10-31,627352606
2000-11-01,604180902
2000-11-02,605039098
2000-11-03,604180902
2000-11-06,611904769
2000-11-07,610188377
2000-11-08,614479460
2000-11-09,611046573
2000-11-10,605039098
2000-11-13,606755490
2000-11-14,605897294
2000-11-15,607613686
2000-11-16,607613686
2000-11-17,604180902
2000-11-20,602464407
2000-11-21,601606211
2000-11-22,604180902
2000-11-24,601606211
2000-11-27,605039098
2000-11-28,603322706
2000-11-29,613621161
2000-11-30,631643689
2000-12-01,638509360
2000-12-04,645375031
2000-12-05,663397456
2000-12-06,660822868
2000-12-07,659964569
2000-12-08,661681064
2000-12-11,663397456
2000-12-12,664255652
2000-12-13,664255652
2000-12-14,663397456
2000-12-15,665113848
2000-12-18,673696014
