,CCI
2001-01-23,5755063750
2001-01-24,5702265000
2001-01-25,5714936700
2001-01-26,6084527950
2001-01-29,6230252500
2001-01-30,6217580800
2001-01-31,5900788300
2001-02-01,6046512850
2001-02-02,5900788300
2001-02-05,5596667500
2001-02-06,5689593300
2001-02-07,5966258750
2001-02-08,5835317850
2001-02-09,5385472500
2001-02-12,5596667500
2001-02-13,5689593300
2001-02-14,5609339200
2001-02-15,5398144200
2001-02-16,5543868750
2001-02-20,5056008300
2001-02-21,5134150450
2001-02-22,5214404550
2001-02-23,5134150450
2001-02-26,5372800800
2001-02-27,5279875000
2001-02-28,5307330350
2001-03-01,5267203300
2001-03-02,5279875000
2001-03-05,5279875000
2001-03-06,5345345450
2001-03-07,5254531600
2001-03-08,5028552950
2001-03-09,4922955450
2001-03-12,4356952850
2001-03-13,3987361600
2001-03-14,3577643300
2001-03-15,3590315000
2001-03-16,3512172850
2001-03-19,3670569100
2001-03-20,3512172850
2001-03-21,3167925000
2001-03-22,3074999200
2001-03-23,3195380350
2001-03-26,3220723750
2001-03-27,3655785449
2001-03-28,3326321250
2001-03-29,3273522500
2001-03-30,3127797950
2001-04-02,3024653670
2001-04-03,2555864460
2001-04-04,2635066290
2001-04-05,3116699040
2001-04-06,2996826000
2001-04-09,3213025590
2001-04-10,3885170849
2001-04-11,4122776340
2001-04-12,4279039409
2001-04-16,4067121000
2001-04-17,4311148260
2001-04-18,4895529330
2001-04-19,5021824140
2001-04-20,4814186910
2001-04-23,4559456700
2001-04-24,4373225370
2001-04-25,4602268500
2001-04-26,4829171040
2001-04-27,5043230040
2001-04-30,5242304910
2001-05-01,5083901250
2001-05-02,5081760660
2001-05-03,4884826380
2001-05-04,4794921600
2001-05-07,4677189150
2001-05-08,4323991800
2001-05-09,4321851210
2001-05-10,4152744599
2001-05-11,4062839820
2001-05-14,4013606250
2001-05-15,3934404420
2001-05-16,3960091500
2001-05-17,3985778580
2001-05-18,3799547250
2001-05-21,3735329550
2001-05-22,3767438400
2001-05-23,3639003000
2001-05-24,3692517750
2001-05-25,3645424770
2001-05-29,3499864650
2001-05-30,3433506360
2001-05-31,3553379400
2001-06-01,3435646950
2001-06-04,3484880520
2001-06-05,3484880520
2001-06-06,3489161700
2001-06-07,3553379400
2001-06-08,3544817039
2001-06-11,3542676450
2001-06-12,3403538100
2001-06-13,3386413380
2001-06-14,3210885000
2001-06-15,3061043700
2001-06-18,2943311250
2001-06-19,2868390600
2001-06-20,3080309010
2001-06-21,3041778390
2001-06-22,2992544820
2001-06-25,3039637800
2001-06-26,3082449600
2001-06-27,3007528950
2001-06-28,3189479100
2001-06-29,3510567599
2001-07-02,3429026700
2001-07-03,3403228380
2001-07-05,3312934260
2001-07-06,3117297000
2001-07-09,3147395040
2001-07-10,3027002880
2001-07-11,2859313800
2001-07-12,2921659740
2001-07-13,3063550500
2001-07-16,2829215760
2001-07-17,2807717160
2001-07-18,2734621920
2001-07-19,2268102300
2001-07-20,2362696140
2001-07-23,2246603700
2001-07-24,2139110699
2001-07-25,2119761959
2001-07-26,2121911819
2001-07-27,2081064480
2001-07-30,2126211540
2001-07-31,2096113500
2001-08-01,1827381000
2001-08-02,1988620500
2001-08-03,2044516860
2001-08-06,2085364199
2001-08-07,2053116300
2001-08-08,2093963640
2001-08-09,2029467840
2001-08-10,2074614900
2001-08-13,2061715740
2001-08-14,2020868400
2001-08-15,1881127500
2001-08-16,1762885199
2001-08-17,1719888000
2001-08-20,1655392200
2001-08-21,1614544860
2001-08-22,1627444020
2001-08-23,1797282959
2001-08-24,1952072880
2001-08-27,2222955240
2001-08-28,2149860000
2001-08-29,2149860000
2001-08-30,2130511260
2001-08-31,2190707340
2001-09-04,2117612100
2001-09-05,1913375400
2001-09-06,1784383800
