,ASO
2020-10-02,997255290
2020-10-05,1009538650
2020-10-06,1001093839
2020-10-07,1011841780
2020-10-08,1019518880
2020-10-09,1021054300
2020-10-12,1032569950
2020-10-13,1033337660
2020-10-14,1021822010
2020-10-15,1051762700
2020-10-16,1068652320
2020-10-19,1060975220
2020-10-20,1112411790
2020-10-21,1143887900
2020-10-22,1133139960
2020-10-23,1119321180
2020-10-26,1136210800
2020-10-27,1142352480
2020-10-28,1108573240
2020-10-29,1125462860
2020-10-30,1128533700
2020-11-02,1365527890
2020-11-03,1388993670
2020-11-04,1418777160
2020-11-05,1490077030
2020-11-06,1579427500
2020-11-09,1461196070
2020-11-10,1508127630
2020-11-11,1487369440
2020-11-12,1466611250
2020-11-13,1504517510
2020-11-16,1482856790
2020-11-17,1453073300
2020-11-18,1373650660
2020-11-19,1375455720
2020-11-20,1427802460
2020-11-23,1444048000
2020-11-24,1534301000
2020-11-25,1507225100
2020-11-27,1496394739
2020-11-30,1484661850
2020-12-01,1523470640
2020-12-02,1481051730
2020-12-03,1462098600
2020-12-04,1433217640
2020-12-07,1461196070
2020-12-08,1440437880
2020-12-09,1520763050
2020-12-10,1578524969
2020-12-11,1586647739
2020-12-14,1624554000
2020-12-15,1669680500
2020-12-16,1701269050
2020-12-17,1697658930
2020-12-18,1661557730
2020-12-21,1678705800
2020-12-22,1803254940
2020-12-23,1762641090
2020-12-24,1817695420
2020-12-28,1884482640
2020-12-29,1893507940
2020-12-30,1877262400
2020-12-31,1870944690
2021-01-04,1912461070
2021-01-05,1865529510
2021-01-06,1910656010
2021-01-07,1851089030
2021-01-08,1875457340
2021-01-11,1975638170
2021-01-12,2033400090
2021-01-13,1988273590
2021-01-14,2037010210
2021-01-15,2001811540
2021-01-19,1947659739
2021-01-20,2032497560
2021-01-21,1967515400
2021-01-22,2027082380
2021-01-25,2138093570
2021-01-26,2192245370
2021-01-27,1992786239
2021-01-28,1901630710
2021-01-29,1940439500
2021-02-01,2035144800
2021-02-02,2095002000
2021-02-03,2175118560
2021-02-04,2203665840
2021-02-05,2202744960
2021-02-08,2210112000
2021-02-09,2174197680
2021-02-10,2353769280
2021-02-11,2335351680
2021-02-12,2345481360
2021-02-16,2401655040
2021-02-17,2317854960
2021-02-18,2316013200
2021-02-19,2316013200
2021-02-22,2257076880
2021-02-23,2258918640
2021-02-24,2292070320
2021-02-25,2278257120
2021-02-26,2206428480
2021-03-01,2223925200
2021-03-02,2261681280
2021-03-03,2321538480
2021-03-04,2362978080
2021-03-05,2259839520
2021-03-08,2482692480
2021-03-09,2310487920
2021-03-10,2263523040
2021-03-11,2302200000
2021-03-12,2366661600
2021-03-15,2351006640
2021-03-16,2233134000
2021-03-17,2316934080
2021-03-18,2310487920
2021-03-19,2362978080
2021-03-22,2367582480
