,ATO
2000-01-03,628519920
2000-01-04,612853920
2000-01-05,632593080
2000-01-06,622880160
2000-01-07,628519920
2000-01-10,620686920
2000-01-11,620686920
2000-01-12,610974000
2000-01-13,599381160
2000-01-14,589354920
2000-01-18,587475000
2000-01-19,583715160
2000-01-20,581521920
2000-01-21,571809000
2000-01-24,571809000
2000-01-25,556143000
2000-01-26,530764080
2000-01-27,532644000
2000-01-28,524811000
2000-01-31,548310000
2000-02-01,556143000
2000-02-02,546430080
2000-02-03,558022920
2000-02-04,554263080
2000-02-07,544550160
2000-02-08,542356920
2000-02-09,544550160
2000-02-10,538597080
2000-02-11,497552160
2000-02-14,526690919
2000-02-15,546430080
2000-02-16,556143000
2000-02-17,560216160
2000-02-18,538597080
2000-02-22,518857919
2000-02-23,518857919
2000-02-24,501312000
2000-02-25,495358920
2000-02-28,509145000
2000-02-29,536717159
2000-03-01,516978000
2000-03-02,513218159
2000-03-03,495358920
2000-03-06,501312000
2000-03-07,487525920
2000-03-08,487525920
2000-03-09,505385159
2000-03-10,489719160
2000-03-13,536717159
2000-03-14,540477000
2000-03-15,554263080
2000-03-16,583715160
2000-03-17,575882160
2000-03-20,575882160
2000-03-21,550189920
2000-03-22,546430080
2000-03-23,568049160
2000-03-24,546430080
2000-03-27,540477000
2000-03-28,528884159
2000-03-29,521051159
2000-03-30,509145000
2000-03-31,515986379
2000-04-03,510001190
2000-04-04,498030810
2000-04-05,488265500
2000-04-06,488265500
2000-04-07,488265500
2000-04-10,484485380
2000-04-11,484485380
2000-04-12,486375440
2000-04-13,486375440
2000-04-14,484485380
2000-04-17,472515000
2000-04-18,470624940
2000-04-19,468734880
2000-04-20,466529810
2000-04-24,464639750
2000-04-25,464639750
2000-04-26,464639750
2000-04-27,488265500
2000-04-28,500235880
2000-05-01,504016000
2000-05-02,502125940
2000-05-03,500235880
2000-05-04,504016000
2000-05-05,502125940
2000-05-08,502125940
2000-05-09,490155560
2000-05-10,486375440
2000-05-11,494250690
2000-05-12,502125940
2000-05-15,500235880
2000-05-16,519766500
2000-05-17,510001190
2000-05-18,505906059
2000-05-19,508111129
2000-05-22,515986379
2000-05-23,494250690
2000-05-24,494250690
2000-05-25,478500190
2000-05-26,521656559
2000-05-30,539612130
2000-05-31,576783310
2000-06-01,598519000
2000-06-02,586863630
2000-06-05,588753690
2000-06-06,590643750
2000-06-07,602614130
2000-06-08,602614130
2000-06-09,600409060
2000-06-12,602614130
2000-06-13,610489380
2000-06-14,606394250
2000-06-15,622144750
2000-06-16,634115130
2000-06-19,647660560
2000-06-20,630020000
2000-06-21,630020000
2000-06-22,630020000
2000-06-23,622144750
2000-06-26,614269500
2000-06-27,596628940
2000-06-28,630020000
2000-06-29,612379440
2000-06-30,574831200
2000-07-03,631592500
2000-07-05,606985000
2000-07-06,629623900
2000-07-07,649966100
2000-07-10,670636400
2000-07-11,668667800
2000-07-12,668667800
2000-07-13,656200000
2000-07-14,647997500
2000-07-17,660465300
2000-07-18,649966100
2000-07-19,647997500
2000-07-20,666371100
2000-07-21,664402500
2000-07-24,652262800
2000-07-25,649966100
2000-07-26,649966100
2000-07-27,646028900
2000-07-28,646028900
2000-07-31,676870300
2000-08-01,660465300
2000-08-02,676870300
2000-08-03,680807500
2000-08-04,689010000
2000-08-07,689010000
2000-08-08,699181100
2000-08-09,705415000
2000-08-10,693275300
2000-08-11,713617500
2000-08-14,736256400
2000-08-15,742490300
2000-08-16,746427500
2000-08-17,762832500
2000-08-18,740193600
2000-08-21,734287800
2000-08-22,726085300
2000-08-23,701477800
2000-08-24,689010000
2000-08-25,690978600
2000-08-28,689010000
2000-08-29,685072800
2000-08-30,682776100
2000-08-31,680807500
2000-09-01,649966100
2000-09-05,646028900
2000-09-06,649966100
2000-09-07,656200000
2000-09-08,649966100
2000-09-11,656200000
2000-09-12,672605000
2000-09-13,693275300
2000-09-14,723788600
2000-09-15,730022500
2000-09-18,697212500
2000-09-19,693275300
2000-09-20,705415000
2000-09-21,690978600
2000-09-22,697212500
2000-09-25,670636400
2000-09-26,674573600
2000-09-27,664402500
2000-09-28,685072800
2000-09-29,676870300
2000-10-02,672605000
2000-10-03,656200000
2000-10-04,652262800
2000-10-05,656200000
2000-10-06,633561100
2000-10-09,652262800
2000-10-10,646028900
2000-10-11,666371100
2000-10-12,680807500
2000-10-13,678838900
2000-10-16,687041400
2000-10-17,697212500
2000-10-18,693275300
2000-10-19,697212500
2000-10-20,699181100
2000-10-23,701477800
2000-10-24,703446400
2000-10-25,695243900
2000-10-26,695243900
2000-10-27,707383600
2000-10-30,731991100
2000-10-31,758895300
2000-11-01,760863900
2000-11-02,783502800
2000-11-03,775300300
2000-11-06,775300300
2000-11-07,777268900
2000-11-08,767097800
2000-11-09,785471400
2000-11-10,779237500
2000-11-13,781206100
2000-11-14,795642500
2000-11-15,789408600
2000-11-16,803845000
2000-11-17,808110300
2000-11-20,816312800
2000-11-21,824515300
2000-11-22,822218600
2000-11-24,824515300
2000-11-27,816312800
2000-11-28,816312800
2000-11-29,830421100
2000-11-30,824515300
2000-12-01,771035000
2000-12-04,779237500
2000-12-05,775300300
2000-12-06,779237500
2000-12-07,769066400
2000-12-08,773003600
2000-12-11,762832500
2000-12-12,713617500
2000-12-13,731991100
2000-12-14,742490300
2000-12-15,787440000
2000-12-18,769066400
2000-12-19,775300300
2000-12-20,767097800
2000-12-21,767097800
2000-12-22,779237500
2000-12-26,810078900
2000-12-27,861262500
2000-12-28,830421100
2000-12-29,799907800
2001-01-02,977749850
2001-01-03,970375000
2001-01-04,941263750
2001-01-05,933888900
2001-01-08,948638600
2001-01-09,950967500
2001-01-10,980078750
2001-01-11,970375000
2001-01-12,970375000
2001-01-16,970375000
2001-01-17,931560000
