,MAC
2000-01-03,665660807
2000-01-04,653274774
2000-01-05,663537487
2000-01-06,675923520
2000-01-07,702465020
2000-01-10,720867126
2000-01-11,729006519
2000-01-12,739269232
2000-01-13,749531945
2000-01-14,749531945
2000-01-18,751655265
2000-01-19,763687412
2000-01-20,784212838
2000-01-21,776073445
2000-01-24,763687412
2000-01-25,761917978
2000-01-26,747408625
2000-01-27,741392552
2000-01-28,739269232
2000-01-31,739269232
2000-02-01,729006519
2000-02-02,702465020
2000-02-03,708481093
2000-02-04,706357773
2000-02-07,706357773
2000-02-08,720867126
2000-02-09,726883199
2000-02-10,712727733
2000-02-11,696095060
2000-02-14,706357773
2000-02-15,708481093
2000-02-16,681939593
2000-02-17,679816273
2000-02-18,659290847
2000-02-22,675923520
2000-02-23,653274774
2000-02-24,651151454
2000-02-25,649028134
2000-02-28,651151454
2000-02-29,659290847
2000-03-01,630626028
2000-03-02,624609954
2000-03-03,624609954
2000-03-06,632749348
2000-03-07,622486634
2000-03-08,638765421
2000-03-09,649028134
2000-03-10,643012061
2000-03-13,638765421
2000-03-14,638765421
2000-03-15,649028134
2000-03-16,661414167
2000-03-17,661414167
2000-03-20,661414167
2000-03-21,661414167
2000-03-22,665660807
2000-03-23,655398094
2000-03-24,661414167
2000-03-27,659290847
2000-03-28,657521414
2000-03-29,669553560
2000-03-30,663537487
2000-03-31,677053667
2000-04-03,674926797
2000-04-04,670673057
2000-04-05,680952929
2000-04-06,677053667
2000-04-07,697258934
2000-04-10,707538806
2000-04-11,701512674
2000-04-12,703639544
2000-04-13,732352291
2000-04-14,717818679
2000-04-17,719945549
2000-04-18,717818679
2000-04-19,736251553
2000-04-20,728098551
2000-04-24,722072419
2000-04-25,740505294
2000-04-26,742632164
2000-04-27,755038906
2000-04-28,761065038
2000-05-01,771344911
2000-05-02,781624783
2000-05-03,781624783
2000-05-04,787650915
2000-05-05,787650915
2000-05-08,783751653
2000-05-09,785524045
2000-05-10,775244173
2000-05-11,787650915
2000-05-12,769218041
2000-05-15,771344911
2000-05-16,761065038
2000-05-17,746531426
2000-05-18,722072419
2000-05-19,722072419
2000-05-22,722072419
2000-05-23,730225421
2000-05-24,730225421
2000-05-25,705766414
2000-05-26,716046287
2000-05-30,716046287
2000-05-31,716046287
2000-06-01,722072419
2000-06-02,717818679
2000-06-05,716046287
2000-06-06,719945549
2000-06-07,711792546
2000-06-08,717818679
2000-06-09,711792546
2000-06-12,717818679
2000-06-13,722072419
2000-06-14,716046287
2000-06-15,722072419
2000-06-16,717818679
2000-06-19,719945549
2000-06-20,728098551
2000-06-21,722072419
2000-06-22,719945549
2000-06-23,719945549
2000-06-26,722072419
2000-06-27,722072419
2000-06-28,728098551
2000-06-29,740505294
2000-06-30,724850822
2000-07-03,730524801
2000-07-05,728397059
2000-07-06,751092975
2000-07-07,740808888
2000-07-10,740808888
2000-07-11,734780285
2000-07-12,738681146
2000-07-13,736553404
2000-07-14,738681146
2000-07-17,734780285
2000-07-18,734780285
2000-07-19,740808888
2000-07-20,751092975
2000-07-21,757121578
2000-07-24,759249320
2000-07-25,763504804
2000-07-26,779817494
2000-07-27,781945236
2000-07-28,773788891
2000-07-31,785846097
2000-08-01,812797497
2000-08-02,806414271
2000-08-03,800385668
2000-08-04,775562010
2000-08-07,777689752
2000-08-08,784072978
2000-08-09,775562010
2000-08-10,771661149
2000-08-11,769533407
2000-08-14,738681146
2000-08-15,726623940
2000-08-16,720240714
2000-08-17,720240714
2000-08-18,716339853
2000-08-21,714212111
2000-08-22,716339853
2000-08-23,714212111
2000-08-24,697544798
2000-08-25,693643937
2000-08-28,687615334
2000-08-29,679104366
2000-08-30,697544798
2000-08-31,687615334
2000-09-01,685487592
2000-09-05,668820279
2000-09-06,664919418
2000-09-07,685487592
2000-09-08,691516195
2000-09-11,703928024
2000-09-12,718112972
2000-09-13,699672540
2000-09-14,699672540
2000-09-15,687615334
2000-09-18,675203505
2000-09-19,701800282
2000-09-20,691516195
2000-09-21,685487592
2000-09-22,693643937
2000-09-25,689388453
2000-09-26,701800282
2000-09-27,695771679
2000-09-28,701800282
2000-09-29,697544798
2000-10-02,670822785
2000-10-03,650568896
2000-10-04,662791071
2000-10-05,664886300
2000-10-06,666981530
2000-10-09,664886300
2000-10-10,658600611
2000-10-11,660695841
2000-10-12,652664126
2000-10-13,650568896
2000-10-16,662791071
2000-10-17,646727641
