,IVZ
2000-01-03,14465564000
2000-01-04,14219065600
2000-01-05,13622280000
2000-01-06,13460110000
2000-01-07,13966080400
2000-01-10,13881752000
2000-01-11,14238526000
2000-01-12,14400696000
2000-01-13,15049376000
2000-01-14,15166138400
2000-01-18,15698056000
2000-01-19,15308848000
2000-01-20,14725036000
2000-01-21,14679628400
2000-01-24,15029915600
2000-01-25,14776930400
2000-01-26,14128250400
2000-01-27,14011488000
2000-01-28,13881752000
2000-01-31,14056895600
2000-02-01,14270960000
2000-02-02,14627734000
2000-02-03,14400696000
2000-02-04,14692602000
2000-02-07,15016942000
2000-02-08,15503452000
2000-02-09,15633188000
2000-02-10,14841798400
2000-02-11,14595300000
2000-02-14,14562866000
2000-02-15,13946620000
2000-02-16,14660168000
2000-02-17,15049376000
2000-02-18,15243980000
2000-02-22,15328308400
2000-02-23,14984508000
2000-02-24,15179112000
2000-02-25,15166138400
2000-02-28,14776930400
2000-02-29,14809364399
2000-03-01,14919640000
2000-03-02,15308848000
2000-03-03,15568320000
2000-03-06,15989962000
2000-03-07,15698056000
2000-03-08,16087264000
2000-03-09,16508906000
2000-03-10,16152132000
2000-03-13,15438584000
2000-03-14,15730490000
2000-03-15,15535886000
2000-03-16,15989962000
2000-03-17,16217000000
2000-03-20,16301328400
2000-03-21,17838700000
2000-03-22,17773832000
2000-03-23,17514360000
2000-03-24,17773832000
2000-03-27,17903568000
2000-03-28,17741398000
2000-03-29,17676530000
2000-03-30,17514360000
2000-03-31,18422512000
2000-04-03,18527565000
2000-04-04,17571932700
2000-04-05,17682448000
2000-04-06,17389907500
2000-04-07,17422412000
2000-04-10,17422412000
2000-04-11,17487421000
2000-04-12,17812466000
2000-04-13,17227385000
2000-04-14,15472142000
2000-04-17,15147097000
2000-04-18,15244610500
2000-04-19,16401770700
2000-04-20,16889338200
2000-04-24,16850332800
2000-04-25,17552430000
2000-04-26,18072502000
2000-04-27,17942484000
2000-04-28,18527565000
2000-05-01,18742094700
2000-05-02,18963125300
2000-05-03,18820105500
2000-05-04,18475557800
2000-05-05,18592574000
2000-05-08,17682448000
2000-05-09,17214383200
2000-05-10,16837331000
2000-05-11,16967349000
2000-05-12,16187241000
2000-05-15,16850332800
2000-05-16,16642304000
2000-05-17,16317259000
2000-05-18,17129871500
2000-05-19,16499284200
2000-05-22,15927205000
2000-05-23,15784185200
2000-05-24,16057223000
2000-05-25,15875197800
2000-05-26,16154736500
2000-05-30,16512286000
2000-05-31,16902340000
2000-06-01,16772322000
2000-06-02,17051860700
2000-06-05,17292394000
2000-06-06,17519925500
2000-06-07,17766959700
2000-06-08,17812466000
2000-06-09,17942484000
2000-06-12,18007493000
2000-06-13,17734455200
2000-06-14,17766959700
2000-06-15,18709590200
2000-06-16,19372682000
2000-06-19,19112646000
2000-06-20,19197157700
2000-06-21,19288170300
2000-06-22,19437691000
2000-06-23,19717229700
2000-06-26,19795240500
2000-06-27,20139788200
2000-06-28,20009770200
2000-06-29,20302310700
2000-06-30,20380321500
2000-07-03,21250196800
2000-07-05,20874028720
2000-07-06,20854230400
2000-07-07,20920224800
2000-07-10,21204000720
2000-07-11,21448180000
2000-07-12,21467978320
2000-07-13,22141121200
2000-07-14,22768068000
2000-07-17,23375216480
2000-07-18,22438096000
2000-07-19,21646163200
2000-07-20,22306107200
2000-07-21,22966051200
2000-07-24,22913255680
2000-07-25,22028930720
2000-07-26,22292908320
2000-07-27,22160919520
2000-07-28,22009132400
2000-07-31,23018846720
2000-08-01,22966051200
2000-08-02,23329020400
2000-08-03,23150835520
2000-08-04,23032045600
2000-08-07,23329020400
2000-08-08,23691989600
2000-08-09,23975765520
2000-08-10,24932684320
2000-08-11,25374846800
2000-08-14,25737816000
2000-08-15,26001793600
2000-08-16,25757614320
2000-08-17,25295653520
2000-08-18,25737816000
2000-08-21,25803810400
2000-08-22,26298768400
2000-08-23,26542947680
2000-08-24,26747530320
2000-08-25,27981625600
2000-08-28,27717648000
2000-08-29,26872919680
2000-08-30,26674936480
2000-08-31,28245603200
2000-09-01,29862466000
2000-09-05,29090331520
2000-09-06,27605457520
2000-09-07,26793726400
2000-09-08,25836807600
2000-09-11,25968796400
2000-09-12,26153580720
2000-09-13,26252572320
2000-09-14,27090701200
2000-09-15,27618656400
2000-09-18,27077502320
2000-09-19,27519664800
2000-09-20,26945513520
2000-09-21,26542947680
2000-09-22,26813524720
2000-09-25,27057704000
2000-09-26,27585659200
2000-09-27,28245603200
2000-09-28,28727362320
2000-09-29,29268516400
2000-10-02,29194483114
2000-10-03,28180875452
2000-10-04,28710275632
2000-10-05,28677995133
2000-10-06,28148594953
2000-10-09,27328670284
2000-10-10,26728253006
2000-10-11,25372472056
2000-10-12,25372472056
2000-10-13,25682364845
2000-10-16,26037450332
2000-10-17,25533874550
2000-10-18,24468618090
2000-10-19,25598435548
2000-10-20,26534570013
2000-10-23,27438423980
2000-10-24,28006560758
2000-10-25,27535265476
2000-10-26,27522353276
2000-10-27,28471399941
2000-10-30,28987887922
2000-10-31,29278412411
2000-11-01,30279107874
2000-11-02,31053839845
2000-11-03,32667864785
2000-11-06,32538742790
2000-11-07,31718818120
2000-11-08,31312083836
2000-11-09,30505071366
2000-11-10,29620585698
2000-11-13,27883894863
2000-11-14,30627737261
2000-11-15,31028015446
2000-11-16,29620585698
2000-11-17,30627737261
2000-11-20,29698058896
2000-11-21,26792814004
2000-11-22,24455705890
2000-11-24,25140052465
2000-11-27,25017386570
2000-11-28,24371776594
2000-11-29,23325888432
2000-11-30,20582046034
2000-12-01,21950739184
2000-12-04,21789336690
2000-12-05,24533179088
2000-12-06,24132900902
2000-12-07,24939913372
2000-12-08,27477160578
2000-12-11,29575393000
2000-12-12,27599826474
2000-12-13,27799965566
2000-12-14,26231133324
2000-12-15,26670148108
2000-12-18,27599826474
2000-12-19,27761228968
2000-12-20,26069730830
2000-12-21,26347343120
2000-12-22,27638563072
2000-12-26,27360950782
2000-12-27,27722492369
2000-12-28,28006560758
2000-12-29,28084033956
2001-01-02,32545558000
2001-01-03,33943220000
2001-01-04,33743554000
2001-01-05,33943220000
2001-01-08,34845710320
2001-01-09,35245042320
2001-01-10,35788133840
2001-01-11,34446378320
2001-01-12,34142886000
2001-01-16,34941550000
2001-01-17,37042036320
2001-01-18,36786463840
2001-01-19,36538878000
2001-01-22,36738544000
2001-01-23,36443038320
2001-01-24,36938210000
2001-01-25,37736874000
2001-01-26,36538878000
2001-01-29,36938210000
2001-01-30,37337542000
2001-01-31,36818410400
2001-02-01,36978143200
2001-02-02,35516588080
2001-02-05,34478324880
2001-02-06,34302618800
2001-02-07,34462351600
2001-02-08,34781817200
2001-02-09,33320262080
2001-02-12,33543888000
2001-02-13,34997456480
2001-02-14,34709937440
2001-02-15,34797790480
2001-02-16,33543888000
2001-02-20,32026426400
2001-02-21,30708630800
2001-02-22,30908296800
2001-02-23,30229432400
2001-02-26,31307628800
2001-02-27,31619107760
2001-02-28,31778840560
2001-03-01,28767877280
2001-03-02,28272705600
2001-03-05,28951570000
2001-03-06,30069699600
2001-03-07,29909966800
2001-03-08,31068029600
2001-03-09,28959556640
2001-03-12,26603497840
2001-03-13,26292018880
2001-03-14,25117982800
2001-03-15,26443765040
2001-03-16,24439118400
2001-03-19,23752267360
2001-03-20,23680387600
2001-03-21,22881723600
2001-03-22,20765264000
2001-03-23,21563928000
2001-03-26,24167572640
2001-03-27,25613154480
2001-03-28,23360922000
2001-03-29,22881723600
2001-03-30,23161256000
2001-04-02,23567584040
2001-04-03,22762130040
2001-04-04,22754075500
2001-04-05,24969074000
2001-04-06,23704511220
2001-04-09,23962256500
2001-04-10,24888528600
2001-04-11,24687165100
2001-04-12,25210710200
2001-04-16,24687165100
2001-04-17,25379855540
2001-04-18,29850125240
2001-04-19,28633889699
2001-04-20,28351980800
2001-04-23,27409599620
2001-04-24,27627072199
2001-04-25,27256563360
2001-04-26,28392253500
2001-04-27,29350743760
2001-04-30,29399071000
2001-05-01,29544052720
2001-05-02,30043434199
2001-05-03,29479616400
2001-05-04,29439343699
2001-05-07,29519889100
2001-05-08,28762762340
2001-05-09,28553344300
2001-05-10,29173543880
2001-05-11,29125216639
2001-05-14,28553344300
2001-05-15,28859416820
2001-05-16,30599197460
2001-05-17,30808615500
2001-05-18,30446161199
2001-05-21,31493251400
2001-05-22,31299942440
2001-05-23,30647524699
2001-05-24,30768342800
2001-05-25,30671688320
2001-05-29,30566979300
2001-05-30,29680979900
2001-05-31,30325343100
2001-06-01,29399071000
2001-06-04,29898452479
2001-06-05,30365615800
2001-06-06,30003161500
2001-06-07,30164252300
2001-06-08,29793743460
2001-06-11,29479616400
2001-06-12,28649998780
