,CNXT
2014-12-15,19491158
2014-12-16,19617192
2014-12-17,19579444
2014-12-18,19428141
2014-12-19,18929676
2014-12-22,18167801
2014-12-23,17644760
2014-12-24,18158978
2014-12-26,18597577
2014-12-29,18262326
2014-12-30,17871621
2014-12-31,18155197
2015-01-02,18272787
2015-01-05,18249723
2015-01-06,18924005
2015-01-07,19005927
2015-01-08,19024832
2015-01-09,18968117
2015-01-12,19276900
2015-01-13,19793639
2015-01-14,19541571
2015-01-15,19491158
2015-01-16,19535270
2015-01-20,20316932
2015-01-21,20719989
2015-01-22,21035074
2015-01-23,20480525
2015-01-26,20984661
2015-01-27,20808213
2015-01-28,20322982
2015-01-29,20505794
2015-01-30,19642398
2015-02-02,20297775
2015-02-03,20972057
2015-02-04,21350159
2015-02-05,20795610
2015-02-06,20007897
2015-02-09,20039406
2015-02-10,20524636
2015-02-11,18668270
2015-02-12,21003566
2015-02-13,21356461
2015-02-17,22087458
2015-02-18,22074792
2015-02-19,22081093
2015-02-20,22150475
2015-02-23,22132641
2015-02-24,22459258
2015-02-25,21904709
2015-02-26,22125268
2015-02-27,22295414
2015-03-02,22698786
2015-03-03,22289112
2015-03-04,22660913
2015-03-05,22900314
2015-03-06,22093760
2015-03-09,22591594
2015-03-10,22868869
2015-03-11,22988601
2015-03-12,22982299
2015-03-13,23360401
2015-03-16,24494707
2015-03-17,24456897
2015-03-18,25093369
2015-03-19,25005208
2015-03-20,25805461
2015-03-23,26076434
2015-03-24,26561665
2015-03-25,26857845
2015-03-26,26063831
2015-03-27,26687699
2015-03-30,27324171
2015-03-31,26971276
2015-04-01,28017358
2015-04-02,28553002
2015-04-06,29422637
2015-04-07,29191743
2015-04-08,28414365
2015-04-09,27532127
2015-04-10,28716846
2015-04-13,28987820
2015-04-14,29025630
2015-04-15,28011056
2015-04-16,28723148
2015-04-17,26341106
2015-04-20,27626652
2015-04-21,28792467
2015-04-22,29645087
2015-04-23,29970885
2015-04-24,30475021
2015-04-27,30386797
2015-04-28,29542369
2015-04-29,30153634
2015-04-30,30197746
2015-05-01,30399400
2015-05-04,30487624
2015-05-05,29463472
2015-05-06,29602550
2015-05-07,29447844
2015-05-08,31073682
2015-05-11,32560883
2015-05-12,33222562
2015-05-13,33493535
2015-05-14,33627887
2015-05-15,33279277
2015-05-18,34407282
2015-05-19,35352537
2015-05-20,35919690
2015-05-21,37444701
2015-05-22,37684166
2015-05-26,39417133
2015-05-27,39385498
2015-05-28,36751514
2015-05-29,37142219
2015-06-01,39393817
2015-06-02,41402169
2015-06-03,41124894
2015-06-04,40557741
2015-06-05,39858252
2015-06-08,38944506
2015-06-09,38768058
2015-06-10,40400198
2015-06-11,41017765
2015-06-12,41421074
2015-06-15,39385625
2015-06-16,37911027
2015-06-17,39057936
2015-06-18,37098107
2015-06-19,34527014
2015-06-22,34842099
2015-06-23,35371442
2015-06-24,35503777
2015-06-25,33512440
2015-06-26,28546701
2015-06-29,27166628
2015-06-30,29907868
2015-07-01,28905897
2015-07-02,27758988
2015-07-06,26082736
2015-07-07,21986631
2015-07-08,19888165
2015-07-09,25263515
2015-07-10,31155604
2015-07-13,29825946
2015-07-14,29044535
2015-07-15,25918892
2015-07-16,28275727
2015-07-17,30241858
2015-07-20,29772381
2015-07-21,30260763
2015-07-22,30531736
2015-07-23,31786972
2015-07-24,30159936
2015-07-27,26656191
2015-07-28,27532127
2015-07-29,28891593
2015-07-30,27510071
2015-07-31,27488015
2015-08-03,26624682
2015-08-04,28332443
2015-08-05,27651859
2015-08-06,27280059
2015-08-07,28061470
2015-08-10,30124457
2015-08-11,28811372
2015-08-12,27771591
2015-08-13,28603416
2015-08-14,28660131
2015-08-17,28748355
2015-08-18,26177261
2015-08-19,26687699
2015-08-20,26076434
2015-08-21,24267846
2015-08-24,20417508
2015-08-25,20864928
2015-08-26,20556145
2015-08-27,22358431
2015-08-28,22207190
2015-08-31,21280840
2015-09-01,19339917
2015-09-02,19125659
2015-09-03,19831449
2015-09-04,19037435
2015-09-08,21558115
2015-09-09,21324952
2015-09-10,21551814
2015-09-11,21772373
2015-09-14,19781036
2015-09-15,18835781
2015-09-16,20278870
2015-09-17,20480525
2015-09-18,19988992
2015-09-21,21476193
2015-09-22,21154806
2015-09-23,21293444
2015-09-24,21684149
2015-09-25,20871230
2015-09-28,21137162
2015-09-29,21394271
2015-09-30,21394271
2015-10-01,21646339
2015-10-02,22169947
2015-10-05,22717628
2015-10-06,22616801
2015-10-07,23209161
2015-10-08,23089428
2015-10-09,23001205
2015-10-12,24185924
2015-10-13,24148114
2015-10-14,23656581
2015-10-15,25068162
2015-10-16,25635315
2015-10-19,25131179
2015-10-20,25906288
2015-10-21,23820426
2015-10-22,25326532
2015-10-23,26385217
2015-10-26,25414756
2015-10-27,25597505
2015-10-28,24904318
2015-10-29,25282420
2015-10-30,25036654
2015-11-02,24784586
2015-11-03,24683758
2015-11-04,26315899
2015-11-05,26227675
2015-11-06,27235947
2015-11-09,26939767
2015-11-10,27305266
2015-11-11,27773230
2015-11-12,26990181
2015-11-13,25906288
2015-11-16,27992151
2015-11-17,26939767
2015-11-18,26782225
2015-11-19,27721178
2015-11-20,27740083
2015-11-23,27355679
2015-11-24,27658161
2015-11-25,28162297
2015-11-27,25553393
2015-11-30,26246580
2015-12-01,26033709
2015-12-02,25912590
2015-12-03,26675096
2015-12-04,26574268
2015-12-07,26378916
2015-12-08,25780254
2015-12-09,25364342
2015-12-10,25710936
2015-12-11,25087067
2015-12-14,26019719
2015-12-15,26378916
2015-12-16,26763319
2015-12-17,26807431
2015-12-18,26920862
2015-12-21,27406093
2015-12-22,27708574
2015-12-23,27027991
2015-12-24,26958672
2015-12-28,26448234
2015-12-29,26511251
2015-12-30,26486108
2015-12-31,26019719
2016-01-04,22868869
2016-01-05,23083127
2016-01-06,22950791
2016-01-07,21035074
2016-01-08,20915342
2016-01-11,20077216
2016-01-12,20537240
2016-01-13,19276900
2016-01-14,20436413
2016-01-15,19321012
2016-01-19,20808213
2016-01-20,20455318
2016-01-21,20014199
2016-01-22,20304077
2016-01-25,20109165
2016-01-26,18917703
2016-01-27,18671937
2016-01-28,18003956
2016-01-29,18949211
2016-02-01,18400964
2016-02-02,19018530
2016-02-03,19314710
2016-02-04,19736924
2016-02-05,19213883
2016-02-08,19018530
2016-02-09,18873591
2016-02-10,18968117
2016-02-11,18388360
2016-02-12,18621586
2016-02-16,20398602
2016-02-17,21060281
2016-02-18,20650670
2016-02-19,20789308
2016-02-22,21243030
2016-02-23,20707386
2016-02-24,20864928
2016-02-25,19144564
2016-02-26,19068944
2016-02-29,18041767
2016-03-01,18576088
2016-03-02,19333615
2016-03-03,19387180
2016-03-04,18873591
2016-03-07,18955513
2016-03-08,18867289
2016-03-09,18690842
2016-03-10,18249723
2016-03-11,18571109
2016-03-14,19194978
2016-03-15,19144564
2016-03-16,19031134
2016-03-17,20001595
2016-03-18,21192617
2016-03-21,21413176
2016-03-22,21306047
2016-03-23,21487536
2016-03-24,21104393
2016-03-28,21293444
2016-03-29,20902738
2016-03-30,21860597
2016-03-31,21564417
2016-04-01,21419478
2016-04-04,21299746
2016-04-05,21747166
2016-04-06,22144173
2016-04-07,21419478
2016-04-08,21595925
2016-04-11,21892105
2016-04-12,21810183
2016-04-13,22326923
2016-04-14,22320621
2016-04-15,22093760
2016-04-18,21911010
2016-04-19,22005536
2016-04-20,20827118
2016-04-21,20322982
2016-04-22,20530938
2016-04-25,20612860
2016-04-26,20959454
2016-04-27,20877532
2016-04-28,20833420
2016-04-29,20795610
2016-05-02,20801974
2016-05-03,21116996
2016-05-04,21079186
2016-05-05,21198918
2016-05-06,20392301
2016-05-09,19560476
2016-05-10,19919673
2016-05-11,19560476
2016-05-12,19642398
2016-05-13,19384029
2016-05-16,19831449
2016-05-17,19768432
2016-05-18,19358822
2016-05-19,19459649
2016-05-20,19617192
2016-05-23,19831449
2016-05-24,19894466
2016-05-25,19743226
2016-05-26,19818909
2016-05-27,19762131
2016-05-31,20707386
2016-06-01,20581352
2016-06-02,20814515
2016-06-03,21337493
2016-06-06,21318651
2016-06-07,21217823
2016-06-08,21154806
2016-06-09,21072884
2016-06-10,20688481
2016-06-13,19799941
2016-06-14,19913372
2016-06-15,20455318
2016-06-16,20411206
2016-06-17,20524636
2016-06-20,20682242
2016-06-21,20480525
2016-06-22,20871230
2016-06-23,20890135
2016-06-24,20196948
2016-06-27,20600257
2016-06-28,21079186
2016-06-29,21192617
2016-06-30,21205220
2016-07-01,21028772
2016-07-05,21085488
2016-07-06,21306047
2016-07-07,21186315
2016-07-08,21369064
2016-07-11,21079186
2016-07-12,21526607
2016-07-13,21772373
2016-07-14,21766071
2016-07-15,21627434
2016-07-18,21425780
2016-07-19,21425780
2016-07-20,21573050
2016-07-21,21517154
2016-07-22,21425780
2016-07-25,21356461
2016-07-26,21665244
2016-07-27,20732593
2016-07-28,20713687
2016-07-29,20638067
2016-08-01,20209551
2016-08-02,20354491
2016-08-03,20493128
2016-08-04,20650670
2016-08-05,20518335
2016-08-08,20751498
2016-08-09,20921644
2016-08-10,20864928
2016-08-11,20650670
2016-08-12,20864676
2016-08-15,21665244
2016-08-16,21583322
2016-08-17,21551183
2016-08-18,21545512
2016-08-19,21425780
2016-08-22,21135901
2016-08-23,21180013
2016-08-24,21186315
2016-08-25,21035074
2016-08-26,21028772
2016-08-29,21184046
2016-08-30,21116996
2016-08-31,21085488
2016-09-01,20946850
2016-09-02,20890135
2016-09-06,21299746
2016-09-07,21224188
2016-09-08,21280777
2016-09-09,20669576
2016-09-12,20480525
2016-09-13,20318823
2016-09-14,20391671
2016-09-15,20537240
2016-09-16,20530938
2016-09-19,20606559
2016-09-20,20518398
2016-09-21,20726291
2016-09-22,20726858
2016-09-23,20518335
