,TROW
2000-01-03,4229115279
2000-01-04,4101471140
2000-01-05,4094246000
2000-01-06,4214665000
2000-01-07,4185764439
2000-01-10,4229115279
2000-01-11,4214665000
2000-01-12,4395293500
2000-01-13,4636131500
2000-01-14,4703566140
2000-01-18,4522937640
2000-01-19,4590372280
2000-01-20,4590372280
2000-01-21,4809534860
2000-01-24,4756550500
2000-01-25,5103357220
2000-01-26,5057598000
2000-01-27,4727649940
2000-01-28,4395293500
2000-01-31,4681890720
2000-02-01,4710791280
2000-02-02,4771000780
2000-02-03,4628906360
2000-02-04,4469953280
2000-02-07,4416968920
2000-02-08,4416968920
2000-02-09,4327858860
2000-02-10,4296549920
2000-02-11,4226706900
2000-02-14,4055711920
2000-02-15,4253199080
2000-02-16,4260424220
2000-02-17,4012361080
2000-02-18,3906392359
2000-02-22,3928067779
2000-02-23,3891942080
2000-02-24,4260424220
2000-02-25,4115921420
2000-02-28,4125554939
2000-02-29,3966601859
2000-03-01,4012361080
2000-03-02,4132780080
2000-03-03,4101471140
2000-03-06,4048486779
2000-03-07,3920842640
2000-03-08,3718538720
2000-03-09,3838957720
2000-03-10,3860633140
2000-03-13,3704088440
2000-03-14,3634245420
2000-03-15,4200214720
2000-03-16,4335084000
2000-03-17,4380843220
2000-03-20,4342309140
2000-03-21,4335084000
2000-03-22,4221890140
2000-03-23,4597597420
2000-03-24,4643356640
2000-03-27,4395293500
2000-03-28,4342309140
2000-03-29,4402518640
2000-03-30,4614456080
2000-03-31,4756550500
2000-04-03,4648549200
2000-04-04,4488921600
2000-04-05,4655805000
2000-04-06,4655805000
2000-04-07,4890409200
2000-04-10,4868641800
2000-04-11,4892827800
2000-04-12,4754967600
2000-04-13,4534875000
2000-04-14,4157573400
2000-04-17,4399433400
2000-04-18,4738037400
2000-04-19,4709014200
2000-04-20,4815432600
2000-04-24,4815432600
2000-04-25,4962967200
2000-04-26,4716270000
2000-04-27,4527619200
2000-04-28,4609851600
2000-05-01,4573572600
2000-05-02,4609851600
2000-05-03,4232550000
2000-05-04,4051155000
2000-05-05,4172085000
2000-05-08,4249480200
2000-05-09,4210782600
2000-05-10,4051155000
2000-05-11,4029387600
2000-05-12,3993108600
2000-05-15,4609851600
2000-05-16,4754967600
2000-05-17,4595340000
2000-05-18,4687246800
2000-05-19,4527619200
2000-05-22,4602595800
2000-05-23,4602595800
2000-05-24,4566316800
2000-05-25,4527619200
2000-05-26,4375247400
2000-05-30,4520363400
2000-05-31,4617107400
2000-06-01,4648549200
2000-06-02,5057292600
2000-06-05,5282222400
2000-06-06,5154036600
2000-06-07,5260455000
2000-06-08,4989571800
2000-06-09,5110501800
2000-06-12,5079060000
2000-06-13,5207245800
2000-06-14,5381385000
2000-06-15,5161292400
2000-06-16,5125013400
2000-06-19,5804640000
2000-06-20,5231431800
2000-06-21,5156455200
2000-06-22,4979897400
2000-06-23,4912176600
2000-06-26,5033106600
2000-06-27,5178222600
2000-06-28,5050036800
2000-06-29,5040362400
2000-06-30,5139525000
2000-07-03,5349985500
2000-07-05,5221275000
2000-07-06,5138706000
2000-07-07,5235846000
2000-07-10,5131420500
2000-07-11,5131420500
2000-07-12,5403412500
2000-07-13,5728831500
2000-07-14,5646262500
2000-07-17,5539408500
2000-07-18,5335414500
2000-07-19,5077993500
2000-07-20,5510266500
2000-07-21,5396127000
2000-07-24,5495695500
2000-07-25,5357271000
2000-07-26,5145991500
2000-07-27,5107135500
2000-07-28,4903141500
2000-07-31,4963854000
2000-08-01,4980853500
2000-08-02,5031852000
2000-08-03,5014852500
2000-08-04,5092564500
2000-08-07,5281987500
2000-08-08,5260131000
2000-08-09,5281987500
2000-08-10,5260131000
2000-08-11,5213989500
2000-08-14,5267416500
2000-08-15,5160562500
2000-08-16,5039137500
2000-08-17,5213989500
2000-08-18,5221275000
2000-08-21,5192133000
2000-08-22,5403412500
2000-08-23,5342700000
2000-08-24,5213989500
2000-08-25,5235846000
2000-08-28,5182419000
2000-08-29,5175133500
2000-08-30,5328129000
2000-08-31,5495695500
2000-09-01,5563693500
2000-09-05,5677833000
2000-09-06,5699689500
2000-09-07,5653548000
2000-09-08,5692404000
2000-09-11,5714260500
2000-09-12,5806543500
2000-09-13,5889112500
2000-09-14,5903683500
2000-09-15,5828400000
2000-09-18,5456839500
2000-09-19,5789544000
2000-09-20,5745831000
2000-09-21,5799258000
2000-09-22,5760402000
2000-09-25,5760402000
2000-09-26,5638977000
2000-09-27,5738545500
2000-09-28,5706975000
2000-09-29,5699689500
2000-10-02,5784027120
2000-10-03,5678461260
2000-10-04,5624450820
2000-10-05,5754566880
2000-10-06,5555710260
2000-10-09,5393678940
2000-10-10,5140811880
2000-10-11,5086801440
2000-10-12,5003330760
2000-10-13,5256197820
2000-10-16,5263562880
2000-10-17,5025425940
2000-10-18,4833934380
2000-10-19,5018060880
2000-10-20,5263562880
2000-10-23,5162907060
2000-10-24,5263562880
2000-10-25,5285658060
2000-10-26,5126081760
2000-10-27,5224282560
2000-10-30,5447689380
2000-10-31,5747201820
2000-11-01,5678461260
2000-11-02,5761931940
2000-11-03,5862587760
2000-11-06,5838037560
2000-11-07,5776662060
2000-11-08,5784027120
2000-11-09,5749656840
2000-11-10,5653911060
2000-11-13,5072071320
2000-11-14,5072071320
2000-11-15,5086801440
2000-11-16,5032791000
2000-11-17,4941955260
2000-11-20,4787289000
2000-11-21,4541787000
2000-11-22,4411670940
2000-11-24,4517236800
2000-11-27,4610527560
2000-11-28,4534421940
2000-11-29,4549152060
2000-11-30,4480411500
2000-12-01,4696453260
2000-12-04,4671903060
2000-12-05,4910040000
2000-12-06,4833934380
2000-12-07,4902674940
2000-12-08,5086801440
2000-12-11,5263562880
2000-12-12,5003330760
2000-12-13,5010695820
2000-12-14,4941955260
2000-12-15,4902674940
2000-12-18,4922315100
2000-12-19,4917405060
2000-12-20,4794654060
2000-12-21,4949320320
2000-12-22,5025425940
2000-12-26,5194822320
2000-12-27,5231647620
2000-12-28,5347033560
2000-12-29,5187457260
2001-01-02,4941955260
2001-01-03,5216917500
2001-01-04,5018060880
2001-01-05,5064706260
2001-01-08,5194822320
2001-01-09,5148176940
2001-01-10,5086801440
2001-01-11,5032791000
2001-01-12,5133446820
2001-01-16,5177637180
2001-01-17,5209552440
2001-01-18,5224282560
2001-01-19,5187457260
2001-01-22,5216917500
2001-01-23,5239012680
2001-01-24,4910040000
2001-01-25,4870759680
2001-01-26,4686633180
2001-01-29,4863394620
2001-01-30,4802019120
2001-01-31,4787289000
2001-02-01,4748008680
2001-02-02,4657172940
2001-02-05,4711183380
2001-02-06,4649807880
2001-02-07,4534421940
2001-02-08,4642442820
2001-02-09,4635077760
2001-02-12,4703818320
2001-02-13,4617892620
2001-02-14,4527056880
2001-02-15,4581067320
2001-02-16,4563882180
2001-02-20,4487776560
2001-02-21,4274189820
2001-02-22,4266824759
2001-02-23,4281554880
2001-02-26,4502506680
2001-02-27,4450951260
2001-02-28,4379755680
2001-03-01,4473046440
2001-03-02,4527056880
2001-03-05,4541787000
2001-03-06,4595797440
2001-03-07,4512326760
2001-03-08,4465681380
2001-03-09,4372390620
2001-03-12,4242274560
2001-03-13,4303650060
2001-03-14,4180899060
2001-03-15,4090063320
2001-03-16,3935397060
2001-03-19,4151438820
2001-03-20,3928032000
2001-03-21,3766000680
2001-03-22,3574509120
2001-03-23,3714445260
2001-03-26,3758635620
2001-03-27,3959947259
2001-03-28,3844561320
2001-03-29,3783185820
2001-03-30,3844561320
2001-04-02,3786002320
2001-04-03,3616149160
2001-04-04,3515221920
2001-04-05,3815542000
2001-04-06,3662920320
2001-04-09,3719538040
2001-04-10,3973086960
2001-04-11,4189711280
2001-04-12,4155248319
2001-04-16,4135555200
2001-04-17,4214327680
2001-04-18,4620498280
2001-04-19,4549110720
2001-04-20,4475261520
2001-04-23,4278330319
2001-04-24,4234020800
2001-04-25,4243867359
2001-04-26,4285715240
2001-04-27,4403873960
2001-04-30,4278330319
2001-05-01,4376795920
2001-05-02,4376795920
2001-05-03,4376795920
2001-05-04,4364487720
2001-05-07,4374334280
2001-05-08,4317716560
2001-05-09,4320178200
2001-05-10,4320178200
2001-05-11,4312793280
2001-05-14,4305408360
2001-05-15,4307870000
2001-05-16,4413720520
2001-05-17,4413720520
2001-05-18,4349717880
2001-05-21,4433413640
2001-05-22,4529417600
2001-05-23,4453106760
2001-05-24,4514647760
2001-05-25,4517109400
2001-05-29,4541725800
2001-05-30,4494954640
2001-05-31,4517109400
2001-06-01,4465414960
2001-06-04,4519571040
2001-06-05,4586035320
2001-06-06,4541725800
2001-06-07,4509724480
2001-06-08,4529417600
2001-06-11,4470338240
2001-06-12,4398950680
2001-06-13,4302946720
2001-06-14,4229097520
2001-06-15,4216789319
2001-06-18,4290638520
2001-06-19,4401412320
2001-06-20,4467876600
2001-06-21,4558957280
2001-06-22,4475261520
2001-06-25,4480184800
2001-06-26,4504801200
2001-06-27,4509724480
2001-06-28,4524494320
2001-06-29,4603266800
2001-07-02,4554074020
2001-07-03,4475172900
2001-07-05,4470241580
2001-07-06,4386409140
2001-07-09,4339561600
2001-07-10,4272988779
2001-07-11,4216278600
2001-07-12,4282851420
2001-07-13,4374080840
2001-07-16,4272988779
2001-07-17,4346958580
2001-07-18,4398737440
2001-07-19,4371615180
2001-07-20,4445584980
2001-07-23,4546677040
2001-07-24,4514623460
2001-07-25,4541745720
2001-07-26,4595990240
2001-07-27,4618181180
2001-07-30,4628043820
2001-07-31,4679822680
2001-08-01,4709410600
2001-08-02,4751326820
2001-08-03,4746395500
2001-08-06,4702013620
2001-08-07,4684754000
2001-08-08,4605852880
2001-08-09,4544211380
2001-08-10,4544211380
2001-08-13,4593524580
2001-08-14,4637906460
2001-08-15,4650234760
2001-08-16,4642837780
2001-08-17,4541745720
2001-08-20,4618181180
2001-08-21,4605852880
2001-08-22,4674891360
2001-08-23,4758723800
2001-08-24,4988030180
2001-08-27,4847487560
2001-08-28,4724204560
2001-08-29,4684754000
2001-08-30,4546677040
2001-08-31,4610784200
2001-09-04,4660097400
2001-09-05,4647769100
2001-09-06,4497363840
2001-09-07,4300111040
2001-09-10,4319836320
2001-09-17,3989437880
2001-09-18,3949987320
2001-09-19,3779856780
2001-09-20,3400145140
2001-09-21,3168373100
2001-09-24,3407542120
2001-09-25,3508634180
2001-09-26,3543153420
2001-09-27,3459320980
2001-09-28,3612191900
2001-10-01,3518162880
2001-10-02,3579928380
2001-10-03,3789931080
2001-10-04,3767695500
2001-10-05,3681223800
2001-10-08,3552751560
2001-10-09,3555222180
2001-10-10,3629340780
2001-10-11,3713341860
2001-10-12,3634282020
2001-10-15,3594752100
2001-10-16,3646635120
2001-10-17,3582399000
2001-10-18,3476162340
2001-10-19,3503339160
2001-10-22,3651576360
2001-10-23,3555222180
2001-10-24,3490986060
2001-10-25,3431691180
2001-10-26,3448985520
2001-10-29,3416867460
2001-10-30,3441573660
2001-10-31,3429220560
2001-11-01,3372396300
2001-11-02,3453926760
2001-11-05,3572516520
2001-11-06,3668870700
2001-11-07,3738048060
2001-11-08,3639223260
2001-11-09,3666400080
2001-11-12,3740518680
2001-11-13,3802284180
2001-11-14,4009816260
2001-11-15,3925815180
2001-11-16,3873932160
2001-11-19,3943109520
2001-11-20,3891226500
2001-11-21,3876402780
2001-11-23,3933227040
