,BWA
2000-01-03,907256000
2000-01-04,907256000
2000-01-05,911525439
2000-01-06,900851840
2000-01-07,926468480
2000-01-10,915794880
2000-01-11,911525439
2000-01-12,911525439
2000-01-13,915794880
2000-01-14,909390720
2000-01-18,894447680
2000-01-19,883774079
2000-01-20,879504640
2000-01-21,877369920
2000-01-24,858157439
2000-01-25,836810240
2000-01-26,832540800
2000-01-27,815463040
2000-01-28,794115840
2000-01-31,789846400
2000-02-01,762095040
2000-02-02,762095040
2000-02-03,785576960
2000-02-04,777038080
2000-02-07,766364480
2000-02-08,774903360
2000-02-09,781307520
2000-02-10,789846400
2000-02-11,781307520
2000-02-14,789846400
2000-02-15,798385280
2000-02-16,772768640
2000-02-17,755690880
2000-02-18,738613120
2000-02-22,738613120
2000-02-23,727939520
2000-02-24,706592320
2000-02-25,727939520
2000-02-28,730074240
2000-02-29,751421440
2000-03-01,762095040
2000-03-02,774903360
2000-03-03,766364480
2000-03-06,766364480
2000-03-07,749286720
2000-03-08,734343680
2000-03-09,727939520
2000-03-10,745017280
2000-03-13,762095040
2000-03-14,764229760
2000-03-15,781307520
2000-03-16,815463040
2000-03-17,856022720
2000-03-20,849618560
2000-03-21,862426880
2000-03-22,858157439
2000-03-23,875235199
2000-03-24,864561600
2000-03-27,849618560
2000-03-28,847483840
2000-03-29,824001920
2000-03-30,851753280
2000-03-31,915639120
2000-04-03,881804880
2000-04-04,867002399
2000-04-05,898722000
2000-04-06,913524480
2000-04-07,913524480
2000-04-10,921983040
2000-04-11,930441600
2000-04-12,968505120
2000-04-13,949473360
2000-04-14,905065920
2000-04-17,879690240
2000-04-18,911409839
2000-04-19,926212320
2000-04-20,919868399
2000-04-24,913524480
2000-04-25,970619760
2000-04-26,970619760
2000-04-27,951588000
2000-04-28,972734399
2000-05-01,979078320
2000-05-02,976963680
2000-05-03,930441600
2000-05-04,951588000
2000-05-05,972734399
2000-05-08,953702640
2000-05-09,985422240
2000-05-10,991766160
2000-05-11,1021371120
2000-05-12,1006568640
2000-05-15,1000224720
2000-05-16,1025600399
2000-05-17,1015027200
2000-05-18,1008683279
2000-05-19,1000224720
2000-05-22,970619760
2000-05-23,960046560
2000-05-24,964275839
2000-05-25,957931920
2000-05-26,926212320
2000-05-30,947358720
2000-05-31,924097680
2000-06-01,945244080
2000-06-02,943129440
2000-06-05,953702640
2000-06-06,930441600
2000-06-07,934670880
2000-06-08,911409839
2000-06-09,879690240
2000-06-12,898722000
2000-06-13,894492720
2000-06-14,879690240
2000-06-15,862773120
2000-06-16,833168160
2000-06-19,841626720
2000-06-20,833168160
2000-06-21,828938880
2000-06-22,841626720
2000-06-23,852199920
2000-06-26,854314560
2000-06-27,856429200
2000-06-28,860658480
2000-06-29,856429200
2000-06-30,809364800
2000-07-03,853397600
2000-07-05,849204000
2000-07-06,845010400
2000-07-07,826139200
2000-07-10,853397600
2000-07-11,847107200
2000-07-12,853397600
2000-07-13,845010400
2000-07-14,845010400
2000-07-17,849204000
2000-07-18,847107200
2000-07-19,851300799
2000-07-20,851300799
2000-07-21,830332800
2000-07-24,826139200
2000-07-25,821945600
2000-07-26,798880800
2000-07-27,794687200
2000-07-28,769525600
