,EXR
2004-08-12,190522900
2004-08-13,190522900
2004-08-16,190522900
2004-08-17,190675318
2004-08-18,190675318
2004-08-19,190980154
2004-08-20,191284991
2004-08-23,191284991
2004-08-24,197838979
2004-08-25,198143816
2004-08-26,203935712
2004-08-27,205002640
2004-08-30,205459895
2004-08-31,210337281
2004-09-01,208051006
2004-09-02,210184863
2004-09-03,208051006
2004-09-07,210337281
2004-09-08,208051006
2004-09-09,205612313
2004-09-10,207288915
2004-09-13,208965516
2004-09-14,205917150
2004-09-15,203478457
2004-09-16,203173620
2004-09-17,207898588
2004-09-20,203478457
2004-09-21,205307477
2004-09-22,205764732
2004-09-23,202563947
2004-09-24,205764732
2004-09-27,198905907
2004-09-28,196772051
2004-09-29,196314796
2004-09-30,194333358
2004-10-01,198143816
2004-10-04,197229306
2004-10-05,196009959
2004-10-06,199667999
2004-10-07,198448652
2004-10-08,201497019
2004-10-11,199667999
2004-10-12,199667999
2004-10-13,197534142
2004-10-14,199058325
2004-10-15,197838979
2004-10-18,199972835
2004-10-19,198905907
2004-10-20,199667999
2004-10-21,203935712
2004-10-22,202716365
2004-10-25,202716365
2004-10-26,206526823
2004-10-27,211861464
2004-10-28,212166301
2004-10-29,211251791
2004-11-01,209422771
2004-11-02,211251791
2004-11-03,211861464
2004-11-04,213385648
2004-11-05,214147739
2004-11-08,214147739
2004-11-09,214604994
2004-11-10,215367086
2004-11-11,215671922
2004-11-12,214909831
2004-11-15,218720289
2004-11-16,214909831
2004-11-17,216434014
2004-11-18,214147739
2004-11-19,214147739
2004-11-22,216129177
2004-11-23,215519504
2004-11-24,213080811
2004-11-26,211861464
2004-11-29,213385648
2004-11-30,211861464
2004-12-01,213385648
2004-12-02,216434014
2004-12-03,218720289
2004-12-06,215671922
2004-12-07,213385648
2004-12-08,214147739
2004-12-09,209575190
2004-12-10,208508261
2004-12-13,208660680
2004-12-14,205917150
2004-12-15,203630875
2004-12-16,204088130
2004-12-17,202563947
2004-12-20,202411528
2004-12-21,203630875
2004-12-22,206679241
2004-12-23,206526823
2004-12-27,204697803
2004-12-28,207288915
2004-12-29,203478457
2004-12-30,204240548
2004-12-31,415495433
2005-01-03,414248635
2005-01-04,418300729
2005-01-05,405209350
2005-01-06,419235827
2005-01-07,428898512
2005-01-10,417989029
