,HRL
2000-01-03,2842761288
2000-01-04,2803199998
2000-01-05,2848412901
2000-01-06,2899277417
2000-01-07,2921883869
2000-01-10,2910580643
2000-01-11,2916232256
2000-01-12,2837109675
2000-01-13,2871019353
2000-01-14,2859716127
2000-01-18,2876670966
2000-01-19,2791896772
2000-01-20,2797548385
2000-01-21,2786245159
2000-01-24,2735380643
2000-01-25,2718425804
2000-01-26,2780593546
2000-01-27,2735380643
2000-01-28,2712774192
2000-01-31,2833389537
2000-02-01,2705106153
2000-02-02,2660485845
2000-02-03,2638175691
2000-02-04,2638175691
2000-02-07,2587977845
2000-02-08,2649330768
2000-02-09,2677218460
2000-02-10,2610287999
2000-02-11,2498737230
2000-02-14,2482004614
2000-02-15,2487582153
2000-02-16,2509892307
2000-02-17,2537779999
2000-02-18,2509892307
2000-02-22,2498737230
2000-02-23,2465271999
2000-02-24,2442961845
2000-02-25,2420651691
2000-02-28,2359298768
2000-02-29,2325833537
2000-03-01,2359298768
2000-03-02,2275635691
2000-03-03,2119464614
2000-03-06,2152929845
2000-03-07,2024646460
2000-03-08,2108309537
2000-03-09,2102731999
2000-03-10,2041379076
2000-03-13,1996758768
2000-03-14,1968871076
2000-03-15,2125042153
2000-03-16,2381608922
2000-03-17,2091576922
2000-03-20,2197550153
2000-03-21,2141774768
2000-03-22,2024646460
2000-03-23,2091576922
2000-03-24,2041379076
2000-03-27,2024646460
2000-03-28,1980026153
2000-03-29,2013491384
2000-03-30,2091576922
2000-03-31,2292368307
2000-04-03,2041379076
2000-04-04,2197550153
2000-04-05,2219860307
2000-04-06,2197550153
2000-04-07,2164084922
2000-04-10,2180817537
2000-04-11,2197550153
2000-04-12,2242170460
2000-04-13,2275635691
2000-04-14,2214282768
2000-04-17,2292368307
2000-04-18,2242170460
2000-04-19,2231015384
2000-04-20,2203127691
2000-04-24,2180817537
2000-04-25,2264480614
2000-04-26,2203127691
2000-04-27,2180817537
2000-04-28,2125042153
2000-05-01,2131090287
2000-05-02,2081142858
2000-05-03,2108891430
2000-05-04,2153289144
2000-05-05,2114441144
2000-05-08,2131090287
2000-05-09,2131090287
2000-05-10,2131090287
2000-05-11,2358628573
2000-05-12,2297581716
2000-05-15,2330880001
2000-05-16,2314230858
2000-05-17,2269833144
2000-05-18,2330880001
2000-05-19,2341979430
2000-05-22,2308681144
2000-05-23,2297581716
2000-05-24,2447424001
2000-05-25,2391926858
2000-05-26,2514020573
2000-05-30,2486272001
2000-05-31,2403026287
2000-06-01,2419675430
2000-06-02,2386377144
2000-06-05,2419675430
2000-06-06,2464073144
2000-06-07,2547318859
2000-06-08,2469622859
2000-06-09,2419675430
2000-06-12,2575067430
2000-06-13,2525120001
2000-06-14,2569517716
2000-06-15,2730459430
2000-06-16,2608365716
2000-06-19,2575067430
2000-06-20,2541769144
2000-06-21,2547318859
2000-06-22,2530669716
2000-06-23,2541769144
2000-06-26,2514020573
2000-06-27,2469622859
2000-06-28,2464073144
2000-06-29,2452973716
2000-06-30,2330880001
2000-07-03,2408576001
2000-07-05,2386377144
2000-07-06,2325330287
2000-07-07,2314230858
2000-07-10,2264283430
2000-07-11,2208786287
2000-07-12,2325330287
2000-07-13,2325330287
2000-07-14,2358628573
2000-07-17,2308681144
2000-07-18,2292032001
2000-07-19,2314230858
2000-07-20,2292032001
2000-07-21,2253184001
2000-07-24,2264283430
2000-07-25,2253184001
2000-07-26,2264283430
2000-07-27,2253184001
2000-07-28,2280932573
2000-07-31,2220991309
2000-08-01,2297766318
2000-08-02,2314218105
2000-08-03,2281314530
2000-08-04,2242927026
2000-08-07,2220991309
2000-08-08,2220991309
2000-08-09,2210023451
2000-08-10,2210023451
2000-08-11,2303250247
2000-08-14,2297766318
2000-08-15,2242927026
2000-08-16,2220991309
2000-08-17,2193571664
2000-08-18,2220991309
2000-08-21,2204539522
2000-08-22,2116796655
2000-08-23,2083893080
2000-08-24,2116796655
2000-08-25,2089377009
2000-08-28,2177119876
2000-08-29,2166152018
2000-08-30,2116796655
2000-08-31,2116796655
2000-09-01,2127764514
2000-09-05,2100344868
2000-09-06,2149700230
2000-09-07,2226475238
2000-09-08,2166152018
2000-09-11,2116796655
2000-09-12,2160668089
2000-09-13,2144216301
2000-09-14,2133248443
2000-09-15,2182603805
2000-09-18,2116796655
