,FSLR
2006-11-17,1393109400
2006-11-20,1407750000
2006-11-21,1385226000
2006-11-22,1513612800
2006-11-24,1562602500
2006-11-27,1596388500
2006-11-28,1586252700
2006-11-29,1591883700
2006-11-30,1593573000
2006-12-01,1570485900
2006-12-04,1569922800
2006-12-05,1524874800
2006-12-06,1531632000
2006-12-07,1538389200
2006-12-08,1550214300
2006-12-11,1573864500
2006-12-12,1531632000
2006-12-13,1556408400
2006-12-14,1572738300
2006-12-15,1635805500
2006-12-18,1609902900
2006-12-19,1564854900
2006-12-20,1564291800
2006-12-21,1502913900
2006-12-22,1550214300
2006-12-26,1526001000
2006-12-27,1622291100
2006-12-28,1681416600
2006-12-29,1680290400
2007-01-03,2061889500
2007-01-04,2079976250
2007-01-05,2036568050
2007-01-08,2090828300
2007-01-09,2117596690
2007-01-10,2109638520
2007-01-11,2122660980
2007-01-12,2136406910
2007-01-16,2117596690
2007-01-17,2099509940
2007-01-18,2048867040
2007-01-19,2004735370
2007-01-22,2017034360
2007-01-23,2087210950
2007-01-24,2108915050
2007-01-25,2129172210
2007-01-26,2108191580
2007-01-29,2252885580
2007-01-30,2367193840
2007-01-31,2341872390
2007-02-01,2362853019
2007-02-02,2257226400
2007-02-05,2371534660
2007-02-06,2373705070
2007-02-07,2419283680
2007-02-08,2444605130
2007-02-09,2377322420
2007-02-12,2394685700
2007-02-13,2480055160
2007-02-14,3163010840
2007-02-15,3254168060
2007-02-16,3274425220
2007-02-20,3560195870
2007-02-21,3703442930
2007-02-22,3559472400
2007-02-23,3576112210
2007-02-26,3751191950
2007-02-27,3545726470
2007-02-28,3454569250
2007-03-01,3463974360
2007-03-02,3347495690
2007-03-05,3192680344
2007-03-06,3349666100
2007-03-07,3445164140
2007-03-08,3752638890
2007-03-09,3766384820
2007-03-12,4189614769
2007-03-13,3886480840
2007-03-14,3940017620
2007-03-15,3811963430
2007-03-16,3727317440
2007-03-19,3798217500
2007-03-20,3783748100
2007-03-21,3942911500
2007-03-22,4206254580
2007-03-23,4214212750
2007-03-26,4124502470
2007-03-27,4010917680
2007-03-28,3942911500
2007-03-29,3848860400
2007-03-30,3762767470
2007-04-02,4057390440
2007-04-03,4047227000
2007-04-04,4159024840
2007-04-05,4098770160
2007-04-09,4174995960
2007-04-10,4366649400
2007-04-11,4517649080
2007-04-12,4567014360
2007-04-13,4447085768
2007-04-16,4714376980
2007-04-17,4529264440
2007-04-18,4483528960
2007-04-19,4368101320
2007-04-20,4421822360
2007-04-23,4583711440
2007-04-24,4622187320
2007-04-25,4710754440
2007-04-26,4642514200
2007-04-27,4620009440
2007-04-30,4355034040
2007-05-01,3995683840
2007-05-02,4275904400
2007-05-03,4206938200
2007-05-04,4842153200
2007-05-07,5054859480
2007-05-08,4996056719
2007-05-09,4978633680
2007-05-10,4987345200
2007-05-11,4927090520
2007-05-14,4737614960
2007-05-15,4600408520
2007-05-16,4655291096
2007-05-17,4731081320
2007-05-18,4604038320
2007-05-21,4503129880
2007-05-22,4711480400
2007-05-23,4781898520
2007-05-24,4720917880
2007-05-25,4843605120
2007-05-29,4873369480
2007-05-30,4958306800
2007-05-31,4939431840
2007-06-01,4948869320
2007-06-04,4989740868
2007-06-05,5214570680
2007-06-06,5180450560
2007-06-07,5120921840
2007-06-08,5175368840
2007-06-11,5149960240
2007-06-12,5157219840
2007-06-13,5396786640
2007-06-14,5441796160
2007-06-15,5669021640
2007-06-18,5682814880
2007-06-19,5749603200
2007-06-20,5867208719
2007-06-21,5822925160
2007-06-22,6144525440
2007-06-25,6268664600
2007-06-26,6408048920
2007-06-27,6436361360
2007-06-28,6544529400
2007-06-29,6480644920
2007-07-02,7092930840
2007-07-03,7374408360
2007-07-05,7152706980
2007-07-06,7288905780
2007-07-09,9029988006
2007-07-10,8679253396
2007-07-11,8584307700
2007-07-12,8668296960
2007-07-13,8771202720
2007-07-16,8478375300
2007-07-17,8277860400
2007-07-18,8316457626
2007-07-19,8447352240
2007-07-20,8328556619
2007-07-23,8228677500
2007-07-24,8108376126
2007-07-25,8177973713
2007-07-26,8115935160
2007-07-27,8375461973
2007-07-30,9106395533
2007-07-31,8514694980
2007-08-01,8148471540
2007-08-02,7909366980
2007-08-03,7572653280
2007-08-06,7453101000
2007-08-07,7969143119
2007-08-08,8286183660
2007-08-09,7795111320
2007-08-10,7144391286
2007-08-13,7207186500
2007-08-14,6927222300
2007-08-15,6623801640
2007-08-16,6194775420
2007-08-17,6435393300
2007-08-20,7113360660
2007-08-21,7301012340
2007-08-22,7496230619
2007-08-23,7127737200
2007-08-24,7381218300
2007-08-27,7263936000
2007-08-28,6871229460
2007-08-29,7248046140
2007-08-30,7755008340
2007-08-31,7849590840
2007-09-04,8094748680
2007-09-05,8058429000
2007-09-06,7882891446
2007-09-07,7571442623
2007-09-10,7598379720
2007-09-11,7703555460
2007-09-12,7428887880
2007-09-13,7559033400
2007-09-14,7440237780
2007-09-17,7172380140
2007-09-18,7648470611
2007-09-19,7636976946
2007-09-20,7793598000
2007-09-21,8516208300
2007-09-24,8535124800
2007-09-25,8612304120
2007-09-26,8656190400
2007-09-27,8325529980
2007-09-28,8908907273
2007-10-01,9484038960
2007-10-02,9825422530
2007-10-03,9555751920
2007-10-04,9848579840
2007-10-05,10236285500
2007-10-08,10256447300
2007-10-09,10250471220
2007-10-10,10151865900
2007-10-11,9711130000
2007-10-12,10138412249
2007-10-15,10080899950
2007-10-16,10378209930
2007-10-17,10390162090
2007-10-18,10500719570
2007-10-19,9953161240
2007-10-22,10226566900
2007-10-23,11217102160
2007-10-24,11084134380
2007-10-25,11202908970
2007-10-26,11238018440
2007-10-29,11668296200
2007-10-30,11186474750
2007-10-31,11863265810
2007-11-01,11604800350
2007-11-02,10948178560
2007-11-05,11063218100
2007-11-06,12624469000
2007-11-07,12484031120
2007-11-08,16765152900
2007-11-09,15451901850
2007-11-12,13274367700
2007-11-13,14049017070
2007-11-14,13848818389
2007-11-15,14264155950
2007-11-16,15883673630
2007-11-19,16117487760
2007-11-20,15487758330
2007-11-21,15873962500
2007-11-23,15696921130
2007-11-26,15836612000
2007-11-27,15509421620
2007-11-28,16126451880
2007-11-29,17792284180
2007-11-30,17715342150
2007-12-03,17122963220
2007-12-04,16026352540
2007-12-05,16877196930
2007-12-06,16314698400
2007-12-07,17589844470
2007-12-10,18675250000
2007-12-11,17651248692
2007-12-12,18053737680
2007-12-13,18551993350
2007-12-14,18801494690
2007-12-17,17328390970
2007-12-18,18458617100
2007-12-19,18524353980
2007-12-20,18346565600
2007-12-21,19900346400
2007-12-24,20321660040
2007-12-26,20984257910
2007-12-27,20580125500
2007-12-28,19873454040
2007-12-31,21119821260
2008-01-02,21164094300
2008-01-03,21019416330
2008-01-04,19415309220
2008-01-07,18724333560
2008-01-08,18223099500
2008-01-09,18519570750
2008-01-10,17864962230
2008-01-11,17472039000
2008-01-14,17769300840
2008-01-15,16190492610
2008-01-16,14353952040
2008-01-17,13218664800
2008-01-18,13904896920
2008-01-22,14289914250
2008-01-23,13024574955
2008-01-24,13555456140
2008-01-25,13541225520
2008-01-28,13993443000
2008-01-29,15171422100
2008-01-30,14574526650
2008-01-31,14370554430
2008-02-01,14700230460
2008-02-04,15250481100
2008-02-05,14072494094
2008-02-06,13575212984
2008-02-07,13092170400
2008-02-08,13692228210
2008-02-11,14992748759
2008-02-12,13879598040
2008-02-13,18061819140
2008-02-14,17717912490
2008-02-15,17344754010
2008-02-19,16755764460
2008-02-20,17155803000
2008-02-21,16728093810
2008-02-22,16740284707
2008-02-25,17306015100
2008-02-26,17447530710
2008-02-27,17210353710
2008-02-28,16227650340
2008-02-29,16219048720
2008-03-03,16403951910
2008-03-04,16017353400
2008-03-05,16854271974
2008-03-06,16505147430
2008-03-07,15560392380
2008-03-10,13959447630
2008-03-11,15662220372
2008-03-12,16276666920
2008-03-13,16388140110
2008-03-14,15878209560
2008-03-17,15329540100
2008-03-18,16129617180
2008-03-19,15572251230
2008-03-20,15310565940
2008-03-24,16562860500
2008-03-25,17371634070
2008-03-26,17408001210
2008-03-27,17985131910
2008-03-28,18079212120
2008-03-31,18462769780
2008-04-01,18973183810
2008-04-02,19933305350
2008-04-03,20097053200
2008-04-04,22205806000
2008-04-07,21746513250
2008-04-08,21725745230
2008-04-09,21556405990
2008-04-10,21662642400
2008-04-11,21430999100
2008-04-14,21894285700
2008-04-15,22950259640
2008-04-16,23636403070
2008-04-17,22953454720
2008-04-18,22828055817
2008-04-21,23312102450
2008-04-22,23805742309
2008-04-23,22847218309
2008-04-24,22653915970
2008-04-25,23023746480
2008-04-28,22806481040
2008-04-29,22758554840
2008-04-30,23323285230
2008-05-01,21035615937
2008-05-02,22065222480
2008-05-05,21472535140
2008-05-06,22251335890
2008-05-07,22113947450
2008-05-08,22030076600
2008-05-09,22725006500
2008-05-12,22752164679
2008-05-13,24281010460
2008-05-14,24597323380
2008-05-15,24504666059
2008-05-16,24852929780
2008-05-19,23635604300
2008-05-20,23888015620
2008-05-21,22321627650
2008-05-22,21681014110
2008-05-23,22244146960
2008-05-27,21180185320
2008-05-28,21820798860
2008-05-29,20136991700
2008-05-30,21370292580
2008-06-02,20445316920
2008-06-03,20553949640
2008-06-04,19400525760
2008-06-05,20448512000
2008-06-06,20104242130
2008-06-09,19550694520
2008-06-10,19581846550
2008-06-11,20224057630
2008-06-12,20911798600
2008-06-13,21917450030
2008-06-16,22157879800
2008-06-17,22542886940
2008-06-18,22026082750
2008-06-19,21911858640
2008-06-20,21424608940
2008-06-23,23004576000
2008-06-24,23022148940
2008-06-25,23174714010
2008-06-26,21827987790
2008-06-27,21267251250
2008-06-30,21942912600
2008-07-01,21770792400
2008-07-02,19933771200
2008-07-03,20401069500
2008-07-07,20654424000
2008-07-08,21072660000
2008-07-09,21346122000
2008-07-10,22520400000
2008-07-11,22448013000
2008-07-14,22999762800
2008-07-15,22279110000
2008-07-16,23212098000
2008-07-17,22393320600
2008-07-18,22461686100
2008-07-21,22615307400
2008-07-22,21430573500
2008-07-23,20889279600
2008-07-24,21240758699
2008-07-25,21109657800
2008-07-28,21466767000
2008-07-29,22324955100
2008-07-30,22922550000
2008-07-31,22924962899
2008-08-01,22579918200
2008-08-04,21494113200
2008-08-05,21256844700
2008-08-06,21635670000
2008-08-07,21391967100
2008-08-08,20740484100
2008-08-11,19946640000
2008-08-12,20142084900
2008-08-13,20914212899
2008-08-14,20911800000
2008-08-15,21307515600
2008-08-18,20664075600
2008-08-19,20810458200
2008-08-20,21956585700
2008-08-21,22461686100
2008-08-22,22747212600
2008-08-25,21799747200
2008-08-26,21938086800
