,NVDA
2000-01-03,1757817636
2000-01-04,1710879535
2000-01-05,1654554535
2000-01-06,1546597984
2000-01-07,1572413760
2000-01-10,1624045310
2000-01-11,1558333411
2000-01-12,1518435484
2000-01-13,1581802461
2000-01-14,1649861085
2000-01-18,1720268236
2000-01-19,1703839360
2000-01-20,1699145911
2000-01-21,1680370310
2000-01-24,1605269709
2000-01-25,1591189360
2000-01-26,1525475659
2000-01-27,1445681608
2000-01-28,1403438760
2000-01-31,1174145448
2000-02-01,1201866716
2000-02-02,1235526082
2000-02-03,1255326336
2000-02-04,1285025955
2000-02-07,1205826462
2000-02-08,1263245829
2000-02-09,1294926842
2000-02-10,1560176640
2000-02-11,1584050688
2000-02-14,1837389312
2000-02-15,1766223360
2000-02-16,1847425536
2000-02-17,1912660992
2000-02-18,2134522368
2000-02-22,2075065344
2000-02-23,2086926336
2000-02-24,2067158016
2000-02-25,1938359808
2000-02-28,1924521984
2000-02-29,2027469312
2000-03-01,1968164351
2000-03-02,1835412480
2000-03-03,1865217024
2000-03-06,1853356032
2000-03-07,2639374848
2000-03-08,2661120000
2000-03-09,3177377280
2000-03-10,3738189312
2000-03-13,4728278016
2000-03-14,3488804352
2000-03-15,3346168320
2000-03-16,2983343616
2000-03-17,3163995648
2000-03-20,3162018816
2000-03-21,3005697024
2000-03-22,3027442176
2000-03-23,3080968704
2000-03-24,2952170496
2000-03-27,2758136832
2000-03-28,2552242176
2000-03-29,2383907328
2000-03-30,2370069504
2000-03-31,2676478464
2000-04-03,2467086336
2000-04-04,2376000000
2000-04-05,2904726528
2000-04-06,3039303168
2000-04-07,3249151488
2000-04-10,2962054656
2000-04-11,2785812480
2000-04-12,2496738816
2000-04-13,2389837824
2000-04-14,2179533312
2000-04-17,2290844160
2000-04-18,2696702976
2000-04-19,2568056832
2000-04-20,2554219008
2000-04-24,2427549696
2000-04-25,2692749312
2000-04-26,2665073664
2000-04-27,2882829312
2000-04-28,2823524352
2000-05-01,5944867387
2000-05-02,5714727480
2000-05-03,5621679000
2000-05-04,5690224713
2000-05-05,5952931588
2000-05-08,5734887984
2000-05-09,5653935806
2000-05-10,5096575411
2000-05-11,5314929177
2000-05-12,5153334984
2000-05-15,5508780177
2000-05-16,6073894612
2000-05-17,7140230193
2000-05-18,6655447612
2000-05-19,6598998201
2000-05-22,7027021209
2000-05-23,6970571798
2000-05-24,6881865580
2000-05-25,6784785000
2000-05-26,6819212937
2000-05-30,7099909185
2000-05-31,7374402201
2000-06-01,7580349504
2000-06-02,8501219294
2000-06-05,8683904476
2000-06-06,8250918883
2000-06-07,7883377387
2000-06-08,7943858899
2000-06-09,8169966705
2000-06-12,7951923100
2000-06-13,8202223512
2000-06-14,8194159310
