,LOW
2000-01-03,21453660000
2000-01-04,20299410000
2000-01-05,20268630000
2000-01-06,20222460000
2000-01-07,20684160000
2000-01-10,21299760000
2000-01-11,20637990000
2000-01-12,20360970000
2000-01-13,20145510000
2000-01-14,20822670000
2000-01-18,20484090000
2000-01-19,20345580000
2000-01-20,19529910000
2000-01-21,18221760000
2000-01-24,17990910000
2000-01-25,17698500000
2000-01-26,17944740000
2000-01-27,17621550000
2000-01-28,17044378240
2000-01-31,17074978560
2000-02-01,18008288320
2000-02-02,18069488960
2000-02-03,18023588480
2000-02-04,18497893440
2000-02-07,17947087680
2000-02-08,18528493760
2000-02-09,17732885440
2000-02-10,17625784320
2000-02-11,17595184000
2000-02-14,17901187200
2000-02-15,17595184000
2000-02-16,16830176000
2000-02-17,16264070080
2000-02-18,16646574080
2000-02-22,16478272320
2000-02-23,16279370240
2000-02-24,15590863040
2000-02-25,15973367040
2000-02-28,17472782720
2000-02-29,18283691200
2000-03-01,18283691200
2000-03-02,17595184000
2000-03-03,17977688000
2000-03-06,17212680000
2000-03-07,15927466560
2000-03-08,16784275520
2000-03-09,17763485760
2000-03-10,17212680000
2000-03-13,16646574080
2000-03-14,16202869440
2000-03-15,17335081280
2000-03-16,19155800320
2000-03-17,19676005760
2000-03-20,19262901440
2000-03-21,19461803520
2000-03-22,19293501760
2000-03-23,20104410240
2000-03-24,20563415040
2000-03-27,20441013760
2000-03-28,20471614080
2000-03-29,21068320320
2000-03-30,22185232000
2000-03-31,22322933440
2000-04-03,23149142080
2000-04-04,22827838720
2000-04-05,22812538560
2000-04-06,22980840320
2000-04-07,23195042560
2000-04-10,23501045760
2000-04-11,23286843520
2000-04-12,24296654080
2000-04-13,22766638080
2000-04-14,21695626880
2000-04-17,20823517760
2000-04-18,21053020160
2000-04-19,20961219200
2000-04-20,21160121280
2000-04-24,21619126080
2000-04-25,20869418240
2000-04-26,20823517760
2000-04-27,20441013760
2000-04-28,18952740080
2000-05-01,19901908000
2000-05-02,19473251520
2000-05-03,18370992000
2000-05-04,18126045440
2000-05-05,18294446200
2000-05-08,18784339320
2000-05-09,18845575960
2000-05-10,18570011080
2000-05-11,18631247720
2000-05-12,18355682840
2000-05-15,19396705720
2000-05-16,19044595040
2000-05-17,18462846960
2000-05-18,18753721000
2000-05-19,18416919480
2000-05-22,18707793520
2000-05-23,18493465280
2000-05-24,17528988200
2000-05-25,17896408040
2000-05-26,17513679040
2000-05-30,17988263000
2000-05-31,17819862240
2000-06-01,18340373680
2000-06-02,19427324040
2000-06-05,19044595040
2000-06-06,18034190480
2000-06-07,17299350800
2000-06-08,16748221040
2000-06-09,16595129440
2000-06-12,16043999680
2000-06-13,17008476760
2000-06-14,17085022560
2000-06-15,16840076000
2000-06-16,16457347000
2000-06-19,16043999680
2000-06-20,15645961520
2000-06-21,15890908080
2000-06-22,16120545479
2000-06-23,16120545479
2000-06-26,16043999680
2000-06-27,16334873720
2000-06-28,16273637080
2000-06-29,15783743960
2000-06-30,15722507320
2000-07-03,15860289760
2000-07-05,16043999680
2000-07-06,16043999680
2000-07-07,17528988200
2000-07-10,17896408040
2000-07-11,18325064520
2000-07-12,18416919480
2000-07-13,18187282080
2000-07-14,18325064520
2000-07-17,18370992000
2000-07-18,18416919480
2000-07-19,17911717200
2000-07-20,17697388960
2000-07-21,17268732480
2000-07-24,16625747760
2000-07-25,16931930960
2000-07-26,16870694320
2000-07-27,16809457680
2000-07-28,16164867840
2000-07-31,16149560200
2000-08-01,16333251880
2000-08-02,16455713000
2000-08-03,16164867840
2000-08-04,16241406040
2000-08-07,17221095000
2000-08-08,17511940160
2000-08-09,17175172080
2000-08-10,16654712320
2000-08-11,16746558160
2000-08-14,17909938800
2000-08-15,17741554760
2000-08-16,17221095000
2000-08-17,17802785320
2000-08-18,17909938800
2000-08-21,17634401280
2000-08-22,17802785320
2000-08-23,18568167320
2000-08-24,18797781920
2000-08-25,18889627760
2000-08-28,18583474960
2000-08-29,18445706200
2000-08-30,17955861720
2000-08-31,17144556799
2000-09-01,17909938800
2000-09-05,18078322840
2000-09-06,18231399240
2000-09-07,18017092280
2000-09-08,19609086840
2000-09-11,19808086160
2000-09-12,20588775800
2000-09-13,19333549320
2000-09-14,18583474960
2000-09-15,18445706200
2000-09-18,18675320800
2000-09-19,18154861040
2000-09-20,18200783960
2000-09-21,19042704160
2000-09-22,19425395160
2000-09-25,18751859000
2000-09-26,18032399920
2000-09-27,18017092280
2000-09-28,17680324200
2000-09-29,17175172080
2000-10-02,17083326240
2000-10-03,16317944240
2000-10-04,16455713000
2000-10-05,16118944919
2000-10-06,15613792799
2000-10-09,16073022000
2000-10-10,16118944919
2000-10-11,15720946280
2000-10-12,14465719799
2000-10-13,14848410799
