,SPGI
2001-01-23,11978784320
2001-01-24,11928355500
2001-01-25,12172741320
2001-01-26,11978784320
2001-01-29,11920597220
2001-01-30,11858530980
2001-01-31,12382214880
2001-02-01,12250324120
2001-02-02,12428764560
2001-02-05,12486951660
2001-02-06,12347302620
2001-02-07,11959388620
2001-02-08,11963267760
2001-02-09,12091279380
2001-02-12,12192137020
2001-02-13,12133949920
2001-02-14,11280539120
2001-02-15,11493891820
2001-02-16,11590870320
2001-02-20,11474496120
2001-02-21,11854651840
2001-02-22,11567595480
2001-02-23,11396913320
2001-02-26,11265022560
2001-02-27,11606386880
2001-02-28,11435704720
2001-03-01,11513287520
2001-03-02,11769310760
2001-03-05,11493891820
2001-03-06,11606386880
2001-03-07,11268901700
2001-03-08,11490012680
2001-03-09,11524924940
2001-03-12,10880987700
2001-03-13,11074944700
2001-03-14,11071065560
2001-03-15,11381396760
2001-03-16,11121494380
2001-03-19,11024515880
2001-03-20,10977966200
2001-03-21,10787888340
2001-03-22,10830558880
2001-03-23,10935295660
2001-03-26,11233989440
2001-03-27,11210714600
2001-03-28,11047790720
2001-03-29,11373638480
2001-03-30,11571474620
2001-04-02,11475797580
2001-04-03,11277335160
2001-04-04,11448557640
2001-04-05,11970007920
2001-04-06,11487471840
2001-04-09,11588648760
2001-04-10,11864939580
2001-04-11,11732631300
2001-04-12,12207384540
2001-04-16,12125664720
2001-04-17,12324127140
2001-04-18,12627657900
2001-04-19,12444761160
2001-04-20,12549829500
2001-04-23,12491458200
2001-04-24,12596526539
2001-04-25,12861143099
2001-04-26,12697703460
2001-04-27,12794988960
2001-04-30,12604309380
2001-05-01,12771640440
2001-05-02,12728834820
2001-05-03,12740509080
2001-05-04,12837794580
2001-05-07,12744400500
2001-05-08,12810554640
2001-05-09,12970102860
2001-05-10,13055714099
2001-05-11,13086845460
2001-05-14,13188022380
2001-05-15,13308656400
2001-05-16,13619970000
2001-05-17,13705581240
2001-05-18,13378701960
2001-05-21,13172456700
2001-05-22,13230828000
2001-05-23,13009017060
2001-05-24,12896165880
2001-05-25,12938971500
2001-05-29,12981777120
2001-05-30,12853360260
2001-05-31,12479783940
2001-06-01,12775531860
2001-06-04,12861143099
2001-06-05,13145216760
2001-06-06,13199696640
2001-06-07,13281416460
2001-06-08,13269742200
2001-06-11,13320330659
2001-06-12,13005125640
2001-06-13,12958428599
2001-06-14,12942862920
2001-06-15,12705486300
2001-06-18,12841686000
2001-06-19,12919514400
2001-06-20,12927297240
2001-06-21,12810554640
2001-06-22,12806663219
2001-06-25,12631549320
2001-06-26,12756074760
2001-06-27,12608200800
2001-06-28,12907840140
2001-06-29,12872817360
2001-07-02,12862795280
2001-07-03,13068320800
2001-07-05,13099343520
2001-07-06,12808505520
2001-07-09,12944229920
2001-07-10,12649514079
2001-07-11,12583590800
2001-07-12,12773604960
2001-07-13,12789116319
2001-07-16,12870550960
2001-07-17,12680536800
2001-07-18,12517667520
2001-07-19,12599102160
2001-07-20,12471133439
2001-07-23,12308264160
2001-07-24,12211318160
2001-07-25,12106616480
2001-07-26,12129883520
2001-07-27,12300508480
2001-07-30,12063960240
2001-07-31,11897213120
2001-08-01,11730466000
2001-08-02,11660664880
2001-08-03,11513306960
2001-08-06,11536574000
2001-08-07,11660664880
2001-08-08,11901090960
2001-08-09,11932113680
2001-08-10,12060082400
2001-08-13,11974769920
2001-08-14,12001914800
2001-08-15,11726588160
2001-08-16,11714954640
2001-08-17,11827412000
2001-08-20,11943747200
2001-08-21,11858434720
2001-08-22,11753733040
2001-08-23,11889457440
2001-08-24,11994159120
2001-08-27,11974769920
2001-08-28,11796389280
2001-08-29,11660664880
2001-08-30,11362071200
2001-08-31,11490039920
2001-09-04,11497795600
2001-09-05,11218591120
2001-09-06,10954898000
2001-09-07,10691204880
2001-09-10,10640792960
2001-09-17,10427511760
2001-09-18,10633037280
2001-09-19,10900608240
2001-09-20,10322810080
2001-09-21,10559358320
2001-09-24,11071233200
2001-09-25,10846318480
2001-09-26,10826929280
2001-09-27,11047966160
2001-09-28,11284514400
2001-10-01,10842518218
2001-10-02,9622973111
2001-10-03,9394308403
2001-10-04,9478152130
2001-10-05,9908803996
2001-10-08,9649650660
2001-10-09,9527696150
2001-10-10,9497207522
2001-10-11,9588673405
2001-10-12,9577240169
2001-10-15,9489585365
2001-10-16,9935481545
2001-10-17,9908803996
2001-10-18,9985025565
2001-10-19,10213690272
2001-10-22,10232745665
2001-10-23,10446166058
2001-10-24,10575742726
2001-10-25,10651964295
2001-10-26,10590987040
2001-10-29,10289911842
2001-10-30,10065058212
2001-10-31,10019325271
2001-11-01,10213690272
2001-11-02,10282289685
2001-11-05,10480465765
2001-11-06,10530009784
2001-11-07,10575742726
2001-11-08,10747241257
2001-11-09,10846329297
2001-11-12,11006394592
2001-11-13,11052127534
2001-11-14,11185515280
2001-11-15,11109293710
2001-11-16,10861573611
2001-11-19,11185515280
2001-11-20,11200759593
2001-11-21,10846329297
2001-11-23,10834896061
2001-11-26,10903495474
2001-11-27,10693886158
2001-11-28,10800596355
2001-11-29,10659586452
2001-11-30,10766296649
2001-12-03,10743430178
2001-12-04,10884440081
2001-12-05,11196948515
2001-12-06,11337958418
2001-12-07,11082616161
2001-12-10,11158837730
2001-12-11,11139782338
2001-12-12,11063560769
2001-12-13,10754863414
2001-12-14,10747241257
2001-12-17,10987339200
2001-12-18,11292225476
2001-12-19,11242681457
2001-12-20,11193137437
2001-12-21,11177893123
2001-12-24,11212192829
2001-12-26,11337958418
2001-12-27,11452290772
2001-12-28,11669522244
2001-12-31,11762371220
2002-01-02,11476895500
2002-01-03,11584913340
2002-01-04,11689073400
2002-01-07,11685215620
2002-01-08,11669784500
2002-01-09,11631206700
2002-01-10,11777802340
2002-01-11,11854957940
2002-01-14,11854957940
2002-01-15,12070993620
2002-01-16,11986122460
2002-01-17,12121144760
2002-01-18,12113429200
2002-01-22,12298602640
2002-01-23,12047846940
2002-01-24,12298602640
2002-01-25,12402762700
2002-01-28,12437482720
2002-01-29,12441340500
2002-01-30,12437482720
2002-01-31,12360327120
2002-02-01,12506922760
2002-02-04,12283171520
2002-02-05,12433624939
2002-02-06,12452913840
2002-02-07,12545500560
2002-02-08,12603367260
2002-02-11,12603367260
2002-02-12,12167438120
2002-02-13,12337180440
2002-02-14,12460629399
2002-02-15,12283171520
2002-02-19,12190584800
2002-02-20,12595651700
2002-02-21,12568647240
2002-02-22,12711385100
2002-02-25,12954425240
2002-02-26,12884985200
2002-02-27,12819402939
2002-02-28,12692096200
2002-03-01,12788540700
2002-03-04,12938994120
2002-03-05,12904274100
2002-03-06,12846407399
2002-03-07,12707527320
2002-03-08,12726816220
2002-03-11,12830976280
2002-03-12,12927420780
2002-03-13,12923563000
2002-03-14,13023865280
2002-03-15,13112594220
2002-03-18,13209038720
2002-03-19,13290052100
2002-03-20,12958283020
2002-03-21,12830976280
2002-03-22,12769251800
2002-03-25,12815545160
2002-03-26,12842549620
2002-03-27,12954425240
2002-03-28,13166603140
2002-04-01,13215597460
2002-04-02,13006869100
2002-04-03,12689911220
2002-04-04,12972081040
2002-04-05,12948889000
2002-04-08,12902504920
2002-04-09,13006869100
2002-04-10,13111233280
2002-04-11,12948889000
2002-04-12,12859986180
2002-04-15,12832928800
2002-04-16,12778814040
2002-04-17,12658988500
2002-04-18,12446394800
2002-04-19,12442529460
2002-04-22,12388414699
2002-04-23,12488913540
2002-04-24,12566220340
2002-04-25,12566220340
2002-04-26,12214474400
2002-04-29,12353626640
2002-04-30,12369088000
2002-05-01,12345895960
2002-05-02,12318838580
2002-05-03,12291781200
2002-05-06,12083052840
2002-05-07,12137167600
2002-05-08,12419337420
2002-05-09,12419337420
2002-05-10,12326569260
2002-05-13,12454125480
2002-05-14,12794275400
2002-05-15,12813602100
2002-05-16,13014599780
2002-05-17,12937292980
2002-05-20,12821332780
2002-05-21,12655123160
2002-05-22,12562355000
2002-05-23,12400010720
2002-05-24,12349761300
2002-05-28,12195147700
2002-05-29,12206743720
2002-05-30,12102379540
2002-05-31,12202878380
2002-06-03,12106244880
2002-06-04,11982554000
2002-06-05,11963227300
2002-06-06,11800883020
2002-06-07,11781556320
2002-06-10,11719710880
2002-06-11,11611481360
2002-06-12,11456867760
2002-06-13,11035545700
2002-06-14,11108987160
2002-06-17,11398887660
2002-06-18,11545770580
2002-06-19,11576693300
2002-06-20,11538039900
2002-06-21,11209486000
2002-06-24,11352503580
2002-06-25,11329311540
2002-06-26,11402753000
2002-06-27,11661730780
2002-06-28,11538039900
2002-07-01,11338582200
2002-07-02,11168715800
2002-07-03,11245927800
2002-07-05,11562497000
2002-07-08,11419654800
2002-07-09,11149412800
2002-07-10,10840564800
2002-07-11,10809680000
2002-07-12,10994988800
2002-07-15,10871449600
2002-07-16,10562601600
2002-07-17,10489250200
2002-07-18,10319383800
2002-07-19,9902439000
2002-07-22,9875414800
2002-07-23,9987372200
2002-07-24,10280777800
2002-07-25,11091503800
2002-07-26,11052897800
2002-07-29,11732363400
2002-07-30,11933114600
2002-07-31,12075956800
2002-08-01,11948557000
2002-08-02,11411933600
2002-08-05,11284533800
2002-08-06,11805714800
2002-08-07,12033490200
2002-08-08,12110702200
2002-08-09,12126144600
2002-08-12,11913811600
2002-08-13,11767108800
2002-08-14,12334617000
2002-08-15,12434992600
2002-08-16,12353920000
2002-08-19,12728398200
2002-08-20,12558531800
2002-08-21,12516065200
2002-08-22,12342338200
2002-08-23,12245823200
2002-08-26,12353920000
2002-08-27,12153168800
2002-08-28,12106841600
2002-08-29,12268986800
2002-08-30,12241962600
2002-09-03,11836599600
2002-09-04,11917672200
2002-09-05,11913811600
2002-09-06,12176332400
2002-09-09,12164750600
2002-09-10,12346198800
2002-09-11,12234241400
2002-09-12,12006466000
2002-09-13,12157029400
2002-09-16,12214938400
2002-09-17,12245823200
2002-09-18,12342338200
2002-09-19,11886787400
2002-09-20,12284429200
2002-09-23,12118423400
2002-09-24,11682175600
2002-09-25,11929254000
2002-09-26,12222659600
2002-09-27,12045072000
2002-09-30,11688918260
2002-10-01,12028779000
2002-10-02,11933312500
2002-10-03,11746198160
2002-10-04,11070295340
2002-10-07,10913730280
2002-10-08,10806807800
2002-10-09,10780077180
2002-10-10,10990103480
2002-10-11,11486529280
2002-10-14,11578177120
2002-10-15,12055509620
2002-10-16,11601089080
2002-10-17,11856939300
2002-10-18,11818752700
2002-10-21,12055509620
2002-10-22,11898944560
2002-10-23,12009685700
2002-10-24,12120426840
2002-10-25,12422100980
2002-10-28,12494655520
2002-10-29,12490836860
2002-10-30,12555754080
2002-10-31,12315178500
2002-11-01,12334271799
2002-11-04,12406826340
2002-11-05,12536660780
2002-11-06,12571028720
2002-11-07,12529023460
2002-11-08,12395370360
2002-11-11,12078421580
2002-11-12,12154794780
2002-11-13,12097514880
2002-11-14,12108970860
