,SJM
2000-01-03,257740020
2000-01-04,254371750
2000-01-05,252620250
2000-01-06,257740020
2000-01-07,259356790
2000-01-10,255988520
2000-01-11,255988520
2000-01-12,257740020
2000-01-13,257740020
2000-01-14,259356790
2000-01-18,259356790
2000-01-19,262725060
2000-01-20,259356790
2000-01-21,257740020
2000-01-24,251003480
2000-01-25,247635210
2000-01-26,251003480
2000-01-27,247635210
2000-01-28,244266940
2000-01-31,235778900
2000-02-01,235778900
2000-02-02,235778900
2000-02-03,235778900
2000-02-04,239147170
2000-02-07,244266940
2000-02-08,244266940
2000-02-09,247635210
2000-02-10,240898670
2000-02-11,234162130
2000-02-14,232410630
2000-02-15,240898670
2000-02-16,242515440
2000-02-17,245883710
2000-02-18,232410630
2000-02-22,227425590
2000-02-23,230793860
2000-02-24,230793860
2000-02-25,229042360
2000-02-28,230793860
2000-02-29,230793860
2000-03-01,229042360
2000-03-02,229042360
2000-03-03,229042360
2000-03-06,224057320
2000-03-07,220689050
2000-03-08,224057320
2000-03-09,225674090
2000-03-10,224057320
2000-03-13,224057320
2000-03-14,224057320
2000-03-15,224057320
2000-03-16,227425590
2000-03-17,220689050
2000-03-20,222305820
2000-03-21,222305820
2000-03-22,215569280
2000-03-23,210584240
2000-03-24,203847700
2000-03-27,205464470
2000-03-28,202096200
2000-03-29,207215970
2000-03-30,229042360
2000-03-31,242515440
2000-04-03,240898670
2000-04-04,239147170
2000-04-05,230793860
2000-04-06,229042360
2000-04-07,229042360
2000-04-10,222305820
2000-04-11,222305820
2000-04-12,222305820
2000-04-13,220689050
2000-04-14,215569280
2000-04-17,217320780
2000-04-18,208832740
2000-04-19,215569280
2000-04-20,215569280
2000-04-24,215569280
2000-04-25,227425590
2000-04-26,218937550
2000-04-27,213952510
2000-04-28,215569280
2000-05-01,450997584
2000-05-02,450997584
2000-05-03,450997584
2000-05-04,503989800
2000-05-05,468755613
2000-05-08,465091258
2000-05-09,468755613
2000-05-10,465091258
2000-05-11,465091258
2000-05-12,468755613
2000-05-15,468755613
2000-05-16,493278607
2000-05-17,482849288
2000-05-18,479184933
2000-05-19,489896125
2000-05-22,482849288
2000-05-23,482849288
2000-05-24,514419119
2000-05-25,507372282
2000-05-26,507372282
2000-05-30,503989800
2000-05-31,496942962
2000-06-01,503989800
2000-06-02,511036637
2000-06-05,500325444
2000-06-06,493278607
2000-06-07,503989800
2000-06-08,500325444
2000-06-09,496942962
2000-06-12,493278607
2000-06-13,496942962
2000-06-14,489896125
2000-06-15,496942962
2000-06-16,493278607
2000-06-19,500325444
2000-06-20,489896125
2000-06-21,493278607
2000-06-22,489896125
2000-06-23,489896125
2000-06-26,500325444
2000-06-27,507372282
2000-06-28,518083474
2000-06-29,525130311
2000-06-30,542606468
2000-07-03,546270823
2000-07-05,542606468
2000-07-06,518083474
2000-07-07,528512793
2000-07-10,528512793
2000-07-11,518083474
2000-07-12,518083474
2000-07-13,511036637
2000-07-14,511036637
2000-07-17,511036637
2000-07-18,511036637
2000-07-19,507372282
2000-07-20,514419119
2000-07-21,507372282
2000-07-24,503989800
2000-07-25,503989800
2000-07-26,507372282
2000-07-27,507372282
2000-07-28,507372282
2000-07-31,453849552
2000-08-01,453849552
2000-08-02,460153018
2000-08-03,463430820
2000-08-04,466456484
2000-08-07,460153018
2000-08-08,463430820
2000-08-09,466456484
2000-08-10,460153018
2000-08-11,469734286
2000-08-14,469734286
2000-08-15,457127354
2000-08-16,457127354
2000-08-17,466456484
2000-08-18,466456484
2000-08-21,466456484
2000-08-22,466456484
2000-08-23,463430820
2000-08-24,479063416
2000-08-25,485366882
2000-08-28,466456484
2000-08-29,466456484
2000-08-30,469734286
2000-08-31,483854050
2000-09-01,501251616
2000-09-05,513858548
2000-09-06,542098076
2000-09-07,562521305
2000-09-08,542098076
2000-09-11,543610907
2000-09-12,575128237
2000-09-13,561008474
2000-09-14,554705008
2000-09-15,554705008
2000-09-18,562521305
2000-09-19,565799108
2000-09-20,570589742
2000-09-21,567311940
2000-09-22,587735169
2000-09-25,591012972
2000-09-26,578406040
2000-09-27,595803606
2000-09-28,612949033
2000-09-29,612949033
2000-10-02,616226836
2000-10-03,605132736
2000-10-04,612949033
2000-10-05,619252499
2000-10-06,622530302
2000-10-09,614714004
2000-10-10,621017470
2000-10-11,609923370
2000-10-12,609923370
2000-10-13,612949033
2000-10-16,608410538
2000-10-17,592525804
2000-10-18,584709506
2000-10-19,597316438
2000-10-20,608410538
2000-10-23,605132736
2000-10-24,592525804
2000-10-25,564286276
2000-10-26,548401542
2000-10-27,584709506
2000-10-30,583196674
2000-10-31,535984121
2000-11-01,539115714
2000-11-02,534538771
2000-11-03,534538771
2000-11-06,543451765
2000-11-07,558627945
2000-11-08,570672532
2000-11-09,578140176
2000-11-10,593316355
2000-11-13,602229350
2000-11-14,602229350
2000-11-15,615719287
2000-11-16,621741580
2000-11-17,639808461
2000-11-20,639808461
2000-11-21,639808461
2000-11-22,627763874
2000-11-24,627763874
2000-11-27,609696993
2000-11-28,590184763
2000-11-29,590184763
2000-11-30,579585526
2000-12-01,593316355
2000-12-04,594279922
2000-12-05,599579540
2000-12-06,593316355
2000-12-07,605360942
2000-12-08,626077632
2000-12-11,652816615
2000-12-12,637399544
2000-12-13,619091771
2000-12-14,616201070
2000-12-15,613792153
2000-12-18,615960179
2000-12-19,649685022
2000-12-20,645589863
2000-12-21,677628464
2000-12-22,690154835
2000-12-26,680519165
2000-12-27,687264134
2000-12-28,698586046
2000-12-29,673292413
2001-01-02,635954193
2001-01-03,652816615
2001-01-04,656429991
2001-01-05,628727441
2001-01-08,616682854
2001-01-09,626318524
2001-01-10,639808461
2001-01-11,641494703
2001-01-12,634749734
2001-01-16,686541459
2001-01-17,650407698
2001-01-18,609456102
2001-01-19,603674700
2001-01-22,590184763
2001-01-23,581753552
2001-01-24,574526799
2001-01-25,557182594
2001-01-26,556700811
2001-01-29,572840557
2001-01-30,593075463
2001-01-31,558196785
2001-02-01,564990255
2001-02-02,542345355
2001-02-05,594428625
2001-02-06,626810832
2001-02-07,633604302
2001-02-08,631792710
2001-02-09,636548139
2001-02-12,628395975
2001-02-13,617299974
2001-02-14,610959402
2001-02-15,614356137
2001-02-16,639944874
2001-02-20,606430422
2001-02-21,610732953
2001-02-22,597598911
2001-02-23,592390584
2001-02-26,588993849
2001-02-27,572689521
2001-02-28,586502910
2001-03-01,587635155
2001-03-02,585370665
2001-03-05,587635155
2001-03-06,581747481
2001-03-07,582879726
2001-03-08,572010174
2001-03-09,574048215
2001-03-12,572236623
2001-03-13,572915970
2001-03-14,562725765
2001-03-15,574501113
2001-03-16,579709440
2001-03-19,583559073
2001-03-20,585823563
2001-03-21,574274664
2001-03-22,591484788
2001-03-23,590578992
2001-03-26,587861604
2001-03-27,595560870
2001-03-28,589220298
2001-03-29,588540951
2001-03-30,593296380
2001-04-02,572463072
2001-04-03,583559073
2001-04-04,580841685
2001-04-05,596693115
2001-04-06,595560870
2001-04-09,577444950
2001-04-10,585370665
2001-04-11,581973930
2001-04-12,588540951
2001-04-16,586729359
2001-04-17,586502910
2001-04-18,588767400
2001-04-19,591031890
2001-04-20,583559073
2001-04-23,567254745
2001-04-24,570877929
2001-04-25,590805441
2001-04-26,592164135
2001-04-27,596693115
2001-04-30,592390584
2001-05-01,588314502
2001-05-02,594428625
2001-05-03,596693115
2001-05-04,619338015
2001-05-07,612997443
2001-05-08,602354340
2001-05-09,603486585
2001-05-10,592617033
2001-05-11,591031890
2001-05-14,594881523
2001-05-15,599863401
2001-05-16,605977524
2001-05-17,591031890
2001-05-18,586276461
2001-05-21,586729359
2001-05-22,581973930
2001-05-23,581068134
2001-05-24,584691318
2001-05-25,581294583
2001-05-29,580615236
2001-05-30,571557276
2001-05-31,566575398
2001-06-01,576312705
2001-06-04,588767400
2001-06-05,589220298
2001-06-06,587635155
2001-06-07,584238420
2001-06-08,574501113
2001-06-11,562952214
2001-06-12,552309111
2001-06-13,559781928
2001-06-14,550497519
2001-06-15,554347152
2001-06-18,552762009
2001-06-19,564990255
2001-06-20,588767400
2001-06-21,588540951
2001-06-22,583106175
2001-06-25,561140622
2001-06-26,574274664
2001-06-27,588540951
2001-06-28,588540951
2001-06-29,588767400
2001-07-02,588540951
2001-07-03,581973930
2001-07-05,589673196
2001-07-06,575406909
2001-07-09,578124297
2001-07-10,572463072
2001-07-11,576086256
2001-07-12,594428625
2001-07-13,594428625
2001-07-16,591258339
2001-07-17,607562667
2001-07-18,601222095
2001-07-19,605298177
2001-07-20,612544545
2001-07-23,611412300
2001-07-24,602580789
2001-07-25,595787319
2001-07-26,622508301
2001-07-27,614809035
2001-07-30,615714831
2001-07-31,630514631
2001-08-01,630746865
2001-08-02,630282397
2001-08-03,629817930
2001-08-06,618902943
2001-08-07,627960060
2001-08-08,627031125
2001-08-09,628888995
2001-08-10,627727826
2001-08-13,624476553
2001-08-14,625869956
2001-08-15,627031125
2001-08-16,629353462
2001-08-17,621225281
2001-08-20,631675800
2001-08-21,623779852
2001-08-22,627031125
2001-08-23,622386450
2001-08-24,630282397
2001-08-27,639107280
2001-08-28,636552708
2001-08-29,631211332
2001-08-30,636320475
2001-08-31,649790032
2001-09-04,657685980
2001-09-05,661866187
2001-09-06,666743096
2001-09-07,649093331
2001-09-10,632604735
2001-09-17,598001906
2001-09-18,581513310
2001-09-19,600324243
2001-09-20,568972687
2001-09-21,567811518
2001-09-24,574778531
2001-09-25,567579285
2001-09-26,575939700
2001-09-27,578262037
2001-09-28,595679568
2001-10-01,580584375
2001-10-02,600324243
2001-10-03,608452425
2001-10-04,613097100
2001-10-05,627960060
2001-10-08,616348372
2001-10-09,601253178
2001-10-10,723408131
2001-10-11,824429812
2001-10-12,791220386
2001-10-15,791452620
2001-10-16,789362516
2001-10-17,789594750
2001-10-18,771480517
2001-10-19,788433581
2001-10-22,784950074
2001-10-23,776357426
2001-10-24,780305400
2001-10-25,780537633
2001-10-26,773570621
2001-10-29,752205116
2001-10-30,772177218
2001-10-31,785020789
2001-11-01,797693771
2001-11-02,785255474
2001-11-05,785959529
2001-11-06,783612680
2001-11-07,788541062
2001-11-08,775398711
2001-11-09,757093293
2001-11-12,766950057
2001-11-13,767654111
2001-11-14,776102765
2001-11-15,750522118
2001-11-16,741604094
2001-11-19,748175269
2001-11-20,746297791
2001-11-21,740430670
2001-11-23,748879324
2001-11-26,765541948
2001-11-27,774459972
2001-11-28,789245116
2001-11-29,821631624
2001-11-30,826325321
2001-12-03,828906854
2001-12-04,842518575
2001-12-05,873496974
2001-12-06,885465901
2001-12-07,878894725
2001-12-10,873027604
2001-12-11,860119938
2001-12-12,862936156
2001-12-13,855426241
2001-12-14,854252817
2001-12-17,858946514
2001-12-18,859885253
2001-12-19,856599666
2001-12-20,854487502
2001-12-21,857773090
2001-12-24,847916326
2001-12-26,847681642
2001-12-27,854252817
2001-12-28,834304606
2001-12-31,830314963
