,APA
2000-01-03,3865857602
2000-01-04,3695728459
2000-01-05,3803040687
2000-01-06,4164237945
2000-01-07,4148533716
2000-01-10,3986256687
2000-01-11,4001960916
2000-01-12,3981021945
2000-01-13,4064777830
2000-01-14,4028134630
2000-01-18,4405036116
2000-01-19,4376245030
2000-01-20,4405036116
2000-01-21,4559461031
2000-01-24,4439061945
2000-01-25,4488792002
2000-01-26,4439061945
2000-01-27,4234906973
2000-01-28,4206115888
2000-01-31,4135446859
2000-02-01,4297723888
2000-02-02,4292489145
2000-02-03,4313428116
2000-02-04,4193029030
2000-02-07,4334367088
2000-02-08,4185176916
2000-02-09,3973169830
2000-02-10,4148533716
2000-02-11,4051690973
2000-02-14,4276784916
2000-02-15,4533287316
2000-02-16,4546374173
2000-02-17,4462618288
2000-02-18,4234906973
2000-02-22,4135446859
2000-02-23,4028134630
2000-02-24,3795188573
2000-02-25,3703580573
2000-02-28,3881561830
2000-02-29,4135446859
2000-03-01,4064777830
2000-03-02,4268932802
2000-03-03,4305576002
2000-03-06,4433827202
2000-03-07,4865693488
2000-03-08,4795024459
2000-03-09,4703416459
2000-03-10,4617043202
2000-03-13,4666773259
2000-03-14,4679860116
2000-03-15,4559461031
2000-03-16,4795024459
2000-03-17,4658921145
2000-03-20,4588252116
2000-03-21,4708651202
2000-03-22,4899719316
2000-03-23,4836902402
2000-03-24,4836902402
2000-03-27,4829050288
2000-03-28,5020118402
2000-03-29,5410106745
2000-03-30,5609026974
2000-03-31,5672492721
2000-04-03,5572420890
2000-04-04,5451281306
2000-04-05,5314340906
2000-04-06,5493416813
2000-04-07,5556620075
2000-04-10,5293273152
2000-04-11,5506584159
2000-04-12,5698827413
2000-04-13,5606655990
2000-04-14,5330141721
2000-04-17,5158966221
2000-04-18,5301173559
2000-04-19,5530285383
2000-04-20,5393344983
2000-04-24,5585588236
2000-04-25,5459181713
2000-04-26,5480249467
2000-04-27,5459181713
2000-04-28,5522384975
2000-05-01,5735695982
2000-05-02,5772564552
2000-05-03,5601389052
2000-05-04,6070146575
2000-05-05,6383529413
2000-05-08,6525736751
2000-05-09,6383529413
2000-05-10,6383529413
2000-05-11,6575772667
2000-05-12,6796984082
2000-05-15,6783816736
2000-05-16,6575772667
2000-05-17,6712713067
2000-05-18,6899689382
2000-05-19,6712713067
2000-05-22,6620541644
2000-05-23,6433565328
2000-05-24,6270290236
2000-05-25,6370362067
2000-05-26,6483601244
2000-05-30,6536270628
2000-05-31,6936557951
2000-06-01,6825952244
2000-06-02,6383529413
2000-06-05,6257122890
2000-06-06,6433565328
2000-06-07,6304525336
2000-06-08,6404597167
2000-06-09,6328226559
2000-06-12,6520469813
2000-06-13,6475700836
2000-06-14,6717980005
2000-06-15,6525736751
2000-06-16,6768015921
2000-06-19,6483601244
2000-06-20,6412497575
2000-06-21,6667944090
2000-06-22,6420397982
2000-06-23,6583673075
2000-06-26,6554704913
2000-06-27,6504668998
2000-06-28,6633708990
2000-06-29,6839119590
2000-06-30,7088150894
2000-07-03,7193944191
2000-07-05,6614865092
2000-07-06,6433902874
2000-07-07,6500719693
2000-07-10,6417198669
2000-07-11,6898836574
2000-07-12,6742930662
2000-07-13,6561968444
2000-07-14,6531344068
2000-07-17,6394926396
2000-07-18,6531344068
2000-07-19,6408846567
2000-07-20,6161067529
2000-07-21,5868743946
2000-07-24,5754598546
2000-07-25,5701701898
2000-07-26,5913288492
2000-07-27,6033001959
2000-07-28,5935560765
2000-07-31,5996809516
2000-08-01,6191691905
2000-08-02,6358733952
2000-08-03,6333677645
2000-08-04,6433902874
2000-08-07,6553616342
2000-08-08,6642705434
2000-08-09,6748498731
2000-08-10,6840371857
2000-08-11,6870996232
2000-08-14,7171671918
2000-08-15,7074230724
2000-08-16,7132695441
2000-08-17,7427803058
2000-08-18,7238488738
2000-08-21,7230136635
2000-08-22,7260761011
2000-08-23,7578140901
2000-08-24,7358202205
2000-08-25,7463995502
2000-08-28,7525244253
2000-08-29,7697854369
2000-08-30,7592061072
2000-08-31,7592061072
2000-09-01,7720126642
2000-09-05,7825919939
2000-09-06,7998530055
2000-09-07,7923361133
2000-09-08,7706206471
2000-09-11,7953985509
2000-09-12,7953985509
2000-09-13,7714558574
2000-09-14,7667229994
2000-09-15,7892736758
2000-09-18,7764671188
2000-09-19,7547516526
2000-09-20,7555868628
2000-09-21,7171671918
2000-09-22,7127127372
2000-09-25,7049174417
2000-09-26,7154967714
2000-09-27,7352634137
2000-09-28,7141047543
2000-09-29,7127127372
2000-10-02,7457795228
2000-10-03,7366288538
2000-10-04,7048874707
2000-10-05,6808669646
2000-10-06,6754337549
2000-10-09,6877299664
2000-10-10,7860996580
2000-10-11,8146954986
2000-10-12,8084044137
2000-10-13,7738034466
2000-10-16,7583616927
2000-10-17,7860996580
2000-10-18,7715157793
2000-10-19,7575038174
