,D
2000-01-03,8516007999
2000-01-04,8726004000
2000-01-05,8962808000
2000-01-06,9061104000
2000-01-07,9061104000
2000-01-10,9061104000
2000-01-11,9087912000
2000-01-12,9159400000
2000-01-13,9271100000
2000-01-14,9297908000
2000-01-18,9284504000
2000-01-19,9440884000
2000-01-20,9481096000
2000-01-21,9454288000
2000-01-24,9481096000
2000-01-25,9382800000
2000-01-26,9534712000
2000-01-27,9507904000
2000-01-28,9074508000
2000-01-31,9329184000
2000-02-01,9172804000
2000-02-02,9244292000
2000-02-03,9369396000
2000-02-04,9199612000
2000-02-07,9132592000
2000-02-08,9119188000
2000-02-09,9087912000
2000-02-10,9119188000
2000-02-11,9034296000
2000-02-14,9007488000
2000-02-15,9074508000
2000-02-16,9087912000
2000-02-17,9119188000
2000-02-18,9087912000
2000-02-22,9074508000
2000-02-23,8712600000
2000-02-24,8627708000
2000-02-25,8292607999
2000-02-28,8265800000
2000-02-29,8194312000
2000-03-01,8055804000
2000-03-02,8180907999
2000-03-03,8212184000
2000-03-06,8113888000
2000-03-07,8140695999
2000-03-08,8212184000
2000-03-09,8194312000
2000-03-10,8113888000
2000-03-13,8015592000
2000-03-14,7845807999
2000-03-15,8212184000
2000-03-16,8658984000
2000-03-17,8337288000
2000-03-20,8448988000
2000-03-21,8448988000
2000-03-22,8448988000
2000-03-23,8529412000
2000-03-24,8390904000
2000-03-27,8377500000
2000-03-28,8238992000
2000-03-29,8265800000
2000-03-30,8516007999
2000-03-31,9141032000
2000-04-03,9169568000
2000-04-04,9435904000
2000-04-05,9512000000
2000-04-06,9364564000
2000-04-07,9198104000
2000-04-10,9573828000
2000-04-11,9749800000
2000-04-12,10092232000
2000-04-13,10624904000
2000-04-14,10330032000
2000-04-17,10358568000
2000-04-18,10196864000
2000-04-19,10092232000
2000-04-20,10211132000
2000-04-24,10539296000
2000-04-25,10895996000
2000-04-26,11057700000
2000-04-27,10819900000
2000-04-28,10701000000
2000-05-01,10553564000
2000-05-02,10268204000
2000-05-03,10330032000
2000-05-04,10582100000
2000-05-05,10358568000
2000-05-08,10434664000
2000-05-09,10448932000
2000-05-10,10924532000
2000-05-11,11100504000
2000-05-12,10819900000
2000-05-15,10938800000
2000-05-16,10910264000
2000-05-17,10506004000
2000-05-18,10805632000
2000-05-19,10981604000
2000-05-22,11148064000
2000-05-23,10819900000
2000-05-24,10805632000
2000-05-25,10715268000
2000-05-26,10953068000
2000-05-30,10743804000
2000-05-31,10881728000
2000-06-01,10895996000
2000-06-02,10701000000
2000-06-05,10434664000
2000-06-06,10525028000
2000-06-07,10406128000
