,KDP
2009-04-23,777852000
2009-04-24,777852000
2009-04-27,767684000
2009-04-28,782936000
2009-04-29,831234000
2009-04-30,846486000
2009-05-01,828692000
2009-05-04,841402000
2009-05-05,854112000
2009-05-06,843944000
2009-05-07,838860000
2009-05-08,856654000
2009-05-11,843944000
2009-05-12,869364000
2009-05-13,902410000
2009-05-14,874448000
2009-05-15,902410000
2009-05-18,915120000
2009-05-19,910036000
2009-05-20,851570000
2009-05-21,846486000
2009-05-22,869364000
2009-05-26,904952000
2009-05-27,884616000
2009-05-28,882074000
2009-05-29,889700000
2009-06-01,920204000
2009-06-02,950708000
2009-06-03,935456000
2009-06-04,945624000
2009-06-05,940540000
2009-06-08,937998000
2009-06-09,925288000
2009-06-10,915120000
2009-06-11,902410000
2009-06-12,902410000
2009-06-15,882074000
2009-06-16,871906000
2009-06-17,871906000
2009-06-18,915120000
2009-06-19,915120000
2009-06-22,869364000
2009-06-23,856654000
2009-06-24,854112000
2009-06-25,851570000
2009-06-26,869364000
2009-06-29,864280000
2009-06-30,866822000
2009-07-01,902410000
2009-07-02,904952000
2009-07-06,912578000
2009-07-07,904952000
2009-07-08,907494000
2009-07-09,887158000
2009-07-10,887158000
2009-07-13,907494000
2009-07-14,922746000
2009-07-15,953250000
2009-07-16,955792000
2009-07-17,958334000
2009-07-20,960876000
2009-07-21,953250000
2009-07-22,958334000
2009-07-23,981212000
2009-07-24,981212000
2009-07-27,988838000
2009-07-28,988838000
2009-07-29,1006632000
2009-07-30,1004090000
2009-07-31,1006632000
2009-08-03,1009174000
2009-08-04,1001548000
2009-08-05,988838000
2009-08-06,971044000
2009-08-07,971044000
2009-08-10,965960000
2009-08-11,965960000
2009-08-12,963418000
2009-08-13,1021883999
2009-08-14,1044762000
2009-08-17,1062555999
2009-08-18,1060014000
2009-08-19,1067640000
2009-08-20,1100686000
2009-08-21,1115938000
2009-08-24,1133732000
2009-08-25,1121022000
2009-08-26,1103228000
2009-08-27,1098144000
2009-08-28,1085434000
2009-08-31,1082892000
2009-09-01,1060014000
2009-09-02,1072723999
2009-09-03,1085434000
2009-09-04,1098144000
2009-09-08,1110854000
2009-09-09,1110854000
2009-09-10,1126106000
2009-09-11,1108312000
2009-09-14,1108312000
2009-09-15,1108312000
2009-09-16,1110854000
2009-09-17,1115938000
2009-09-18,1138816000
2009-09-21,1138816000
2009-09-22,1141358000
2009-09-23,1123564000
2009-09-24,1118480000
2009-09-25,1121022000
2009-09-28,1136274000
2009-09-29,1169320000
2009-09-30,1172779000
2009-10-01,1155048000
2009-10-02,1152515000
2009-10-05,1149982000
2009-10-06,1167713000
2009-10-07,1190510000
2009-10-08,1208241000
2009-10-09,1225972000
2009-10-12,1203175000
2009-10-13,1185444000
2009-10-14,1182911000
2009-10-15,1187977000
2009-10-16,1187977000
2009-10-19,1177845000
2009-10-20,1187977000
2009-10-21,1144916000
2009-10-22,1137317000
2009-10-23,1127185000
2009-10-26,1101855000
2009-10-27,1129718000
2009-10-28,1119586000
2009-10-29,1129718000
2009-10-30,1111987000
2009-11-02,1129718000
2009-11-03,1124652000
2009-11-04,1134784000
2009-11-05,1081591000
2009-11-06,1086657000
2009-11-09,1086657000
2009-11-10,1124652000
2009-11-11,1114520000
2009-11-12,1096789000
2009-11-13,1117053000
2009-11-16,1139850000
2009-11-17,1132251000
2009-11-18,1132251000
2009-11-19,1091723000
2009-11-20,1114520000
2009-11-23,1114520000
2009-11-24,1114520000
2009-11-25,1101855000
2009-11-27,1071459000
2009-11-30,1068925999
2009-12-01,1081591000
2009-12-02,1096789000
2009-12-03,1089190000
2009-12-04,1091723000
2009-12-07,1099322000
2009-12-08,1091723000
2009-12-09,1104388000
2009-12-10,1127185000
2009-12-11,1152515000
2009-12-14,1144916000
2009-12-15,1152515000
2009-12-16,1134784000
2009-12-17,1144916000
2009-12-18,1149982000
2009-12-21,1155048000
2009-12-22,1165180000
2009-12-23,1182911000
2009-12-24,1187977000
2009-12-28,1187977000
2009-12-29,1182911000
2009-12-30,1175312000
2009-12-31,1155048000
2010-01-04,1187977000
2010-01-05,1172779000
2010-01-06,1198109000
2010-01-07,1185444000
2010-01-08,1177845000
2010-01-11,1170246000
2010-01-12,1149982000
2010-01-13,1160114000
2010-01-14,1162647000
2010-01-15,1160114000
2010-01-19,1157581000
2010-01-20,1155048000
2010-01-21,1132251000
2010-01-22,1114520000
2010-01-25,1114520000
2010-01-26,1119586000
2010-01-27,1122119000
2010-01-28,1127185000
2010-01-29,1127185000
2010-02-01,1134784000
2010-02-02,1144916000
2010-02-03,1144916000
2010-02-04,1094256000
2010-02-05,1104388000
2010-02-08,1094256000
2010-02-09,1094256000
2010-02-10,1094256000
2010-02-11,1106921000
2010-02-12,1104388000
2010-02-16,1119586000
2010-02-17,1165180000
2010-02-18,1187977000
2010-02-19,1180378000
2010-02-22,1167713000
2010-02-23,1160114000
2010-02-24,1167713000
2010-02-25,1296896000
2010-02-26,1294363000
2010-03-01,1271566000
2010-03-02,1284231000
2010-03-03,1291830000
2010-03-04,1301962000
2010-03-05,1319693000
2010-03-08,1339957000
2010-03-09,1365287000
2010-03-10,1372886000
2010-03-11,1428612000
2010-03-12,1426079000
2010-03-15,1426079000
2010-03-16,1486871000
2010-03-17,1497003000
2010-03-18,1494470000
2010-03-19,1474206000
2010-03-22,1499536000
2010-03-23,1491937000
2010-03-24,1481805000
2010-03-25,1474206000
2010-03-26,1459008000
2010-03-29,1453942000
2010-03-30,1453942000
2010-03-31,1383870000
2010-04-01,1396095000
2010-04-05,1396095000
2010-04-06,1396095000
2010-04-07,1376535000
2010-04-08,1386315000
2010-04-09,1383870000
2010-04-12,1378980000
2010-04-13,1371645000
2010-04-14,1366755000
2010-04-15,1347195000
2010-04-16,1339860000
2010-04-19,1342305000
2010-04-20,1339860000
2010-04-21,1330080000
2010-04-22,1315410000
2010-04-23,1322745000
2010-04-26,1339860000
2010-04-27,1308075000
2010-04-28,1320300000
2010-04-29,1352085000
2010-04-30,1288515000
2010-05-03,1344750000
2010-05-04,1308075000
2010-05-05,1337415000
2010-05-06,1352085000
2010-05-07,1405875000
2010-05-10,1442550000
2010-05-11,1447440000
2010-05-12,1491450000
2010-05-13,1491450000
2010-05-14,1467000000
2010-05-17,1496340000
2010-05-18,1501230000
2010-05-19,1498785000
2010-05-20,1427880000
2010-05-21,1444995000
2010-05-24,1449885000
2010-05-25,1459665000
2010-05-26,1467000000
2010-05-27,1503675000
2010-05-28,1491450000
2010-06-01,1481670000
