,VRSN
2000-01-03,20694535875
2000-01-04,20504053625
2000-01-05,19374766000
2000-01-06,16884890875
2000-01-07,18485281921
2000-01-10,19782942250
2000-01-11,18048193187
2000-01-12,17461439828
2000-01-13,19157072000
2000-01-14,19966621562
2000-01-18,21429253125
2000-01-19,21238770875
2000-01-20,22749023000
2000-01-21,22633373062
2000-01-24,21327209062
2000-01-25,21429253125
2000-01-26,20660521187
2000-01-27,19049925734
2000-01-28,17901930031
2000-01-31,17565184625
2000-02-01,18442763562
2000-02-02,19055027937
2000-02-03,19864577500
2000-02-04,20565280062
2000-02-07,19871380437
2000-02-08,20619703562
2000-02-09,21204756187
2000-02-10,23919128250
2000-02-11,22749023000
2000-02-14,21932670500
2000-02-15,23783069500
2000-02-16,24026274515
2000-02-17,24274581734
2000-02-18,25810344875
2000-02-22,24340910375
2000-02-23,26409003375
2000-02-24,27347808750
2000-02-25,26109674125
2000-02-28,26783164937
2000-02-29,27538291000
2000-03-01,27334202875
2000-03-02,26742347312
2000-03-03,27048479500
2000-03-06,26932829562
2000-03-07,21769400000
2000-03-08,22095941000
2000-03-09,26204915250
2000-03-10,26116477062
2000-03-13,24721874875
2000-03-14,23687828375
2000-03-15,21197953250
2000-03-16,21796611750
2000-03-17,22000699875
2000-03-20,20157103812
2000-03-21,19383269671
2000-03-22,19816956937
2000-03-23,19102648500
2000-03-24,20776171125
2000-03-27,20599294750
2000-03-28,20408812500
2000-03-29,18422354750
2000-03-30,16544744000
2000-03-31,20098331500
2000-04-03,15678715125
2000-04-04,16132440000
2000-04-05,17527223875
2000-04-06,20873444828
2000-04-07,23728130500
2000-04-10,20526849437
2000-04-11,19728629750
2000-04-12,17896925625
2000-04-13,15418243437
2000-04-14,13147518484
2000-04-17,14888897750
2000-04-18,18753961500
2000-04-19,17600744109
2000-04-20,15930784500
2000-04-24,13359676875
2000-04-25,14922507000
2000-04-26,14388960156
2000-04-27,16978972984
2000-04-28,18737156875
2000-05-01,18283432000
2000-05-02,17006280500
2000-05-03,17273053921
2000-05-04,17451603062
2000-05-05,18619524500
2000-05-08,17754086312
2000-05-09,17451603062
2000-05-10,16266877000
2000-05-11,15695519750
2000-05-12,15762738250
2000-05-15,17451603062
2000-05-16,18762363812
2000-05-17,17888523312
2000-05-18,17544028500
2000-05-19,16804625000
2000-05-22,15846761375
2000-05-23,14519196000
2000-05-24,15771140562
2000-05-25,16418118625
2000-05-26,16247971796
2000-05-30,18148995000
2000-05-31,18199408875
2000-06-01,20778918812
2000-06-02,24517947875
2000-06-05,23887774437
2000-06-06,22995028734
2000-06-07,25652260062
2000-06-08,26400065875
2000-06-09,26349652000
2000-06-12,23249198687
2000-06-13,22459381312
2000-06-14,22333346625
2000-06-15,23181980187
2000-06-16,22123288812
2000-06-19,23324819500
2000-06-20,23610498125
2000-06-21,22568611375
2000-06-22,21644357000
2000-06-23,20064722250
2000-06-26,21770391687
2000-06-27,21098206687
2000-06-28,23089554750
2000-06-29,23602095812
2000-06-30,34478569000
2000-07-03,35821572750
2000-07-05,32525109000
2000-07-06,34283223000
2000-07-07,33770439750
2000-07-10,33782648875
2000-07-11,32427436000
2000-07-12,34710542375
2000-07-13,37677359750
2000-07-14,37506432000
2000-07-17,36541911125
2000-07-18,34991352250
2000-07-19,33599512000
2000-07-20,36432029000
2000-07-21,35247743875
2000-07-24,36065755250
2000-07-25,35528553750
2000-07-26,35003561375
2000-07-27,34307641250
2000-07-28,31401869500
2000-07-31,30998968375
2000-08-01,29546082500
2000-08-02,28019941875
2000-08-03,31682679375
2000-08-04,31658261125
2000-08-07,30144329625
2000-08-08,28911208000
2000-08-09,28471679500
2000-08-10,27836805000
2000-08-11,27409485625
2000-08-14,28715862000
2000-08-15,30119911375
2000-08-16,30303048250
2000-08-17,30718158500
2000-08-18,31206523500
2000-08-21,31780352375
2000-08-22,32464063375
2000-08-23,34014622250
2000-08-24,34857051875
2000-08-25,34454150750
2000-08-28,35430880750
2000-08-29,36627375000
2000-08-30,37848287500
2000-08-31,38849435750
2000-09-01,36322146875
2000-09-05,35418671625
2000-09-06,33245447375
2000-09-07,34905888375
2000-09-08,33575093750
2000-09-11,33550675500
2000-09-12,32479324781
2000-09-13,33794858000
