,MAR
2000-01-03,7352756587
2000-01-04,7306220153
2000-01-05,7425146596
2000-01-06,7533731609
2000-01-07,7740560205
2000-01-10,8149046682
2000-01-11,7864657362
2000-01-12,7937047371
2000-01-13,7952559516
2000-01-14,7895681652
2000-01-18,7787096639
2000-01-19,7833633073
2000-01-20,7756072350
2000-01-21,7725048060
2000-01-24,7275195864
2000-01-25,7456170885
2000-01-26,7502707319
2000-01-27,7533731609
2000-01-28,7425146596
2000-01-31,7487195175
2000-02-01,7699194486
2000-02-02,7575097328
2000-02-03,7771584494
2000-02-04,8164558827
2000-02-07,8014608095
2000-02-08,8071485958
2000-02-09,7880169507
2000-02-10,7725048060
2000-02-11,7880169507
2000-02-14,7771584494
2000-02-15,7906023082
2000-02-16,7880169507
2000-02-17,7621633762
2000-02-18,7409634451
2000-02-22,7306220153
2000-02-23,7156269421
2000-02-24,6597832212
2000-02-25,6716758655
2000-02-28,6747782944
2000-02-29,6644368646
2000-03-01,6628856501
2000-03-02,6597832212
2000-03-03,6551295778
2000-03-06,6432369335
2000-03-07,6416857190
2000-03-08,6478905769
2000-03-09,6504759344
2000-03-10,6494417914
2000-03-13,6551295778
2000-03-14,6613344357
2000-03-15,6732270799
2000-03-16,7621633762
2000-03-17,7637145907
2000-03-20,7378610162
2000-03-21,7502707319
2000-03-22,7394122307
2000-03-23,7502707319
2000-03-24,6719744022
2000-03-27,6791844280
2000-03-28,6820684383
2000-03-29,7003338369
2000-03-30,6960078214
2000-03-31,7056211891
2000-04-03,7224445826
2000-04-04,7378259709
2000-04-05,7282126032
2000-04-06,7479200070
2000-04-07,7195605723
2000-04-10,7238865878
2000-04-11,7349419606
2000-04-12,7435939915
2000-04-13,7099472046
2000-04-14,6859137853
2000-04-17,6681290551
2000-04-18,6791844280
2000-04-19,6835104434
2000-04-20,6887977957
2000-04-24,6960078214
2000-04-25,6902398008
2000-04-26,7085051994
2000-04-27,7128312149
2000-04-28,7171572304
2000-05-01,7392679761
2000-05-02,7421519864
2000-05-03,7171572304
2000-05-04,7238865878
2000-05-05,7181185671
2000-05-08,7267705981
2000-05-09,7378259709
2000-05-10,7560913696
2000-05-11,7421519864
2000-05-12,7786827837
2000-05-15,8080035551
2000-05-16,8190589280
2000-05-17,8022355345
2000-05-18,8022355345
2000-05-19,8291529641
2000-05-22,8108875654
2000-05-23,7983901874
2000-05-24,8262689538
2000-05-25,7993515242
2000-05-26,7969481823
2000-05-30,8233849435
2000-05-31,8123295706
2000-06-01,8022355345
2000-06-02,8080035551
2000-06-05,8123295706
2000-06-06,8147329125
2000-06-07,8233849435
2000-06-08,8262689538
2000-06-09,8416503421
2000-06-12,8180975912
2000-06-13,7993515242
2000-06-14,8094455603
2000-06-15,7993515242
2000-06-16,7861515546
2000-06-19,8112929327
2000-06-20,7900194589
2000-06-21,7885689948
2000-06-22,7832506264
2000-06-23,7943708513
2000-06-26,7943708513
2000-06-27,8209626936
2000-06-28,8117764208
2000-06-29,7972717796
2000-06-30,8127433969
2000-07-03,8170947892
2000-07-05,8282150142
2000-07-06,8509389521
2000-07-07,8775307944
2000-07-10,8760803302
2000-07-11,9026721725
2000-07-12,8988042682
2000-07-13,8901014834
2000-07-14,9055731007
2000-07-17,9157263496
2000-07-18,9311979669
2000-07-19,9157263496
2000-07-20,9224951822
2000-07-21,9326484310
2000-07-24,9239456463
2000-07-25,9297475028
2000-07-26,9423181919
2000-07-27,9466695842
2000-07-28,8731794020
2000-07-31,8959033399
2000-08-01,9297475028
2000-08-02,9166933257
2000-08-03,9142758855
2000-08-04,9282970387
2000-08-07,9224951822
2000-08-08,8988042682
2000-08-09,9350658712
2000-08-10,9181437898
2000-08-11,9326484310
2000-08-14,8973538040
2000-08-15,9002547323
2000-08-16,8678610335
2000-08-17,8901014834
2000-08-18,8731794020
2000-08-21,9099244931
2000-08-22,8901014834
2000-08-23,9055731007
2000-08-24,8833326509
2000-08-25,8886510193
2000-08-28,8664105694
2000-08-29,8930024117
2000-08-30,8760803302
2000-08-31,8905849715
2000-09-01,8804317226
2000-09-05,9408677277
2000-09-06,9070235649
2000-09-07,8857500911
2000-09-08,9234000000
2000-09-11,9028800000
2000-09-12,8982630000
2000-09-13,8982630000
2000-09-14,8818470000
2000-09-15,8982630000
2000-09-18,8864640000
2000-09-19,9028800000
2000-09-20,8998020000
2000-09-21,9100620000
2000-09-22,9280170000
2000-09-25,9490500000
2000-09-26,8864640000
2000-09-27,8833860000
2000-09-28,8890290000
2000-09-29,8710740000
2000-10-02,8505539999
2000-10-03,8531189999
2000-10-04,8531189999
2000-10-05,8890290000
2000-10-06,8577359999
2000-10-09,8608140000
2000-10-10,8905680000
2000-10-11,8756910000
2000-10-12,8577359999
2000-10-13,8982630000
2000-10-16,8772300000
2000-10-17,8310600000
2000-10-18,8505539999
2000-10-19,8413199999
2000-10-20,8341380000
2000-10-23,8726130000
2000-10-24,8921070000
2000-10-25,8874900000
2000-10-26,8577359999
2000-10-27,9177570000
2000-10-30,9116010000
2000-10-31,9685440000
2000-11-01,9459720000
2000-11-02,9398160000
2000-11-03,9490500000
2000-11-06,9459720000
2000-11-07,9413550000
2000-11-08,9428940000
2000-11-09,9536670000
2000-11-10,9310950000
2000-11-13,9593100000
2000-11-14,10029150000
2000-11-15,9741870000
2000-11-16,9788040000
2000-11-17,10029150000
2000-11-20,9741870000
2000-11-21,9982980000
2000-11-22,9521280000
2000-11-24,9726480000
2000-11-27,9639270000
2000-11-28,9803430000
2000-11-29,9864990000
2000-11-30,9906030000
2000-12-01,10013760000
2000-12-04,9895770000
2000-12-05,10208700000
2000-12-06,10162530000
2000-12-07,9982980000
2000-12-08,10100970000
2000-12-11,9921420000
2000-12-12,10116360000
2000-12-13,9685440000
2000-12-14,9880380000
2000-12-15,9505890000
2000-12-18,9818820000
2000-12-19,9536670000
2000-12-20,9757260000
2000-12-21,9280170000
2000-12-22,9490500000
2000-12-26,9654660000
2000-12-27,9757260000
2000-12-28,9982980000
2000-12-29,10181137638
2001-01-02,9912260463
2001-01-03,10770599136
2001-01-04,11023964166
2001-01-05,10817135570
2001-01-08,11251475622
2001-01-09,11220451333
2001-01-10,10801623426
2001-01-11,10739574847
2001-01-12,10874013434
2001-01-16,11013622737
2001-01-17,10905037724
2001-01-18,10936062013
2001-01-19,10832647715
2001-01-22,10920549868
2001-01-23,11494499222
2001-01-24,11235963477
2001-01-25,11282499911
2001-01-26,11148061324
2001-01-29,11137719894
2001-01-30,11132549179
2001-01-31,11127378464
2001-02-01,11086012745
2001-02-02,10946403443
2001-02-05,10842989145
2001-02-06,10403478378
2001-02-07,10646501979
2001-02-08,10905037724
2001-02-09,10677526268
2001-02-12,10729233417
2001-02-13,10786111281
2001-02-14,10713721272
2001-02-15,10693038413
2001-02-16,10512063391
2001-02-20,10305234795
2001-02-21,10031186906
2001-02-22,9860553314
2001-02-23,9715773297
2001-02-26,10005333331
2001-02-27,10346600514
2001-02-28,10284551936
2001-03-01,10015674761
2001-03-02,9886406888
2001-03-05,9922601893
2001-03-06,9881236173
2001-03-07,9855382599
2001-03-08,9958796897
2001-03-09,9896748318
2001-03-12,9400359688
2001-03-13,9343481824
2001-03-14,9348652539
2001-03-15,9772651161
2001-03-16,9876065459
2001-03-19,9943284752
2001-03-20,10243186216
2001-03-21,9819187595
2001-03-22,9633041858
2001-03-23,9224255201
2001-03-26,9298644356
2001-03-27,9625956637
2001-03-28,9482137604
2001-03-29,9377992788
2001-03-30,9516852543
2001-04-02,9526771097
2001-04-03,9134988215
2001-04-04,9105232553
2001-04-05,9199458816
2001-04-06,9070517614
2001-04-09,9035802675
2001-04-10,9293685079
2001-04-11,9308562910
2001-04-12,9263929417
2001-04-16,8901902197
2001-04-17,9536689651
2001-04-18,10315296139
2001-04-19,10394644571
2001-04-20,10310336862
2001-04-23,10459115171
2001-04-24,10255784815
2001-04-25,10171477106
2001-04-26,10002861688
2001-04-27,10176436383
2001-04-30,10607893481
2001-05-01,10930246485
2001-05-02,11103821180
2001-05-03,10637649143
2001-05-04,10607893481
2001-05-07,10528545049
2001-05-08,10270662646
2001-05-09,10384726017
2001-05-10,10434318786
2001-05-11,10389685294
2001-05-14,10469033725
2001-05-15,10449196617
2001-05-16,10880653716
2001-05-17,11093902626
2001-05-18,11069106241
2001-05-21,11312110814
2001-05-22,11485685508
2001-05-23,11292273706
2001-05-24,11282355152
2001-05-25,11252599490
2001-05-29,11406337077
2001-05-30,10989757809
2001-05-31,10945124316
2001-06-01,10781468176
2001-06-04,10746753237
2001-06-05,10905450101
2001-06-06,10781468176
2001-06-07,10617812035
2001-06-08,10498789387
2001-06-11,10513667218
2001-06-12,10389685294
2001-06-13,10414481679
2001-06-14,10364888909
2001-06-15,10618803875
2001-06-18,10593900489
2001-06-19,10912663832
2001-06-20,10897721801
2001-06-21,11106910245
2001-06-22,10952509250
2001-06-25,10902702478
2001-06-26,10708456066
2001-06-27,10798108256
2001-06-28,10857876383
2001-06-29,10992354668
2001-07-02,11286214625
2001-07-03,11286214625
2001-07-05,11141774985
2001-07-06,10867837737
2001-07-09,10912663832
2001-07-10,10937567219
2001-07-11,10623784552
2001-07-12,11091968213
2001-07-13,11316098689
2001-07-16,11380847493
2001-07-17,11485441715
2001-07-18,11415712234
2001-07-19,11370886138
2001-07-20,11136794308
2001-07-23,11012277377
2001-07-24,10877799092
2001-07-25,11246369207
2001-07-26,11311118012
2001-07-27,11146755663
2001-07-30,11126832954
2001-07-31,11086987536
2001-08-01,11261311239
2001-08-02,11360924784
2001-08-03,11326060043
2001-08-06,11201543112
2001-08-07,11151736340
2001-08-08,11091968213
2001-08-09,11062084150
2001-08-10,11091968213
2001-08-13,11027219409
2001-08-14,11047142118
2001-08-15,10857876383
2001-08-16,10832972997
2001-08-17,10718417420
2001-08-20,10763243515
2001-08-21,10678572002
2001-08-22,10693514034
2001-08-23,10778185547
2001-08-24,10992354668
2001-08-27,10892741123
2001-08-28,10673591325
2001-08-29,10524171008
2001-08-30,10070929379
2001-08-31,10180504278
2001-09-04,10200426987
2001-09-05,10145639537
2001-09-06,9597765041
2001-09-07,9238784000
2001-09-10,9200128000
2001-09-17,7262496000
2001-09-18,6938752000
2001-09-19,6871104000
2001-09-20,6518368000
2001-09-21,6755136000
2001-09-24,6904928000
2001-09-25,7006400000
2001-09-26,7185184000
2001-09-27,7330144000
2001-09-28,7523424000
2001-10-01,7262496000
2001-10-02,7175520000
2001-10-03,7542752000
2001-10-04,7228672000
2001-10-05,7455776000
2001-10-08,7209344000
2001-10-09,6953248000
2001-10-10,7180352000
2001-10-11,7600736000
2001-10-12,7542752000
2001-10-15,7513760000
2001-10-16,7682880000
2001-10-17,7504096000
2001-10-18,7209344000
2001-10-19,7243168000
2001-10-22,7349472000
2001-10-23,7378464000
2001-10-24,7161024000
2001-10-25,7475104000
2001-10-26,7475104000
2001-10-29,7252832000
2001-10-30,6914592000
2001-10-31,7054720000
2001-11-01,7199680000
2001-11-02,7243168000
2001-11-05,7320480000
2001-11-06,7320480000
2001-11-07,7600736000
2001-11-08,7769855999
2001-11-09,7658720000
2001-11-12,7320480000
2001-11-13,7769855999
2001-11-14,8108096000
2001-11-15,8267552000
2001-11-16,8335200000
2001-11-19,8277215999
2001-11-20,8175744000
2001-11-21,7977632000
2001-11-23,8146752000
2001-11-26,8267552000
2001-11-27,8354528000
2001-11-28,8257888000
2001-11-29,8267552000
2001-11-30,8470496000
2001-12-03,8538144000
2001-12-04,8663776000
2001-12-05,9146976000
2001-12-06,9185632000
2001-12-07,9055168000
2001-12-10,8924704000
2001-12-11,8963360000
2001-12-12,8707264000
2001-12-13,8683104000
2001-12-14,8716928000
2001-12-17,8581632000
2001-12-18,8755584000
2001-12-19,8755584000
2001-12-20,8934368000
2001-12-21,8987520000
2001-12-24,8919872000
2001-12-26,9122816000
2001-12-27,9233952000
2001-12-28,9911978112
2001-12-31,9793117061
2002-01-02,9632913035
2002-01-03,9710431112
2002-01-04,9948153215
2002-01-07,10020503420
2002-01-08,9875803009
2002-01-09,9803452804
2002-01-10,9798284932
2002-01-11,9648416650
2002-01-14,9493380496
2002-01-15,9431366035
2002-01-16,9353847958
2002-01-17,9514051983
2002-01-18,9539891342
2002-01-22,9338344342
2002-01-23,9209147547
2002-01-24,9353847958
2002-01-25,9421030291
2002-01-28,9483044753
2002-01-29,9627745163
2002-01-30,9519219855
2002-01-31,9824124291
2002-02-01,9756941958
2002-02-04,9519219855
2002-02-05,9689759625
2002-02-06,9415862419
2002-02-07,9359015829
2002-02-08,9281497752
2002-02-11,9028272034
2002-02-12,8888739496
2002-02-13,9483044753
2002-02-14,9312504983
2002-02-15,9157468829
2002-02-19,9054111393
2002-02-20,9415862419
2002-02-21,9188476060
2002-02-22,9178140316
2002-02-25,9209147547
2002-02-26,9312504983
2002-02-27,9214315419
2002-02-28,9508884112
2002-03-01,9968824702
2002-03-04,10242721907
2002-03-05,10377086574
2002-03-06,10464940395
2002-03-07,10480444010
2002-03-08,10547626343
2002-03-11,10449436779
2002-03-12,10594137190
2002-03-13,10501115497
2002-03-14,10475276138
2002-03-15,10480444010
2002-03-18,10697494626
2002-03-19,10930048857
2002-03-20,10878370139
2002-03-21,10733669728
2002-03-22,10181419144
2002-03-25,10034146928
2002-03-26,9989965264
2002-03-27,10093055815
2002-03-28,10284509694
2002-04-01,10205964513
2002-04-02,10097964888
2002-04-03,9950692673
2002-04-04,9994874338
2002-04-05,10097964888
2002-04-08,10083237667
2002-04-09,10269782473
2002-04-10,10363054876
2002-04-11,10230509882
2002-04-12,10309055064
2002-04-15,10299236916
2002-04-16,10201055439
2002-04-17,10259964325
2002-04-18,10318873211
2002-04-19,10377782097
2002-04-22,10343418580
2002-04-23,10407236540
2002-04-24,10603599494
2002-04-25,10500508943
2002-04-26,10431781910
2002-04-29,10156873774
2002-04-30,10053783224
2002-05-01,10073419519
2002-05-02,10063601372
2002-05-03,9827965827
2002-05-06,9464694363
2002-05-07,9464694363
2002-05-08,9440148994
2002-05-09,9302694926
2002-05-10,9062150308
2002-05-13,9229058819
2002-05-14,9474512511
2002-05-15,9773966015
2002-05-16,9778875089
2002-05-17,9665966390
2002-05-20,9494148806
2002-05-21,9194695302
2002-05-22,9027786791
2002-05-23,9081786604
2002-05-24,9175059006
2002-05-28,8909969019
2002-05-29,9042514013
2002-05-30,9032695865
2002-05-31,9253604188
2002-06-03,9032695865
2002-06-04,8905059945
2002-06-05,9042514013
2002-06-06,8880514576
2002-06-07,8968877905
2002-06-10,9145604563
2002-06-11,9091604751
2002-06-12,8870696428
2002-06-13,8792151247
2002-06-14,8650289531
2002-06-17,9044812871
2002-06-18,8932787725
2002-06-19,8908434433
2002-06-20,8923046408
2002-06-21,9025330237
2002-06-24,8918175750
2002-06-25,8806150604
2002-06-26,8752573360
2002-06-27,8786667970
