,TJX
2000-01-03,6030421817
2000-01-04,5721778181
2000-01-05,5555585454
2000-01-06,5887970908
2000-01-07,6030421817
2000-01-10,5935454545
2000-01-11,5840487272
2000-01-12,5793003635
2000-01-13,5793003635
2000-01-14,5840487272
2000-01-18,5650552726
2000-01-19,5460618181
2000-01-20,5484359999
2000-01-21,5128232726
2000-01-24,4938298181
2000-01-25,5057007272
2000-01-26,5151974545
2000-01-27,5080749090
2000-01-28,4843330908
2000-01-31,4843330908
2000-02-01,4938298181
2000-02-02,5199458181
2000-02-03,5389392726
2000-02-04,5436876363
2000-02-07,5104490908
2000-02-08,5223199999
2000-02-09,5057007272
2000-02-10,5128232726
2000-02-11,4962039999
2000-02-14,4962039999
2000-02-15,4843330908
2000-02-16,4629654545
2000-02-17,4510945454
2000-02-18,4487203636
2000-02-22,4415978181
2000-02-23,4368494545
2000-02-24,4226043636
2000-02-25,4202301817
2000-02-28,4463461817
2000-02-29,4724621817
2000-03-01,4890814545
2000-03-02,4962039999
2000-03-03,5033265454
2000-03-06,4867072726
2000-03-07,4629654545
2000-03-08,4677138181
2000-03-09,4629654545
2000-03-10,4534687272
2000-03-13,4463461817
2000-03-14,4487203636
2000-03-15,5057007272
2000-03-16,5935454545
2000-03-17,5650552726
2000-03-20,5840487272
2000-03-21,5935454545
2000-03-22,5911712726
2000-03-23,5911712726
2000-03-24,6196614544
2000-03-27,6149130908
2000-03-28,6244098181
2000-03-29,6267839999
2000-03-30,6813901817
2000-03-31,6576483635
2000-04-03,7075061817
2000-04-04,6908869090
2000-04-05,7027578181
2000-04-06,6837643635
2000-04-07,6790159999
2000-04-10,6576483635
2000-04-11,6457774544
2000-04-12,6410290908
2000-04-13,6244098181
2000-04-14,5864229090
2000-04-17,5935454545
2000-04-18,5982938181
2000-04-19,6054163635
2000-04-20,6077905454
2000-04-24,6054163635
2000-04-25,5887970908
2000-04-26,5508101817
2000-04-27,5341909090
2000-04-28,5698036363
2000-05-01,5660715078
2000-05-02,5567149539
2000-05-03,5216278770
2000-05-04,5473584001
2000-05-05,5496975385
2000-05-08,5309844308
2000-05-09,5426801231
2000-05-10,5333235693
2000-05-11,5263061539
2000-05-12,5286452924
2000-05-15,5707497847
2000-05-16,5847846155
2000-05-17,5730889231
2000-05-18,5847846155
2000-05-19,5988194462
2000-05-22,5964803078
2000-05-23,6198716924
2000-05-24,6105151385
2000-05-25,6105151385
2000-05-26,6058368616
2000-05-30,6151934155
2000-05-31,6315673847
2000-06-01,6409239385
2000-06-02,6502804924
2000-06-05,6362456616
2000-06-06,5941411693
2000-06-07,6198716924
2000-06-08,6105151385
2000-06-09,6058368616
2000-06-12,5894628924
2000-06-13,5824454770
2000-06-14,5730889231
2000-06-15,5894628924
2000-06-16,5847846155
2000-06-19,5730889231
2000-06-20,5450192616
2000-06-21,5380018462
2000-06-22,5356627077
2000-06-23,5426801231
2000-06-26,5380018462
2000-06-27,5613932308
2000-06-28,5567149539
2000-06-29,5473584001
2000-06-30,5473584001
2000-07-03,5426801231
2000-07-05,5356627077
2000-07-06,5263061539
2000-07-07,5309844308
2000-07-10,5333235693
2000-07-11,5403409847
2000-07-12,5380018462
2000-07-13,5403409847
2000-07-14,5450192616
2000-07-17,5309844308
2000-07-18,5239670154
2000-07-19,5099321847
2000-07-20,5005756308
2000-07-21,5029147693
2000-07-24,5122713231
2000-07-25,5029147693
2000-07-26,5052539077
2000-07-27,4958973539
2000-07-28,4725059693
2000-07-31,4698106335
2000-08-01,4563232469
2000-08-02,4698106335
2000-08-03,4563232469
2000-08-04,4518274513
2000-08-07,4765543268
2000-08-08,4967854067
2000-08-09,4922896111
2000-08-10,4720585312
2000-08-11,4855459178
2000-08-14,4877938156
2000-08-15,4743064290
2000-08-16,4788022245
2000-08-17,4855459178
2000-08-18,4855459178
2000-08-21,4900417134
2000-08-22,4990333044
2000-08-23,5260080777
2000-08-24,5170164866
2000-08-25,5192643844
2000-08-28,5125206911
2000-08-29,5125206911
2000-08-30,5170164866
2000-08-31,5282559754
2000-09-01,5597265442
2000-09-05,5822055219
2000-09-06,5754618286
2000-09-07,5979408062
2000-09-08,6204197839
2000-09-11,6069323973
2000-09-12,6181718862
2000-09-13,6294113750
2000-09-14,6339071705
2000-09-15,6361550683
2000-09-18,6181718862
2000-09-19,5979408062
2000-09-20,5979408062
2000-09-21,6226676817
2000-09-22,6226676817
2000-09-25,6294113750
2000-09-26,6181718862
2000-09-27,6024366018
2000-09-28,6159239884
2000-09-29,6316592728
2000-10-02,6339071705
2000-10-03,6451466594
2000-10-04,6833609214
2000-10-05,7215751835
2000-10-06,6946004103
2000-10-09,6946004103
2000-10-10,6833609214
2000-10-11,6563861482
2000-10-12,6473945571
2000-10-13,6608819437
2000-10-16,6833609214
2000-10-17,6518903527
2000-10-18,6631298415
2000-10-19,6946004103
2000-10-20,6766172281
2000-10-23,6833609214
2000-10-24,7193272857
2000-10-25,7035920013
2000-10-26,7080877969
2000-10-27,7170793879
2000-10-30,7314570472
2000-10-31,7627732510
2000-11-01,7493520208
2000-11-02,7739576095
2000-11-03,7650101227
2000-11-06,8097475568
2000-11-07,8142213002
2000-11-08,8321162738
2000-11-09,7784313529
2000-11-10,7560626359
2000-11-13,7873788398
2000-11-14,6800089980
2000-11-15,7180358169
2000-11-16,7202726886
2000-11-17,7225095603
2000-11-20,6889564848
2000-11-21,6911933565
2000-11-22,7001408433
2000-11-24,7023777150
2000-11-27,7404045340
2000-11-28,7023777150
2000-11-29,6911933565
2000-11-30,7157989452
2000-12-01,7336939189
2000-12-04,7717207378
2000-12-05,8186950436
2000-12-06,7873788398
2000-12-07,7761944812
2000-12-08,7784313529
2000-12-11,7471151491
2000-12-12,7493520208
2000-12-13,7359307906
2000-12-14,6956670999
2000-12-15,6777721263
2000-12-18,7001408433
2000-12-19,6688246394
2000-12-20,6732983829
2000-12-21,7068514584
2000-12-22,7157989452
2000-12-26,7336939189
2000-12-27,7963263266
2000-12-28,7873788398
2000-12-29,7761944812
2001-01-02,7672469944
2001-01-03,8298794021
2001-01-04,8231687870
2001-01-05,7940894549
2001-01-08,7985631983
2001-01-09,8276425304
2001-01-10,8209319153
2001-01-11,8097475568
2001-01-12,8119844285
2001-01-16,8075106851
2001-01-17,8008000700
2001-01-18,7873788398
2001-01-19,7694838661
2001-01-22,8052738134
2001-01-23,8298794021
2001-01-24,8298794021
2001-01-25,8410637607
2001-01-26,8477743758
2001-01-29,8634484362
2001-01-30,8432113635
2001-01-31,8724426907
2001-02-01,8994254544
2001-02-02,9016740180
2001-02-05,9016740180
2001-02-06,8791883816
2001-02-07,8567027453
2001-02-08,8274714180
2001-02-09,8027372180
2001-02-12,8252228544
2001-02-13,8477084907
2001-02-14,8724426907
2001-02-15,8724426907
2001-02-16,8949283271
2001-02-20,9016740180
2001-02-21,8746912544
2001-02-22,8477084907
2001-02-23,8611998725
2001-02-26,9016740180
2001-02-27,8949283271
2001-02-28,8589513089
2001-03-01,8184771635
2001-03-02,8342171089
2001-03-05,8409627998
2001-03-06,8611998725
2001-03-07,8994254544
2001-03-08,9241596543
2001-03-09,8881826362
2001-03-12,8656969998
2001-03-13,8679455634
2001-03-14,8432113635
2001-03-15,8477084907
2001-03-16,8342171089
2001-03-19,8791883816
2001-03-20,8926797634
2001-03-21,8949283271
2001-03-22,8769398180
2001-03-23,8814369453
2001-03-26,8724426907
2001-03-27,8746912544
2001-03-28,8881826362
2001-03-29,8994254544
2001-03-30,8994254544
2001-04-02,8859340725
2001-04-03,8409627998
2001-04-04,8454599271
2001-04-05,8387142362
2001-04-06,8297199816
2001-04-09,8274714180
2001-04-10,8139800362
2001-04-11,8274714180
2001-04-12,8004886544
2001-04-16,7802515816
2001-04-17,7802515816
2001-04-18,8387142362
2001-04-19,8544541816
2001-04-20,8409627998
2001-04-23,8409627998
2001-04-24,8387142362
2001-04-25,8409627998
2001-04-26,8724426907
2001-04-27,8904311998
2001-04-30,8663483839
2001-05-01,8972893976
2001-05-02,8928692528
2001-05-03,8729786011
2001-05-04,8773987459
2001-05-07,8685584563
2001-05-08,8751886735
2001-05-09,8751886735
2001-05-10,9193901217
2001-05-11,9459109906
2001-05-14,9370707009
2001-05-15,9459109906
2001-05-16,9569613526
2001-05-17,9503311354
2001-05-18,9348606285
2001-05-21,9392807734
2001-05-22,9370707009
2001-05-23,9348606285
2001-05-24,9414908458
2001-05-25,9370707009
2001-05-29,9392807734
2001-05-30,9238102665
2001-05-31,9238102665
2001-06-01,9260203389
2001-06-04,9105498320
2001-06-05,9304404837
2001-06-06,9282304113
2001-06-07,9304404837
2001-06-08,9171800493
2001-06-11,9193901217
2001-06-12,9326505561
2001-06-13,9061296872
2001-06-14,8994994700
2001-06-15,8796088183
2001-06-18,8906591804
2001-06-19,9105498320
2001-06-20,9127599045
2001-06-21,9414908458
2001-06-22,9326505561
2001-06-25,9193901217
2001-06-26,9017095424
2001-06-27,8884491080
2001-06-28,8928692528
2001-06-29,8796088183
2001-07-02,8972893976
2001-07-03,9105498320
2001-07-05,8818188907
2001-07-06,8508778770
2001-07-09,8597181667
2001-07-10,8420375874
2001-07-11,8420375874
2001-07-12,9039196148
2001-07-13,9260203389
2001-07-16,9260203389
2001-07-17,9348606285
2001-07-18,9392807734
2001-07-19,9437009182
2001-07-20,9459109906
2001-07-23,9459109906
2001-07-24,9171800493
2001-07-25,9282304113
2001-07-26,9149699769
2001-07-27,9149699769
2001-07-30,9141977178
2001-07-31,9295072490
2001-08-01,9338814007
2001-08-02,9535650836
2001-08-03,9491909319
2001-08-06,9316943248
2001-08-07,9382555525
2001-08-08,9295072490
2001-08-09,9666875389
2001-08-10,9798099942
2001-08-13,9666875389
2001-08-14,9907453736
2001-08-15,9951195254
2001-08-16,9994936771
2001-08-17,9929324495
2001-08-20,10126161324
2001-08-21,9579392354
2001-08-22,9666875389
2001-08-23,9601263113
2001-08-24,9863712218
2001-08-27,9776229183
2001-08-28,9688746148
2001-08-29,9666875389
2001-08-30,9535650836
2001-08-31,9601263113
2001-09-04,9601263113
2001-09-05,9557521595
2001-09-06,9316943248
2001-09-07,8879528072
2001-09-10,8726432761
2001-09-17,8332759102
2001-09-18,8201534550
2001-09-19,8376500620
2001-09-20,8398371379
2001-09-21,8201534550
2001-09-24,8267146826
2001-09-25,8398371379
2001-09-26,8398371379
2001-09-27,8398371379
2001-09-28,8988881866
2001-10-01,9054494143
2001-10-02,9295072490
2001-10-03,9601263113
2001-10-04,9557521595
2001-10-05,9470038560
2001-10-08,9229460213
2001-10-09,9054494143
2001-10-10,9557521595
2001-10-11,9382555525
2001-10-12,9426297042
2001-10-15,9557521595
2001-10-16,9645004630
2001-10-17,9776229183
2001-10-18,9557521595
2001-10-19,9688746148
2001-10-22,9623133872
2001-10-23,9491909319
2001-10-24,9470038560
2001-10-25,9579392354
2001-10-26,9623133872
2001-10-29,9218454667
2001-10-30,8913352149
2001-10-31,9196661630
2001-11-01,9327419853
2001-11-02,9610729334
2001-11-05,9806866668
2001-11-06,9915831853
2001-11-07,9741487556
2001-11-08,9545350223
2001-11-09,9501764149
2001-11-12,9523557186
2001-11-13,9828659705
2001-11-14,10003004001
2001-11-15,10395278668
2001-11-16,9959417927
2001-11-19,10308106519
2001-11-20,10220934371
2001-11-21,10003004001
2001-11-23,10046590075
2001-11-26,10177348297
2001-11-27,10308106519
2001-11-28,10417071705
2001-11-29,10286313482
2001-11-30,10264520445
2001-12-03,9785073630
2001-12-04,10090176149
2001-12-05,10308106519
2001-12-06,10395278668
2001-12-07,10460657779
2001-12-10,10308106519
2001-12-11,10177348297
2001-12-12,10155555260
2001-12-13,10199141334
2001-12-14,10242727408
2001-12-17,10417071705
2001-12-18,10177348297
2001-12-19,10286313482
2001-12-20,10438864742
2001-12-21,10460657779
2001-12-24,10308106519
2001-12-26,10438864742
2001-12-27,10722174223
2001-12-28,10918311557
2001-12-31,10852932445
2002-01-02,10787553334
2002-01-03,10613209038
2002-01-04,10961897631
2002-01-07,10940104594
2002-01-08,10961897631
2002-01-09,10874725482
2002-01-10,11070862816
2002-01-11,10635002075
2002-01-14,10656795112
2002-01-15,10678588149
2002-01-16,10482450816
2002-01-17,10591416001
2002-01-18,10591416001
2002-01-22,10678588149
2002-01-23,10918311557
2002-01-24,11027276742
2002-01-25,10896518520
2002-01-28,11027276742
2002-01-29,10809346371
2002-01-30,10940104594
2002-01-31,11267000149
2002-02-01,11179828001
2002-02-04,10874725482
2002-02-05,10918311557
2002-02-06,10896518520
2002-02-07,10090176149
2002-02-08,9981210964
2002-02-11,10220934371
2002-02-12,10308106519
2002-02-13,10547829927
2002-02-14,10438864742
2002-02-15,10199141334
2002-02-19,9806866668
2002-02-20,9741487556
2002-02-21,9719694519
2002-02-22,9741487556
2002-02-25,9283833779
2002-02-26,9523557186
2002-02-27,10199141334
2002-02-28,10351692594
2002-03-01,10373485631
2002-03-04,10351692594
2002-03-05,10003004001
2002-03-06,10220934371
2002-03-07,10831139408
2002-03-08,10896518520
2002-03-11,10722174223
2002-03-12,10591416001
2002-03-13,10591416001
2002-03-14,10547829927
2002-03-15,10635002075
2002-03-18,10547829927
2002-03-19,10765760297
2002-03-20,10983690668
2002-03-21,10722174223
2002-03-22,10569622964
2002-03-25,10395278668
2002-03-26,10438864742
2002-03-27,10700381186
2002-03-28,10896518520
2002-04-01,10743967260
2002-04-02,10591416001
2002-04-03,10482450816
2002-04-04,10526036890
2002-04-05,10656795112
2002-04-08,10896518520
2002-04-09,11092655853
2002-04-10,11267000149
2002-04-11,11223414075
2002-04-12,11441344446
2002-04-15,11332379260
2002-04-16,11550309631
2002-04-17,11484930520
2002-04-18,11637481779
2002-04-19,11550309631
2002-04-22,11484930520
2002-04-23,11593895705
2002-04-24,11615688742
2002-04-25,11855412149
2002-04-26,11942584297
2002-04-29,11860870500
2002-04-30,11774452500
2002-05-01,11796057000
2002-05-02,11904079500
2002-05-03,11882475000
2002-05-06,11752848000
2002-05-07,11968893000
2002-05-08,11860870500
2002-05-09,11860870500
2002-05-10,11515198500
2002-05-13,11169526500
2002-05-14,11536803000
2002-05-15,11450385000
2002-05-16,11385571500
2002-05-17,11471989500
2002-05-20,11407176000
2002-05-21,11320758000
2002-05-22,11255944500
2002-05-23,11320758000
2002-05-24,11320758000
2002-05-28,11169526500
2002-05-29,11169526500
2002-05-30,11126317500
2002-05-31,11385571500
2002-06-03,11234340000
2002-06-04,11104713000
2002-06-05,11342362500
2002-06-06,11536803000
2002-06-07,11385571500
2002-06-10,11320758000
2002-06-11,11299153500
2002-06-12,11212735500
2002-06-13,11083108500
2002-06-14,10802250000
2002-06-17,10953481500
2002-06-18,10996690500
2002-06-19,11083108500
2002-06-20,10802250000
2002-06-21,10651018500
2002-06-24,10499787000
2002-06-25,10564600500
2002-06-26,10478182500
2002-06-27,10521391500
2002-06-28,10586205000
2002-07-01,10326951000
2002-07-02,10370160000
2002-07-03,10456578000
2002-07-05,10931877000
2002-07-08,10694227500
2002-07-09,10931877000
2002-07-10,10694227500
2002-07-11,10672623000
2002-07-12,10283742000
2002-07-15,10154115000
2002-07-16,9419562000
2002-07-17,9484375500
2002-07-18,9289935000
2002-07-19,9030681000
2002-07-22,8944263000
2002-07-23,8663404500
2002-07-24,9743629500
2002-07-25,9700420500
2002-07-26,9635607000
2002-07-29,9934063982
2002-07-30,9470052501
2002-07-31,9343503915
2002-08-01,9280229622
2002-08-02,9132589605
2002-08-05,8858401003
2002-08-06,9090406743
2002-08-07,9048223881
2002-08-08,9343503915
2002-08-09,9512235362
2002-08-12,9491143932
2002-08-13,9891881120
2002-08-14,10187161153
2002-08-15,10819904082
2002-08-16,10967544099
2002-08-19,10904269806
2002-08-20,10630081203
2002-08-21,10862086944
2002-08-22,11051909823
2002-08-23,10419166894
2002-08-26,10819904082
2002-08-27,10587898341
2002-08-28,10292618308
2002-08-29,10566806910
2002-08-30,10440258325
2002-09-03,10166069722
2002-09-04,10461349756
2002-09-05,10440258325
2002-09-06,10777721220
2002-09-09,10777721220
2002-09-10,11136275546
2002-09-11,11073001254
2002-09-12,10735538358
2002-09-13,10883178375
2002-09-16,10925361237
2002-09-17,10819904082
2002-09-18,10798812651
2002-09-19,10714446927
2002-09-20,10608989772
2002-09-23,10440258325
2002-09-24,10208252584
2002-09-25,10081703998
2002-09-26,10018429706
2002-09-27,9575509655
2002-09-30,8963858158
2002-10-01,9238046760
2002-10-02,9216955329
2002-10-03,8858401003
2002-10-04,8900583865
2002-10-07,8731852417
2002-10-08,9006041019
2002-10-09,8731852417
2002-10-10,8647486693
2002-10-11,9575509655
2002-10-14,9554418224
2002-10-15,10018429706
2002-10-16,9723149672
2002-10-17,9955155413
2002-10-18,10229344015
2002-10-21,10545715480
2002-10-22,10798812651
2002-10-23,10967544099
2002-10-24,10545715480
2002-10-25,10904269806
2002-10-28,10486136000
2002-10-29,10609988000
2002-10-30,10527420000
2002-10-31,10589346000
2002-11-01,10878334000
2002-11-04,10548062000
2002-11-05,10878334000
2002-11-06,10837050000
2002-11-07,10733840000
2002-11-08,10775124000
2002-11-11,10651272000
2002-11-12,10321000000
2002-11-13,10217790000
2002-11-14,10444852000
2002-11-15,10362284000
2002-11-18,10197148000
2002-11-19,9928802000
2002-11-20,10073296000
2002-11-21,10176506000
2002-11-22,10135222000
2002-11-25,10176506000
2002-11-26,9743024000
2002-11-27,10341642000
2002-11-29,10093938000
2002-12-02,10382926000
2002-12-03,10403568000
2002-12-04,10217790000
2002-12-05,9990728000
2002-12-06,10114580000
2002-12-09,9866876000
2002-12-10,10073296000
2002-12-11,10135222000
2002-12-12,10279716000
2002-12-13,10176506000
2002-12-16,10568704000
2002-12-17,10424210000
2002-12-18,10321000000
2002-12-19,10382926000
2002-12-20,10630630000
2002-12-23,10052654000
2002-12-24,9908160000
2002-12-26,10093938000
2002-12-27,9990728000
2002-12-30,10052654000
2002-12-31,10073296000
2003-01-02,10341642000
2003-01-03,10176506000
2003-01-06,10279716000
2003-01-07,10321000000
2003-01-08,10052654000
2003-01-09,10362284000
2003-01-10,10444852000
2003-01-13,10568704000
2003-01-14,10486136000
2003-01-15,10341642000
2003-01-16,10300358000
2003-01-17,10135222000
2003-01-21,9887518000
2003-01-22,9949444000
2003-01-23,10238432000
2003-01-24,9825592000
2003-01-27,9588968320
2003-01-28,9588968320
2003-01-29,9671631840
2003-01-30,9464973040
2003-01-31,9485638920
2003-02-03,9630300080
2003-02-04,9402975400
2003-02-05,9402975400
2003-02-06,9278980120
2003-02-07,8886328400
2003-02-10,8844996640
2003-02-11,8700335480
2003-02-12,8679669600
2003-02-13,8721001360
2003-02-14,8886328400
2003-02-18,8906994280
2003-02-19,8700335480
2003-02-20,8555674319
2003-02-21,8576340200
2003-02-24,8349015520
2003-02-25,8307683759
2003-02-26,8287017880
2003-02-27,8266352000
2003-02-28,8307683759
2003-03-03,8225020240
2003-03-04,8245686120
2003-03-05,8431679040
2003-03-06,8431679040
2003-03-07,8597006080
2003-03-10,8431679040
2003-03-11,8431679040
2003-03-12,8411013160
2003-03-13,8803664880
2003-03-14,8782999000
2003-03-17,9196316600
2003-03-18,8989657800
2003-03-19,9030989560
2003-03-20,9154984840
2003-03-21,9671631840
2003-03-24,9258314240
2003-03-25,9278980120
2003-03-26,9237648360
2003-03-27,9278980120
2003-03-28,9237648360
2003-03-31,9092987200
2003-04-01,8886328400
2003-04-02,9175650720
2003-04-03,9237648360
2003-04-04,9382309520
2003-04-07,9754295360
2003-04-08,9712963600
2003-04-09,9423641280
2003-04-10,9754295360
2003-04-11,9774961240
2003-04-14,9547636560
2003-04-15,9754295360
2003-04-16,9506304800
2003-04-17,9754295360
2003-04-21,9671631840
2003-04-22,9774961240
2003-04-23,9733629480
2003-04-24,9506304800
2003-04-25,9485638920
2003-04-28,9655523334
2003-04-29,9819872668
2003-04-30,9881503668
2003-05-01,9532261334
2003-05-02,9676067001
2003-05-05,9593892334
2003-05-06,9655523334
2003-05-07,9347368334
2003-05-08,9758241668
2003-05-09,9819872668
2003-05-12,10271833335
2003-05-13,10169115001
2003-05-14,9943134668
2003-05-15,9347368334
2003-05-16,9306281001
2003-05-19,9080300668
2003-05-20,9141931668
2003-05-21,9080300668
2003-05-22,9224106334
2003-05-23,9059757001
2003-05-27,9121388001
2003-05-28,9203562668
2003-05-29,9141931668
2003-05-30,9347368334
2003-06-02,9655523334
2003-06-03,9655523334
2003-06-04,9778785334
2003-06-05,9943134668
2003-06-06,9984222001
2003-06-09,9881503668
2003-06-10,9840416334
2003-06-11,9943134668
2003-06-12,9799329001
2003-06-13,9799329001
2003-06-16,9922591001
2003-06-17,9737698001
2003-06-18,9902047334
2003-06-19,9758241668
2003-06-20,9799329001
2003-06-23,9840416334
2003-06-24,9799329001
2003-06-25,9676067001
2003-06-26,9614436001
2003-06-27,9511717668
2003-06-30,9676067001
2003-07-01,9573348668
2003-07-02,9552805001
2003-07-03,9306281001
2003-07-07,9614436001
2003-07-08,9922591001
2003-07-09,9655523334
2003-07-10,9306281001
2003-07-11,9429543001
2003-07-14,9470630334
2003-07-15,9244650001
2003-07-16,9367912001
2003-07-17,9367912001
2003-07-18,9881503668
2003-07-21,9778785334
2003-07-22,10004765668
2003-07-23,10210202334
2003-07-24,10169115001
2003-07-25,10189658668
2003-07-28,10138316160
2003-07-29,9915718400
2003-07-30,9753829120
2003-07-31,9834773760
2003-08-01,9915718400
2003-08-04,9935954560
