,FHN
2000-01-03,3557183825
2000-01-04,3458936310
2000-01-05,3433984560
2000-01-06,3499482903
2000-01-07,3532232075
2000-01-10,3499482903
2000-01-11,3352891374
2000-01-12,3410592295
2000-01-13,3499482903
2000-01-14,3580576090
2000-01-18,3458936310
2000-01-19,3426187138
2000-01-20,3248405921
2000-01-21,3271798187
2000-01-24,3117409235
2000-01-25,3109611813
2000-01-26,3207859328
2000-01-27,3239049015
2000-01-28,3288952515
2000-01-31,3393437967
2000-02-01,3370045701
2000-02-02,3345093952
2000-02-03,3352891374
2000-02-04,3288952515
2000-02-07,3296749937
2000-02-08,3345093952
2000-02-09,3248405921
2000-02-10,3167312735
2000-02-11,3150158407
2000-02-14,3126766141
2000-02-15,3117409235
2000-02-16,3117409235
2000-02-17,3150158407
2000-02-18,3061267798
2000-02-22,2995769455
2000-02-23,2972377190
2000-02-24,2939628018
2000-02-25,2939628018
2000-02-28,3053470376
2000-02-29,2240979025
2000-03-01,2281525618
2000-03-02,2297120462
2000-03-03,2256573868
2000-03-06,2248776447
2000-03-07,2192635010
2000-03-08,2111541823
2000-03-09,2103744401
2000-03-10,2094387495
2000-03-13,2086590073
2000-03-14,2094387495
2000-03-15,2216027275
2000-03-16,2484258585
2000-03-17,2410962820
2000-03-20,2297120462
2000-03-21,2420319726
2000-03-22,2420319726
2000-03-23,2492056007
2000-03-24,2468663741
2000-03-27,2339226540
2000-03-28,2403165398
2000-03-29,2451509413
2000-03-30,2395367976
2000-03-31,2652766261
2000-04-03,2637087974
2000-04-04,2612002714
2000-04-05,2596324426
2000-04-06,2644927118
2000-04-07,2530475618
2000-04-10,2555560878
2000-04-11,2530475618
2000-04-12,2660605405
2000-04-13,2588485282
2000-04-14,2408184975
2000-04-17,2474033783
2000-04-18,2555560878
2000-04-19,2456787666
2000-04-20,2522636474
2000-04-24,2555560878
2000-04-25,2670012378
2000-04-26,2579078310
2000-04-27,2505390358
2000-04-28,2481872927
2000-05-01,2546153906
2000-05-02,2530475618
2000-05-03,2448948523
2000-05-04,2400345831
2000-05-05,2367421427
2000-05-08,2383099715
2000-05-09,2423863262
2000-05-10,2351743140
2000-05-11,2383099715
2000-05-12,2433270235
2000-05-15,2456787666
2000-05-16,2441109379
2000-05-17,2441109379
2000-05-18,2489712070
2000-05-19,2383099715
2000-05-22,2383099715
2000-05-23,2522636474
2000-05-24,2555560878
2000-05-25,2514797331
2000-05-26,2579078310
2000-05-30,2612002714
2000-05-31,2677851522
2000-06-01,2782896049
2000-06-02,2897347548
2000-06-05,2792303021
2000-06-06,2767217761
2000-06-07,2742132501
2000-06-08,2604163570
2000-06-09,2497551214
2000-06-12,2546153906
2000-06-13,2546153906
2000-06-14,2604163570
2000-06-15,2456787666
2000-06-16,2334497023
2000-06-19,2423863262
2000-06-20,2441109379
2000-06-21,2351743140
2000-06-22,2326657879
2000-06-23,2326657879
2000-06-26,2318818736
2000-06-27,2318818736
2000-06-28,2318818736
2000-06-29,2309411763
2000-06-30,2145084461
2000-07-03,2379800224
2000-07-05,2331613545
2000-07-06,2314515045
2000-07-07,2412442814
2000-07-10,2395344315
2000-07-11,2347157635
2000-07-12,2331613545
2000-07-13,2314515045
2000-07-14,2347157635
2000-07-17,2331613545
2000-07-18,2362701725
2000-07-19,2314515045
2000-07-20,2362701725
2000-07-21,2331613545
2000-07-24,2372028179
2000-07-25,2347157635
