,OGN
2021-05-14,8429407000
2021-05-17,8644895600
2021-05-18,9506850000
2021-05-19,9506850000
2021-05-20,9570229000
2021-05-21,9532201600
2021-05-24,9633608000
2021-05-25,9367416200
2021-05-26,9336994280
2021-05-27,8999818000
2021-05-28,9063197000
2021-06-01,9126576000
2021-06-02,8938974160
2021-06-03,9380092000
2021-06-04,8657571400
2021-06-07,7965472720
2021-06-08,7329147560
2021-06-09,7212530200
2021-06-10,7689140280
2021-06-11,7516749400
2021-06-14,7676464480
2021-06-15,8064343960
2021-06-16,7782941200
2021-06-17,7975613360
2021-06-18,7600409680
2021-06-21,7455905560
2021-06-22,7486327480
2021-06-23,7478722000
2021-06-24,7547171320
2021-06-25,7653648040
2021-06-28,7843785040
2021-06-29,7744913800
2021-06-30,7671938840
2021-07-01,7813917880
2021-07-02,7824059240
2021-07-06,7859554000
2021-07-07,7636444080
2021-07-08,7517283100
2021-07-09,7631373400
2021-07-12,7540101160
2021-07-13,7377839400
2021-07-14,7438687560
2021-07-15,7329667940
2021-07-16,7319526580
2021-07-19,7387980760
2021-07-20,7507141740
2021-07-21,7722645640
2021-07-22,7839271280
2021-07-23,7555313200
2021-07-26,7519818440
2021-07-27,7382910080
2021-07-28,7540101160
2021-07-29,7410798820
2021-07-30,7355021340
2021-08-02,7486859020
2021-08-03,7481788340
2021-08-04,7258678420
2021-08-05,7494465040
2021-08-06,7479253000
2021-08-09,7377839400
2021-08-10,7694756900
2021-08-11,7588272620
2021-08-12,8493389000
2021-08-13,8673398140
2021-08-16,8703822220
2021-08-17,8970032920
2021-08-18,8516207060
2021-08-19,8645509400
2021-08-20,8422399480
2021-08-23,8427470160
2021-08-24,8407187439
2021-08-25,8442682199
2021-08-26,8610014640
2021-08-27,8683539500
2021-08-30,8549166480
2021-08-31,8592267260
2021-09-01,8762135040
2021-09-02,9028345740
2021-09-03,9028345740
2021-09-07,9035951760
2021-09-08,8866083980
2021-09-09,8792559120
2021-09-10,8589731920
2021-09-13,8577055220
2021-09-14,8473106280
2021-09-15,8549166480
2021-09-16,8559307839
2021-09-17,8627762020
2021-09-20,8351409959
