,DO
2022-03-31,710698949
2022-04-01,686776404
2022-04-04,697740904
2022-04-05,675811904
2022-04-06,672821586
2022-04-07,673818358
2022-04-08,661857086
2022-04-11,694750585
2022-04-12,697740904
2022-04-13,759540812
2022-04-14,745585994
2022-04-18,740602130
2022-04-19,790440766
2022-04-20,776485948
2022-04-21,742595676
2022-04-22,730634403
2022-04-25,723656994
2022-04-26,718673131
2022-04-27,735618267
2022-04-28,792434312
2022-04-29,782466585
2022-05-02,738608585
2022-05-03,782466585
2022-05-04,796421403
2022-05-05,786453676
2022-05-06,776485948
2022-05-09,702724767
2022-05-10,666840949
2022-05-11,672821586
2022-05-12,661857086
2022-05-13,703721540
2022-05-16,722660222
2022-05-17,765521448
2022-05-18,737611812
2022-05-19,729637631
2022-05-20,716679585
2022-05-23,737611812
2022-05-24,725650540
2022-05-25,753560176
2022-05-26,794427857
2022-05-27,807385903
2022-05-31,793431085
2022-06-01,804395585
2022-06-02,787450448
2022-06-03,813366539
2022-06-06,868189039
2022-06-07,878156766
2022-06-08,979827583
2022-06-09,924008311
2022-06-10,860214857
2022-06-13,795424630
2022-06-14,765521448
2022-06-15,782466585
2022-06-16,772498858
2022-06-17,752563403
2022-06-21,744589221
2022-06-22,707708631
2022-06-23,671824813
2022-06-24,651889358
2022-06-27,678802222
2022-06-28,668834495
2022-06-29,628963586
2022-06-30,591096840
2022-07-01,611168040
2022-07-05,574036320
2022-07-06,549950880
2022-07-07,592100400
2022-07-08,637260600
2022-07-11,612171600
2022-07-12,567011400
2022-07-13,561993600
2022-07-14,536904600
2022-07-15,562997160
2022-07-18,572029200
2022-07-19,596114640
2022-07-20,593103960
2022-07-21,560990040
2022-07-22,542925960
2022-07-25,590093280
2022-07-26,601132440
2022-07-27,666363840
2022-07-28,656328240
2022-07-29,677403000
2022-08-01,668370960
2022-08-02,733602360
2022-08-03,674392320
2022-08-04,642278400
2022-08-05,673388760
2022-08-08,665360280
2022-08-09,681417240
2022-08-10,701488440
2022-08-11,707509800
2022-08-12,730591680
2022-08-15,692456400
2022-08-16,696470640
2022-08-17,691452840
2022-08-18,744641520
2022-08-19,733602360
2022-08-22,717545400
2022-08-23,729588120
2022-08-24,731595240
2022-08-25,739623720
2022-08-26,724570320
2022-08-29,739623720
2022-08-30,692456400
2022-08-31,713531160
2022-09-01,696470640
2022-09-02,739623720
2022-09-06,701488440
2022-09-07,703495560
2022-09-08,742634400
2022-09-09,773744760
2022-09-12,805858679
2022-09-13,795823080
2022-09-14,838976160
2022-09-15,834961920
2022-09-16,762705600
2022-09-19,745645080
2022-09-20,719552520
2022-09-21,700484880
2022-09-22,675395880
2022-09-23,635253480
2022-09-26,627225000
2022-09-27,645289080
2022-09-28,704499120
2022-09-29,694463520
2022-09-30,670757100
2022-10-03,748658000
2022-10-04,769903700
2022-10-05,782044100
2022-10-06,803289800
2022-10-07,800254700
2022-10-10,803289800
2022-10-11,800254700
2022-10-12,800254700
2022-10-13,819477000
2022-10-14,809360000
2022-10-17,831617400
2022-10-18,839711000
2022-10-19,862980099
2022-10-20,856909900
2022-10-21,888272599
2022-10-24,914576799
2022-10-25,949986300
2022-10-26,955044800
2022-10-27,948974600
2022-10-28,979325600
2022-10-31,996524500
2022-11-01,983372400
2022-11-02,972243700
2022-11-03,1008664900
2022-11-04,1011700000
2022-11-07,1024852100
2022-11-08,1014735099
2022-11-09,952009700
2022-11-10,966173500
2022-11-11,1001583000
2022-11-14,999559600
2022-11-15,1012711700
2022-11-16,1006641499
2022-11-17,997536200
2022-11-18,971232000
2022-11-21,929752300
2022-11-22,968196900
2022-11-23,961115000
2022-11-25,952009700
2022-11-28,917611900
2022-11-29,928740600
2022-11-30,968196900
2022-12-01,991466000
2022-12-02,1005629800
2022-12-05,936834200
2022-12-06,929752300
2022-12-07,894342800
2022-12-08,885237500
2022-12-09,856909900
2022-12-12,888272599
2022-12-13,906483200
2022-12-14,896366200
2022-12-15,883214100
2022-12-16,872085399
2022-12-19,866015200
2022-12-20,927728900
2022-12-21,963138400
2022-12-22,971232000
2022-12-23,1008664900
2022-12-27,1011700000
2022-12-28,1010688300
2022-12-29,1024852100
2022-12-30,1052168000
2023-01-03,970750980
2023-01-04,938325060
2023-01-05,949471469
2023-01-06,1003176900
2023-01-09,1027496340
2023-01-10,1115654310
2023-01-11,1083228390
2023-01-12,1123760790
2023-01-13,1149093540
2023-01-17,1192665870
2023-01-18,1149093540
2023-01-19,1167333120
2023-01-20,1203812280
2023-01-23,1195705800
2023-01-24,1203812280
2023-01-25,1183546080
2023-01-26,1183546080
2023-01-27,1179492840
2023-01-30,1143013680
2023-01-31,1161253260
2023-02-01,1236238200
2023-02-02,1204825590
2023-02-03,1247384610
2023-02-06,1246371300
