,BAX
2000-01-03,9251000000
2000-01-04,9042200000
2000-01-05,9436600000
2000-01-06,9639600000
2000-01-07,10184800000
2000-01-10,9796200000
2000-01-11,9796200000
2000-01-12,9686000000
2000-01-13,9912200000
2000-01-14,9610600000
2000-01-18,9488800000
2000-01-19,9465600000
2000-01-20,9193000000
2000-01-21,9158200000
2000-01-24,8937800000
2000-01-25,8740600000
2000-01-26,8740600000
2000-01-27,9494600000
2000-01-28,9448200000
2000-01-31,9628000000
2000-02-01,9512000000
2000-02-02,9552600000
2000-02-03,9570000000
2000-02-04,9570000000
2000-02-07,9506200000
2000-02-08,9488800000
2000-02-09,9477200000
2000-02-10,9129200000
2000-02-11,8932000000
2000-02-14,9007400000
2000-02-15,8914600000
2000-02-16,8723200000
2000-02-17,8694200000
2000-02-18,8421600000
2000-02-22,8589800000
2000-02-23,8543400000
2000-02-24,8311400000
2000-02-25,8166400000
2000-02-28,8270800000
2000-02-29,8212800000
2000-03-01,8450600000
2000-03-02,8560800000
2000-03-03,8537600000
2000-03-06,8195400000
2000-03-07,7806800000
2000-03-08,8160600000
2000-03-09,8404200000
2000-03-10,8450600000
2000-03-13,8102600000
2000-03-14,8137400000
2000-03-15,8885600000
2000-03-16,9401800000
2000-03-17,9309000000
2000-03-20,9297400000
2000-03-21,9477200000
2000-03-22,9459800000
2000-03-23,9639600000
2000-03-24,9268400000
2000-03-27,9175600000
2000-03-28,9088600000
2000-03-29,9082800000
2000-03-30,9268400000
2000-03-31,9480780000
2000-04-03,9829980000
2000-04-04,9812520000
2000-04-05,9783420000
2000-04-06,9486600000
2000-04-07,9393480000
2000-04-10,9585540000
2000-04-11,9754320000
2000-04-12,9632100000
2000-04-13,9492420000
2000-04-14,8939520000
2000-04-17,8922060000
2000-04-18,9149040000
2000-04-19,9207240000
2000-04-20,9457500000
2000-04-24,9800880000
2000-04-25,10510920000
2000-04-26,10283940000
2000-04-27,10365420000
2000-04-28,10295580000
2000-05-01,10051140000
2000-05-02,10080240000
2000-05-03,9853260000
2000-05-04,9731040000
2000-05-05,9771780000
2000-05-08,10115160000
2000-05-09,10423620000
2000-05-10,10505100000
2000-05-11,10720440000
2000-05-12,10435260000
2000-05-15,10574940000
2000-05-16,10668059999
2000-05-17,10540020000
2000-05-18,10592400000
2000-05-19,10574940000
2000-05-22,10592400000
2000-05-23,10702980000
2000-05-24,10889220000
2000-05-25,10691340000
2000-05-26,10365420000
2000-05-30,10464360000
2000-05-31,10510920000
2000-06-01,10702980000
2000-06-02,10051140000
2000-06-05,10411980000
2000-06-06,10254840000
2000-06-07,9958020000
2000-06-08,10097700000
2000-06-09,10237380000
2000-06-12,10336320000
2000-06-13,10574940000
2000-06-14,10691340000
2000-06-15,10633140000
2000-06-16,10476000000
2000-06-19,10493460000
2000-06-20,10540020000
2000-06-21,10749540000
2000-06-22,10510920000
2000-06-23,10441080000
2000-06-26,10749540000
2000-06-27,10900860000
2000-06-28,11255880000
2000-06-29,11360640000
2000-06-30,11269000000
2000-07-03,11381100000
2000-07-05,11912100000
2000-07-06,11345700000
2000-07-07,11298500000
2000-07-10,11469600000
2000-07-11,11528600000
2000-07-12,11528600000
2000-07-13,11328000000
2000-07-14,11139200000
2000-07-17,11640700000
2000-07-18,11670200000
2000-07-19,11788200000
2000-07-20,11988800000
2000-07-21,12602400000
2000-07-24,12508000000
2000-07-25,11959300000
2000-07-26,11941600000
2000-07-27,11941600000
2000-07-28,12331000000
2000-07-31,12460800000
2000-08-01,12490300000
2000-08-02,12673200000
2000-08-03,12649600000
2000-08-04,12407700000
2000-08-07,12502100000
2000-08-08,12148100000
2000-08-09,12030100000
2000-08-10,12820700000
2000-08-11,12649600000
2000-08-14,12820700000
2000-08-15,13033100000
2000-08-16,12578800000
2000-08-17,12720400000
2000-08-18,12708600000
2000-08-21,12820700000
2000-08-22,12850200000
2000-08-23,13109800000
2000-08-24,13540500000
2000-08-25,13552300000
2000-08-28,13481500000
2000-08-29,13463800000
2000-08-30,13581800000
2000-08-31,13339900000
2000-09-01,13481500000
2000-09-05,13239600000
2000-09-06,13062600000
2000-09-07,13068500000
2000-09-08,13351700000
2000-09-11,13139300000
2000-09-12,13233700000
2000-09-13,12962300000
2000-09-14,12702700000
2000-09-15,12732199999
2000-09-18,12980000000
2000-09-19,12820700000
2000-09-20,12637800000
2000-09-21,12791200000
2000-09-22,13162900000
2000-09-25,13092100000
2000-09-26,12991800000
2000-09-27,12690900000
2000-09-28,12708600000
2000-09-29,12791200000
2000-10-02,12508000000
2000-10-03,12673200000
2000-10-04,12289699999
2000-10-05,13162900000
2000-10-06,13239600000
2000-10-09,13021300000
2000-10-10,13398900000
2000-10-11,13634900000
2000-10-12,13434300000
2000-10-13,13463800000
2000-10-16,13800100000
2000-10-17,14130500000
2000-10-18,14242600000
2000-10-19,12578800000
2000-10-20,12142199999
2000-10-23,12272000000
2000-10-24,12260200000
2000-10-25,12637800000
2000-10-26,12537500000
2000-10-27,12779400000
2000-10-30,13092100000
2000-10-31,13168800000
2000-11-01,13121600000
2000-11-02,12820700000
2000-11-03,12909200000
2000-11-06,13080300000
2000-11-07,13180600000
2000-11-08,13269100000
2000-11-09,13310400000
2000-11-10,13398900000
2000-11-13,13251400000
2000-11-14,13168800000
2000-11-15,13334000000
2000-11-16,13139300000
2000-11-17,13039000000
2000-11-20,13339900000
2000-11-21,13522800000
2000-11-22,13322199999
2000-11-24,13251400000
2000-11-27,13263200000
2000-11-28,13611300000
2000-11-29,13929900000
2000-11-30,13870900000
2000-12-01,13670300000
2000-12-04,13794200000
2000-12-05,13764699999
2000-12-06,13735200000
2000-12-07,13853200000
2000-12-08,13770600000
2000-12-11,13434300000
2000-12-12,13540500000
2000-12-13,13634900000
2000-12-14,13623100000
2000-12-15,13611300000
2000-12-18,13670300000
2000-12-19,13811900000
2000-12-20,13540500000
2000-12-21,13599500000
2000-12-22,13398900000
2000-12-26,13693900000
2000-12-27,13965300000
2000-12-28,14201300000
2000-12-29,14154100000
2001-01-02,14360600000
2001-01-03,13841400000
2001-01-04,13062600000
2001-01-05,13304500000
2001-01-08,13623100000
2001-01-09,13764699999
2001-01-10,13611300000
2001-01-11,13564100000
2001-01-12,13369400000
2001-01-16,13593600000
2001-01-17,13310400000
2001-01-18,13623100000
2001-01-19,13310400000
2001-01-22,13924000000
2001-01-23,13623100000
2001-01-24,13351700000
2001-01-25,13870900000
2001-01-26,14030200000
2001-01-29,14059699999
2001-01-30,14024300000
2001-01-31,14083300000
2001-02-01,14101000000
2001-02-02,14047900000
2001-02-05,14077400000
2001-02-06,14095100000
2001-02-07,14095100000
2001-02-08,14142300000
2001-02-09,14106900000
2001-02-12,14342900000
2001-02-13,14224900000
2001-02-14,14071500000
2001-02-15,13776500000
2001-02-16,13900400000
2001-02-20,14295700000
2001-02-21,14696900000
2001-02-22,14502199999
2001-02-23,14325200000
2001-02-26,14484500000
2001-02-27,14590700000
2001-02-28,14755900000
2001-03-01,14844400000
2001-03-02,14956500000
2001-03-05,15257400000
2001-03-06,15133500000
2001-03-07,14478600000
2001-03-08,14862100000
2001-03-09,14885700000
2001-03-12,14460900000
2001-03-13,14726400000
2001-03-14,14502199999
2001-03-15,14431400000
2001-03-16,14407800000
2001-03-19,14425500000
2001-03-20,14325200000
2001-03-21,14331100000
2001-03-22,13652600000
2001-03-23,14101000000
2001-03-26,14283900000
2001-03-27,14478600000
2001-03-28,14850300000
2001-03-29,15056800000
2001-03-30,15086300000
2001-04-02,14850300000
2001-04-03,14425500000
2001-04-04,14785400000
