,BDX
2001-01-23,8526466101
2001-01-24,8697865210
2001-01-25,8792518449
2001-01-26,8728563557
2001-01-29,8743912731
2001-01-30,8690190623
2001-01-31,8575071818
2001-02-01,8690190623
2001-02-02,9040663427
2001-02-05,8969033948
2001-02-06,9127642079
2001-02-07,8994615905
2001-02-08,9222295318
2001-02-09,9235086296
2001-02-12,9396252622
2001-02-13,9726259861
2001-02-14,9322064948
2001-02-15,9104618318
2001-02-16,9168573209
2001-02-20,9252993666
2001-02-21,9278575622
2001-02-22,9076478166
2001-02-23,8779727470
2001-02-26,9117409296
2001-02-27,8951126579
2001-02-28,8974150340
2001-03-01,8994615905
2001-03-02,8940893796
2001-03-05,8846240557
2001-03-06,8697865210
2001-03-07,8738796340
2001-03-08,8892288079
2001-03-09,8979266731
2001-03-12,8856473340
2001-03-13,8723447166
2001-03-14,8508558731
2001-03-15,8454836623
2001-03-16,8094131036
2001-03-19,8608328362
2001-03-20,8380648949
2001-03-21,8444603840
2001-03-22,7981570428
2001-03-23,8232273601
2001-03-26,8206691645
2001-03-27,8229715406
2001-03-28,8268088340
2001-03-29,8572513623
2001-03-30,8807867622
2001-04-02,8844607220
2001-04-03,8524580580
2001-04-04,8514257140
2001-04-05,8800732600
2001-04-06,8687174760
2001-04-09,8741372820
2001-04-10,8790409160
2001-04-11,8527161440
2001-04-12,8671689600
2001-04-16,8640719280
2001-04-17,8811056040
2001-04-18,8723306800
2001-04-19,8516838000
2001-04-20,8253590280
2001-04-23,8134870720
2001-04-24,7850976120
2001-04-25,7946467940
2001-04-26,7954210520
2001-04-27,8189068780
2001-04-30,8140032440
2001-05-01,8240685980
2001-05-02,8098738680
2001-05-03,7902593320
2001-05-04,7925821060
2001-05-07,8034217180
2001-05-08,7923240200
2001-05-09,8036798040
2001-05-10,7698705380
2001-05-11,7582566680
2001-05-14,7745160860
2001-05-15,7755484300
2001-05-16,7820005800
2001-05-17,7799358920
2001-05-18,7760646020
2001-05-21,7990342560
2001-05-22,8116804700
2001-05-23,7967114820
2001-05-24,8183907060
2001-05-25,8349082100
2001-05-29,8331016080
2001-05-30,8617491540
2001-05-31,8638138420
2001-06-01,8769762280
2001-06-04,8888481840
2001-06-05,9038171720
2001-06-06,8880739260
2001-06-07,8883320120
2001-06-08,8836864640
2001-06-11,8676851320
2001-06-12,8718145080
2001-06-13,8787828300
2001-06-14,8692336480
2001-06-15,8800732600
2001-06-18,8854930660
2001-06-19,8808475180
2001-06-20,9007201400
2001-06-21,9058818600
2001-06-22,8986554520
2001-06-25,8906547860
2001-06-26,8960745920
2001-06-27,8883320120
2001-06-28,8950422480
2001-06-29,9004620540
2001-07-02,9151440217
2001-07-03,9073267323
2001-07-05,9161863270
2001-07-06,8963825270
2001-07-09,9062844270
2001-07-10,9096719191
2001-07-11,8945584928
2001-07-12,9052421217
2001-07-13,9172286323
2001-07-16,9378141612
2001-07-17,9320814823
2001-07-18,9286939902
2001-07-19,8601624191
2001-07-20,8825719822
2001-07-23,8841354401
2001-07-24,8718883533
2001-07-25,8734518112
2001-07-26,8838748638
2001-07-27,8849171691
2001-07-30,8752758454
2001-07-31,8778816086
2001-08-01,8695431664
2001-08-02,8528662822
2001-08-03,8507816717
2001-08-06,8570355033
2001-08-07,8656345217
2001-08-08,8638104875
2001-08-09,8794450665
2001-08-10,8836142875
2001-08-13,8979459849
2001-08-14,9052421217
2001-08-15,9203555481
2001-08-16,9281728375
2001-08-17,9273911086
2001-08-20,9435468402
2001-08-21,9398987718
2001-08-22,9516247060
2001-08-23,9511035534
2001-08-24,9492795191
2001-08-27,9492795191
2001-08-28,9456314507
2001-08-29,9409410770
2001-08-30,9206161244
2001-08-31,9127988349
2001-09-04,9247853454
2001-09-05,9195738191
2001-09-06,8995094428
2001-09-07,8841354401
2001-09-10,8976854086
2001-09-17,9182709375
2001-09-18,9068055796
2001-09-19,8971642559
2001-09-20,8846565928
2001-09-21,8549508927
2001-09-24,8705854717
2001-09-25,8828325586
2001-09-26,8776210322
2001-09-27,9539698928
2001-09-28,9398987718
2001-10-01,9323420586
2001-10-02,9412016533
2001-10-03,9383353139
2001-10-04,9247853454
2001-10-05,9521458586
2001-10-08,9602237244
2001-10-09,9503218244
2001-10-10,9578785376
2001-10-11,9641323692
2001-10-12,9654352507
2001-10-15,9680410139
2001-10-16,9646535218
2001-10-17,9352083981
2001-10-18,9336449402
2001-10-19,9284334139
2001-10-22,9565756560
2001-10-23,9500612481
2001-10-24,9487583665
2001-10-25,9456314507
2001-10-26,9323420586
2001-10-29,9211372770
2001-10-30,8948190691
2001-10-31,9094113428
2001-11-01,9430256876
2001-11-02,9461526033
2001-11-05,9623083349
2001-11-06,9385958902
2001-11-07,9323420586
2001-11-08,8325413296
2001-11-09,8632893349
2001-11-12,8377528559
2001-11-13,8562537743
2001-11-14,8447884164
2001-11-15,8382740085
2001-11-16,8182096322
2001-11-19,8231605822
2001-11-20,8148221401
2001-11-21,8135192585
2001-11-23,8205548190
2001-11-26,8255057690
2001-11-27,8255057690
2001-11-28,8372317033
2001-11-29,8575566559
2001-11-30,8604229954
2001-12-03,8632893349
2001-12-04,8810085243
2001-12-05,8565143506
2001-12-06,8476547559
2001-12-07,8257663454
2001-12-10,8135192585
2001-12-11,8278509559
2001-12-12,8262874980
2001-12-13,8205548190
2001-12-14,8249846164
2001-12-17,8218577006
2001-12-18,8359288217
2001-12-19,8382740085
2001-12-20,8484364848
2001-12-21,8513028243
2001-12-24,8609441480
2001-12-26,8427038059
2001-12-27,8400980427
2001-12-28,8549508927
2001-12-31,8308954880
2002-01-02,8344946640
2002-01-03,8098146000
2002-01-04,8121283560
2002-01-07,8057012560
2002-01-08,8136708600
2002-01-09,8198408760
2002-01-10,8293529839
2002-01-11,8409217640
2002-01-14,8522334600
2002-01-15,8481201160
2002-01-16,8558326360
2002-01-17,8645734920
2002-01-18,8584034760
2002-01-22,8560897199
2002-01-23,8730572640
2002-01-24,8645734920
2002-01-25,8897677240
2002-01-28,8910531440
2002-01-29,8792272800
2002-01-30,8982514960
2002-01-31,9077636040
2002-02-01,9136765360
2002-02-04,9111056960
2002-02-05,9188182160
2002-02-06,9111056960
2002-02-07,9026219240
2002-02-08,9015935880
2002-02-11,9195894680
