,DHR
2000-01-03,4459541240
2000-01-04,4299660120
2000-01-05,4345340440
2000-01-06,4391020760
2000-01-07,4430991040
2000-01-10,4516641640
2000-01-11,4408150880
2000-01-12,4288240040
2000-01-13,4351050480
2000-01-14,4351050480
2000-01-18,4231139640
2000-01-19,4185459320
2000-01-20,4094098680
2000-01-21,3951347680
2000-01-24,3643005520
2000-01-25,3865697079
2000-01-26,3979897880
2000-01-27,3985607920
2000-01-28,4054128400
2000-01-31,4134068960
2000-02-01,4145489040
2000-02-02,4139779000
2000-02-03,4179749280
2000-02-04,4145489040
2000-02-07,4134068960
2000-02-08,4202589440
2000-02-09,4185459320
2000-02-10,3997028000
2000-02-11,3939927600
2000-02-14,3928507520
2000-02-15,3951347680
2000-02-16,3922797480
2000-02-17,3928507520
2000-02-18,3825726800
2000-02-22,3814306720
2000-02-23,3768626400
2000-02-24,3700105920
2000-02-25,3688685840
2000-02-28,3762916360
2000-02-29,3911377400
2000-03-01,3974187840
2000-03-02,3871407120
2000-03-03,3837146880
2000-03-06,3848566960
2000-03-07,3625875400
2000-03-08,3563064960
2000-03-09,3643005520
2000-03-10,3688685840
2000-03-13,3603035240
2000-03-14,3603035240
2000-03-15,3745786240
2000-03-16,4168329200
2000-03-17,4168329200
2000-03-20,4128358920
2000-03-21,4191169360
2000-03-22,4076968560
2000-03-23,4088388640
2000-03-24,3962767760
2000-03-27,4151199079
2000-03-28,4248269760
2000-03-29,4533771760
2000-03-30,4802143640
2000-03-31,4876192880
2000-04-03,4933091280
2000-04-04,5018438880
2000-04-05,5109476320
2000-04-06,5081027120
2000-04-07,4944470960
2000-04-10,4904642080
2000-04-11,4955850640
2000-04-12,4842053840
2000-04-13,4938781120
2000-04-14,4591700880
2000-04-17,4762396080
2000-04-18,4711187520
2000-04-19,4904642080
2000-04-20,5058267760
2000-04-24,5109476320
2000-04-25,5251722320
2000-04-26,5342759760
2000-04-27,5445176880
2000-04-28,5456556560
2000-05-01,5627251760
2000-05-02,5519144800
2000-05-03,5382588640
2000-05-04,5302930880
2000-05-05,5502075280
2000-05-08,5439487040
2000-05-09,5371208960
2000-05-10,5302930880
2000-05-11,5302930880
2000-05-12,5285861359
2000-05-15,5257412160
2000-05-16,5302930880
2000-05-17,5257412160
2000-05-18,5149305200
2000-05-19,4933091280
2000-05-22,4921711600
2000-05-23,4722567200
2000-05-24,4768085920
2000-05-25,4779465600
2000-05-26,4603080560
2000-05-30,4637219600
2000-05-31,4603080560
2000-06-01,4580321200
2000-06-02,4807914800
2000-06-05,4785155440
2000-06-06,4785155440
2000-06-07,4682738320
2000-06-08,4688428160
2000-06-09,4773775760
2000-06-12,4711187520
2000-06-13,4716877359
2000-06-14,4608770400
2000-06-15,4631529760
2000-06-16,4688428160
2000-06-19,4563251680
2000-06-20,4546182160
2000-06-21,4540492320
2000-06-22,4603080560
2000-06-23,4557561840
2000-06-26,4586011040
2000-06-27,4688428160
2000-06-28,4665668800
2000-06-29,4620150080
2000-06-30,4726451600
2000-07-03,4743535160
2000-07-05,4584088600
2000-07-06,4487281760
2000-07-07,4549921480
2000-07-10,4527143400
2000-07-11,4436031080
2000-07-12,4492976280
2000-07-13,4441725600
2000-07-14,4373391360
2000-07-17,4356307800
2000-07-18,4453114640
2000-07-19,4441725600
2000-07-20,4561310520
2000-07-21,4623950240
2000-07-24,4669506400
2000-07-25,4794785840
2000-07-26,4772007760
2000-07-27,4646728320
2000-07-28,4669506400
2000-07-31,4874509120
2000-08-01,4772007760
2000-08-02,4783396800
2000-08-03,4857425560
2000-08-04,5159235120
2000-08-07,5090900880
2000-08-08,5136457040
2000-08-09,5244652920
2000-08-10,5267431000
2000-08-11,5301598120
2000-08-14,5290209079
2000-08-15,5113678960
2000-08-16,5045344720
2000-08-17,5085206360
2000-08-18,5256041960
2000-08-21,5238958400
2000-08-22,5233263880
2000-08-23,5261736480
2000-08-24,5318681680
2000-08-25,5295903600
2000-08-28,5307292640
2000-08-29,5398404960
2000-08-30,5307292640
2000-08-31,5375626880
2000-09-01,5387015920
2000-09-05,5347154280
2000-09-06,5142151560
2000-09-07,5187707720
2000-09-08,5062428280
2000-09-11,5022566640
2000-09-12,5056733760
2000-09-13,5056733760
2000-09-14,4994094040
2000-09-15,5016872120
2000-09-18,4806174880
2000-09-19,4589783120
2000-09-20,4641033800
2000-09-21,4612561200
2000-09-22,4595477640
2000-09-25,4669506400
2000-09-26,4578394079
2000-09-27,4595477640
2000-09-28,4794785840
2000-09-29,5031884000
2000-10-02,5001789000
2000-10-03,5043922000
2000-10-04,5206435000
2000-10-05,5242549000
2000-10-06,5194397000
2000-10-09,5218473000
2000-10-10,5260606000
2000-10-11,5368948000
2000-10-12,5200416000
2000-10-13,5332834000
2000-10-16,5417100000
2000-10-17,5308758000
2000-10-18,5362929000
2000-10-19,5579613000
2000-10-20,5736107000
2000-10-23,5706012000
2000-10-24,5633784000
2000-10-25,5501366000
2000-10-26,5627765000
2000-10-27,5832411000
2000-10-30,6025019000
2000-10-31,6380140000
2000-11-01,6283836000
2000-11-02,6307912000
2000-11-03,6217627000
2000-11-06,6319950000
2000-11-07,6259760000
2000-11-08,6313931000
2000-11-09,6259760000
2000-11-10,6175494000
2000-11-13,6181513000
2000-11-14,6295874000
2000-11-15,6440330000
2000-11-16,6422273000
2000-11-17,6458387000
2000-11-20,6428292000
2000-11-21,6476444000
2000-11-22,6338007000
2000-11-24,6536634000
2000-11-27,6524596000
2000-11-28,6428292000
2000-11-29,6572748000
2000-11-30,6590805000
2000-12-01,6596824000
2000-12-04,6650995000
2000-12-05,6903793000
2000-12-06,6735261000
2000-12-07,6849622000
2000-12-08,6867679000
2000-12-11,6933888000
2000-12-12,6867679000
2000-12-13,6578767000
2000-12-14,6350045000
2000-12-15,6584786000
2000-12-18,6566729000
2000-12-19,6482463000
2000-12-20,6313931000
2000-12-21,6301893000
2000-12-22,6392178000
2000-12-26,6638957000
2000-12-27,6873698000
2000-12-28,6945925999
2000-12-29,6909812000
2001-01-02,6383610320
2001-01-03,6497909520
2001-01-04,6377895360
2001-01-05,6200731600
2001-01-08,5617805680
2001-01-09,5812114320
2001-01-10,5937843440
2001-01-11,6097862320
2001-01-12,6120722160
2001-01-16,6103577280
2001-01-17,5949273360
2001-01-18,5983563120
2001-01-19,5909268640
