,MAT
2000-01-03,5558028437
2000-01-04,5611215312
2000-01-05,5425061250
2000-01-06,5558028437
2000-01-07,5398467812
2000-01-10,5531435000
2000-01-11,5690995625
2000-01-12,5611215312
2000-01-13,5850556250
2000-01-14,5504841562
2000-01-18,5398467812
2000-01-19,5318687500
2000-01-20,5212313750
2000-01-21,5052753125
2000-01-24,4680445000
2000-01-25,4387917187
2000-01-26,4707038437
2000-01-27,4680445000
2000-01-28,4627258125
2000-01-31,4441104062
2000-02-01,4414510625
2000-02-02,5026159687
2000-02-03,4627258125
2000-02-04,4574071250
2000-02-07,4520884375
2000-02-08,4441104062
2000-02-09,4574071250
2000-02-10,4361323750
2000-02-11,4547477812
2000-02-14,4840005625
2000-02-15,4653851562
2000-02-16,4707038437
2000-02-17,4574071250
2000-02-18,4441104062
2000-02-22,4441104062
2000-02-23,4387917187
2000-02-24,4254950000
2000-02-25,4121982812
2000-02-28,4148576250
2000-02-29,4095389375
2000-03-01,4068795937
2000-03-02,4042202500
2000-03-03,4361323750
2000-03-06,4228356562
2000-03-07,4042202500
2000-03-08,3882641875
2000-03-09,3882641875
2000-03-10,3856048437
2000-03-13,4361323750
2000-03-14,4201763125
2000-03-15,4361323750
2000-03-16,4441104062
2000-03-17,4653851562
2000-03-20,4627258125
2000-03-21,4520884375
2000-03-22,4387917187
2000-03-23,4467697500
2000-03-24,4467697500
2000-03-27,4494290937
2000-03-28,4574071250
2000-03-29,4414510625
2000-03-30,4387917187
2000-03-31,4471089000
2000-04-03,4657384375
2000-04-04,4471089000
2000-04-05,5056588750
2000-04-06,5269497750
2000-04-07,5269497750
2000-04-10,5109816000
2000-04-11,5109816000
2000-04-12,5136429625
2000-04-13,5003361500
2000-04-14,4737225250
2000-04-17,4790452500
2000-04-18,5003361500
2000-04-19,4976747875
2000-04-20,4843679750
2000-04-24,4817066125
2000-04-25,5216270500
2000-04-26,5189656875
2000-04-27,5242884125
2000-04-28,5242884125
2000-05-01,5163043250
2000-05-02,5083202375
2000-05-03,5003361500
2000-05-04,4923520625
2000-05-05,4976747875
2000-05-08,5056588750
2000-05-09,4950134250
2000-05-10,4817066125
2000-05-11,4763838875
2000-05-12,4577543500
2000-05-15,4657384375
2000-05-16,4790452500
2000-05-17,5429179500
2000-05-18,5562247625
2000-05-19,5349338625
2000-05-22,5269497750
2000-05-23,5535634000
2000-05-24,5828383875
2000-05-25,5881611125
2000-05-26,5775156625
2000-05-30,5775156625
2000-05-31,5775156625
2000-06-01,5988065625
2000-06-02,6147747375
2000-06-05,6227588250
2000-06-06,6121133750
2000-06-07,6254201875
2000-06-08,6387270000
2000-06-09,6200974625
2000-06-12,6174361000
2000-06-13,6174361000
2000-06-14,6094520125
2000-06-15,5961452000
2000-06-16,5801770250
2000-06-19,5615474875
2000-06-20,5509020375
2000-06-21,5615474875
2000-06-22,5535634000
2000-06-23,5642088500
2000-06-26,5588861250
2000-06-27,5695315750
2000-06-28,5542287406
2000-06-29,5509020375
2000-06-30,5623070875
2000-07-03,5703019750
2000-07-05,5596421250
2000-07-06,5623070875
2000-07-07,5862917500
2000-07-10,5889567125
2000-07-11,5782968625
2000-07-12,5756319000
2000-07-13,5703019750
2000-07-14,5809618250
2000-07-17,5782968625
2000-07-18,5756319000
2000-07-19,5596421250
2000-07-20,5436523500
2000-07-21,5303275375
2000-07-24,5303275375
2000-07-25,5116728000
2000-07-26,4930180625
2000-07-27,4956830250
2000-07-28,4690334000
2000-07-31,4716983625
