,RMD
2000-01-03,628045893
2000-01-04,625587788
2000-01-05,625587788
2000-01-06,625587788
2000-01-07,628045893
2000-01-10,635420209
2000-01-11,639107367
2000-01-12,628045893
2000-01-13,666146525
2000-01-14,651397893
2000-01-18,689498525
2000-01-19,704247156
2000-01-20,743576841
2000-01-21,836984841
2000-01-24,843130104
2000-01-25,766928841
2000-01-26,734973472
2000-01-27,687040420
2000-01-28,675978946
2000-01-31,661230314
2000-02-01,682124209
2000-02-02,656314104
2000-02-03,784135577
2000-02-04,838213893
2000-02-07,852962525
2000-02-08,860336841
2000-02-09,899666525
2000-02-10,937767156
2000-02-11,883688840
2000-02-14,886146946
2000-02-15,870169262
2000-02-16,868940209
2000-02-17,873856419
2000-02-18,880001683
2000-02-22,911957051
2000-02-23,916873261
2000-02-24,1054527156
2000-02-25,1047152840
2000-02-28,1136873682
2000-02-29,1146706103
2000-03-01,1214303998
2000-03-02,1205700630
2000-03-03,1192181051
2000-03-06,1213074945
2000-03-07,1186035787
2000-03-08,1184806735
2000-03-09,1214303998
2000-03-10,1156538524
2000-03-13,1117208840
2000-03-14,921789472
2000-03-15,1021342735
2000-03-16,1129499366
2000-03-17,1122125051
2000-03-20,1117208840
2000-03-21,1134415577
2000-03-22,1217991156
2000-03-23,1214303998
2000-03-24,1091398735
2000-03-27,1044694735
2000-03-28,1117208840
2000-03-29,1060672419
2000-03-30,1069275788
2000-03-31,1064971252
2000-04-03,1100788671
2000-04-04,944385942
2000-04-05,1044674715
2000-04-06,995724242
2000-04-07,1020796435
2000-04-10,1087655617
2000-04-11,992142500
2000-04-12,962294651
2000-04-13,869169362
2000-04-14,881108502
2000-04-17,878720674
2000-04-18,1025572091
2000-04-19,992142500
2000-04-20,949161598
2000-04-24,805891923
2000-04-25,908568523
2000-04-26,1011245124
2000-04-27,1011245124
2000-04-28,1014826866
2000-05-01,1136606089
2000-05-02,1072134736
2000-05-03,832158030
2000-05-04,832158030
2000-05-05,858424137
2000-05-08,846484997
2000-05-09,828576288
2000-05-10,791564955
2000-05-11,746196225
2000-05-12,719930117
2000-05-15,779625815
2000-05-16,736644913
2000-05-17,746196225
2000-05-18,746196225
2000-05-19,746196225
2000-05-22,716348376
2000-05-23,709184892
2000-05-24,684112699
2000-05-25,660234419
2000-05-26,656652678
2000-05-30,712766634
2000-05-31,716348376
2000-06-01,727093601
2000-06-02,755747536
2000-06-05,802310181
2000-06-06,824994546
2000-06-07,786789299
2000-06-08,773656246
2000-06-09,782013643
2000-06-12,759329278
2000-06-13,809473664
2000-06-14,895435470
2000-06-15,912150265
2000-06-16,865587621
2000-06-19,902598953
2000-06-20,912150265
2000-06-21,893047642
2000-06-22,871557190
2000-06-23,716348376
2000-06-26,766492762
2000-06-27,795146697
2000-06-28,816637148
2000-06-29,798728439
2000-06-30,824475600
2000-07-03,797362800
2000-07-05,812151600
2000-07-06,818313600
2000-07-07,818313600
2000-07-10,812151600
2000-07-11,759158400
2000-07-12,773947200
2000-07-13,794898000
2000-07-14,808454400
2000-07-17,858982800
2000-07-18,876236400
2000-07-19,851588400
2000-07-20,834334800
2000-07-21,818313600
2000-07-24,824475600
2000-07-25,866377200
2000-07-26,893490000
2000-07-27,883630800
2000-07-28,862680000
2000-07-31,855285600
2000-08-01,891025200
2000-08-02,944018400
2000-08-03,1043842800
2000-08-04,1043842800
2000-08-07,1010567999
2000-08-08,985920000
2000-08-09,921835200
2000-08-10,1040145599
2000-08-11,1075885200
2000-08-14,1041377999
2000-08-15,1043842800
2000-08-16,1063561200
2000-08-17,1074652800
2000-08-18,1072187999
2000-08-21,1088209200
2000-08-22,1047540000
2000-08-23,1037680800
2000-08-24,1078350000
2000-08-25,1084512000
2000-08-28,1109160000
2000-08-29,1068490800
2000-08-30,1070955599
2000-08-31,1133808000
2000-09-01,1181871600
2000-09-05,1149829200
2000-09-06,1122716400
2000-09-07,1120251600
2000-09-08,1109160000
2000-09-11,1143667200
2000-09-12,1125181200
2000-09-13,1098068400
2000-09-14,1143667200
2000-09-15,1109160000
2000-09-18,1075885200
2000-09-19,1115322000
2000-09-20,1036448400
2000-09-21,1036448400
2000-09-22,1075885200
2000-09-25,1085744400
2000-09-26,993314400
2000-09-27,983455200
2000-09-28,997011600
2000-09-29,962504400
2000-10-02,954698120
2000-10-03,947249240
2000-10-04,869036000
2000-10-05,814410880
2000-10-06,837999000
2000-10-09,855379720
2000-10-10,880209320
2000-10-11,893865600
2000-10-12,859104160
2000-10-13,897590040
2000-10-16,903797440
2000-10-17,896348560
2000-10-18,869036000
2000-10-19,896348560
2000-10-20,942283320
2000-10-23,927385560
2000-10-24,942283320
