,KMB
2000-01-03,32941337206
2000-01-04,32651562787
2000-01-05,32493006973
2000-01-06,32974141857
2000-01-07,33941879066
2000-01-10,34712788369
2000-01-11,33941879066
2000-01-12,33684909299
2000-01-13,33974683718
2000-01-14,33712246508
2000-01-18,33006946508
2000-01-19,33072555811
2000-01-20,33105360462
2000-01-21,33329525578
2000-01-24,32493006973
2000-01-25,32072013950
2000-01-26,33455276741
2000-01-27,33520886043
2000-01-28,32525811625
2000-01-31,32006404648
2000-02-01,31716630229
2000-02-02,31749434881
2000-02-03,32170427904
2000-02-04,31716630229
2000-02-07,31623683718
2000-02-08,31913458136
2000-02-09,31426855811
2000-02-10,30202148834
2000-02-11,29852232555
2000-02-14,29529653485
2000-02-15,29885037206
2000-02-16,29496848834
2000-02-17,28337751160
2000-02-18,27244262788
2000-02-22,28496306974
2000-02-23,28272141858
2000-02-24,27435623253
2000-02-25,26500690695
2000-02-28,26741258137
2000-02-29,26533495346
2000-03-01,25183037207
2000-03-02,25374397672
2000-03-03,26692051160
2000-03-06,26085165114
2000-03-07,23378781393
2000-03-08,25243179067
2000-03-09,25855532555
2000-03-10,24472269765
2000-03-13,24570683718
2000-03-14,23701360463
2000-03-15,26210916276
2000-03-16,28660330230
2000-03-17,27823811625
2000-03-20,27534037206
2000-03-21,27304404648
2000-03-22,26692051160
2000-03-23,27534037206
2000-03-24,27370013951
2000-03-27,26790465114
2000-03-28,26631909300
2000-03-29,27370013951
2000-03-30,29174269764
2000-03-31,28680086250
2000-04-03,30341283750
2000-04-04,30216422500
2000-04-05,28582368750
2000-04-06,28712658750
2000-04-07,28777803750
2000-04-10,28680086250
2000-04-11,29445540000
2000-04-12,30471573750
2000-04-13,30949303750
2000-04-14,28647513750
2000-04-17,30053560000
2000-04-18,29798408750
2000-04-19,29673547500
2000-04-20,30504146250
2000-04-24,30884158750
2000-04-25,31204455000
2000-04-26,30694152500
2000-04-27,30118705000
2000-04-28,29640975000
2000-05-01,29222961250
2000-05-02,29608402500
2000-05-03,29575830000
2000-05-04,29896126250
2000-05-05,30151277500
2000-05-08,29988415000
2000-05-09,30916731250
2000-05-10,30694152500
2000-05-11,31492178750
2000-05-12,30802727500
2000-05-15,31204455000
2000-05-16,31334745000
2000-05-17,32007910000
2000-05-18,31139310000
2000-05-19,30949303750
2000-05-22,30694152500
2000-05-23,30563862500
2000-05-24,30596435000
2000-05-25,29896126250
2000-05-26,29673547500
2000-05-30,29988415000
2000-05-31,30949303750
2000-06-01,31334745000
2000-06-02,30661580000
2000-06-05,30504146250
2000-06-06,31014448750
2000-06-07,30020987500
2000-06-08,29798408750
2000-06-09,30151277500
2000-06-12,30053560000
2000-06-13,29478112500
2000-06-14,30308711250
2000-06-15,30439001250
2000-06-16,29988415000
2000-06-19,29478112500
2000-06-20,27816915000
2000-06-21,27974348750
2000-06-22,27784342500
2000-06-23,28104638750
2000-06-26,28072066250
2000-06-27,28490080000
2000-06-28,27659481250
2000-06-29,28810376250
2000-06-30,29039546355
2000-07-03,29071770746
2000-07-05,29163073185
2000-07-06,28470248794
2000-07-07,28405800014
2000-07-10,28813975624
2000-07-11,29512170746
2000-07-12,29512170746
2000-07-13,29861268307
2000-07-14,29447721965
2000-07-17,29227521965
2000-07-18,28942873185
2000-07-19,29098624404
2000-07-20,29098624404
2000-07-21,28722673185
2000-07-24,28813975624
2000-07-25,28878424404
2000-07-26,30237219527
2000-07-27,29925717088
2000-07-28,30333892698
2000-07-31,29071770746
2000-08-01,30113692697
2000-08-02,31064312210
2000-08-03,30554092698
2000-08-04,30017019527
2000-08-07,29861268307
2000-08-08,29608843917
2000-08-09,28846200014
2000-08-10,29512170746
2000-08-11,29732370746
2000-08-14,30870965869
2000-08-15,30178141478
2000-08-16,29544395136
2000-08-17,28942873185
2000-08-18,30301668307
2000-08-21,29984795136
2000-08-22,29512170746
2000-08-23,29415497575
2000-08-24,29098624404
2000-08-25,29952570746
2000-08-28,29667921966
2000-08-29,29544395136
2000-08-30,29291970746
2000-08-31,29608843917
2000-09-01,29512170746
2000-09-05,29829043917
2000-09-06,29667921966
2000-09-07,29732370746
2000-09-08,29098624404
2000-09-11,28088926843
2000-09-12,27868726843
2000-09-13,27267204891
2000-09-14,25747287817
2000-09-15,25811736598
2000-09-18,26096385378
2000-09-19,26128609769
2000-09-20,25462639037
2000-09-21,26252136598
2000-09-22,27487404891
2000-09-25,26885882940
2000-09-26,27079229281
2000-09-27,27014780501
2000-09-28,28658224404
2000-09-29,28244678062
2000-10-02,27444608203
2000-10-03,27878808063
2000-10-04,28101203113
2000-10-05,28503632251
2000-10-06,29282014927
2000-10-09,28069432392
2000-10-10,27788791019
2000-10-11,29033144275
2000-10-12,28159449436
2000-10-13,28752502903
2000-10-16,29504409977
2000-10-17,29001373554
2000-10-18,29970380558
2000-10-19,29657968464
2000-10-20,29843297672
2000-10-23,29409097812
2000-10-24,31934870167
2000-10-25,31278275257
2000-10-26,31246504536
2000-10-27,32649711399
2000-10-30,33867589055
2000-10-31,32930352772
2000-11-01,32681482121
2000-11-02,31871328724
2000-11-03,32369070027
2000-11-06,32369070027
2000-11-07,32183740818
2000-11-08,32183740818
2000-11-09,32993894215
2000-11-10,32681482121
2000-11-13,33089206379
2000-11-14,32183740818
2000-11-15,32713252842
2000-11-16,32030182331
2000-11-17,32591465077
2000-11-20,33306306309
2000-11-21,33994671940
2000-11-22,34460642521
2000-11-24,33714030568
2000-11-27,33120977101
2000-11-28,33994671940
2000-11-29,34836596058
2000-11-30,34894842381
2000-12-01,35334337361
2000-12-04,35826783543
2000-12-05,33544586720
2000-12-06,33703440327
2000-12-07,34381215718
2000-12-08,33163338063
2000-12-11,32506743153
2000-12-12,32856221089
2000-12-13,32496152912
2000-12-14,32580874836
2000-12-15,32183740818
2000-12-18,32930352772
2000-12-19,33285125828
2000-12-20,33105091740
2000-12-21,33925835377
2000-12-22,33676964726
2000-12-26,33825228093
