,AL
2011-04-19,2544549245
2011-04-20,2558205144
2011-04-21,2644692507
2011-04-25,2621932675
2011-04-26,2621932675
2011-04-27,2600083236
2011-04-28,2550921998
2011-04-29,2512685480
2011-05-02,2519058233
2011-05-03,2469896995
2011-05-04,2429839691
2011-05-05,2423466937
2011-05-06,2436212444
2011-05-09,2482642501
2011-05-10,2526341379
2011-05-11,2531803739
2011-05-12,2608276775
2011-05-13,2635588574
2011-05-16,2638319754
2011-05-17,2599172842
2011-05-18,2640140541
2011-05-19,2689301778
2011-05-20,2703868071
2011-05-23,2617380708
2011-05-24,2620111888
2011-05-25,2569129864
2011-05-26,2599172842
2011-05-27,2588248123
2011-05-31,2594620876
2011-06-01,2529982952
2011-06-02,2511775087
2011-06-03,2400707105
2011-06-06,2344262721
2011-06-07,2269610471
2011-06-08,2244119459
2011-06-09,2266879292
2011-06-10,2267789685
2011-06-13,2333338002
2011-06-14,2397065532
2011-06-15,2346993901
2011-06-16,2344262721
2011-06-17,2357918621
2011-06-20,2349725081
2011-06-21,2349725081
2011-06-22,2338800362
2011-06-23,2275072831
2011-06-24,2143976197
2011-06-27,2183123109
2011-06-28,2265968898
2011-06-29,2230463560
2011-06-30,2446354476
2011-07-01,2523904618
2011-07-05,2515847460
2011-07-06,2518868894
2011-07-07,2523904618
2011-07-08,2519876039
2011-07-11,2501747434
2011-07-12,2466497370
2011-07-13,2473547383
2011-07-14,2493690277
2011-07-15,2489661698
2011-07-18,2476568817
2011-07-19,2499733145
2011-07-20,2505776013
2011-07-21,2512826026
2011-07-22,2512826026
2011-07-25,2510811737
2011-07-26,2513833171
2011-07-27,2491675987
2011-07-28,2465490225
2011-07-29,2460454502
2011-08-01,2453404489
2011-08-02,2360747176
2011-08-03,2353697163
2011-08-04,2248954115
2011-08-05,2268089864
2011-08-08,2051553753
2011-08-09,2132125329
2011-08-10,2054575187
2011-08-11,2145218211
2011-08-12,2272118443
2011-08-15,2297297060
2011-08-16,2260032706
2011-08-17,2248954115
2011-08-18,2162339670
2011-08-19,2130111040
2011-08-22,2155289658
2011-08-23,2199604024
2011-08-24,2205646893
2011-08-25,2165361105
2011-08-26,2203632603
2011-08-29,2276147022
2011-08-30,2277154166
2011-08-31,2297297060
2011-09-01,2252982693
2011-09-02,2211689761
2011-09-06,2162339670
2011-09-07,2193561156
2011-09-08,2171403973
2011-09-09,2126082461
2011-09-12,2045510885
2011-09-13,2115003870
2011-09-14,2090832397
2011-09-15,2050546609
2011-09-16,2038460872
2011-09-19,2016303689
2011-09-20,1990117927
2011-09-21,1979039335
2011-09-22,1987096493
2011-09-23,2002203663
2011-09-26,2051553753
2011-09-27,2129103895
2011-09-28,2092846686
2011-09-29,2104932422
2011-09-30,1720184544
2011-10-03,1609089292
2011-10-04,1597442209
2011-10-05,1666428777
2011-10-06,1699578166
2011-10-07,1655677623
2011-10-10,1718392685
2011-10-11,1691514801
2011-10-12,1687931083
2011-10-13,1704953743
2011-10-14,1738999062
2011-10-17,1734519415
2011-10-18,1810673418
2011-10-19,1852782102
2011-10-20,1871596621
2011-10-21,1992547096
2011-10-24,1985379661
2011-10-25,1961189566
2011-10-26,1986275590
2011-10-27,2047198793
2011-10-28,2023904627
2011-10-31,2000610461
2011-11-01,2020320909
2011-11-02,2039135428
2011-11-03,2039135428
2011-11-04,2044511004
2011-11-07,2041823216
2011-11-08,2085723759
2011-11-09,2022112768
2011-11-10,2031072063
2011-11-11,2074972606
2011-11-14,2067805170
2011-11-15,2005986038
2011-11-16,1988067449
