,LIN
2000-01-03,7942952060
2000-01-04,7802651020
2000-01-05,7942952060
2000-01-06,8529665500
2000-01-07,8539231480
2000-01-10,8548797460
2000-01-11,8689098500
2000-01-12,8539231480
2000-01-13,8421251060
2000-01-14,8520099520
2000-01-18,8150214960
2000-01-19,7840914940
2000-01-20,7553935540
2000-01-21,7474219040
2000-01-24,7773953080
2000-01-25,7005486020
2000-01-26,6846053020
2000-01-27,6976788080
2000-01-28,6508055060
2000-01-31,6498489080
2000-02-01,6536753000
2000-02-02,6217887000
2000-02-03,6457036500
2000-02-04,6597337540
2000-02-07,6696186000
2000-02-08,6485734440
2000-02-09,6278471540
2000-02-10,6128604520
2000-02-11,5997869460
2000-02-14,6189189060
2000-02-15,6418772580
2000-02-16,6546318980
2000-02-17,6517621040
2000-02-18,6316735460
2000-02-22,6297603500
2000-02-23,6119038540
2000-02-24,5730022020
2000-02-25,5659871500
2000-02-28,5631173560
2000-02-29,5382458080
2000-03-01,5312307560
2000-03-02,5210270440
2000-03-03,5439853960
2000-03-06,5401590040
2000-03-07,5111421980
2000-03-08,5120987960
2000-03-09,5073158060
2000-03-10,5341005500
2000-03-13,5321873540
2000-03-14,5360137460
2000-03-15,5940473580
2000-03-16,6386885980
2000-03-17,5899021000
2000-03-20,6058454000
2000-03-21,6208321020
2000-03-22,5997869460
2000-03-23,6020190080
2000-03-24,6189189060
2000-03-27,6087151940
2000-03-28,6179623080
2000-03-29,6348622060
2000-03-30,6606903520
2000-03-31,6635601460
2000-04-03,6606905200
2000-04-04,6638608200
2000-04-05,6499115000
2000-04-06,6648119100
2000-04-07,6559350700
2000-04-10,6578372500
2000-04-11,7063428400
2000-04-12,7025384800
2000-04-13,6797123200
2000-04-14,6321578200
2000-04-17,6331089100
2000-04-18,6033080900
2000-04-19,6102827500
2000-04-20,6667140900
2000-04-24,6686162700
2000-04-25,6778101400
2000-04-26,6895402500
2000-04-27,6914424300
2000-04-28,7044406600
2000-05-01,7133175000
2000-05-02,7412161400
2000-05-03,7272668200
2000-05-04,7212432500
2000-05-05,7310711800
2000-05-08,7240965200
