,PBI
2000-01-03,12184985520
2000-01-04,11766718530
2000-01-05,11750934870
2000-01-06,11590467660
2000-01-07,11798285850
2000-01-10,11719367550
2000-01-11,12200769180
2000-01-12,12537487260
2000-01-13,12905772660
2000-01-14,12424371030
2000-01-18,12455938350
2000-01-19,12826854360
2000-01-20,12216552840
2000-01-21,11814069510
2000-01-24,11622034980
2000-01-25,11172200670
2000-01-26,11172200670
2000-01-27,11798285850
2000-01-28,11574684000
2000-01-31,12584838240
2000-02-01,12729521790
2000-02-02,12248120160
2000-02-03,12955754250
2000-02-04,12874205340
2000-02-07,12795287040
2000-02-08,12329669070
2000-02-09,12150787590
2000-02-10,12232336500
2000-02-11,12071869290
2000-02-14,12040301970
2000-02-15,12811070700
2000-02-16,12600621900
2000-02-17,13210923420
2000-02-18,13613406750
2000-02-22,13018888890
2000-02-23,12842638020
2000-02-24,12521703600
2000-02-25,12440154690
2000-02-28,12761089110
2000-02-29,12713738130
2000-03-01,13805441280
2000-03-02,13547641500
2000-03-03,13066239870
2000-03-06,12505919940
2000-03-07,12408587370
2000-03-08,12455938350
2000-03-09,12263903820
2000-03-10,11848267440
2000-03-13,11798285850
2000-03-14,12040301970
2000-03-15,12248120160
2000-03-16,12279687480
2000-03-17,11285316900
2000-03-20,11077498710
2000-03-21,11316884220
2000-03-22,11156417010
2000-03-23,11735151210
2000-03-24,11653602300
2000-03-27,11508918750
2000-03-28,11590467660
2000-03-29,11203767990
2000-03-30,11203767990
2000-03-31,11313599837
2000-04-03,10997244306
2000-04-04,11679223852
2000-04-05,11788133133
2000-04-06,11536604555
2000-04-07,11440660665
2000-04-10,11329158306
2000-04-11,11139863603
2000-04-12,11313599837
2000-04-13,11202097478
2000-04-14,10839066541
2000-04-17,10919451963
2000-04-18,9858883012
2000-04-19,10110411589
2000-04-20,10206355480
2000-04-24,10206355480
2000-04-25,10743122651
2000-04-26,10380091714
2000-04-27,10159680074
2000-04-28,10348974776
2000-05-01,10125970058
2000-05-02,10125970058
2000-05-03,10094853121
2000-05-04,10001502308
2000-05-05,9967792293
2000-05-08,10190797011
2000-05-09,10333416308
2000-05-10,10175238542
2000-05-11,10094853121
2000-05-12,10084480808
2000-05-15,10017060777
2000-05-16,10444918667
2000-05-17,10302299370
2000-05-18,10144121605
2000-05-19,10221913949
2000-05-22,10063736183
2000-05-23,9858883012
2000-05-24,10144121605
2000-05-25,10569386417
2000-05-26,10426767120
2000-05-30,11062071259
2000-05-31,11012802775
2000-06-01,11521046087
2000-06-02,11502894540
2000-06-05,11266924431
2000-06-06,10823508072
2000-06-07,10935010432
2000-06-08,10854625010
2000-06-09,10903893494
2000-06-12,10870183479
2000-06-13,10807949604
2000-06-14,10125970058
2000-06-15,10144121605
2000-06-16,9747380653
2000-06-19,9589202887
2000-06-20,9114669591
2000-06-21,9368791247
2000-06-22,9620319825
2000-06-23,9778497590
2000-06-26,9809614527
2000-06-27,9967792293
2000-06-28,10032619246
2000-06-29,9889999949
2000-06-30,9928579650
2000-07-03,9992142900
2000-07-05,9821793390
2000-07-06,9618390990
2000-07-07,9727719780
2000-07-10,9618390990
2000-07-11,9681954240
2000-07-12,9651443880
2000-07-13,9526859910
2000-07-14,9356510400
2000-07-17,9153108000
2000-07-18,8967503310
2000-07-19,9061576920
2000-07-20,9432786300
2000-07-21,9341255220
2000-07-24,9308202330
2000-07-25,9076832100
2000-07-26,8842919340
2000-07-27,8563241040
2000-07-28,8408146710
2000-07-31,8596293930
2000-08-01,8720877900
2000-08-02,8812408980
2000-08-03,9247181610
2000-08-04,9076832100
2000-08-07,9216671250
2000-08-08,9168363180
2000-08-09,8891227410
2000-08-10,9153108000
2000-08-11,9137852820
2000-08-14,9061576920
2000-08-15,8766643440
2000-08-16,8936992950
2000-08-17,8720877900
2000-08-18,8766643440
2000-08-21,8672569830
2000-08-22,8687825010
2000-08-23,8672569830
2000-08-24,8502220319
2000-08-25,8672569830
2000-08-28,8781898620
2000-08-29,8751388260
2000-08-30,9031066560
2000-08-31,9076832100
2000-09-01,9031066560
2000-09-05,9076832100
2000-09-06,9013268850
2000-09-07,9356510400
2000-09-08,9277691970
2000-09-11,9122597640
2000-09-12,9231926430
2000-09-13,9371765580
2000-09-14,9448041480
2000-09-15,9481094370
2000-09-18,9341255220
2000-09-19,9326000040
2000-09-20,9417531120
2000-09-21,9448041480
2000-09-22,9481094370
2000-09-25,9463296660
2000-09-26,9417531120
2000-09-27,9432786300
2000-09-28,9681954240
2000-09-29,9791283030
2000-10-02,9453317633
2000-10-03,8668840751
2000-10-04,8606973489
2000-10-05,6161979295
2000-10-06,6614847653
2000-10-09,6703936510
2000-10-10,6736107486
2000-10-11,6825196343
2000-10-12,6795500058
2000-10-13,6872215462
2000-10-16,6721259343
2000-10-17,6570303224
2000-10-18,6357479843
2000-10-19,6599999510
2000-10-20,6750955629
2000-10-23,6750955629
2000-10-24,6765803772
2000-10-25,6674240224
2000-10-26,6750955629
2000-10-27,6689088367
2000-10-30,6689088367
2000-10-31,7174127701
2000-11-01,7023171582
2000-11-02,7005848748
2000-11-03,6961304320
2000-11-06,6946456177
2000-11-07,6991000606
2000-11-08,6931608034
2000-11-09,6887063605
2000-11-10,6765803772
2000-11-13,6991000606
2000-11-14,7052867868
2000-11-15,6991000606
2000-11-16,6991000606
2000-11-17,7005848748
2000-11-20,6961304320
2000-11-21,7023171582
2000-11-22,7005848748
2000-11-24,7127108582
2000-11-27,7127108582
2000-11-28,6946456177
2000-11-29,7067716010
2000-11-30,7023171582
2000-12-01,7005848748
2000-12-04,7339931963
2000-12-05,7292912844
2000-12-06,7671540488
2000-12-07,7248368415
2000-12-08,7339931963
2000-12-11,7233520273
2000-12-12,7476039940
2000-12-13,7443868963
2000-12-14,7461191797
2000-12-15,7292912844
2000-12-18,7325083820
2000-12-19,7325083820
2000-12-20,6961304320
2000-12-21,7112260439
2000-12-22,7414172678
2000-12-26,7476039940
2000-12-27,7656692345
2000-12-28,7988300869
2000-12-29,8003149012
2001-01-02,7881889178
2001-01-03,8366928512
2001-01-04,8381776655
2001-01-05,8079864417
2001-01-08,8154105131
2001-01-09,8094712560
2001-01-10,8094712560
2001-01-11,7867041035
2001-01-12,7881889178
2001-01-16,7958604583
2001-01-17,8201124250
2001-01-18,8183801417
2001-01-19,8230820536
2001-01-22,8352080370
2001-01-23,8713385180
2001-01-24,8606973489
2001-01-25,8456017370
2001-01-26,8441169227
2001-01-29,8510460560
2001-01-30,8215972393
2001-01-31,8448593298
2001-02-01,8337232227
2001-02-02,8361979131
2001-02-05,8436219846
2001-02-06,8441169227
2001-02-07,8451067989
2001-02-08,8433745155
2001-02-09,8423846393
2001-02-12,8433745155
2001-02-13,8688638275
2001-02-14,8705961108
2001-02-15,8997974585
2001-02-16,8936107323
2001-02-20,8743081465
2001-02-21,8396624798
2001-02-22,8203598941
2001-02-23,8347130989
2001-02-26,8522834013
2001-02-27,8295162488
2001-02-28,8228345846
2001-03-01,8366928512
2001-03-02,8485713655
2001-03-05,8512935251
2001-03-06,8515409941
2001-03-07,8698537037
2001-03-08,8792575275
2001-03-09,8567378441
2001-03-12,8748030846
2001-03-13,8698537037
2001-03-14,8527783394
2001-03-15,8552530298
2001-03-16,8272890274
2001-03-19,8715859870
2001-03-20,8324858774
2001-03-21,8218447084
2001-03-22,8436219846
2001-03-23,8480764274
2001-03-26,8287738417
2001-03-27,8324858774
2001-03-28,7961079274
2001-03-29,8203598941
2001-03-30,8396624798
2001-04-02,8052360760
2001-04-03,7936800163
2001-04-04,8030232135
2001-04-05,8332656676
2001-04-06,8027773399
2001-04-09,8116287899
2001-04-10,8349867829
2001-04-11,8138416524
2001-04-12,8342491621
2001-04-16,8337574149
2001-04-17,8435923593
2001-04-18,8991597954
2001-04-19,9399748148
2001-04-20,9220260412
2001-04-23,9112076023
2001-04-24,9094864870
2001-04-25,9168626954
2001-04-26,9131745912
2001-04-27,9217801676
2001-04-30,9139122120
2001-05-01,9362867106
2001-05-02,9416959301
2001-05-03,9173544426
2001-05-04,9510391273
2001-05-07,9227636620
2001-05-08,9458757815
2001-05-09,9763641092
2001-05-10,9697255217
2001-05-11,9520226217
2001-05-14,9564483467
2001-05-15,9554648523
2001-05-16,9940670092
2001-05-17,9721842578
2001-05-18,9601364509
2001-05-21,9598905773
2001-05-22,9625951870
2001-05-23,9537437370
2001-05-24,9611199453
2001-05-25,9380078259
2001-05-29,9232554093
2001-05-30,9259600190
2001-05-31,9493180120
2001-06-01,9510391273
2001-06-04,9498097592
2001-06-05,9842320648
2001-06-06,9805439606
2001-06-07,9834944440
2001-06-08,9734136259
2001-06-11,9773476037
2001-06-12,9579235884
2001-06-13,9574318412
2001-06-14,9404665620
2001-06-15,9593988301
2001-06-18,9562024731
2001-06-19,9530061162
2001-06-20,9544813579
2001-06-21,9483345176
2001-06-22,9510391273
2001-06-25,9783310981
2001-06-26,9810357078
2001-06-27,9662832912
2001-06-28,9699713953
2001-06-29,10110322884
2001-07-02,10134127069
2001-07-03,10063310277
2001-07-05,10163430569
2001-07-06,9953422153
2001-07-09,9977841736
2001-07-10,9775159194
2001-07-11,9953422153
2001-07-12,10124359236
2001-07-13,10112149444
2001-07-16,10026680902
2001-07-17,10160988611
2001-07-18,10114591402
2001-07-19,10160988611
2001-07-20,10104823569
2001-07-23,9860627736
2001-07-24,9794694861
