,PDCO
2000-01-03,1397169227
2000-01-04,1327046150
2000-01-05,1480523073
2000-01-06,1476553842
2000-01-07,1496399996
2000-01-10,1512276919
2000-01-11,1500369227
2000-01-12,1472584611
2000-01-13,1587692304
2000-01-14,1546676919
2000-01-18,1554615381
2000-01-19,1538738457
2000-01-20,1521538458
2000-01-21,1547999996
2000-01-24,1514923073
2000-01-25,1550646150
2000-01-26,1525507688
2000-01-27,1532123073
2000-01-28,1458030765
2000-01-31,1466795880
2000-02-01,1437163640
2000-02-02,1485652760
2000-02-03,1563774120
2000-02-04,1504509640
2000-02-07,1447939000
2000-02-08,1372511480
2000-02-09,1344226160
2000-02-10,1349613840
2000-02-11,1302471640
2000-02-14,1313247000
2000-02-15,1302471640
2000-02-16,1241860240
2000-02-17,1197411880
2000-02-18,1178555000
2000-02-22,1107168240
2000-02-23,1235125640
2000-02-24,1317287760
2000-02-25,1204146480
2000-02-28,1208187240
2000-02-29,1213574920
2000-03-01,1171820400
2000-03-02,1178555000
2000-03-03,1209534160
2000-03-06,1178555000
2000-03-07,1157004280
2000-03-08,1136800480
2000-03-09,1157004280
2000-03-10,1140841240
2000-03-13,1196064960
2000-03-14,1190677280
2000-03-15,1253982520
2000-03-16,1306512400
2000-03-17,1295737040
2000-03-20,1275533240
2000-03-21,1317287760
2000-03-22,1310553160
2000-03-23,1309206240
2000-03-24,1305165480
2000-03-27,1306512400
2000-03-28,1267451720
2000-03-29,1279574000
2000-03-30,1245901000
2000-03-31,1287655520
2000-04-03,1268798640
2000-04-04,1264757880
2000-04-05,1291696280
2000-04-06,1328063120
2000-04-07,1380593000
2000-04-10,1325369280
2000-04-11,1398102960
2000-04-12,1519325760
2000-04-13,1552998760
2000-04-14,1508550400
2000-04-17,1499121960
2000-04-18,1590712520
2000-04-19,1597447120
2000-04-20,1600140960
2000-04-24,1590712520
2000-04-25,1645936240
2000-04-26,1667486960
2000-04-27,1662099280
2000-04-28,1620344760
2000-05-01,1649233860
2000-05-02,1532881020
2000-05-03,1540998660
2000-05-04,1568057460
2000-05-05,1649233860
2000-05-08,1593763320
2000-05-09,1553175120
2000-05-10,1589704500
2000-05-11,1642469160
2000-05-12,1641116220
2000-05-15,1665469140
2000-05-16,1676292660
2000-05-17,1646527980
2000-05-18,1645175040
2000-05-19,1635704460
2000-05-22,1634351520
2000-05-23,1573469220
2000-05-24,1674939720
2000-05-25,1674939720
2000-05-26,1619469180
2000-05-30,1746645540
2000-05-31,1722292620
2000-06-01,1729057320
2000-06-02,1737174960
2000-06-05,1818351360
2000-06-06,1770998460
2000-06-07,1792645500
2000-06-08,1804821960
2000-06-09,1815645480
2000-06-12,1731763200
2000-06-13,1807527840
2000-06-14,1784527860
2000-06-15,1815645480
2000-06-16,1877880720
2000-06-19,1871116020
2000-06-20,1777763160
2000-06-21,1769645520
2000-06-22,1737174960
2000-06-23,1623528000
2000-06-26,1826469000
2000-06-27,1657351500
2000-06-28,1737174960
2000-06-29,1793998440
2000-06-30,1724998500
2000-07-03,1716880860
2000-07-05,1695233820
2000-07-06,1649233860
2000-07-07,1563998640
2000-07-10,1687116180
2000-07-11,1762880820
2000-07-12,1708763220
2000-07-13,1646527980
2000-07-14,1657351500
2000-07-17,1712822040
2000-07-18,1691175000
2000-07-19,1688469120
2000-07-20,1747998480
2000-07-21,1720939680
2000-07-24,1683057360
2000-07-25,1683057360
2000-07-26,1691175000
2000-07-27,1758822000
2000-07-28,1750704360
2000-07-31,1793361000
2000-08-01,1717566120
2000-08-02,1737868320
2000-08-03,1839379320
2000-08-04,1852914120
2000-08-07,1725687000
2000-08-08,1789300560
2000-08-09,1699970880
2000-08-10,1709445240
2000-08-11,1747342680
2000-08-14,1679668680
2000-08-15,1506423240
2000-08-16,1540260240
2000-08-17,1519958040
2000-08-18,1476646680
2000-08-21,1463111880
2000-08-22,1459051440
2000-08-23,1438749240
2000-08-24,1552441560
2000-08-25,1548381120
2000-08-28,1556502000
2000-08-29,1564622880
2000-08-30,1526725440
2000-08-31,1607934240
2000-09-01,1582218120
2000-09-05,1454991000
2000-09-06,1476646680
2000-09-07,1586278560
2000-09-08,1522665000
2000-09-11,1465818840
2000-09-12,1514544120
2000-09-13,1476646680
2000-09-14,1598459880
2000-09-15,1598459880
2000-09-18,1586278560
2000-09-19,1564622880
2000-09-20,1506423240
2000-09-21,1488828000
2000-09-22,1488828000
2000-09-25,1522665000
2000-09-26,1679668680
2000-09-27,1578157680
2000-09-28,1683729120
2000-09-29,1522665000
2000-10-02,1548381120
2000-10-03,1556502000
2000-10-04,1540260240
2000-10-05,1574097240
2000-10-06,1578157680
2000-10-09,1607934240
2000-10-10,1645831680
2000-10-11,1624176000
2000-10-12,1691850000
2000-10-13,1695910440
2000-10-16,1683729120
2000-10-17,1666133880
2000-10-18,1645831680
2000-10-19,1751403120
2000-10-20,1815016680
2000-10-23,1785240120
2000-10-24,1793361000
2000-10-25,1894872000
2000-10-26,1954425120
2000-10-27,2089773120
2000-10-30,2039961780
2000-10-31,2125469160
2000-11-01,1959883440
2000-11-02,1921880160
2000-11-03,1946310840
2000-11-06,1917808380
2000-11-07,2099681220
2000-11-08,1963955220
2000-11-09,1951739880
2000-11-10,1946310840
2000-11-13,1820085660
2000-11-14,1874376060
2000-11-15,1883876880
2000-11-16,1832301000
2000-11-17,1955811660
2000-11-20,2019602880
2000-11-21,2044033560
2000-11-22,2035890000
2000-11-24,2039961780
2000-11-27,2031818220
2000-11-28,2027746440
2000-11-29,2027746440
2000-11-30,2019602880
2000-12-01,2039961780
2000-12-04,2027746440
2000-12-05,2044033560
2000-12-06,2103753000
2000-12-07,2175687780
2000-12-08,2273410500
2000-12-11,2307342000
2000-12-12,2277482280
2000-12-13,2251694340
2000-12-14,2243550780
2000-12-15,2099681220
2000-12-18,2197403940
2000-12-19,2193332160
2000-12-20,2209619280
2000-12-21,2103753000
2000-12-22,2201475720
2000-12-26,2179759560
2000-12-27,2265266940
2000-12-28,2257123380
2000-12-29,2299198440
2001-01-02,2239479000
2001-01-03,2197403940
2001-01-04,2103753000
2001-01-05,2099681220
2001-01-08,2099681220
2001-01-09,2031818220
2001-01-10,2069821500
2001-01-11,2027746440
2001-01-12,1951739880
2001-01-16,1912379340
2001-01-17,1951739880
2001-01-18,2014173840
2001-01-19,2001958500
2001-01-22,1959883440
2001-01-23,1976170560
2001-01-24,2031818220
2001-01-25,2065749720
2001-01-26,2077965060
2001-01-29,2128248600
2001-01-30,2124202500
2001-01-31,2040583100
2001-02-01,1985286400
2001-02-02,1993378600
2001-02-05,2132294700
2001-02-06,2187591400
2001-02-07,2267164700
2001-02-08,2120156400
2001-02-09,1993378600
2001-02-12,2064859700
2001-02-13,2027096100
2001-02-14,2098577200
2001-02-15,2120156400
2001-02-16,2191637500
2001-02-20,2187591400
2001-02-21,2225355000
2001-02-22,2157920000
2001-02-23,2191637500
2001-02-26,2175453100
2001-02-27,2221308900
2001-02-28,2132294700
2001-03-01,2175453100
2001-03-02,2217262800
2001-03-05,2213216700
2001-03-06,2195683600
2001-03-07,2179499200
2001-03-08,2128248600
2001-03-09,2141735600
2001-03-12,2019003900
2001-03-13,2132294700
2001-03-14,2060813600
2001-03-15,2078346700
2001-03-16,2078346700
2001-03-19,2044629200
2001-03-20,2023050000
2001-03-21,2031142200
2001-03-22,1963707200
2001-03-23,2014957800
2001-03-26,2040583100
2001-03-27,2074300600
2001-03-28,2082392800
2001-03-29,2068905800
2001-03-30,2074300600
2001-04-02,1981240300
2001-04-03,2010911700
2001-04-04,2060813600
2001-04-05,2056767500
2001-04-06,2064859700
2001-04-09,2103972000
2001-04-10,2098577200
2001-04-11,2108018100
2001-04-12,2099925900
2001-04-16,2068905800
2001-04-17,2056767500
2001-04-18,2056767500
2001-04-19,2023050000
2001-04-20,2023050000
2001-04-23,2023050000
2001-04-24,2008214300
2001-04-25,2050024000
2001-04-26,2070254500
2001-04-27,2056767500
2001-04-30,2078446720
2001-05-01,2067564800
2001-05-02,2078446720
2001-05-03,2083887680
2001-05-04,2119253920
2001-05-07,2123334640
2001-05-08,2101570800
2001-05-09,2093409360
2001-05-10,2112452720
2001-05-11,2074366000
2001-05-14,2062123840
2001-05-15,2101570800
2001-05-16,2115173200
2001-05-17,2207669520
2001-05-18,2293364640
2001-05-21,2349134480
2001-05-22,2391301920
2001-05-23,2315128480
2001-05-24,2112452720
2001-05-25,2196787600
2001-05-29,2267520080
2001-05-30,2330091120
2001-05-31,2320569440
2001-06-01,2320569440
2001-06-04,2309687520
2001-06-05,2309687520
2001-06-06,2315128480
2001-06-07,2315128480
2001-06-08,2304246560
2001-06-11,2298805600
2001-06-12,2240315280
2001-06-13,2297445360
2001-06-14,2272961040
2001-06-15,2271600800
2001-06-18,2213110480
2001-06-19,2233514080
2001-06-20,2260718880
2001-06-21,2241675520
2001-06-22,2234874320
2001-06-25,2189986400
2001-06-26,2199508080
2001-06-27,2229433360
2001-06-28,2257998400
2001-06-29,2244396000
2001-07-02,2293364640
2001-07-03,2241675520
2001-07-05,2267520080
2001-07-06,2259358640
2001-07-09,2334171840
2001-07-10,2448432000
2001-07-11,2470195840
2001-07-12,2438910320
2001-07-13,2399463360
2001-07-16,2466115120
2001-07-17,2453872960
2001-07-18,2463394640
2001-07-19,2432109120
2001-07-20,2398103120
2001-07-23,2398103120
2001-07-24,2247116480
2001-07-25,2257998400
2001-07-26,2293364640
2001-07-27,2311047760
2001-07-30,2347903200
2001-07-31,2368379100
2001-08-01,2300126100
2001-08-02,2313776700
2001-08-03,2336982720
2001-08-06,2218222500
2001-08-07,2208667080
2001-08-08,2163620100
2001-08-09,2192286360
2001-08-10,2119938180
2001-08-13,2227777920
2001-08-14,2181365880
2001-08-15,2233238160
2001-08-16,2290570680
2001-08-17,2289205620
2001-08-20,2375204400
2001-08-21,2420251380
2001-08-22,2294665860
2001-08-23,2443457400
2001-08-24,2442092340
2001-08-27,2503520040
2001-08-28,2443457400
2001-08-29,2323332120
2001-08-30,2338347780
2001-08-31,2339712840
2001-09-04,2384759820
2001-09-05,2420251380
2001-09-06,2406600780
2001-09-07,2380664640
2001-09-10,2347903200
2001-09-17,2311046580
2001-09-18,2320602000
2001-09-19,2388855000
2001-09-20,2301491160
2001-09-21,2278285140
2001-09-24,2276920080
2001-09-25,2320602000
2001-09-26,2437997160
2001-09-27,2545836900
2001-09-28,2515805580
2001-10-01,2522630880
2001-10-02,2532186300
2001-10-03,2526726060
2001-10-04,2518535700
2001-10-05,2465298360
2001-10-08,2473488720
2001-10-09,2402505600
2001-10-10,2518535700
2001-10-11,2534916420
2001-10-12,2513075460
2001-10-15,2519900760
2001-10-16,2570407980
2001-10-17,2515805580
2001-10-18,2465298360
2001-10-19,2491234500
2001-10-22,2523995940
2001-10-23,2466663420
2001-10-24,2498059800
2001-10-25,2530821240
2001-10-26,2579963400
2001-10-29,2531493800
2001-10-30,2522017620
2001-10-31,2572106000
2001-11-01,2558568600
2001-11-02,2542323720
2001-11-05,2547738680
2001-11-06,2565337300
2001-11-07,2517956400
2001-11-08,2470575500
2001-11-09,2446208180
2001-11-12,2421840860
2001-11-13,2394766060
2001-11-14,2451623140
2001-11-15,2408303460
2001-11-16,2400181020
2001-11-19,2340616460
2001-11-20,2444854440
2001-11-21,2490881600
