,DYN
2021-11-03,758713740
2021-11-04,765414337
2021-11-05,774176656
2021-11-08,786031558
2021-11-09,763868045
2021-11-10,739642810
2021-11-11,732426783
2021-11-12,735519366
2021-11-15,753044004
2021-11-16,769537781
2021-11-17,768506920
2021-11-18,822627125
2021-11-19,813864806
2021-11-22,783969836
2021-11-23,771599503
2021-11-24,817472820
2021-11-26,758198309
2021-11-29,738611949
2021-11-30,732426783
2021-12-01,652277335
2021-12-02,641711009
2021-12-03,679852869
2021-12-06,649957898
2021-12-07,694284923
2021-12-08,700470090
2021-12-09,677275716
2021-12-10,676244855
2021-12-13,682945452
2021-12-14,653565912
2021-12-15,667482536
2021-12-16,644803593
2021-12-17,646865315
2021-12-20,633464121
2021-12-21,639133857
2021-12-22,639649287
2021-12-23,664905383
2021-12-27,650988759
2021-12-28,637587565
2021-12-29,615939483
2021-12-30,615939483
2021-12-31,613541169
2022-01-03,633149717
2022-01-04,618185299
2022-01-05,581548273
2022-01-06,580000230
2022-01-07,561423710
2022-01-10,560391681
2022-01-11,559875667
2022-01-12,520142555
2022-01-13,472669227
2022-01-14,479377414
2022-01-18,419003725
2022-01-19,399911191
2022-01-20,376690541
2022-01-21,372046411
2022-01-24,415391624
2022-01-25,392170974
2022-01-26,368950324
2022-01-27,352953876
2022-01-28,361210108
2022-01-31,382882714
2022-02-01,398363147
2022-02-02,363790180
2022-02-03,339537501
2022-02-04,345213660
2022-02-07,353985905
2022-02-08,356049963
2022-02-09,385462786
2022-02-10,374110469
2022-02-11,359662064
2022-02-14,336441414
2022-02-15,383914743
2022-02-16,383914743
2022-02-17,382882714
2022-02-18,416423653
2022-02-22,417971696
2022-02-23,391654959
2022-02-24,415907638
2022-02-25,430356042
2022-02-28,442224375
2022-03-01,446868505
2022-03-02,448416548
2022-03-03,433452129
2022-03-04,415907638
2022-03-07,420035754
2022-03-08,425195898
2022-03-09,458736837
2022-03-10,464412996
2022-03-11,450996620
2022-03-14,451512635
2022-03-15,445320461
2022-03-16,461832923
2022-03-17,468541111
2022-03-18,488665674
2022-03-21,463896981
2022-03-22,477829371
2022-03-23,477313357
2022-03-24,472153212
2022-03-25,439128288
2022-03-28,464412996
2022-03-29,488149660
2022-03-30,492793790
2022-03-31,498190727
2022-04-01,527648062
2022-04-04,542118332
2022-04-05,540567946
2022-04-06,542635128
2022-04-07,526614471
2022-04-08,535399992
2022-04-11,488888410
2022-04-12,475451731
2022-04-13,501291499
2022-04-14,495089954
2022-04-18,455813507
2022-04-19,463565437
2022-04-20,458914279
2022-04-21,457363893
2022-04-22,437725669
2022-04-25,454779916
2022-04-26,414469878
2022-04-27,384495747
2022-04-28,418604241
2022-04-29,412402697
2022-05-02,440309646
2022-05-03,455813507
2022-05-04,431007330
2022-05-05,394831655
2022-05-06,344702505
2022-05-09,305942853
2022-05-10,305942853
2022-05-11,273901540
2022-05-12,290955787
2022-05-13,288371810
2022-05-16,289922196
2022-05-17,320929918
2022-05-18,288888606
2022-05-19,280619880
2022-05-20,284754243
2022-05-23,270283973
2022-05-24,243410614
2022-05-25,240826637
2022-05-26,236692274
2022-05-27,254263317
2022-05-31,248578568
2022-06-01,226873163
2022-06-02,225322776
2022-06-03,236692274
2022-06-06,229973935
2022-06-07,254263317
2022-06-08,254780112
2022-06-09,277519108
2022-06-10,270800768
2022-06-13,254263317
2022-06-14,259948066
2022-06-15,285271038
2022-06-16,262015247
2022-06-17,306976443
2022-06-21,297157332
2022-06-22,321963509
2022-06-23,331782621
2022-06-24,352971230
2022-06-27,362273547
2022-06-28,336433779
2022-06-29,346252891
2022-06-30,355834714
2022-07-01,372927211
2022-07-05,437153564
2022-07-06,426276520
2022-07-07,455799924
2022-07-08,467194922
2022-07-11,444404926
2022-07-12,470820604
2022-07-13,511739006
2022-07-14,510185143
2022-07-15,530903321
2022-07-18,501379917
2022-07-19,530903321
2022-07-20,542298319
2022-07-21,599273310
2022-07-22,560426725
2022-07-25,548513773
2022-07-26,542816274
2022-07-27,570785814
2022-07-28,577001268
2022-07-29,543334228
2022-08-01,550067636
2022-08-02,571821723
2022-08-03,568196042
2022-08-04,585806494
2022-08-05,592539902
2022-08-08,569749906
2022-08-09,574411496
2022-08-10,618955579
2022-08-11,611704217
2022-08-12,624135124
2022-08-15,621027397
2022-08-16,618955579
2022-08-17,608596490
2022-08-18,635012167
2022-08-19,595647629
2022-08-22,579591040
2022-08-23,577001268
2022-08-24,587360357
2022-08-25,561462634
2022-08-26,538154683
2022-08-29,542816274
2022-08-30,522616050
2022-08-31,507595370
2022-09-01,547477864
2022-09-02,573893541
2022-09-06,604452854
2022-09-07,714777154
2022-09-08,771234190
2022-09-09,772270099
2022-09-12,785736915
2022-09-13,745854422
2022-09-14,744818513
2022-09-15,725136244
2022-09-16,707007837
2022-09-19,724100335
2022-09-20,713741245
2022-09-21,700274429
2022-09-22,686289659
2022-09-23,642781484
2022-09-26,693023067
2022-09-27,626724896
2022-09-28,691987158
2022-09-29,669197162
2022-09-30,666355258
2022-10-03,662157745
