,PLL
2018-01-02,64407351
2018-01-03,72114914
2018-01-04,74246793
2018-01-05,70557002
2018-01-08,69942037
2018-01-09,71294961
2018-01-10,69819044
2018-01-11,70147026
2018-01-12,68261133
2018-01-16,67072200
2018-01-17,65637281
2018-01-18,64407351
2018-01-19,63423407
2018-01-22,61947490
2018-01-23,62726446
2018-01-24,63177421
2018-01-25,65596284
2018-01-26,65924265
2018-01-29,63833383
2018-01-30,63833383
2018-01-31,59856609
2018-02-01,59364637
2018-02-02,61127537
2018-02-05,57396748
2018-02-06,52723013
2018-02-07,52723013
2018-02-08,56576794
2018-02-09,54649904
2018-02-12,54649904
2018-02-13,55797839
2018-02-14,55797839
2018-02-15,55797839
2018-02-16,56986771
2018-02-20,56986771
2018-02-21,56986771
2018-02-22,56986771
2018-02-23,56002827
2018-02-26,56002827
2018-02-27,55920832
2018-02-28,54198929
2018-03-01,52805008
2018-03-02,52805008
2018-03-05,53829950
2018-03-06,52313036
2018-03-07,54649904
2018-03-08,53173987
2018-03-09,53173987
2018-03-12,53173987
2018-03-13,53173987
2018-03-14,53173987
2018-03-15,53173987
2018-03-16,53173987
2018-03-19,48828233
2018-03-20,48336261
2018-03-21,48336261
2018-03-22,48336261
2018-03-23,48336261
2018-03-26,48582247
2018-03-27,49812178
2018-03-28,49525194
2018-03-29,46737352
2018-04-02,46737352
2018-04-03,46737352
2018-04-04,46737352
2018-04-05,46737352
2018-04-06,46737352
2018-04-09,46819347
2018-04-10,47639301
2018-04-11,47147329
2018-04-12,49812178
2018-04-13,47885287
2018-04-16,47885287
2018-04-17,46122387
2018-04-18,47803291
2018-04-19,47803291
2018-04-20,46245380
2018-04-23,45384428
2018-04-24,47557305
2018-04-25,47557305
2018-04-26,47557305
2018-04-27,47557305
2018-04-30,46573361
2018-05-01,46573361
2018-05-02,49320206
2018-05-03,49320206
2018-05-04,49320206
2018-05-07,52272038
2018-05-08,53296980
2018-05-09,55346864
2018-05-10,56986771
2018-05-11,62521458
2018-05-14,62070483
2018-05-15,60307583
2018-05-16,58995657
2018-05-17,60266585
2018-05-18,57191760
2018-05-21,59446632
2018-05-22,60061597
2018-05-23,57396748
2018-05-24,55961829
2018-05-25,55428859
2018-05-29,55838836
2018-05-30,56494799
2018-05-31,55346864
2018-06-01,56371806
2018-06-04,56576794
2018-06-05,56658790
2018-06-06,57396748
2018-06-07,61455518
2018-06-08,57806725
2018-06-11,61906493
2018-06-12,56576794
2018-06-13,57396748
2018-06-14,61496516
2018-06-15,65596284
2018-06-18,65391295
2018-06-19,63013430
2018-06-20,63013430
2018-06-21,58749671
2018-06-22,60266585
2018-06-25,60512571
2018-06-26,60512571
2018-06-27,58790669
2018-06-28,59282641
2018-06-29,57396748
2018-07-02,72831098
2018-07-03,75432209
2018-07-05,74183676
2018-07-06,72570987
2018-07-09,72831098
2018-07-10,72831098
2018-07-11,75432209
2018-07-12,69761788
2018-07-13,69449654
2018-07-16,69449654
2018-07-17,69761788
2018-07-18,68929432
2018-07-19,75276142
2018-07-20,72623009
2018-07-23,74391765
2018-07-24,71270432
2018-07-25,71166387
2018-07-26,77461075
2018-07-27,73351320
2018-07-30,73351320
2018-07-31,74807942
2018-08-01,74703898
2018-08-02,72414920
2018-08-03,71530543
2018-08-06,72518965
2018-08-07,69241565
2018-08-08,67264721
2018-08-09,67264721
2018-08-10,65391922
2018-08-13,64091366
2018-08-14,65027766
2018-08-15,61334189
2018-08-16,63987322
2018-08-17,67108655
2018-08-20,67628877
2018-08-21,65027766
2018-08-22,65027766
2018-08-23,65287877
2018-08-24,62946878
2018-08-27,61958456
2018-08-28,62426655
2018-08-29,61646322
2018-08-30,60813967
2018-08-31,59461389
2018-09-04,57848701
2018-09-05,58108812
2018-09-06,58889145
2018-09-07,59045212
2018-09-10,57744656
2018-09-11,57744656
2018-09-12,54675346
2018-09-13,54675346
2018-09-14,54675346
2018-09-17,57328479
2018-09-18,58524989
2018-09-19,52074235
2018-09-20,55663768
2018-09-21,55663768
2018-09-24,52802546
2018-09-25,53270746
2018-09-26,56183990
2018-09-27,54883435
2018-09-28,55507701
2018-10-01,74036326
2018-10-02,74036326
2018-10-03,68475226
2018-10-04,68475226
2018-10-05,71624282
2018-10-08,71423279
2018-10-09,71356278
2018-10-10,68006218
2018-10-11,67939216
2018-10-12,69011236
2018-10-15,69011236
2018-10-16,67135202
2018-10-17,70351260
2018-10-18,66733195
2018-10-19,66733195
2018-10-22,70351260
2018-10-23,67738213
2018-10-24,67336206
2018-10-25,66532191
2018-10-26,65728177
2018-10-29,64321152
2018-10-30,63986146
2018-10-31,65192167
2018-11-01,60368081
2018-11-02,62713123
2018-11-05,64120148
2018-11-06,64120148
2018-11-07,64120148
2018-11-08,60770088
2018-11-09,60368081
2018-11-12,60368081
2018-11-13,60368081
2018-11-14,60368081
2018-11-15,62847125
2018-11-16,65326170
2018-11-19,64857161
2018-11-20,64455154
2018-11-21,61976110
2018-11-23,62981128
2018-11-26,62445118
2018-11-27,61909108
2018-11-28,61842107
2018-11-29,61842107
2018-11-30,61842107
2018-12-03,61775106
2018-12-04,61775106
