,CIEN
2000-01-03,7683616112
2000-01-04,7346918328
2000-01-05,6872088118
2000-01-06,6336824973
2000-01-07,7977147514
2000-01-10,8892274827
2000-01-11,8339745129
2000-01-12,8184346151
2000-01-13,8633276531
2000-01-14,9228972611
2000-01-18,9626103332
2000-01-19,9427537972
2000-01-20,10144099924
2000-01-21,10195899583
2000-01-24,10618930133
2000-01-25,10221799413
2000-01-26,9410271419
2000-01-27,9764235756
2000-01-28,9134006570
2000-01-31,9195573285
2000-02-01,9703519238
2000-02-02,10386618968
2000-02-03,10570530434
2000-02-04,10588045812
2000-02-07,11323691674
2000-02-08,12085610604
2000-02-09,11726545361
2000-02-10,13872179128
2000-02-11,13591933085
2000-02-14,13986029083
2000-02-15,13968513705
2000-02-16,16490728092
2000-02-17,15912720629
2000-02-18,16157935916
2000-02-22,16683397247
2000-02-23,16368120448
2000-02-24,17471589243
2000-02-25,19004184790
2000-02-28,20922118647
2000-02-29,22393410373
2000-03-01,24801774805
2000-03-02,22069375886
2000-03-03,23724579077
2000-03-06,24687924850
2000-03-07,23680790633
2000-03-08,21526399177
2000-03-09,23531909923
2000-03-10,22822537126
2000-03-13,20615599538
2000-03-14,18776484881
2000-03-15,17559166131
2000-03-16,18704233968
2000-03-17,19985045941
2000-03-20,18399904260
2000-03-21,19713557587
2000-03-22,21097272424
2000-03-23,21675279888
2000-03-24,22752475616
2000-03-27,22060618197
2000-03-28,20624357227
2000-03-29,18189719728
2000-03-30,18110900528
2000-03-31,17673016086
2000-04-03,15956509073
2000-04-04,14310063570
2000-04-05,13889694506
2000-04-06,16455697337
2000-04-07,18566300348
2000-04-10,15833901429
2000-04-11,14879313345
2000-04-12,13539386952
2000-04-13,14012302150
2000-04-14,12330825892
2000-04-17,13048956377
2000-04-18,14607824991
2000-04-19,14021059838
2000-04-20,13591933085
2000-04-24,12681133445
2000-04-25,14835524901
2000-04-26,16192966672
2000-04-27,17436558487
2000-04-28,17322708532
2000-05-01,19772810528
2000-05-02,18114047307
2000-05-03,17922142539
2000-05-04,18722848702
2000-05-05,19419882183
2000-05-08,17664063667
2000-05-09,17002323020
2000-05-10,18272865062
2000-05-11,18272865062
2000-05-12,19375766140
2000-05-15,19966921118
2000-05-16,21555098670
2000-05-17,20346319089
2000-05-18,19384589349
2000-05-19,16446460877
2000-05-22,15228858086
2000-05-23,14081840965
2000-05-24,13790675080
2000-05-25,14752404821
2000-05-26,14073017756
2000-05-30,17152317567
2000-05-31,16896444516
2000-06-01,18378743565
2000-06-02,19525760687
2000-06-05,18864020040
2000-06-06,19463998226
2000-06-07,18555207738
2000-06-08,19075777047
2000-06-09,19746340902
2000-06-12,19675755233
2000-06-13,20461020801
2000-06-14,20390435132
2000-06-15,20540429679
2000-06-16,20505136844
2000-06-19,22022728728
2000-06-20,21722739634
2000-06-21,22305071404
2000-06-22,22190369691
2000-06-23,20531606470
2000-06-26,22190369691
2000-06-27,22172723274
2000-06-28,23002104885
2000-06-29,23010928094
2000-06-30,23531497402
2000-07-03,24140298798
2000-07-05,23266801144
2000-07-06,23160922640
2000-07-07,24263823718
2000-07-10,24528519977
2000-07-11,23628552697
2000-07-12,22781524669
2000-07-13,23434442108
2000-07-14,22957988842
2000-07-17,22728585418
2000-07-18,22155076857
2000-07-19,21502159419
2000-07-20,23143276223
2000-07-21,22005082310
2000-07-24,22878579964
2000-07-25,22878579964
2000-07-26,23584436654
2000-07-27,21263932786
2000-07-28,18978721752
2000-07-31,20396789459
2000-08-01,20594119876
2000-08-02,19795828644
2000-08-03,20369880766
2000-08-04,21338593722
2000-08-07,21257867642
2000-08-08,21338593722
2000-08-09,22405971886
2000-08-10,21571802397
2000-08-11,22405971886
2000-08-14,23491289179
2000-08-15,24397215185
2000-08-16,23428502229
2000-08-17,25715741152
2000-08-18,25356958576
2000-08-21,26128341115
2000-08-22,27464806211
2000-08-23,27877406174
2000-08-24,28855088694
2000-08-25,28406610474
2000-08-28,30057010325
2000-08-29,30415792901
2000-08-30,30155675533
2000-08-31,31815044948
2000-09-01,33025936143
2000-09-05,31045904821
2000-09-06,29913497294
2000-09-07,30855301557
2000-09-08,28648788713
2000-09-11,26406397612
2000-09-12,25688832459
2000-09-13,27823588788
2000-09-14,29886588601
2000-09-15,30774575477
2000-09-18,29707197313
2000-09-19,31788136255
2000-09-20,33510292621
2000-09-21,32792727469
2000-09-22,34658396865
2000-09-25,36613761906
2000-09-26,36488188004
2000-09-27,35340083760
2000-09-28,37313387930
2000-09-29,35250388116
2000-10-02,34837788153
2000-10-03,31608744967
2000-10-04,32846544855
2000-10-05,33635866523
2000-10-06,31734318869
2000-10-09,31662562354
2000-10-10,32913816588
2000-10-11,32146918832
2000-10-12,32564003576
2000-10-13,36703457550
2000-10-16,38797850839
2000-10-17,37313387930
2000-10-18,35609170692
2000-10-19,40152255064
2000-10-20,42910396119
2000-10-23,40793578919
2000-10-24,38856153007
2000-10-25,31106449360
2000-10-26,29563684283
2000-10-27,29958345116
2000-10-30,26035210837
2000-10-31,30180030756
2000-11-01,30556832567
2000-11-02,31346322076
2000-11-03,32530556338
2000-11-06,29857057776
2000-11-07,29659685398
2000-11-08,25819895516
2000-11-09,25801952573
2000-11-10,25999324950
2000-11-13,26071096723
2000-11-14,29857057776
2000-11-15,28834310003
2000-11-16,28044820495
2000-11-17,29982658379
2000-11-20,25819895516
2000-11-21,27632132797
2000-11-22,26770871515
2000-11-24,29354655361
2000-11-27,27973048721
2000-11-28,24115315896
2000-11-29,20957357862
2000-11-30,21800676200
2000-12-01,22087763294
2000-12-04,23020796350
2000-12-05,28654880569
2000-12-06,27380931590
2000-12-07,27452703363
2000-12-08,31579580340
2000-12-11,33732733545
2000-12-12,33324531583
2000-12-13,30036487209
2000-12-14,27829505174
2000-12-15,28919538984
2000-12-18,27668018684
2000-12-19,21011186692
2000-12-20,18319745185
2000-12-21,17189339753
2000-12-22,22105706238
2000-12-26,21298273786
2000-12-27,22931081633
2000-12-28,24420345933
2000-12-29,23325826387
2001-01-02,18911862317
2001-01-03,24384460046
2001-01-04,23666742311
2001-01-05,21244444956
2001-01-08,21495646163
2001-01-09,20562613107
2001-01-10,22661937482
2001-01-11,23971772349
2001-01-12,25514865479
2001-01-16,25855781403
2001-01-17,27865391061
2001-01-18,29408484191
2001-01-19,30090316039
2001-01-22,28959910607
2001-01-23,29475770229
2001-01-24,29282883588
2001-01-25,25855781403
2001-01-26,25999324950
2001-01-29,27022072722
2001-01-30,28134535212
2001-01-31,27597032126
2001-02-01,27022492942
2001-02-02,25662750207
2001-02-05,25892565881
2001-02-06,25337178003
2001-02-07,25088211023
2001-02-08,25413783227
2001-02-09,24475369227
2001-02-12,22560238615
2001-02-13,21200495880
2001-02-14,23536955227
2001-02-15,27271459922
2001-02-16,25318026697
2001-02-20,23690165676
2001-02-21,21947396819
2001-02-22,21181344574
2001-02-23,22828356901
2001-02-26,23671014370
2001-02-27,21372857635
2001-02-28,20587654084
2001-03-01,22675146452
2001-03-02,20281233186
2001-03-05,21411160247
2001-03-06,22904962125
2001-03-07,23077323880
2001-03-08,21947396819
2001-03-09,19955660982
2001-03-12,16336064124
2001-03-13,17657504247
2001-03-14,16355215430
2001-03-15,16776544165
2001-03-16,16182853675
2001-03-19,16067945838
2001-03-20,14669900491
2001-03-21,15531709267
2001-03-22,17963925145
2001-03-23,17312780737
2001-03-26,17351083349
2001-03-27,16489274573
2001-03-28,14329964808
2001-03-29,12620710736
2001-03-30,12793072491
2001-04-02,13003736858
2001-04-03,10935395797
2001-04-04,10724731430
2001-04-05,11854658491
2001-04-06,10494915756
2001-04-09,11257903486
2001-04-10,13742977800
2001-04-11,14993174976
2001-04-12,17153441213
2001-04-16,15783740762
2001-04-17,16267885693
2001-04-18,17790797906
2001-04-19,20622126698
2001-04-20,20557778265
2001-04-23,18287199630
2001-04-24,17364872377
2001-04-25,17631458427
2001-04-26,15979849305
2001-04-27,15409906916
2001-04-30,17859702792
2001-05-01,19007965473
2001-05-02,19517222773
2001-05-03,17729954757
2001-05-04,17596964108
2001-05-07,17931062733
2001-05-08,19981069479
2001-05-09,19640482799
2001-05-10,18654404119
2001-05-11,19050132062
2001-05-14,19445861441
2001-05-15,17982961428
2001-05-16,19105274761
2001-05-17,18407884113
2001-05-18,18602505470
2001-05-21,19718330795
2001-05-22,20856862806
2001-05-23,20240562768
2001-05-24,20470864096
2001-05-25,19572365472
2001-05-29,18492220118
2001-05-30,16928765421
2001-05-31,17564526752
2001-06-01,17778610792
2001-06-04,17752660054
2001-06-05,19322601415
2001-06-06,19293408063
2001-06-07,20058917475
2001-06-08,18210020142
2001-06-11,17188260101
2001-06-12,17197992161
2001-06-13,15796721419
2001-06-14,14489518742
2001-06-15,13020132110
2001-06-18,12604940047
2001-06-19,11917280069
2001-06-20,12150825401
2001-06-21,12728200074
2001-06-22,13461272083
2001-06-25,13097980106
2001-06-26,12942282723
2001-06-27,12679545429
2001-06-28,11693466750
2001-06-29,12325984076
2001-07-02,11881600098
2001-07-03,12011346697
2001-07-05,11203670742
2001-07-06,10052164057
2001-07-09,10457624060
2001-07-10,9510470050
2001-07-11,10074870049
2001-07-12,11553988045
2001-07-13,11096629394
2001-07-16,10519254073
2001-07-17,10999318716
2001-07-18,10285709389
2001-07-19,10477086742
2001-07-20,9844568721
2001-07-23,9812132060
2001-07-24,10052164057
2001-07-25,9552637380
2001-07-26,10201373384
2001-07-27,10331120724
2001-07-30,10146231426
2001-07-31,10860583810
2001-08-01,11683157036
2001-08-02,11250568664
2001-08-03,11430814002
2001-08-06,11116204354
2001-08-07,11273509178
2001-08-08,10119940858
2001-08-09,10119940858
2001-08-10,9838102898
2001-08-13,10155989355
2001-08-14,9634917748
2001-08-15,9215438015
2001-08-16,6429832584
2001-08-17,6154549738
2001-08-20,5928423653
2001-08-21,5587596682
2001-08-22,5715407001
2001-08-23,5833385397
2001-08-24,6030016602
2001-08-27,6046402095
2001-08-28,5987413038
2001-08-29,6075896975
2001-08-30,5748178689
2001-08-31,5610536869
2001-09-04,4932160110
2001-09-05,4591333186
2001-09-06,4735529326
2001-09-07,4637213887
2001-09-10,4394702355
2001-09-17,4253783399
2001-09-18,3765483106
2001-09-19,3827749674
2001-09-20,3949005252
2001-09-21,3454150687
2001-09-24,3729434281
2001-09-25,3591792461
2001-09-26,3375498252
2001-09-27,3247688354
2001-09-28,3372221116
2001-10-01,3218193474
2001-10-02,3116600899
2001-10-03,3942450933
2001-10-04,3699939402
2001-10-05,4093201392
2001-10-08,4086647073
2001-10-09,3755651604
2001-10-10,4089924256
2001-10-11,4994426678
2001-10-12,5613814426
2001-10-15,5368025711
2001-10-16,6013630407
2001-10-17,5197611875
2001-10-18,5538439173
2001-10-19,5384411532
2001-10-22,5476172605
2001-10-23,5676080619
2001-10-24,6341348693
2001-10-25,7140981405
2001-10-26,6488822343
2001-10-29,5915314968
2001-10-30,5463063921
2001-10-31,5328699330
2001-11-01,5394243034
2001-11-02,4945268795
2001-11-05,5544993492
2001-11-06,5322144964
2001-11-07,5702298316
2001-11-08,5505667111
2001-11-09,5630200247
2001-11-12,6170935231
2001-11-13,6039847776
2001-11-14,6151272181
2001-11-15,6256142313
2001-11-16,6364289207
2001-11-19,6934518697
2001-11-20,6252864803
2001-11-21,6374120381
2001-11-23,6492099152
2001-11-26,6616632287
2001-11-27,6616632287
2001-11-28,5836662580
2001-11-29,6026739092
2001-11-30,5816999576
2001-12-03,5590873865
2001-12-04,6138163543
2001-12-05,6675621298
2001-12-06,6410169580
2001-12-07,6089005660
2001-12-10,6003799233
2001-12-11,6203706919
2001-12-12,5889097646
2001-12-13,4896111286
2001-12-14,4673262758
2001-12-17,4886279784
2001-12-18,5069801931
2001-12-19,4787964018
2001-12-20,4591333186
2001-12-21,4728974960
2001-12-24,4647045389
