,DAL
2007-05-03,6837600000
2007-05-04,6923400000
2007-05-07,6718800000
2007-05-08,6477900000
2007-05-09,6530700000
2007-05-10,6501000000
2007-05-11,6369000000
2007-05-14,6233700000
2007-05-15,6006000000
2007-05-16,6052200000
2007-05-17,6276600000
2007-05-18,6372300000
2007-05-21,6270000000
2007-05-22,6428400000
2007-05-23,6339300000
2007-05-24,6276600000
2007-05-25,6190800000
2007-05-29,6299700000
2007-05-30,6263400000
2007-05-31,6286500000
2007-06-01,6451500000
2007-06-04,6217200000
2007-06-05,6253500000
2007-06-06,6246900000
2007-06-07,6098400000
2007-06-08,6213899999
2007-06-11,6065400000
2007-06-12,6072000000
2007-06-13,6151200000
2007-06-14,6237000000
2007-06-15,6230400000
2007-06-18,6118200000
2007-06-19,6227100000
2007-06-20,6388800000
2007-06-21,6438300000
2007-06-22,6517500000
2007-06-25,6411900000
2007-06-26,6431699999
2007-06-27,6408600000
2007-06-28,6491100000
2007-06-29,6501000000
2007-07-02,7704729999
2007-07-03,7968375000
2007-07-05,8074620000
2007-07-06,8196604999
2007-07-09,8393354999
2007-07-10,8125774999
2007-07-11,7917220000
2007-07-12,8039205000
2007-07-13,8066750000
2007-07-16,8239890000
2007-07-17,8338265000
2007-07-18,8409095000
2007-07-19,8464185000
2007-07-20,8420899999
2007-07-23,8306785000
2007-07-24,8393354999
2007-07-25,8176930000
2007-07-26,7618160000
2007-07-27,7315165000
2007-07-30,7102675000
2007-07-31,7012170000
2007-08-01,7220725000
2007-08-02,7429280000
2007-08-03,7358450000
2007-08-06,7090870000
2007-08-07,7260075000
2007-08-08,7275814999
2007-08-09,7031845000
2007-08-10,6909859999
2007-08-13,6803615000
2007-08-14,6677695000
2007-08-15,6197625000
2007-08-16,6264520000
2007-08-17,6296000000
2007-08-20,6327479999
2007-08-21,6968885000
2007-08-22,7122350000
2007-08-23,7083000000
2007-08-24,7177439999
2007-08-27,6964950000
2007-08-28,6827225000
2007-08-29,6831160000
2007-08-30,6681630000
2007-08-31,6642280000
2007-09-04,6898055000
2007-09-05,6933470000
2007-09-06,7110545000
2007-09-07,6933470000
2007-09-10,6862640000
2007-09-11,6961015000
2007-09-12,6748524999
2007-09-13,6921665000
2007-09-14,6945274999
2007-09-17,6748524999
2007-09-18,6866575000
2007-09-19,7197115000
2007-09-20,6972820000
2007-09-21,6909859999
2007-09-24,6307805000
2007-09-25,6720979999
2007-09-26,7031845000
2007-09-27,7012170000
2007-09-28,7063325000
2007-10-01,6965506000
2007-10-02,7256054000
2007-10-03,7370744000
2007-10-04,7114603000
2007-10-05,7336337000
2007-10-08,7447204000
2007-10-09,7489257000
2007-10-10,7504549000
2007-10-11,7412797000
2007-10-12,7630708000
2007-10-15,7646000000
2007-10-16,7676583999
2007-10-17,7798919999
2007-10-18,7630708000
2007-10-19,7454850000
2007-10-22,7646000000
2007-10-23,7959486000
2007-10-24,7867733999
2007-10-25,7668937999
2007-10-26,7546601999
2007-10-29,7588655000
