,UK
2019-11-07,567360000.0
2019-11-08,569088000.0
2019-11-11,569088000.0
2019-11-12,569088000.0
2019-11-13,569088000.0
2019-11-14,589824000.0
2019-11-15,571392000.0
2019-11-18,574272000.0
2019-11-19,574272000.0
2019-11-20,568800000.0
2019-11-21,568800000.0
2019-11-22,569088000.0
2019-11-25,570240000.0
2019-11-26,570240000.0
2019-11-27,569952000.0
2019-11-29,571392000.0
2019-12-02,589824000.0
2019-12-03,589824000.0
2019-12-04,589824000.0
2019-12-05,589824000.0
2019-12-06,569088000.0
2019-12-09,569088000.0
2019-12-10,569088000.0
2019-12-11,569088000.0
2019-12-12,569088000.0
2019-12-13,569088000.0
2019-12-16,569088000.0
2019-12-17,569088000.0
2019-12-18,569088000.0
2019-12-19,569088000.0
2019-12-20,570240000.0
2019-12-23,570240000.0
2019-12-24,570240000.0
2019-12-26,570240000.0
2019-12-27,570240000.0
2019-12-30,570240000.0
2019-12-31,573120000.0
2020-01-02,623332476.0
2020-01-03,623332476.0
2020-01-06,623332476.0
2020-01-07,622079546.0
2020-01-08,624585405.0
2020-01-09,624585405.0
2020-01-10,624585405.0
2020-01-13,624585405.0
2020-01-14,621453081.0
2020-01-15,621453081.0
2020-01-16,623332476.0
2020-01-17,623332476.0
2020-01-21,625211870.0
2020-01-22,623958940.0
2020-01-23,623332476.0
2020-01-24,623332476.0
2020-01-27,623332476.0
2020-01-28,623332476.0
2020-01-29,623332476.0
2020-01-30,623332476.0
2020-01-31,623332476.0
2020-02-03,623332476.0
2020-02-04,628344194.0
2020-02-05,629597124.0
2020-02-06,629597124.0
2020-02-07,629597124.0
2020-02-10,629597124.0
2020-02-11,629597124.0
2020-02-12,629597124.0
2020-02-13,629597124.0
2020-02-14,629597124.0
2020-02-18,629597124.0
2020-02-19,632729448.0
2020-02-20,629597124.0
2020-02-21,629597124.0
2020-02-24,629597124.0
2020-02-25,629597124.0
2020-02-26,626464800.0
2020-02-27,626464800.0
2020-02-28,626464800.0
2020-03-02,626464800.0
2020-03-03,626464800.0
2020-03-04,626464800.0
2020-03-05,626464800.0
2020-03-06,626464800.0
2020-03-09,630223588.0
2020-03-10,617381060.0
2020-03-11,626464800.0
2020-03-12,624585405.0
2020-03-13,624585405.0
2020-03-16,565071249.0
2020-03-17,565071249.0
2020-03-18,573215292.0
2020-03-19,620200152.0
2020-03-20,615814898.0
2020-03-23,601406208.0
2020-03-24,601406208.0
2020-03-25,613935504.0
2020-03-26,617067828.0
2020-03-27,617067828.0
2020-03-30,622079546.0
2020-03-31,638367631.0
2020-04-01,624497820.0
2020-04-02,622614912.0
2020-04-03,624497820.0
2020-04-06,624497820.0
2020-04-07,625753092.0
2020-04-08,627636000.0
2020-04-09,627636000.0
2020-04-13,628891272.0
2020-04-14,628891272.0
2020-04-15,628263636.0
2020-04-16,628891272.0
2020-04-17,628891272.0
2020-04-20,628891272.0
2020-04-21,628891272.0
2020-04-22,628891272.0
2020-04-23,628891272.0
2020-04-24,630774180.0
2020-04-27,630774180.0
2020-04-28,629518908.0
2020-04-29,630146544.0
2020-04-30,639561084.0
2020-05-01,639561084.0
2020-05-04,639561084.0
2020-05-05,639561084.0
2020-05-06,639561084.0
2020-05-07,639561084.0
2020-05-08,639561084.0
2020-05-11,639561084.0
2020-05-12,639561084.0
2020-05-13,639561084.0
2020-05-14,639561084.0
2020-05-15,639561084.0
2020-05-18,639561084.0
2020-05-19,639561084.0
2020-05-20,628891272.0
2020-05-21,628891272.0
2020-05-22,628891272.0
2020-05-26,628891272.0
2020-05-27,628891272.0
2020-05-28,629518908.0
2020-05-29,633912360.0
2020-06-01,633912360.0
2020-06-02,633912360.0
2020-06-03,633912360.0
2020-06-04,633912360.0
2020-06-05,633912360.0
2020-06-08,632029452.0
2020-06-09,632029452.0
2020-06-10,632029452.0
2020-06-11,632029452.0
2020-06-12,632657088.0
2020-06-15,632657088.0
2020-06-16,633284724.0
2020-06-17,637050540.0
2020-06-18,631401816.0
2020-06-19,631401816.0
2020-06-22,634539996.0
2020-06-23,635167632.0
2020-06-24,632029452.0
2020-06-25,632029452.0
2020-06-26,632029452.0
2020-06-29,635167632.0
2020-06-30,635795268.0
2020-07-01,636279076.0
2020-07-02,633766622.0
2020-07-06,644444553.0
2020-07-07,641932099.0
2020-07-08,641366796.0
2020-07-09,640550249.0
2020-07-10,638163417.0
2020-07-13,640047758.0
2020-07-14,635650963.0
2020-07-15,636279076.0
2020-07-16,636279076.0
2020-07-17,639105588.0
2020-07-20,639419644.0
2020-07-21,638791531.0
2020-07-22,638791531.0
2020-07-23,637535304.0
2020-07-24,638163417.0
2020-07-27,641303985.0
2020-07-28,639105588.0
2020-07-29,637912172.0
2020-07-30,638854342.0
2020-07-31,636593133.0
2020-08-03,638477474.0
2020-08-04,637535304.0
2020-08-05,638163417.0
2020-08-06,638665908.0
2020-08-07,639419644.0
2020-08-10,639419644.0
2020-08-11,640675872.0
2020-08-12,639419644.0
2020-08-13,639419644.0
2020-08-14,639419644.0
2020-08-17,639419644.0
2020-08-18,639419644.0
2020-08-19,639419644.0
2020-08-20,639419644.0
2020-08-21,636907190.0
2020-08-24,636907190.0
2020-08-25,636907190.0
2020-08-26,637535304.0
2020-08-27,637535304.0
2020-08-28,637535304.0
2020-08-31,639231210.0
2020-09-01,639231210.0
2020-09-02,639231210.0
2020-09-03,637535304.0
2020-09-04,637535304.0
2020-09-08,637535304.0
2020-09-09,637535304.0
2020-09-10,639419644.0
2020-09-11,637535304.0
2020-09-14,638477474.0
2020-09-15,639105588.0
2020-09-16,637912172.0
2020-09-17,637912172.0
2020-09-18,637535304.0
2020-09-21,637535304.0
2020-09-22,638917153.0
2020-09-23,638917153.0
2020-09-24,637535304.0
2020-09-25,639419644.0
2020-09-28,639419644.0
2020-09-29,639419644.0
2020-09-30,639419644.0
2020-10-01,663143116.0
2020-10-02,663143116.0
2020-10-05,663143116.0
2020-10-06,663143116.0
2020-10-07,664445952.0
2020-10-08,663143116.0
2020-10-09,661188864.0
2020-10-12,661840281.0
