,WST
2000-01-03,439871040
2000-01-04,444525760
2000-01-05,442780240
2000-01-06,438125520
2000-01-07,442780240
2000-01-10,452089680
2000-01-11,439289200
2000-01-12,441616560
2000-01-13,449180480
2000-01-14,441034720
2000-01-18,442780240
2000-01-19,443943920
2000-01-20,441616560
2000-01-21,443943920
2000-01-24,441616560
2000-01-25,460817280
2000-01-26,460235440
2000-01-27,449180480
2000-01-28,452089680
2000-01-31,449762320
2000-02-01,453835200
2000-02-02,444525760
2000-02-03,436380000
2000-02-04,433470800
2000-02-07,447434960
2000-02-08,457326240
2000-02-09,456162560
2000-02-10,460817280
2000-02-11,450926000
2000-02-14,459071760
2000-02-15,412524560
2000-02-16,407288000
2000-02-17,423579520
2000-02-18,415433760
2000-02-22,404378800
2000-02-23,404378800
2000-02-24,387505440
2000-02-25,387505440
2000-02-28,400305920
2000-02-29,428234240
2000-03-01,422997680
2000-03-02,409033520
2000-03-03,399142240
2000-03-06,404378800
2000-03-07,403796960
2000-03-08,400887760
2000-03-09,394487520
2000-03-10,383432560
2000-03-13,375286800
2000-03-14,376450480
2000-03-15,379941520
2000-03-16,397978560
2000-03-17,394487520
2000-03-20,389832800
2000-03-21,394487520
2000-03-22,387505440
2000-03-23,384596240
2000-03-24,381105200
2000-03-27,382850720
2000-03-28,381105200
2000-03-29,368886560
2000-03-30,386341760
2000-03-31,366203160
2000-04-03,354632760
2000-04-04,350583120
2000-04-05,358103880
2000-04-06,352318680
2000-04-07,348847560
2000-04-10,337277160
2000-04-11,331491960
2000-04-12,336120120
2000-04-13,340169760
2000-04-14,342483840
2000-04-17,347112000
2000-04-18,359839440
2000-04-19,354632760
2000-04-20,350004600
2000-04-24,350583120
2000-04-25,356368320
2000-04-26,350583120
2000-04-27,356368320
2000-04-28,353475720
2000-05-01,350583120
2000-05-02,340169760
2000-05-03,331491960
2000-05-04,340169760
2000-05-05,339012720
2000-05-08,340169760
2000-05-09,335541600
2000-05-10,327442320
2000-05-11,340748280
2000-05-12,341905320
2000-05-15,340169760
2000-05-16,340748280
2000-05-17,337277160
2000-05-18,337277160
2000-05-19,334384560
2000-05-22,332649000
2000-05-23,331491960
2000-05-24,336120120
2000-05-25,340169760
2000-05-26,340169760
2000-05-30,337855680
2000-05-31,340169760
2000-06-01,341905320
2000-06-02,347112000
2000-06-05,343640880
2000-06-06,343640880
2000-06-07,343640880
2000-06-08,342483840
2000-06-09,344219400
2000-06-12,342483840
2000-06-13,340748280
2000-06-14,337855680
2000-06-15,340169760
2000-06-16,339012720
2000-06-19,337855680
2000-06-20,336120120
2000-06-21,336120120
2000-06-22,296780760
2000-06-23,290417040
2000-06-26,302565960
2000-06-27,300830400
2000-06-28,301987440
2000-06-29,299094840
2000-06-30,310252680
2000-07-03,308532240
2000-07-05,299356560
2000-07-06,295915680
2000-07-07,297636120
2000-07-10,299356560
2000-07-11,301077000
2000-07-12,302797440
2000-07-13,297636120
2000-07-14,302223960
2000-07-17,302797440
2000-07-18,299930040
2000-07-19,293048280
2000-07-20,285019560
2000-07-21,291901320
2000-07-24,290180880
2000-07-25,297636120
2000-07-26,293048280
2000-07-27,291327840
2000-07-28,290180880
2000-07-31,295915680
2000-08-01,294195240
2000-08-02,301077000
2000-08-03,299930040
2000-08-04,299356560
2000-08-07,298209600
2000-08-08,298209600
2000-08-09,306238320
2000-08-10,297636120
2000-08-11,295915680
2000-08-14,293048280
2000-08-15,294195240
2000-08-16,293048280
2000-08-17,295915680
2000-08-18,293048280
2000-08-21,294195240
2000-08-22,289607400
2000-08-23,291327840
2000-08-24,289607400
2000-08-25,290180880
2000-08-28,290180880
2000-08-29,290180880
2000-08-30,297636120
2000-08-31,298209600
2000-09-01,294768720
2000-09-05,303944400
2000-09-06,315414000
2000-09-07,323442720
2000-09-08,324589680
2000-09-11,324589680
2000-09-12,322869240
2000-09-13,325163160
2000-09-14,324589680
2000-09-15,320575320
2000-09-18,310252680
2000-09-19,314267040
2000-09-20,313693560
2000-09-21,304517880
2000-09-22,302223960
2000-09-25,310252680
2000-09-26,318854880
2000-09-27,328030560
2000-09-28,340647120
2000-09-29,333191880
2000-10-02,333942400
2000-10-03,335660800
2000-10-04,339097600
2000-10-05,334515200
2000-10-06,333942400
2000-10-09,337379200
2000-10-10,333942400
2000-10-11,333942400
2000-10-12,325923200
2000-10-13,333942400
2000-10-16,328214400
2000-10-17,316758400
2000-10-18,317904000
2000-10-19,316758400
2000-10-20,313894400
2000-10-23,309884800
2000-10-24,313321600
2000-10-25,308166400
2000-10-26,313894400
2000-10-27,313894400
2000-10-30,311603200
2000-10-31,315040000
2000-11-01,313321600
2000-11-02,313894400
2000-11-03,311603200
2000-11-06,308166400
2000-11-07,309884800
2000-11-08,301865600
2000-11-09,297283200
2000-11-10,300720000
2000-11-13,311603200
2000-11-14,324204800
2000-11-15,331078400
2000-11-16,332796800
2000-11-17,329360000
2000-11-20,331078400
2000-11-21,331078400
2000-11-22,332224000
2000-11-24,330505600
2000-11-27,330505600
2000-11-28,330505600
2000-11-29,330505600
2000-11-30,325923200
2000-12-01,324777600
2000-12-04,323059200
2000-12-05,333942400
2000-12-06,332224000
2000-12-07,335660800
2000-12-08,351126400
2000-12-11,351126400
2000-12-12,347116800
2000-12-13,345398400
2000-12-14,345398400
2000-12-15,345398400
2000-12-18,349980800
2000-12-19,349980800
2000-12-20,340243200
2000-12-21,339097600
2000-12-22,351126400
2000-12-26,352844800
2000-12-27,349980800
2000-12-28,358000000
2000-12-29,351699200
2001-01-02,351126400
2001-01-03,365446400
2001-01-04,364300800
2001-01-05,361436800
2001-01-08,358000000
2001-01-09,359718400
2001-01-10,362582400
2001-01-11,362582400
2001-01-12,359718400
