,FOSL
2001-01-04,481662214
2001-01-05,470373233
2001-01-08,485425230
2001-01-09,489188179
2001-01-10,502358668
2001-01-11,506121616
2001-01-12,519292105
2001-01-16,521173546
2001-01-17,541870000
2001-01-18,539988491
2001-01-19,530581019
2001-01-22,513647581
2001-01-23,541870000
2001-01-24,536225543
2001-01-25,517410597
2001-01-26,523055054
2001-01-29,566329402
2001-01-30,568681253
2001-01-31,581381331
2001-02-01,594551820
2001-02-02,594551820
2001-02-05,587025855
2001-02-06,590788804
2001-02-07,590788804
2001-02-08,598314769
2001-02-09,581381331
2001-02-12,598314769
2001-02-13,594551820
2001-02-14,602077785
2001-02-15,607722241
2001-02-16,605840733
2001-02-20,555040421
2001-02-21,547984867
2001-02-22,538106983
2001-02-23,556921929
2001-02-26,539988491
2001-02-27,539047737
2001-02-28,526818070
2001-03-01,528699578
2001-03-02,526818070
2001-03-05,538106983
2001-03-06,553158980
2001-03-07,547514456
2001-03-08,592670312
2001-03-09,602077785
2001-03-12,568210910
2001-03-13,555040421
2001-03-14,556921929
2001-03-15,547514456
2001-03-16,539988491
2001-03-19,536225543
2001-03-20,519292105
2001-03-21,521173546
2001-03-22,526818070
2001-03-23,519292105
2001-03-26,509884633
2001-03-27,508003125
2001-03-28,513647581
2001-03-29,511766141
2001-03-30,523055054
2001-04-02,511766141
2001-04-03,506121616
2001-04-04,502358668
2001-04-05,515529089
2001-04-06,504240108
2001-04-09,511241030
2001-04-10,499512514
2001-04-11,503722719
2001-04-12,505226422
2001-04-16,503422020
2001-04-17,505226422
2001-04-18,518759272
2001-04-19,511541730
2001-04-20,510639562
2001-04-23,511241030
2001-04-24,508835160
2001-04-25,512744665
2001-04-26,513045364
2001-04-27,538306730
2001-04-30,564169495
2001-05-01,566274597
2001-05-02,575897942
2001-05-03,575597242
2001-05-04,568680399
2001-05-07,565673130
2001-05-08,580408915
2001-05-09,586423522
2001-05-10,575897942
2001-05-11,582514017
2001-05-14,571386969
2001-05-15,633036680
2001-05-16,673635230
2001-05-17,669124257
2001-05-18,674838097
2001-05-21,674236629
2001-05-22,667319854
2001-05-23,675740332
2001-05-24,702204565
2001-05-25,682657107
2001-05-29,678146134
2001-05-30,669124257
2001-05-31,672131527
2001-06-01,679649769
2001-06-04,674838097
2001-06-05,685664377
2001-06-06,686566612
2001-06-07,693182619
2001-06-08,689874650
2001-06-11,689874650
2001-06-12,677845435
2001-06-13,674838097
2001-06-14,655591407
2001-06-15,648073165
2001-06-18,652584069
2001-06-19,661606015
2001-06-20,672131527
2001-06-21,601760707
2001-06-22,605670212
2001-06-25,621608932
2001-06-26,604166577
2001-06-27,598151970
2001-06-28,617398659
2001-06-29,624014734
2001-07-02,604467277
2001-07-03,602963642
2001-07-05,588227857
2001-07-06,565372430
2001-07-09,558440984
2001-07-10,551800049
2001-07-11,541536817
2001-07-12,558440984
2001-07-13,577458164
2001-07-16,559950269
2001-07-17,582287917
2001-07-18,584400929
2001-07-19,584400929
2001-07-20,594664230
2001-07-23,567496830
2001-07-24,576552607
2001-07-25,587117669
2001-07-26,586514010
