,FDS
2001-02-02,1220165865
2001-02-05,1219176675
2001-02-06,1221155055
2001-02-07,1215714510
2001-02-08,1205822610
2001-02-09,1158341490
2001-02-12,1153890135
2001-02-13,1109376585
2001-02-14,1129160385
2001-02-15,1153890135
2001-02-16,1132622550
2001-02-20,1071292770
2001-02-21,1036176525
2001-02-22,1020844080
2001-02-23,1005511634
2001-02-26,1084646835
2001-02-27,1049035995
2001-02-28,1034997600
2001-03-01,1022557725
2001-03-02,1031514435
2001-03-05,1053906210
2001-03-06,1044451904
2001-03-07,1053408615
2001-03-08,1056394185
2001-03-09,992204430
2001-03-12,929009865
2001-03-13,925526700
2001-03-14,977774174
2001-03-15,1008625065
2001-03-16,988721265
2001-03-19,1054403805
2001-03-20,1043456715
2001-03-21,1018576965
2001-03-22,1028528865
2001-03-23,966329490
2001-03-26,992204430
2001-03-27,995190000
2001-03-28,972798225
2001-03-29,950904045
2001-03-30,1001658735
2001-04-02,976778985
2001-04-03,963841515
2001-04-04,981754935
2001-04-05,1034997600
2001-04-06,1008625065
2001-04-09,1015093799
2001-04-10,1078288365
2001-04-11,1056394185
2001-04-12,1052413424
2001-04-16,1044451904
2001-04-17,1030021650
2001-04-18,1093216215
2001-04-19,1119588750
2001-04-20,1119588750
2001-04-23,1094211405
2001-04-24,1112124825
2001-04-25,1127052675
2001-04-26,1147951665
2001-04-27,1157903565
2001-04-30,1177807365
2001-05-01,1186764075
2001-05-02,1193730405
2001-05-03,1198706355
2001-05-04,1220600535
2001-05-07,1225576485
2001-05-08,1257422565
2001-05-09,1262398515
2001-05-10,1281307125
2001-05-11,1287278265
2001-05-14,1286283075
2001-05-15,1240504335
2001-05-16,1251451425
2001-05-17,1240504335
2001-05-18,1252446615
2001-05-21,1285287885
2001-05-22,1395753975
2001-05-23,1393763595
2001-05-24,1418145750
2001-05-25,1408193850
2001-05-29,1357439160
2001-05-30,1357936755
2001-05-31,1324031100
2001-06-01,1341856500
2001-06-04,1343341950
2001-06-05,1481983950
2001-06-06,1460692500
2001-06-07,1410682350
2001-06-08,1348293450
2001-06-11,1348293450
2001-06-12,1282438500
2001-06-13,1157165550
2001-06-14,1148748000
2001-06-15,1112602050
2001-06-18,1088834850
2001-06-19,1089330000
2001-06-20,1064077349
2001-06-21,1044271350
2001-06-22,1036348950
2001-06-25,1024960500
2001-06-26,1010601150
2001-06-27,1056154949
2001-06-28,1122505050
2001-06-29,1178457000
2001-07-02,1165087950
2001-07-03,1157660700
2001-07-05,1122505050
2001-07-06,1073980350
2001-07-09,1095766950
2001-07-10,1110621450
2001-07-11,1112602050
2001-07-12,1188360000
2001-07-13,1196777550
