,HOLX
2000-01-03,91908000
2000-01-04,87121125
2000-01-05,91908000
2000-01-06,90950625
2000-01-07,94780125
2000-01-10,103396500
2000-01-11,93344093
2000-01-12,92865375
2000-01-13,93822750
2000-01-14,97652250
2000-01-18,102439125
2000-01-19,103396500
2000-01-20,104353875
2000-01-21,116799750
2000-01-24,123022718
2000-01-25,134989875
2000-01-26,134032500
2000-01-27,113927625
2000-01-28,107226000
2000-01-31,105311250
2000-02-01,111055500
2000-02-02,118714500
2000-02-03,118714500
2000-02-04,111055500
2000-02-07,107226000
2000-02-08,106268625
2000-02-09,102439125
2000-02-10,100524375
2000-02-11,96694875
2000-02-14,103396500
2000-02-15,107226000
2000-02-16,101481750
2000-02-17,100524375
2000-02-18,96694875
2000-02-22,97652250
2000-02-23,104353875
2000-02-24,100524375
2000-02-25,100524375
2000-02-28,100524375
2000-02-29,105311250
2000-03-01,101481750
2000-03-02,113927625
2000-03-03,119671875
2000-03-06,116799750
2000-03-07,145521000
2000-03-08,150307875
2000-03-09,143606250
2000-03-10,143606250
2000-03-13,134989875
2000-03-14,130203000
2000-03-15,122544000
2000-03-16,120629250
2000-03-17,114885000
2000-03-20,120629250
2000-03-21,130203000
2000-03-22,129245625
2000-03-23,135947250
2000-03-24,137862000
2000-03-27,137943000
2000-03-28,134590249
2000-03-29,127884686
2000-03-30,116868375
2000-03-31,121658062
2000-04-03,118784250
2000-04-04,111120750
2000-04-05,118784250
2000-04-06,114952500
2000-04-07,109204875
2000-04-10,99625500
2000-04-11,100583437
2000-04-12,101541375
2000-04-13,99625500
2000-04-14,93877875
2000-04-17,86214375
2000-04-18,95793750
2000-04-19,103457250
2000-04-20,106331062
2000-04-24,96751687
2000-04-25,103457250
2000-04-26,102978311
2000-04-27,107289000
2000-04-28,119742187
2000-05-01,111120750
2000-05-02,107289000
2000-05-03,104415187
2000-05-04,102499312
2000-05-05,99625500
2000-05-08,99625500
2000-05-09,104415187
2000-05-10,95793750
2000-05-11,98667562
2000-05-12,105373125
2000-05-15,108246937
2000-05-16,99625500
2000-05-17,99625500
2000-05-18,94835812
2000-05-19,94835812
2000-05-22,99146561
2000-05-23,103457250
2000-05-24,98667562
2000-05-25,99625500
2000-05-26,95793750
2000-05-30,91962000
2000-05-31,89088187
2000-06-01,85256437
2000-06-02,91962000
2000-06-05,88130250
2000-06-06,86214375
2000-06-07,92919937
2000-06-08,90046125
2000-06-09,87172312
2000-06-12,91962000
2000-06-13,95793750
2000-06-14,109204875
2000-06-15,107289000
2000-06-16,105373125
2000-06-19,107289000
2000-06-20,105373125
2000-06-21,104415187
2000-06-22,103457250
2000-06-23,107289000
2000-06-26,107289000
2000-06-27,107289000
2000-06-28,114952500
2000-06-29,112078687
2000-06-30,103457250
2000-07-03,113021875
2000-07-05,110148437
2000-07-06,109190625
2000-07-07,114937500
2000-07-10,113979687
2000-07-11,113979687
2000-07-12,113979687
2000-07-13,113021875
2000-07-14,108232812
2000-07-17,114937500
2000-07-18,117810937
2000-07-19,117810937
2000-07-20,114937500
2000-07-21,112064062
2000-07-24,107275000
2000-07-25,111106250
2000-07-26,109190625
2000-07-27,105359375
2000-07-28,113021875
2000-07-31,114937500
2000-08-01,112064062
2000-08-02,111106250
2000-08-03,112064062
2000-08-04,113021875
2000-08-07,122600000
2000-08-08,134093750
2000-08-09,136009375
2000-08-10,136009375
2000-08-11,136009375
2000-08-14,130262500
2000-08-15,120684375
2000-08-16,121642187
2000-08-17,117810937
2000-08-18,115895312
2000-08-21,118768750
2000-08-22,116853125
2000-08-23,117810937
2000-08-24,116853125
2000-08-25,117810937
2000-08-28,118768750
2000-08-29,123557812
2000-08-30,117810937
2000-08-31,129304687
2000-09-01,124515625
2000-09-05,124515625
2000-09-06,132178125
2000-09-07,135051562
2000-09-08,130262500
2000-09-11,130262500
2000-09-12,126910186
2000-09-13,122600000
2000-09-14,122600000
2000-09-15,122600000
2000-09-18,125473437
2000-09-19,124515625
2000-09-20,123557812
2000-09-21,124515625
2000-09-22,125473437
2000-09-25,121642187
2000-09-26,112064062
2000-09-27,109190625
2000-09-28,105359375
2000-09-29,113979687
2000-10-02,106747312
2000-10-03,95207062
2000-10-04,94726249
2000-10-05,95207062
2000-10-06,87513562
2000-10-09,96168750
2000-10-10,86551875
2000-10-11,85590187
2000-10-12,84628500
2000-10-13,84628500
2000-10-16,81743437
2000-10-17,81743437
2000-10-18,80781750
2000-10-19,78858375
2000-10-20,79820062
2000-10-23,85590187
2000-10-24,85590187
2000-10-25,76935000
2000-10-26,85590187
2000-10-27,87513562
2000-10-30,87994437
2000-10-31,101938875
2000-11-01,91360312
2000-11-02,94245375
2000-11-03,101938875
2000-11-06,103862250
2000-11-07,105785625
2000-11-08,106266499
2000-11-09,106747312
2000-11-10,108670687
2000-11-13,104823937
2000-11-14,102900562
2000-11-15,103862250
2000-11-16,100977187
2000-11-17,97130437
2000-11-20,96168750
2000-11-21,87513562
2000-11-22,83185999
2000-11-24,85590187
2000-11-27,88475250
2000-11-28,78858375
2000-11-29,77896687
2000-11-30,78858375
2000-12-01,82705125
2000-12-04,81743437
2000-12-05,79820062
2000-12-06,77896687
2000-12-07,71645749
2000-12-08,82224312
2000-12-11,82705125
2000-12-12,80781750
2000-12-13,83666812
2000-12-14,83666812
2000-12-15,86551875
2000-12-18,90398625
2000-12-19,86551875
2000-12-20,83666812
2000-12-21,80781750
2000-12-22,82705125
2000-12-26,77896687
2000-12-27,77896687
2000-12-28,76935000
2000-12-29,81743437
2001-01-02,77335000
2001-01-03,81201750
2001-01-04,80718437
2001-01-05,86035187
2001-01-08,79268375
2001-01-09,79268375
2001-01-10,84101812
2001-01-11,88935250
2001-01-12,87001875
2001-01-16,92802000
2001-01-17,100535500
2001-01-18,109235687
2001-01-19,105368937
2001-01-22,108269000
2001-01-23,108269000
2001-01-24,108269000
2001-01-25,108269000
2001-01-26,108269000
2001-01-29,108269000
2001-01-30,109235687
2001-01-31,110202375
2001-02-01,109719062
2001-02-02,111169062
2001-02-05,107302312
2001-02-06,105368937
2001-02-07,102468875
2001-02-08,105368937
2001-02-09,102468875
2001-02-12,91835312
2001-02-13,94735375
2001-02-14,96668750
2001-02-15,97152124
2001-02-16,96668750
2001-02-20,98602125
2001-02-21,96668750
2001-02-22,96185437
2001-02-23,92802000
2001-02-26,95218749
2001-02-27,92318687
2001-02-28,87001875
2001-03-01,87001875
2001-03-02,87968562
2001-03-05,95702062
2001-03-06,88451937
2001-03-07,87001875
2001-03-08,86035187
2001-03-09,85068500
2001-03-12,81685124
2001-03-13,80235062
2001-03-14,85551874
2001-03-15,86035187
2001-03-16,81201750
2001-03-19,76368312
2001-03-20,77335000
2001-03-21,67184812
2001-03-22,65734750
2001-03-23,67184812
2001-03-26,63801375
2001-03-27,65734750
2001-03-28,63801375
2001-03-29,62351374
2001-03-30,61868000
2001-04-02,61904000
2001-04-03,61904000
2001-04-04,65773000
2001-04-05,70125655
2001-04-06,65773000
2001-04-09,62987320
2001-04-10,64999200
2001-04-11,64225400
2001-04-12,64070639
2001-04-16,62832559
2001-04-17,70415800
2001-04-18,69642000
2001-04-19,72891960
2001-04-20,73511000
2001-04-23,73511000
2001-04-24,75832400
2001-04-25,77534760
2001-04-26,78153800
2001-04-27,83260880
2001-04-30,84653720
2001-05-01,88987000
2001-05-02,97498800
2001-05-03,94403600
2001-05-04,97498800
2001-05-07,99974960
2001-05-08,91463160
2001-05-09,93165520
2001-05-10,92082200
2001-05-11,92856000
2001-05-14,92391720
2001-05-15,93939320
2001-05-16,92546480
2001-05-17,92701240
2001-05-18,92391720
2001-05-21,90844120
2001-05-22,90534600
2001-05-23,92856000
2001-05-24,90844120
2001-05-25,91617920
2001-05-29,92391720
2001-05-30,88677480
2001-05-31,85427520
2001-06-01,81249000
2001-06-04,87903680
2001-06-05,92082200
2001-06-06,96725000
2001-06-07,95177400
2001-06-08,93010760
2001-06-11,94248840
2001-06-12,90998880
2001-06-13,92856000
2001-06-14,93010760
2001-06-15,86665600
2001-06-18,91617920
2001-06-19,93010760
2001-06-20,88367960
2001-06-21,92856000
2001-06-22,94094080
2001-06-25,96105960
2001-06-26,100594000
2001-06-27,103224920
2001-06-28,100903520
2001-06-29,105236800
2001-07-02,100420050
2001-07-03,101665570
