,FRC
2010-12-09,5199234703
2010-12-10,5104263009
2010-12-13,5102400819
2010-12-14,5085641108
2010-12-15,5111711769
2010-12-16,5148955571
2010-12-17,5225305364
2010-12-20,5121480000
2010-12-21,5261620000
2010-12-22,5359900000
2010-12-23,5296200000
2010-12-27,5274360000
2010-12-28,5287100000
2010-12-29,5292560000
2010-12-30,5270720000
2010-12-31,5299840000
2011-01-03,5274360000
2011-01-04,5192460000
2011-01-05,5170620000
2011-01-06,5278000000
2011-01-07,5558280000
2011-01-10,5629241800
2011-01-11,5565560000
2011-01-12,5514600000
2011-01-13,5552820000
2011-01-14,5705700000
2011-01-18,5621980000
2011-01-19,5554640000
2011-01-20,5569200000
2011-01-21,5500040000
2011-01-24,5514600000
2011-01-25,5518240000
2011-01-26,5523700000
2011-01-27,5516420000
2011-01-28,5409040000
2011-01-31,5410860000
2011-02-01,5328960000
2011-02-02,5299840000
2011-02-03,5259800000
2011-02-04,5314400000
2011-02-07,5369000000
2011-02-08,5430880000
2011-02-09,5361720000
2011-02-10,5323500000
2011-02-11,5301660000
2011-02-14,5247060000
2011-02-15,5285280000
2011-02-16,5303480000
2011-02-17,5281640000
2011-02-18,5416320000
2011-02-22,5316220000
2011-02-23,5288920000
2011-02-24,5296200000
2011-02-25,5332600000
2011-02-28,5323500000
2011-03-01,5288920000
2011-03-02,5230680000
2011-03-03,5292560000
2011-03-04,5241600000
2011-03-07,5096000000
2011-03-08,5230680000
2011-03-09,5259800000
2011-03-10,5187000000
2011-03-11,5146960000
2011-03-14,5128760000
2011-03-15,5290740000
2011-03-16,5343520000
2011-03-17,5454540000
2011-03-18,5521880000
2011-03-21,5567380000
2011-03-22,5418140000
2011-03-23,5441800000
2011-03-24,5409950000
2011-03-25,5474560000
2011-03-28,5527340000
2011-03-29,5478200000
2011-03-30,5556460000
2011-03-31,5625620000
2011-04-01,5591040000
2011-04-04,5490940000
2011-04-05,5429060000
2011-04-06,5436340000
2011-04-07,5441800000
2011-04-08,5319860000
2011-04-11,5441800000
2011-04-12,5423600000
2011-04-13,5401760000
2011-04-14,5454540000
2011-04-15,5460000000
2011-04-18,5425420000
2011-04-19,5456360000
2011-04-20,5534620000
2011-04-21,5634720000
2011-04-25,5645640000
2011-04-26,5791240000
2011-04-27,5767580000
2011-04-28,5760300000
2011-04-29,5705700000
2011-05-02,5751200000
2011-05-03,5694780000
2011-05-04,5696600000
2011-05-05,5680220000
2011-05-06,5656560000
2011-05-09,5711160000
2011-05-10,5820360000
2011-05-11,5631080000
2011-05-12,5723900000
2011-05-13,5710250000
2011-05-16,5813080000
2011-05-17,5767580000
2011-05-18,5776680000
2011-05-19,5733000000
2011-05-20,5712980000
2011-05-23,5591040000
2011-05-24,5783960000
2011-05-25,5678400000
2011-05-26,5791240000
2011-05-27,6297200000
2011-05-31,5869500000
2011-06-01,5802160000
2011-06-02,5851300000
2011-06-03,5984160000
2011-06-06,6066060000
2011-06-07,6182540000
2011-06-08,6204380000
2011-06-09,6166160000
2011-06-10,6042400000
2011-06-13,6042400000
2011-06-14,6144320000
2011-06-15,6102460000
2011-06-16,6157060000
2011-06-17,6233500000
2011-06-20,6197099999
2011-06-21,6197099999
2011-06-22,6268080000
2011-06-23,6153420000
2011-06-24,5998720000
2011-06-27,5960500000
2011-06-28,5687500000
2011-06-29,5722080000
2011-06-30,5874960000
2011-07-01,5642000000
2011-07-05,5642000000
2011-07-06,5532800000
2011-07-07,5561920000
2011-07-08,5507320000
2011-07-11,5469100000
2011-07-12,5536440000
2011-07-13,5569200000
2011-07-14,5427240000
2011-07-15,5438160000
2011-07-18,5299840000
2011-07-19,5268900000
2011-07-20,5252520000
2011-07-21,5301660000
2011-07-22,5267080000
2011-07-25,5250700000
2011-07-26,5319860000
2011-07-27,5205200000
2011-07-28,5203380000
2011-07-29,5154240000
2011-08-01,5188820000
2011-08-02,5061420000
2011-08-03,5052320000
2011-08-04,4964960000
2011-08-05,4915820000
2011-08-08,4570020000
2011-08-09,4808440000
2011-08-10,4542720000
2011-08-11,4752020000
2011-08-12,4604600000
2011-08-15,4762940000
2011-08-16,4684680000
2011-08-17,4701060000
2011-08-18,4440800000
2011-08-19,4357080000
2011-08-22,4320680000
2011-08-23,4473560000
2011-08-24,4557280000
2011-08-25,4409860000
2011-08-26,4493580000
2011-08-29,4593680000
2011-08-30,4595500000
2011-08-31,4641000000
2011-09-01,4497220000
2011-09-02,4395300000
2011-09-06,4368000000
2011-09-07,4557280000
2011-09-08,4368000000
2011-09-09,4377100000
2011-09-12,4517240000
2011-09-13,4602780000
2011-09-14,4588220000
2011-09-15,4571840000
2011-09-16,4606420000
2011-09-19,4535440000
2011-09-20,4539080000
2011-09-21,4400760000
2011-09-22,4313400000
2011-09-23,4300660000
2011-09-26,4368000000
2011-09-27,4446260000
2011-09-28,4200559999
2011-09-29,4291559999
2011-09-30,4215120000
2011-10-03,4091360000
2011-10-04,4398940000
2011-10-05,4408040000
2011-10-06,4489940000
2011-10-07,4253340000
2011-10-10,4555460000
2011-10-11,4575480000
2011-10-12,4708340000
2011-10-13,4566380000
2011-10-14,4659200000
2011-10-17,4562740000
2011-10-18,4801160000
2011-10-19,4702880000
2011-10-20,4599140000
2011-10-21,4823000000
2011-10-24,4975880000
2011-10-25,4919460000
2011-10-26,5146960000
2011-10-27,5283460000
2011-10-28,5207020000
2011-10-31,5041400000
2011-11-01,4890340000
2011-11-02,5072340000
2011-11-03,5121480000
2011-11-04,5143320000
2011-11-07,5232500000
2011-11-08,5267080000
2011-11-09,5061420000
2011-11-10,5096000000
2011-11-11,5166980000
2011-11-14,5061420000
2011-11-15,5092360000
2011-11-16,5086900000
2011-11-17,5210660000
2011-11-18,5267080000
2011-11-21,5150600000
2011-11-22,5225220000
2011-11-23,5015920000
2011-11-25,5061420000
2011-11-28,5112380000
2011-11-29,5161520000
2011-11-30,5165160000
2011-12-01,5170620000
2011-12-02,5270720000
2011-12-05,5414500000
2011-12-06,5305300000
2011-12-07,5348980000
2011-12-08,5247060000
2011-12-09,5325320000
2011-12-12,5274360000
2011-12-13,5323500000
2011-12-14,5348980000
2011-12-15,5412680000
2011-12-16,5427240000
2011-12-19,5401760000
2011-12-20,5469100000
2011-12-21,5438160000
2011-12-22,5614700000
2011-12-23,5614700000
2011-12-27,5711160000
2011-12-28,5607420000
2011-12-29,5594680000
2011-12-30,5571020000
2012-01-03,5616520000
2012-01-04,5689320000
2012-01-05,5678400000
2012-01-06,5643820000
2012-01-09,5696600000
2012-01-10,5718440000
2012-01-11,5765760000
2012-01-12,5725720000
2012-01-13,5778500000
2012-01-17,5691140000
2012-01-18,5687500000
2012-01-19,5662020000
2012-01-20,5603780000
2012-01-23,5558280000
2012-01-24,5487300000
2012-01-25,5561920000
2012-01-26,5447260000
2012-01-27,5454540000
2012-01-30,5429060000
2012-01-31,5456360000
2012-02-01,5552820000
2012-02-02,5529160000
2012-02-03,5643820000
2012-02-06,5669300000
2012-02-07,5685680000
2012-02-08,5712980000
2012-02-09,5674760000
2012-02-10,5611060000
2012-02-13,5671120000
2012-02-14,5654740000
2012-02-15,5707520000
2012-02-16,5813080000
2012-02-17,5909540000
2012-02-21,5867680000
2012-02-22,5829460000
2012-02-23,5858580000
2012-02-24,5820360000
2012-02-27,5787600000
2012-02-28,5527340000
2012-02-29,5458180000
2012-03-01,5470920000
2012-03-02,5460000000
2012-03-05,5456360000
2012-03-06,5398120000
2012-03-07,5481840000
2012-03-08,5467280000
2012-03-09,5565560000
2012-03-12,5549180000
2012-03-13,5703880000
2012-03-14,5696600000
2012-03-15,5753020000
2012-03-16,5794880000
2012-03-19,5818540000
2012-03-20,5809440000
2012-03-21,5763940000
2012-03-22,5733000000
2012-03-23,5824000000
2012-03-26,5878599999
2012-03-27,6016920000
2012-03-28,6129760000
2012-03-29,6044220000
2012-03-30,5995080000
2012-04-02,6022380000
2012-04-03,6093359999
2012-04-04,5978700000
2012-04-05,5949580000
2012-04-09,5851300000
2012-04-10,5789420000
2012-04-11,5924099999
2012-04-12,5998720000
2012-04-13,5858580000
2012-04-16,5916820000
2012-04-17,6098820000
2012-04-18,6006000000
2012-04-19,6055140000
2012-04-20,6015099999
2012-04-23,5944119999
2012-04-24,6000540000
2012-04-25,6078800000
2012-04-26,6071520000
