,AAPL
2000-01-03,18153036603
2000-01-04,16622604697
2000-01-05,16865810052
2000-01-06,15406214657
2000-01-07,16136012355
2000-01-10,15852303046
2000-01-11,15041315808
2000-01-12,14139330899
2000-01-13,15690105598
2000-01-14,16288038406
2000-01-18,16855638656
2000-01-19,17281384251
2000-01-20,18344840080
2000-01-21,18051685902
2000-01-24,17230708901
2000-01-25,18163208000
2000-01-26,17869327294
2000-01-27,17838813105
2000-01-28,16480750042
2000-01-31,16825306098
2000-02-01,16257705848
2000-02-02,16024490258
2000-02-03,16754287955
2000-02-04,17514599842
2000-02-07,18526472160
2000-02-08,18708104240
2000-02-09,18344840080
2000-02-10,18344840080
2000-02-11,17636111703
2000-02-14,18708104240
2000-02-15,19253000480
2000-02-16,18526472160
2000-02-17,18708104240
2000-02-18,18041514506
2000-02-22,18526472160
2000-02-23,18889736320
2000-02-24,18708104240
2000-02-25,17899659851
2000-02-28,18344840080
2000-02-29,18526472160
2000-03-01,21069321280
2000-03-02,19797896720
2000-03-03,20706057120
2000-03-06,20342792960
2000-03-07,19979528800
2000-03-08,19797896720
2000-03-09,19797896720
2000-03-10,20342792960
2000-03-13,19616264640
2000-03-14,18526472160
2000-03-15,18889736320
2000-03-16,19797896720
2000-03-17,20342792960
2000-03-20,19979528800
2000-03-21,21795849600
2000-03-22,23430538320
2000-03-23,22885642080
2000-03-24,22522377920
2000-03-27,22704010000
2000-03-28,22522377920
2000-03-29,21977481680
2000-03-30,20342792960
2000-03-31,22024710400
2000-04-03,21660665600
2000-04-04,20750553600
2000-04-05,21114598400
2000-04-06,20386508800
2000-04-07,21478643200
2000-04-10,20386508800
2000-04-11,19476396800
2000-04-12,17755375008
2000-04-13,18566284800
2000-04-14,18181853491
2000-04-17,20204486400
2000-04-18,20568531199
2000-04-19,19658419200
2000-04-20,19294374400
2000-04-24,19658419200
2000-04-25,20932576000
2000-04-26,19658419200
2000-04-27,20568531199
2000-04-28,20204486400
2000-05-01,20204486400
2000-05-02,19112352000
2000-05-03,18748307200
2000-05-04,17988909747
2000-05-05,18384262400
2000-05-08,17897534502
2000-05-09,17135770758
2000-05-10,16140290252
2000-05-11,16709110252
2000-05-12,17491260505
2000-05-15,16414598009
2000-05-16,17176361753
2000-05-17,16475393491
2000-05-18,16373824992
2000-05-19,15276958009
2000-05-22,14616580742
2000-05-23,13946192243
2000-05-24,14250897740
2000-05-25,14182457318
2000-05-26,14037749510
2000-05-30,14230693254
2000-05-31,13651680000
2000-06-01,14484614502
2000-06-02,15043241248
2000-06-05,14840104249
2000-06-06,15094025497
2000-06-07,15693243238
2000-06-08,15408924249
2000-06-09,15561276998
2000-06-12,14819717740
2000-06-13,15358140000
2000-06-14,14697944755
2000-06-15,15012843507
2000-06-16,14819717740
2000-06-19,15703436492
2000-06-20,16455189004
2000-06-21,18080284992
2000-06-22,17470873996
2000-06-23,16800485497
2000-06-26,17592829004
2000-06-27,16820872006
2000-06-28,17694397504
2000-06-29,16658326003
2000-06-30,17124673985
2000-07-03,17431181242
2000-07-05,16879321700
2000-07-06,16940659771
2000-07-07,17799026571
2000-07-10,18676069440
2000-07-11,18676069440
2000-07-12,19225365600
2000-07-13,18492970720
2000-07-14,18859168160
2000-07-17,19042266880
2000-07-18,18676069440
2000-07-19,17226843071
2000-07-20,18023688700
2000-07-21,17512843271
2000-07-24,15918968914
2000-07-25,16368476271
2000-07-26,16368476271
2000-07-27,17001997843
2000-07-28,15796292771
2000-07-31,16613828556
2000-08-01,16123307085
2000-08-02,15448954500
2000-08-03,15694123686
2000-08-04,15489785514
2000-08-07,15673799728
2000-08-08,15285447343
2000-08-09,15530616529
2000-08-10,15551123585
2000-08-11,15591954600
2000-08-14,15387616428
2000-08-15,15265123385
2000-08-16,15857630843
2000-08-17,16818166728
2000-08-18,16348152313
2000-08-21,16511659470
2000-08-22,16899828757
2000-08-23,17758195556
2000-08-24,18309872000
2000-08-25,18492970720
2000-08-28,19042266880
2000-08-29,19408464320
2000-08-30,19408464320
2000-08-31,19957760480
2000-09-01,20690155359
2000-09-05,20323957920
2000-09-06,19042266880
2000-09-07,20323957920
2000-09-08,19225365600
2000-09-11,19042266880
2000-09-12,18859168160
2000-09-13,19042266880
2000-09-14,18676069440
2000-09-15,18059576049
2000-09-18,19774661760
2000-09-19,19591563040
2000-09-20,19957760480
2000-09-21,18492970720
2000-09-22,17063335914
2000-09-25,17492519313
2000-09-26,16818166728
2000-09-27,16000630943
2000-09-28,17492519313
2000-09-29,8419245343
2000-10-02,8176453420
2000-10-03,7523152828
2000-10-04,7965735657
2000-10-05,7438752434
2000-10-06,7481047039
2000-10-09,7333393552
2000-10-10,7038464210
2000-10-11,6617028684
2000-10-12,6743346052
2000-10-13,7438752434
2000-10-16,7249181973
2000-10-17,6785640657
2000-10-18,6785640657
2000-10-19,6385163618
2000-10-20,6574734079
2000-10-23,6869852236
2000-10-24,6364016316
2000-10-25,6237698947
2000-10-26,6237698947
2000-10-27,6258657434
2000-10-30,6511669802
2000-10-31,6595881381
2000-11-01,6911958026
2000-11-02,7523152828
2000-11-03,7502005526
2000-11-06,7228034671
2000-11-07,7185928881
2000-11-08,6764493355
2000-11-09,6806599144
2000-11-10,6427269408
2000-11-13,6532628289
2000-11-14,6827746447
2000-11-15,6701240263
2000-11-16,6406310920
2000-11-17,6237698947
2000-11-20,6385163618
2000-11-21,6343057828
2000-11-22,6237698947
2000-11-24,6511669802
2000-11-27,6300952039
2000-11-28,6079660624
2000-11-29,5921622302
2000-11-30,5563251052
2000-12-01,5753010328
2000-12-04,5626504144
2000-12-05,5731863026
2000-12-06,4825738881
2000-12-07,4825738881
2000-12-08,5078562434
2000-12-11,5120668224
2000-12-12,5183921316
2000-12-13,5057603947
2000-12-14,4867844671
2000-12-15,4741527302
2000-12-18,4804591579
2000-12-19,4720380000
2000-12-20,4846886184
2000-12-21,4741527302
2000-12-22,5057603947
2000-12-26,4952245065
2000-12-27,4994350855
2000-12-28,4994350855
2000-12-29,5015498157
2001-01-02,5148036902
2001-01-03,5667046156
2001-01-04,5905038451
2001-01-05,5667046156
2001-01-08,5731970764
2001-01-09,5948256921
2001-01-10,5731970764
2001-01-11,6229467686
2001-01-12,5948256921
2001-01-16,5926550784
2001-01-17,5818407705
2001-01-18,6467459980
2001-01-19,6748476940
2001-01-22,6662040000
2001-01-23,7094612313
2001-01-24,7094612313
2001-01-25,6900032294
2001-01-26,6770183078
2001-01-29,7505672294
2001-01-30,7527184627
2001-01-31,7483966156
2001-02-01,7310898470
2001-02-02,7137830784
2001-02-05,6986469235
2001-02-06,7310898470
2001-02-07,7181243059
2001-02-08,7181243059
2001-02-09,6618821529
2001-02-12,6813401548
2001-02-13,6618821529
2001-02-14,6748476940
2001-02-15,6943250764
2001-02-16,6575603059
2001-02-20,6337610764
2001-02-21,6532190784
2001-02-22,6510678451
2001-02-23,6510678451
2001-02-26,6748476940
2001-02-27,6705258470
2001-02-28,6315904627
2001-03-01,6488972313
2001-03-02,6662040000
2001-03-05,7051393843
2001-03-06,7440747686
2001-03-07,7354116940
2001-03-08,7202755392
2001-03-09,7008175372
2001-03-12,6445753843
2001-03-13,6770183078
2001-03-14,7073099980
2001-03-15,6813401548
2001-03-16,6791889216
2001-03-19,7116318451
2001-03-20,6813401548
2001-03-21,6964956902
2001-03-22,7483966156
2001-03-23,7959756940
2001-03-26,7537650086
2001-03-27,7914794227
2001-03-28,7672538227
2001-03-29,7797154713
2001-03-30,7638040972
2001-04-02,7529920053
2001-04-03,7059031501
2001-04-04,6800833796
2001-04-05,7278753451
2001-04-06,7181099251
2001-04-09,7163716803
2001-04-10,7686752698
2001-04-11,7603160703
2001-04-12,7819367102
2001-04-16,7477577402
2001-04-17,7114889703
2001-04-18,7948270646
2001-04-19,8970319503
2001-04-20,8733019797
2001-04-23,8457634953
2001-04-24,8380878752
2001-04-25,8621498701
2001-04-26,8610952047
2001-04-27,9137698802
2001-04-30,8890047751
2001-05-01,9043560153
2001-05-02,9273633448
2001-05-03,8705090696
2001-05-04,8980670848
2001-05-07,8705090696
2001-05-08,8569156049
2001-05-09,8363300996
2001-05-10,8021511296
2001-05-11,7969363953
2001-05-14,8122681047
2001-05-15,8084400601
2001-05-16,8405292302
2001-05-17,8213499453
2001-05-18,8206468351
2001-05-21,8216819696
2001-05-22,8195921697
