,DLX
2000-01-03,1546574400
2000-01-04,1517720400
2000-01-05,1503293400
2000-01-06,1499686650
2000-01-07,1535754150
2000-01-10,1503293400
2000-01-11,1517720400
2000-01-12,1524933900
2000-01-13,1557394650
2000-01-14,1539360900
2000-01-18,1528540650
2000-01-19,1539360900
2000-01-20,1539360900
2000-01-21,1546574400
2000-01-24,1524933900
2000-01-25,1506900150
2000-01-26,1496079900
2000-01-27,1496079900
2000-01-28,1510506900
2000-01-31,1542967650
2000-02-01,1582641900
2000-02-02,1647563400
2000-02-03,1672810650
2000-02-04,1640349900
2000-02-07,1550181150
2000-02-08,1557394650
2000-02-09,1524933900
2000-02-10,1481652900
2000-02-11,1449192150
2000-02-14,1405911150
2000-02-15,1409517900
2000-02-16,1398697650
2000-02-17,1384270650
2000-02-18,1337382900
2000-02-22,1344596400
2000-02-23,1373450400
2000-02-24,1319349150
2000-02-25,1279674900
2000-02-28,1333776150
2000-02-29,1351809900
2000-03-01,1384270650
2000-03-02,1384270650
2000-03-03,1377057150
2000-03-06,1337382900
2000-03-07,1308528900
2000-03-08,1337382900
2000-03-09,1413124650
2000-03-10,1427551650
2000-03-13,1416731400
2000-03-14,1416731400
2000-03-15,1470832650
2000-03-16,1593462150
2000-03-17,1550181150
2000-03-20,1568214900
2000-03-21,1561001400
2000-03-22,1517720400
2000-03-23,1553787900
2000-03-24,1496079900
2000-03-27,1456405650
2000-03-28,1496079900
2000-03-29,1499686650
2000-03-30,1535754150
2000-03-31,1531507250
2000-04-03,1535121000
2000-04-04,1484528500
2000-04-05,1473687250
2000-04-06,1491756000
2000-04-07,1484528500
2000-04-10,1473687250
2000-04-11,1433936000
2000-04-12,1531507250
2000-04-13,1527893500
2000-04-14,1470073500
2000-04-17,1462846000
2000-04-18,1470073500
2000-04-19,1473687250
2000-04-20,1480914750
2000-04-24,1441163500
2000-04-25,1462846000
2000-04-26,1517052250
2000-04-27,1484528500
2000-04-28,1455618500
2000-05-01,1491756000
2000-05-02,1506211000
2000-05-03,1448391000
2000-05-04,1444777250
2000-05-05,1452004750
2000-05-08,1444777250
2000-05-09,1444777250
2000-05-10,1466459750
2000-05-11,1498983500
2000-05-12,1491756000
2000-05-15,1466459750
2000-05-16,1488142250
2000-05-17,1488142250
2000-05-18,1477301000
2000-05-19,1473687250
2000-05-22,1437549750
2000-05-23,1480914750
2000-05-24,1488142250
2000-05-25,1470073500
2000-05-26,1444777250
2000-05-30,1455618500
2000-05-31,1426708500
2000-06-01,1477301000
2000-06-02,1394184750
2000-06-05,1412253500
2000-06-06,1397798500
2000-06-07,1397798500
2000-06-08,1452004750
2000-06-09,1423094750
2000-06-12,1415867250
2000-06-13,1437549750
2000-06-14,1452004750
2000-06-15,1444777250
2000-06-16,1455618500
2000-06-19,1448391000
2000-06-20,1437549750
2000-06-21,1444777250
2000-06-22,1459232250
2000-06-23,1466459750
2000-06-26,1444777250
2000-06-27,1379729750
2000-06-28,1347928750
2000-06-29,1394184750
2000-06-30,1363846440
2000-07-03,1389183290
2000-07-05,1338509590
2000-07-06,1327650940
2000-07-07,1320411840
2000-07-10,1298694540
