,HSIC
2000-01-03,806316602
2000-01-04,766399942
2000-01-05,814300000
2000-01-06,810308301
2000-01-07,838249865
2000-01-10,890141621
2000-01-11,870183454
2000-01-12,894133320
2000-01-13,1017875000
2000-01-14,981950038
2000-01-18,993925134
2000-01-19,918083186
2000-01-20,950016775
2000-01-21,930058282
2000-01-24,957999846
2000-01-25,898125019
2000-01-26,862200057
2000-01-27,862200057
2000-01-28,838249865
2000-01-31,842241564
2000-02-01,854216660
2000-02-02,854216660
2000-02-03,846233263
2000-02-04,850224961
2000-02-07,850224961
2000-02-08,850224961
2000-02-09,830266794
2000-02-10,862200057
2000-02-11,798333205
2000-02-14,878166526
2000-02-15,870183454
2000-02-16,834258493
2000-02-17,854216660
2000-02-18,830266794
2000-02-22,862200057
2000-02-23,934049980
2000-02-24,954008473
2000-02-25,954008473
2000-02-28,1061783358
2000-02-29,1197500134
2000-03-01,1161574846
2000-03-02,1001908205
2000-03-03,989933435
2000-03-06,997916506
2000-03-07,993925134
2000-03-08,997916506
2000-03-09,1053799961
2000-03-10,1037833493
2000-03-13,993925134
2000-03-14,1005899904
2000-03-15,985941736
2000-03-16,993925134
2000-03-17,1029850095
2000-03-20,957999846
2000-03-21,1001908205
2000-03-22,1022864704
2000-03-23,1125649885
2000-03-24,1093716621
2000-03-27,1155327856
2000-03-28,1094733583
2000-03-29,1058377151
2000-03-30,1017981079
2000-03-31,1046258560
2000-04-03,1001822848
2000-04-04,1034139640
2000-04-05,1030100000
2000-04-06,1058377151
2000-04-07,1042218920
2000-04-10,1009901799
2000-04-11,993743568
2000-04-12,969505727
2000-04-13,1034139640
2000-04-14,961426776
2000-04-17,888713583
2000-04-18,979604992
2000-04-19,900832503
2000-04-20,929109655
2000-04-24,912951424
2000-04-25,937188935
2000-04-26,929109655
2000-04-27,904872143
2000-04-28,903862151
2000-05-01,969505727
2000-05-02,965466416
2000-05-03,961426776
2000-05-04,1009901799
2000-05-05,993743568
2000-05-08,1058377151
2000-05-09,1098773223
2000-05-10,1038179280
2000-05-11,1042218920
2000-05-12,1026060359
2000-05-15,1078575352
2000-05-16,1102812863
2000-05-17,1098773223
2000-05-18,1098773223
2000-05-19,1082614992
2000-05-22,1106852503
2000-05-23,1074535712
2000-05-24,1082614992
2000-05-25,1082614992
2000-05-26,1082614992
2000-05-30,1114931784
2000-05-31,1139169295
2000-06-01,1167446776
2000-06-02,1179565367
2000-06-05,1151288215
2000-06-06,1159367496
2000-06-07,1159367496
2000-06-08,1163407136
2000-06-09,1163407136
2000-06-12,1159367496
2000-06-13,1155327856
2000-06-14,1163407136
2000-06-15,1183605007
2000-06-16,1147248575
2000-06-19,1135129655
2000-06-20,1110892143
2000-06-21,1110892143
2000-06-22,1131090344
2000-06-23,1090694272
2000-06-26,543947071
2000-06-27,533836451
2000-06-28,543947071
2000-06-29,558101774
2000-06-30,558101774
2000-07-03,566190270
2000-07-05,547991154
2000-07-06,552035402
2000-07-07,547991154
2000-07-10,533836451
2000-07-11,505526879
2000-07-12,485305804
2000-07-13,483283845
2000-07-14,487327928
2000-07-17,473173225
2000-07-18,463062770
2000-07-19,467106853
2000-07-20,469128977
2000-07-21,456996398
2000-07-24,448907902
2000-07-25,440819571
2000-07-26,456996398
2000-07-27,446885778
2000-07-28,444863654
2000-07-31,454974274
2000-08-01,541924947
2000-08-02,600566048
2000-08-03,614720751
2000-08-04,590455428
2000-08-07,596016228
2000-08-08,582367097
2000-08-09,590455428
2000-08-10,582367097
2000-08-11,584389221
2000-08-14,582367097
2000-08-15,580344973
2000-08-16,582367097
2000-08-17,578322849
2000-08-18,586411345
2000-08-21,588433304
2000-08-22,586411345
2000-08-23,580344973
2000-08-24,582367097
2000-08-25,582367097
2000-08-28,574278601
2000-08-29,578322849
2000-08-30,594499676
2000-08-31,594499676
2000-09-01,602588172
2000-09-05,594499676
2000-09-06,586411345
2000-09-07,580344973
2000-09-08,582367097
2000-09-11,596521800
2000-09-12,586411345
2000-09-13,582367097
2000-09-14,590455428
2000-09-15,594499676
2000-09-18,592477552
2000-09-19,602588172
2000-09-20,598543924
2000-09-21,600566048
2000-09-22,600566048
2000-09-25,616607271
2000-09-26,618655816
2000-09-27,639141107
2000-09-28,651432382
2000-09-29,653480928
2000-10-02,725179362
2000-10-03,704694071
2000-10-04,698548601
2000-10-05,716985346
2000-10-06,739519183
2000-10-09,704694071
2000-10-10,733373545
2000-10-11,678063310
2000-10-12,696500055
2000-10-13,712888254
2000-10-16,704694071
2000-10-17,704694071
2000-10-18,678063310
2000-10-19,684208780
2000-10-20,678063310
2000-10-23,676014764
2000-10-24,667820581
2000-10-25,682160235
2000-10-26,682160235
2000-10-27,676014764
2000-10-30,733373545
2000-10-31,798926509
2000-11-01,815314709
2000-11-02,868576398
2000-11-03,835800000
2000-11-06,819411800
2000-11-07,831702908
2000-11-08,872673490
2000-11-09,866528019
2000-11-10,848091107
2000-11-13,807120525
2000-11-14,858333836
2000-11-15,858333836
2000-11-16,827605816
2000-11-17,837848545
2000-11-20,794829418
2000-11-21,782538310
2000-11-22,749761745
2000-11-24,772295581
2000-11-27,835800000
2000-11-28,868576398
2000-11-29,856285290
2000-11-30,866528019
2000-12-01,876770581
2000-12-04,968954474
2000-12-05,999682326
2000-12-06,995585235
2000-12-07,977148490
2000-12-08,1036555816
