,MTG
2001-01-23,5936021680
2001-01-24,6176108841
2001-01-25,6188913490
2001-01-26,6195315814
2001-01-29,6266808435
2001-01-30,6402324300
2001-01-31,6134493733
2001-02-01,6081141030
2001-02-02,6166505354
2001-02-05,6196382868
2001-02-06,6005380193
2001-02-07,6108884436
2001-02-08,6076872814
2001-02-09,6077939868
2001-02-12,6430067705
2001-02-13,6295618895
2001-02-14,6402324300
2001-02-15,6354306867
2001-02-16,6459945218
2001-02-20,6343636327
2001-02-21,6178242949
2001-02-22,6195315814
2001-02-23,6114219706
2001-02-26,6209187516
2001-02-27,6315892921
2001-02-28,6183578219
2001-03-01,6196382868
2001-03-02,6177175895
2001-03-05,6184645273
2001-03-06,6227327435
2001-03-07,6361776246
2001-03-08,6585857596
2001-03-09,6616802164
2001-03-12,6412994840
2001-03-13,6514364975
2001-03-14,6250802624
2001-03-15,6370312678
2001-03-16,6461012272
2001-03-19,6690428893
2001-03-20,6834481190
2001-03-21,6775793217
2001-03-22,6711769974
2001-03-23,6868626919
2001-03-26,6934784270
2001-03-27,6797134298
2001-03-28,6829145920
2001-03-29,7010545108
2001-03-30,7300783810
2001-04-02,7292178382
2001-04-03,7235591931
2001-04-04,7161922779
2001-04-05,7364779865
2001-04-06,7355170845
2001-04-09,7222779905
2001-04-10,7151246091
2001-04-11,7064764912
2001-04-12,6774358980
2001-04-16,6886464211
2001-04-17,6774358980
2001-04-18,6587516927
2001-04-19,6701757496
2001-04-20,6651577060
2001-04-23,6614208649
2001-04-24,6646238715
2001-04-25,6742328914
2001-04-26,6820268741
2001-04-27,6918494277
2001-04-30,6938779986
2001-05-01,6938779986
2001-05-02,6930238635
2001-05-03,6877922860
2001-05-04,6849095801
2001-05-07,6865110834
2001-05-08,6931306304
2001-05-09,6939847655
2001-05-10,6940915323
2001-05-11,6970810052
2001-05-14,7104268660
2001-05-15,7089321296
2001-05-16,7218509230
2001-05-17,7260148316
2001-05-18,7250539296
2001-05-21,7201426528
2001-05-22,7162990448
2001-05-23,7196088183
2001-05-24,7162990448
2001-05-25,7136298727
2001-05-29,7318870103
2001-05-30,7270825004
2001-05-31,7513185838
2001-06-01,7327411454
2001-06-04,7372253547
2001-06-05,7484358778
2001-06-06,7729922618
2001-06-07,7661591811
2001-06-08,7623155731
2001-06-11,7687215864
2001-06-12,7725651943
2001-06-13,7878328591
2001-06-14,7709636910
2001-06-15,7941321055
