,PXD
2000-01-03,845375720
2000-01-04,857395280
2000-01-05,832354530
2000-01-06,851385500
2000-01-07,876426250
2000-01-10,851385500
2000-01-11,864406690
2000-01-12,820334970
2000-01-13,845375720
2000-01-14,870416470
2000-01-18,932517530
2000-01-19,914488190
2000-01-20,901467000
2000-01-21,945538720
2000-01-24,951548500
2000-01-25,976589250
2000-01-26,982599030
2000-01-27,882436030
2000-01-28,864406690
2000-01-31,857395280
2000-02-01,895457220
2000-02-02,932517530
2000-02-03,901467000
2000-02-04,889447440
2000-02-07,870416470
2000-02-08,839365940
2000-02-09,814325190
2000-02-10,832354530
2000-02-11,814325190
2000-02-14,789284440
2000-02-15,807313780
2000-02-16,776263250
2000-02-17,770253470
2000-02-18,689121440
2000-02-22,745212720
2000-02-23,770253470
2000-02-24,776263250
2000-02-25,745212720
2000-02-28,770253470
2000-02-29,832354530
2000-03-01,845375720
2000-03-02,876426250
2000-03-03,820334970
2000-03-06,839365940
2000-03-07,907476780
2000-03-08,914488190
2000-03-09,945538720
2000-03-10,895457220
2000-03-13,845375720
2000-03-14,876426250
2000-03-15,857395280
2000-03-16,926507750
2000-03-17,901467000
2000-03-20,882436030
2000-03-21,901467000
2000-03-22,926507750
2000-03-23,914488190
2000-03-24,939528940
2000-03-27,926507750
2000-03-28,901467000
2000-03-29,920497970
2000-03-30,1001630000
2000-03-31,1046671500
2000-04-03,1046671500
2000-04-04,990849020
2000-04-05,971909250
2000-04-06,996830000
2000-04-07,984868040
2000-04-10,916086770
2000-04-11,916086770
2000-04-12,965928270
2000-04-13,971909250
2000-04-14,971909250
2000-04-17,952969480
2000-04-18,977890230
2000-04-19,971909250
2000-04-20,952969480
2000-04-24,977890230
2000-04-25,1009788790
2000-04-26,946988500
2000-04-27,1009788790
2000-04-28,1027731730
2000-05-01,1046671500
2000-05-02,1065611270
2000-05-03,1046671500
2000-05-04,1159313290
2000-05-05,1209154790
2000-05-08,1177256230
2000-05-09,1152335480
2000-05-10,1140373520
2000-05-11,1209154790
2000-05-12,1196196000
2000-05-15,1246037500
2000-05-16,1270958250
2000-05-17,1345720500
2000-05-18,1308837790
2000-05-19,1326780730
2000-05-22,1333758540
2000-05-23,1308837790
2000-05-24,1295879000
2000-05-25,1295879000
2000-05-26,1401542980
2000-05-30,1408520790
2000-05-31,1489264020
2000-06-01,1445403500
2000-06-02,1426463730
2000-06-05,1376622230
2000-06-06,1376622230
2000-06-07,1358679290
2000-06-08,1358679290
2000-06-09,1351701480
2000-06-12,1383600040
2000-06-13,1395562000
2000-06-14,1376622230
2000-06-15,1358679290
2000-06-16,1370641250
2000-06-19,1370641250
2000-06-20,1326780730
2000-06-21,1345720500
2000-06-22,1301859980
2000-06-23,1283917040
2000-06-26,1270958250
2000-06-27,1270958250
2000-06-28,1283917040
2000-06-29,1209154790
2000-06-30,1266228000
2000-07-03,1291056000
2000-07-05,1204654560
2000-07-06,1235441280
2000-07-07,1204654560
2000-07-10,1204654560
2000-07-11,1254310560
2000-07-12,1222530720
2000-07-13,1229482560
2000-07-14,1216572000
2000-07-17,1191744000
2000-07-18,1210613280
2000-07-19,1172874720
2000-07-20,1166916000
2000-07-21,1123218720
2000-07-24,1067604000
2000-07-25,1080514560
2000-07-26,1123218720
2000-07-27,1117260000
2000-07-28,1092432000
2000-07-31,1067604000
2000-08-01,1123218720
2000-08-02,1148046720
2000-08-03,1142088000
2000-08-04,1130170560
2000-08-07,1166916000
2000-08-08,1179826560
2000-08-09,1247358720
2000-08-10,1272186720
2000-08-11,1272186720
2000-08-14,1297014720
2000-08-15,1241400000
2000-08-16,1315884000
2000-08-17,1384409280
2000-08-18,1334753280
2000-08-21,1328794560
2000-08-22,1340712000
2000-08-23,1378450560
2000-08-24,1378450560
2000-08-25,1346670720
2000-08-28,1378450560
2000-08-29,1384409280
2000-08-30,1359581280
2000-08-31,1378450560
2000-09-01,1421154720
2000-09-05,1396326720
2000-09-06,1440024000
2000-09-07,1452934560
2000-09-08,1409237280
2000-09-11,1428106560
2000-09-12,1434065280
2000-09-13,1434065280
2000-09-14,1440024000
2000-09-15,1452934560
2000-09-18,1570122720
2000-09-19,1539336000
2000-09-20,1527418560
2000-09-21,1415196000
2000-09-22,1409237280
2000-09-25,1365540000
2000-09-26,1434065280
2000-09-27,1434065280
2000-09-28,1440024000
2000-09-29,1409237280
