,CTAS
2000-01-03,5892515367
2000-01-04,5653972540
2000-01-05,5716568884
2000-01-06,5748712953
2000-01-07,6038009573
2000-01-10,6175044815
2000-01-11,5816384677
2000-01-12,5653972540
2000-01-13,6125982815
2000-01-14,6154743297
2000-01-18,6239332952
2000-01-19,5865446677
2000-01-20,5780857022
2000-01-21,5554156747
2000-01-24,5533855230
2000-01-25,5329148265
2000-01-26,5378210264
2000-01-27,5364675920
2000-01-28,5061844955
2000-01-31,5283469851
2000-02-01,5244558610
2000-02-02,5413737920
2000-02-03,5491560402
2000-02-04,5569382885
2000-02-07,5117674127
2000-02-08,4919734334
2000-02-09,4801308817
2000-02-10,4539080887
2000-02-11,4378360542
2000-02-14,4493402473
2000-02-15,4596601852
2000-02-16,4447724059
2000-02-17,4574608542
2000-02-18,4215948405
2000-02-22,4109365439
2000-02-23,4102598267
2000-02-24,4307305232
2000-02-25,4330990336
2000-02-28,4363134404
2000-02-29,4389811192
2000-03-01,4478827265
2000-03-02,4457397470
2000-03-03,4533225977
2000-03-06,4457397470
2000-03-07,4396404975
2000-03-08,4399701866
2000-03-09,4492014832
2000-03-10,4564546447
2000-03-13,4431022337
2000-03-14,4348600046
2000-03-15,4925556080
2000-03-16,5975616061
2000-03-17,5626145549
2000-03-20,5284917266
2000-03-21,5779451009
2000-03-22,5749778985
2000-03-23,5779451009
2000-03-24,6067929026
2000-03-27,6006936531
2000-03-28,5944295590
2000-03-29,5738239864
2000-03-30,5944295590
2000-03-31,6460259129
2000-04-03,6438829333
2000-04-04,6656424180
2000-04-05,6318492789
2000-04-06,6203101583
2000-04-07,6419047984
2000-04-10,6120679292
2000-04-11,6222882932
2000-04-12,6244312728
2000-04-13,6305305223
2000-04-14,5563504608
2000-04-17,6574001890
2000-04-18,6203101583
2000-04-19,5975616061
2000-04-20,6244312728
2000-04-24,6409157309
2000-04-25,6944902197
2000-04-26,6203101583
2000-04-27,6593783240
2000-04-28,6532790745
2000-05-01,6552572094
2000-05-02,6171781112
2000-05-03,6109140171
2000-05-04,6285523873
2000-05-05,6501470274
2000-05-08,6387727513
2000-05-09,6552572094
2000-05-10,6480040479
2000-05-11,6542681419
2000-05-12,6603673914
2000-05-15,6780057616
2000-05-16,7398224795
2000-05-17,6944902197
2000-05-18,6634994385
2000-05-19,6666314855
2000-05-22,6809729641
2000-05-23,6480040479
2000-05-24,7027324488
2000-05-25,6717416675
2000-05-26,6923472402
2000-05-30,7449326615
2000-05-31,7457853348
2000-06-01,7946003748
2000-06-02,8157874582
2000-06-05,7934138982
2000-06-06,7691758748
2000-06-07,7595145648
2000-06-08,6949363347
2000-06-09,7203608347
2000-06-12,6971397913
2000-06-13,7118860014
2000-06-14,6864615013
2000-06-15,6896819380
2000-06-16,7086655647
2000-06-19,7278186880
2000-06-20,7330730847
2000-06-21,7171403980
2000-06-22,6801901246
2000-06-23,6674778746
2000-06-26,6822240846
2000-06-27,6483247512
2000-06-28,6600200212
2000-06-29,6473077712
2000-06-30,6218832712
2000-07-03,6854445213
2000-07-05,6981567713
2000-07-06,7425648981
2000-07-07,7776507081
2000-07-10,7976513149
2000-07-11,7669724181
2000-07-12,8008717515
2000-07-13,7871425215
2000-07-14,7998547715
2000-07-17,8040921882
2000-07-18,7934138982
2000-07-19,7923969182
2000-07-20,8040921882
2000-07-21,7669724181
2000-07-24,7203608347
2000-07-25,7310391247
2000-07-26,7086655647
2000-07-27,7066316047
2000-07-28,6864615013
2000-07-31,7151064380
2000-08-01,7044281480
2000-08-02,7425648981
2000-08-03,7457853348
2000-08-04,7203608347
2000-08-07,7320561047
2000-08-08,7256152314
2000-08-09,7086655647
2000-08-10,7013772080
2000-08-11,7140894580
2000-08-14,7288356681
2000-08-15,7510397314
2000-08-16,7066316047
2000-08-17,7479887914
2000-08-18,7161234180
2000-08-21,7066316047
2000-08-22,7100215380
2000-08-23,7044281480
2000-08-24,7151064380
2000-08-25,7225642914
2000-08-28,7079875780
2000-08-29,6949363347
2000-08-30,7056146247
2000-08-31,6910327865
2000-09-01,6993464629
2000-09-05,6983488218
2000-09-06,7056648570
2000-09-07,7159738158
2000-09-08,7306058864
2000-09-11,7076601394
2000-09-12,7015080188
2000-09-13,7149761747
2000-09-14,7046672159
2000-09-15,6858783071
2000-09-18,6692509542
2000-09-19,6640964748
2000-09-20,6619349189
2000-09-21,6734077924
2000-09-22,6785622718
2000-09-25,6672556718
2000-09-26,6609372777
2000-09-27,6630988336
2000-09-28,7274466893
2000-09-29,7242874923
2000-10-02,7066624982
2000-10-03,6827191100
2000-10-04,7046672159
2000-10-05,7129808923
2000-10-06,6983488218
2000-10-09,6910327865
2000-10-10,7046672159
2000-10-11,7088240541
2000-10-12,6848806659
2000-10-13,7088240541
2000-10-16,7108193364
2000-10-17,6983488218
2000-10-18,6963535394
2000-10-19,7222922099
2000-10-20,7056648570
2000-10-23,6910327865
2000-10-24,6900351453
2000-10-25,7015080188
2000-10-26,7088240541
2000-10-27,7201306540
2000-10-30,7477320599
2000-10-31,7711766275
2000-11-01,7555469157
2000-11-02,7846447833
2000-11-03,7731719098
2000-11-06,7949537421
2000-11-07,8044313333
