,BBBY
2000-11-27,6147952937.0
2000-11-28,6193098023.0
2000-11-29,6202040500.0
2000-11-30,6003863671.0
2000-12-01,5877515125.0
2000-12-04,5931746921.0
2000-12-05,6815032875.0
2000-12-06,6238098875.0
2000-12-07,6256272296.0
2000-12-08,6562624250.0
2000-12-11,6184155546.0
2000-12-12,6472622546.0
2000-12-13,6256272296.0
2000-12-14,5913573500.0
2000-12-15,5814340852.0
2000-12-18,6310215625.0
2000-12-19,6112038796.0
2000-12-20,6472622546.0
2000-12-21,6562624250.0
2000-12-22,6706857750.0
2000-12-26,6688972796.0
2000-12-27,6851091250.0
2000-12-28,7067441500.0
2000-12-29,6454449125.0
2001-01-02,6148097171.0
2001-01-03,7157731671.0
2001-01-04,6923208000.0
2001-01-05,6725031171.0
2001-01-08,6670799375.0
2001-01-09,6418390750.0
2001-01-10,6598682625.0
2001-01-11,6815032875.0
2001-01-12,6544739296.0
2001-01-16,7067441500.0
2001-01-17,7193790046.0
2001-01-18,6815032875.0
2001-01-19,6711363316.0
2001-01-22,6797003687.0
2001-01-23,6833062062.0
2001-01-24,6643755593.0
2001-01-25,6778974500.0
2001-01-26,6941381421.0
2001-01-29,7229848421.0
2001-01-30,7301965171.0
2001-01-31,7662548921.0
2001-02-01,7482257046.0
2001-02-02,7662548921.0
2001-02-05,7626490546.0
2001-02-06,7788609000.0
2001-02-07,7788609000.0
2001-02-08,7590432171.0
2001-02-09,7301965171.0
2001-02-12,7770724046.0
2001-02-13,7644375500.0
2001-02-14,7806782421.0
2001-02-15,7734665671.0
2001-02-16,7536200375.0
2001-02-20,7464083625.0
2001-02-21,6923208000.0
2001-02-22,7103499875.0
2001-02-23,7446198671.0
2001-02-26,7716492250.0
2001-02-27,7319850125.0
2001-02-28,7103499875.0
2001-03-01,7229848421.0
2001-03-02,7121673296.0
2001-03-05,7121673296.0
2001-03-06,7265762562.0
2001-03-07,7698607296.0
2001-03-08,8077076000.0
2001-03-09,8203424546.0
2001-03-12,7752550625.0
2001-03-13,8023132671.0
2001-03-14,7788609000.0
2001-03-15,7626490546.0
2001-03-16,7567749722.0
2001-03-19,7842840796.0
2001-03-20,7355908500.0
2001-03-21,6797147921.0
2001-03-22,6806090398.0
2001-03-23,7103499875.0
2001-03-26,6815032875.0
2001-03-27,7067441500.0
2001-03-28,7139558250.0
2001-03-29,6688972796.0
2001-03-30,7085614921.0
2001-04-02,7121673296.0
2001-04-03,6941381421.0
2001-04-04,7103499875.0
2001-04-05,7770579812.0
2001-04-06,7734665671.0
2001-04-09,8183809078.0
2001-04-10,7978997220.0
2001-04-11,7869380048.0
2001-04-12,7820340658.0
2001-04-16,7872264718.0
2001-04-17,7978997220.0
2001-04-18,8400159328.0
2001-04-19,8290541580.0
2001-04-20,8195347470.0
2001-04-23,8287656910.0
2001-04-24,7981881890.0
2001-04-25,8290541580.0
2001-04-26,7912649810.0
2001-04-27,8097268690.0
2001-04-30,8169385440.0
2001-05-01,8221309500.0
2001-05-02,8074191330.0
2001-05-03,7869380048.0
2001-05-04,7704953281.0
2001-05-07,7514565061.0
2001-05-08,7713607580.0
2001-05-09,7520334690.0
2001-05-10,7707837951.0
2001-05-11,7765531640.0
2001-05-14,7993420281.0
2001-05-15,8002074580.0
2001-05-16,8391505030.0
2001-05-17,8752088780.0
2001-05-18,8679972030.0
2001-05-21,9153057910.0
2001-05-22,9014593750.0
2001-05-23,8642471031.0
2001-05-24,8775166140.0
2001-05-25,8982862091.0
2001-05-29,8544392828.0
2001-05-30,8558815890.0
2001-05-31,8529969190.0
2001-06-01,8838628591.0
2001-06-04,8821238329.0
2001-06-05,9090743959.0
2001-06-06,8798055049.0
2001-06-07,8896583989.0
2001-06-08,8792258940.0
2001-06-11,8783855290.0
2001-06-12,8742994470.0
2001-06-13,8470590930.0
2001-06-14,8345980510.0
2001-06-15,8476386750.0
2001-06-18,8656057459.0
2001-06-19,9006704280.0
2001-06-20,9047274730.0
2001-06-21,8864706690.0
2001-06-22,8705321929.0
2001-06-25,8656057459.0
2001-06-26,8893686079.0
2001-06-27,8418428260.0
2001-06-28,8728505209.0
2001-06-29,9041479489.0
2001-07-02,8812544310.0
2001-07-03,8856012670.0
2001-07-05,8884992060.0
2001-07-06,8519855400.0
2001-07-09,8458999579.0
2001-07-10,8325695430.0
2001-07-11,8769075660.0
2001-07-12,9079152030.0
2001-07-13,9293597370.0
2001-07-16,9360249010.0
2001-07-17,9479063320.0
2001-07-18,9415310169.0
2001-07-19,9571796440.0
2001-07-20,9302290520.0
2001-07-23,9009602190.0
2001-07-24,9012500100.0
2001-07-25,9308086630.0
2001-07-26,9418207500.0
2001-07-27,9244332900.0
2001-07-30,9177680970.0
2001-07-31,9339963930.0
2001-08-01,9232741549.0
2001-08-02,9342862419.0
2001-08-03,9241434700.0
2001-08-06,8844421320.0
2001-08-07,8844421320.0
2001-08-08,8638669420.0
2001-08-09,8800952959.0
2001-08-10,8557528519.0
2001-08-13,8627078070.0
2001-08-14,8656057459.0
2001-08-15,8508264049.0
2001-08-16,8537242570.0
2001-08-17,8490876010.0
2001-08-20,8600996880.0
2001-08-21,8299613950.0
2001-08-22,8250349480.0
2001-08-23,8195289769.0
2001-08-24,8490876010.0
2001-08-27,8682428151.0
2001-08-28,8340185269.0
2001-08-29,8244554239.0
2001-08-30,8334389160.0
2001-08-31,8360470350.0
2001-09-04,8473489890.0
2001-09-05,8348708760.0
2001-09-06,8131067760.0
2001-09-07,7463635069.0
2001-09-10,7066077800.0
2001-09-17,6204219149.0
2001-09-18,6233238240.0
2001-09-19,6297079890.0
2001-09-20,5914031149.0
2001-09-21,6018499120.0
2001-09-24,6726557840.0
2001-09-25,6662716189.0
2001-09-26,7280816920.0
2001-09-27,7492654160.0
2001-09-28,7388186189.0
2001-10-01,7193760810.0
2001-10-02,7498457920.0
2001-10-03,8197811000.0
2001-10-04,7736412080.0
2001-10-05,7985973760.0
2001-10-08,7811860960.0
2001-10-09,7719000800.0
2001-10-10,7875702029.0
2001-10-11,8444470800.0
2001-10-12,8316788080.0
2001-10-15,8281965810.0
2001-10-16,8180400010.0
2001-10-17,7898917069.0
2001-10-18,7762529000.0
2001-10-19,7988875930.0
2001-10-22,7779939989.0
2001-10-23,7788645920.0
2001-10-24,7800253149.0
2001-10-25,7910524880.0
2001-10-26,7797351850.0
2001-10-29,7051568109.0
2001-10-30,7245994069.0
2001-10-31,7272110989.0
2001-11-01,7510065149.0
2001-11-02,7811860960.0
2001-11-05,8104950840.0
2001-11-06,8389335080.0
2001-11-07,8450274850.0
2001-11-08,8554742240.0
2001-11-09,8665013970.0
2001-11-12,8641798930.0
2001-11-13,8992926120.0
2001-11-14,9216370880.0
2001-11-15,9164137040.0
2001-11-16,8929084760.0
2001-11-19,9196058010.0
2001-11-20,9222174930.0
2001-11-21,8984220189.0
2001-11-23,9329544780.0
2001-11-26,9744513620.0
2001-11-27,9599419620.0
2001-11-28,9384679920.0
2001-11-29,9407894379.0
2001-11-30,9422404650.0
2001-12-03,9676811397.0
2001-12-04,9850037660.0
2001-12-05,10312971211.0
2001-12-06,10435424681.0
2001-12-07,10160651340.0
2001-12-10,9706677500.0
2001-12-11,9581237957.0
2001-12-12,9467744198.0
2001-12-13,9655904707.0
2001-12-14,9858997072.0
2001-12-17,9554357330.0
2001-12-18,9608116792.0
2001-12-19,9709663572.0
2001-12-20,9712650840.0
2001-12-21,9661876852.0
2001-12-24,9751478147.0
2001-12-26,9960543852.0
2001-12-27,10056117292.0
2001-12-28,10318944551.0
2001-12-31,10124811897.0
2002-01-02,9972490831.0
2002-01-03,10059104560.0
2002-01-04,10097931568.0
2002-01-07,10199478647.0
2002-01-08,10309984840.0
2002-01-09,10026251190.0
2002-01-10,10002358427.0
2002-01-11,9897824081.0
2002-01-14,9751478147.0
2002-01-15,9745504508.0
2002-01-16,9449823581.0
2002-01-17,9691744448.0
2002-01-18,9503583940.0
2002-01-22,9228810300.0
2002-01-23,9632010750.0
2002-01-24,9581237957.0
2002-01-25,9676811397.0
2002-01-28,9957557780.0
2002-01-29,9745504508.0
2002-01-30,10059104560.0
2002-01-31,10327905457.0
2002-02-01,10068064271.0
2002-02-04,9912757431.0
2002-02-05,9924704410.0
2002-02-06,9957557780.0
2002-02-07,9873931318.0
2002-02-08,10080011250.0
2002-02-11,10223371410.0
2002-02-12,10106891280.0
2002-02-13,10519052038.0
2002-02-14,10480225030.0
2002-02-15,10268171758.0
2002-02-19,10005344500.0
2002-02-20,10166624978.0
2002-02-21,9930677750.0
2002-02-22,9808224280.0
2002-02-25,10097931568.0
2002-02-26,10157664072.0
2002-02-27,10163637711.0
2002-02-28,9975478397.0
2002-03-01,10199478647.0
2002-03-04,9979946168.0
2002-03-05,9329397480.0
2002-03-06,9346901331.0
2002-03-07,9218541600.0
2002-03-08,9539440491.0
2002-03-11,9341066520.0
2002-03-12,9422749508.0
2002-03-13,9355652820.0
2002-03-14,9443170328.0
2002-03-15,9653213340.0
2002-03-18,9492764331.0
2002-03-19,9504433663.0
2002-03-20,9384824836.0
2002-03-21,9425667351.0
2002-03-22,9338148676.0
2002-03-25,9212707080.0
2002-03-26,9524854483.0
2002-03-27,9819497159.0
