,MMI
2014-09-25,1146763440
2014-09-26,1179783390
2014-09-29,1180560330
2014-09-30,1176054900
2014-10-01,1134858000
2014-10-02,1127085000
2014-10-03,1130582850
2014-10-06,1141465050
2014-10-07,1127473650
2014-10-08,1144574250
2014-10-09,1129416900
2014-10-10,1058682599
2014-10-13,1027590600
2014-10-14,996498600
2014-10-15,1050132300
2014-10-16,1049355000
2014-10-17,1052464199
2014-10-20,1080835650
2014-10-21,1085888100
2014-10-22,1083167550
2014-10-23,1114259550
2014-10-24,1095993000
2014-10-27,1146128850
2014-10-28,1185771150
2014-10-29,1205203650
2014-10-30,1128250950
2014-10-31,1207146900
2014-11-03,1235518350
2014-11-04,1256894100
2014-11-05,1251064350
2014-11-06,1254173550
2014-11-07,1277492550
2014-11-10,1235129700
2014-11-11,1251841650
2014-11-12,1219972350
2014-11-13,1242125400
2014-11-14,1236684300
2014-11-17,1217251800
2014-11-18,1213753950
2014-11-19,1168670550
2014-11-20,1204815000
2014-11-21,1160897550
2014-11-24,1203260400
2014-11-25,1207924200
2014-11-26,1211033400
2014-11-28,1205980950
2014-12-01,1209867450
2014-12-02,1219583700
2014-12-03,1213753950
2014-12-04,1253784900
2014-12-05,1267776300
2014-12-08,1284488250
2014-12-09,1321410000
2014-12-10,1246400550
2014-12-11,1233575100
2014-12-12,1220749650
2014-12-15,1217251800
2014-12-16,1228911300
2014-12-17,1267387650
2014-12-18,1258060050
2014-12-19,1276326600
2014-12-22,1294593150
2014-12-23,1307029950
2014-12-24,1308973200
2014-12-26,1297702350
2014-12-29,1275937950
2014-12-30,1281379050
2014-12-31,1297714250
2015-01-02,1306300630
2015-01-05,1284834680
2015-01-06,1243854230
2015-01-07,1257124090
2015-01-08,1354306300
2015-01-09,1354306300
2015-01-12,1342207310
2015-01-13,1334401510
2015-01-14,1355086880
2015-01-15,1315667590
2015-01-16,1324253970
2015-01-20,1333620930
2015-01-21,1313325850
2015-01-22,1336743250
2015-01-23,1323473389
2015-01-26,1365624710
2015-01-27,1376552830
2015-01-28,1352745139
2015-01-29,1411288639
2015-01-30,1337914120
2015-02-02,1390212980
2015-02-03,1412849800
2015-02-04,1402702260
2015-02-05,1430803139
2015-02-06,1449927350
2015-02-09,1442121550
2015-02-10,1482711710
2015-02-11,1497542730
2015-02-12,1501835919
2015-02-13,1504567950
2015-02-17,1505738820
2015-02-18,1508470850
2015-02-19,1497933020
2015-02-20,1525643610
2015-02-23,1526814480
2015-02-24,1409727480
2015-02-25,1432754590
2015-02-26,1504567950
2015-02-27,1441340970
