,ELV
2002-10-02,9029347827
2002-10-03,9273834784
2002-10-04,9262721740
2002-10-07,8920995653
2002-10-08,9001565218
2002-10-09,9079356523
2002-10-10,9229382610
2002-10-11,9418304349
2002-10-14,9540547827
2002-10-15,9946173914
2002-10-16,10210108697
2002-10-17,9710021740
2002-10-18,9801704349
2002-10-21,10026743479
2002-10-22,9901721740
2002-10-23,10021186958
2002-10-24,9621117392
2002-10-25,9598891305
2002-10-28,9365517392
2002-10-29,9109917392
2002-10-30,9151591305
2002-10-31,8751521740
2002-11-01,8815421740
2002-11-04,8890434784
2002-11-05,8590382610
2002-11-06,8907104349
2002-11-07,9118252175
2002-11-08,8562600001
2002-11-11,8515369566
2002-11-12,8626500001
2002-11-13,8745965218
2002-11-14,8798752175
2002-11-15,8984895653
2002-11-18,8948778262
2002-11-19,8682065218
2002-11-20,8648726088
2002-11-21,8162530436
2002-11-22,8256991305
2002-11-25,7637439131
2002-11-26,7862478262
2002-11-27,8087517392
2002-11-29,8231986957
2002-12-02,7934713044
2002-12-03,8223652175
2002-12-04,8612608697
2002-12-05,8543152175
2002-12-06,8573713044
2002-12-09,8562600001
2002-12-10,8729295653
2002-12-11,8829313044
2002-12-12,8793195653
2002-12-13,8670952175
2002-12-16,8807086957
2002-12-17,8732073914
2002-12-18,8570934783
2002-12-19,8443134783
2002-12-20,8607052175
2002-12-23,8782082610
2002-12-24,8768191305
2002-12-26,8690400001
2002-12-27,8523704349
2002-12-30,8529260870
2002-12-31,8737630436
2003-01-02,8801530436
2003-01-03,8695956523
2003-01-06,8643169566
2003-01-07,8501478262
2003-01-08,8493143479
2003-01-09,8487586957
2003-01-10,8384791305
2003-01-13,8423686957
2003-01-14,8279217392
2003-01-15,8259769566
2003-01-16,8295886957
2003-01-17,8470917392
2003-01-21,8376456523
2003-01-22,8473695653
2003-01-23,8682065218
2003-01-24,8509813044
2003-01-27,8348673914
2003-01-28,8440356523
2003-01-29,8554265218
2003-01-30,8509813044
2003-01-31,8623721740
2003-02-03,8301443479
2003-02-04,8068069566
2003-02-05,8093073914
2003-02-06,8056956523
2003-02-07,8031952175
2003-02-10,8043065218
2003-02-11,7801356522
2003-02-12,7531865218
2003-02-13,7640217392
