,DUK
2000-01-03,10290669709
2000-01-04,10449702883
2000-01-05,10875422457
2000-01-06,11169022164
2000-01-07,11462621870
2000-01-10,11450388549
2000-01-11,11303588696
2000-01-12,11435708564
2000-01-13,11528681804
2000-01-14,11609421723
2000-01-18,11423475243
2000-01-19,11743988256
2000-01-20,11903021430
2000-01-21,12049821283
2000-01-24,12208854457
2000-01-25,12169707830
2000-01-26,12223534443
2000-01-27,12343420989
2000-01-28,12155027844
2000-01-31,12316507683
2000-02-01,12274914391
2000-02-02,12062054604
2000-02-03,11969081364
2000-02-04,11477301856
2000-02-07,11315822017
2000-02-08,11423475243
2000-02-09,11076048923
2000-02-10,10902335764
2000-02-11,10917015749
2000-02-14,10983075683
2000-02-15,10836275830
2000-02-16,10902335764
2000-02-17,11009988990
2000-02-18,11022222311
2000-02-22,10797129202
2000-02-23,10608736057
2000-02-24,10317583015
2000-02-25,10102276564
2000-02-28,10329816336
2000-02-29,10344496322
2000-03-01,10249076417
2000-03-02,10263756402
2000-03-03,10530442802
2000-03-06,10476616190
2000-03-07,10222163111
2000-03-08,10156103177
2000-03-09,10116956549
2000-03-10,9889416777
2000-03-13,9916330083
2000-03-14,9997070002
2000-03-15,10542676123
2000-03-16,11022222311
2000-03-17,10716389283
2000-03-20,10503529496
2000-03-21,10422789577
2000-03-22,10329816336
2000-03-23,10557356109
2000-03-24,10662562670
2000-03-27,10863189136
2000-03-28,10689475977
2000-03-29,10995309004
2000-03-30,11036902296
2000-03-31,11195935470
2000-04-03,11547828452
2000-04-04,12028681304
2000-04-05,11520841812
2000-04-06,11292682040
2000-04-07,11187188812
2000-04-10,11560095106
2000-04-11,11800521532
2000-04-12,12067934598
2000-04-13,12269107730
2000-04-14,11722014944
2000-04-17,11881481451
2000-04-18,11574815091
2000-04-19,11749001584
2000-04-20,12082654584
2000-04-24,12350067649
2000-04-25,12524254142
2000-04-26,12737693928
2000-04-27,12563507436
2000-04-28,12296094370
2000-05-01,12509534157
2000-05-02,12136627863
2000-05-03,12163614503
2000-05-04,12389320944
2000-05-05,12362334304
2000-05-08,12536520796
2000-05-09,12617480715
2000-05-10,12963400369
2000-05-11,13351026648
2000-05-12,13010013656
2000-05-15,13191560141
2000-05-16,12816200517
2000-05-17,12644467355
2000-05-18,12791667208
2000-05-19,13137586862
2000-05-22,13365746634
2000-05-23,12764680568
2000-05-24,12722973943
2000-05-25,12656734009
2000-05-26,12791667208
2000-05-30,12497267502
2000-05-31,12455560877
2000-06-01,12428574238
2000-06-02,12335347664
2000-06-05,12109641223
2000-06-06,12377054289
2000-06-07,12362334304
2000-06-08,12455560877
2000-06-09,12722973943
2000-06-12,12730333936
2000-06-13,12897160436
2000-06-14,12830920502
2000-06-15,12990387009
2000-06-16,13184200149
2000-06-19,13071346928
2000-06-20,12803933862
2000-06-21,12764680568
2000-06-22,12548787451
2000-06-23,12695987304
2000-06-26,12644467355
2000-06-27,12335347664
2000-06-28,12627294039
2000-06-29,12335347664
2000-06-30,12055667944
2000-07-03,12335347664
2000-07-05,12109641223
2000-07-06,12428574238
2000-07-07,12830920502
2000-07-10,12990387009
2000-07-11,13125320208
2000-07-12,13017373649
2000-07-13,13110600222
2000-07-14,12963400369
2000-07-17,13024733641
2000-07-18,13272520060
2000-07-19,13699399633
2000-07-20,13351026648
2000-07-21,13311773354
2000-07-24,13338759994
2000-07-25,13566919766
2000-07-26,13351026648
2000-07-27,13525213141
2000-07-28,13471239862
2000-07-31,13191560141
2000-08-01,13539933126
2000-08-02,13900572766
2000-08-03,14356892309
2000-08-04,14486918846
2000-08-07,14798491868
2000-08-08,14955505044
2000-08-09,14472198861
2000-08-10,14477105522
2000-08-11,14555612111
2000-08-14,14796038537
2000-08-15,14823025176
2000-08-16,14732251934
2000-08-17,14850011816
2000-08-18,14874545125
2000-08-21,14901531765
2000-08-22,15036464963
2000-08-23,15237638095
