,PGR
2000-01-03,5164804799
2000-01-04,4980660655
2000-01-05,5094654649
2000-01-06,5077117112
2000-01-07,5164804799
2000-01-10,5068348343
2000-01-11,5050810805
2000-01-12,5077117112
2000-01-13,5217417412
2000-01-14,5129729724
2000-01-18,5085885880
2000-01-19,5024504499
2000-01-20,4857897893
2000-01-21,4787747742
2000-01-24,4814054049
2000-01-25,4673753749
2000-01-26,4664984980
2000-01-27,4726366361
2000-01-28,4542222217
2000-01-31,4550990986
2000-02-01,4533453448
2000-02-02,4463303298
2000-02-03,4401921917
2000-02-04,4401921917
2000-02-07,4401921917
2000-02-08,4349309304
2000-02-09,4191471467
2000-02-10,4077477473
2000-02-11,3945945942
2000-02-14,3805645641
2000-02-15,4086246242
2000-02-16,4156396392
2000-02-17,4217777773
2000-02-18,4086246242
2000-02-22,4156396392
2000-02-23,4165165161
2000-02-24,4051171167
2000-02-25,3989789785
2000-02-28,4147627623
2000-02-29,4349309304
2000-03-01,4314234229
2000-03-02,4086246242
2000-03-03,4033633629
2000-03-06,3884564560
2000-03-07,3823183179
2000-03-08,3717957954
2000-03-09,3665345341
2000-03-10,3639039035
2000-03-13,3595195191
2000-03-14,3814414410
2000-03-15,4217777773
2000-03-16,4656216211
2000-03-17,4586066061
2000-03-20,4393153148
2000-03-21,4831591586
2000-03-22,4822822818
2000-03-23,5033273268
2000-03-24,5059579574
2000-03-27,4910510505
2000-03-28,5094654649
2000-03-29,5322642637
2000-03-30,5708468462
2000-03-31,5561448000
2000-04-03,5719344000
2000-04-04,5754432000
2000-04-05,5657940000
2000-04-06,5622852000
2000-04-07,5535132000
2000-04-10,5517588000
2000-04-11,5561448000
2000-04-12,5657940000
2000-04-13,5596536000
2000-04-14,5131620000
2000-04-17,5070216000
2000-04-18,5280744000
2000-04-19,4614072000
2000-04-20,4508808000
2000-04-24,4719336000
2000-04-25,5114076000
2000-04-26,4824600000
2000-04-27,4657932000
2000-04-28,4780740000
2000-05-01,4868460000
2000-05-02,4763196000
2000-05-03,4780740000
2000-05-04,4903548000
2000-05-05,4921092000
2000-05-08,4964952000
2000-05-09,5000040000
2000-05-10,4973724000
2000-05-11,5175480000
2000-05-12,5342148000
2000-05-15,5991276000
2000-05-16,6315840000
2000-05-17,6017592000
2000-05-18,6122856000
2000-05-19,6052680000
2000-05-22,6438648000
2000-05-23,6833388000
2000-05-24,7228128000
2000-05-25,6701808000
2000-05-26,6763212000
2000-05-30,6824616000
2000-05-31,6859704000
2000-06-01,7140408000
2000-06-02,6807072000
2000-06-05,6421104000
2000-06-06,6245664000
2000-06-07,6377244000
2000-06-08,6131628000
2000-06-09,6043908000
2000-06-12,6324612000
2000-06-13,6403560000
2000-06-14,6228120000
2000-06-15,6043908000
2000-06-16,6000048000
2000-06-19,6114084000
2000-06-20,5728116000
2000-06-21,5842152000
2000-06-22,5833380000
2000-06-23,5693028000
2000-06-26,5596536000
2000-06-27,5719344000
2000-06-28,5710572000
2000-06-29,5552676000
2000-06-30,5427132000
2000-07-03,5550276000
2000-07-05,5726196000
2000-07-06,5726196000
2000-07-07,5805360000
2000-07-10,5673420000
2000-07-11,5603052000
2000-07-12,5682216000
2000-07-13,5647032000
2000-07-14,5761380000
2000-07-17,5576664000
2000-07-18,5664624000
