,QRVO
2015-01-02,10493753600
2015-01-05,10080860170
2015-01-06,9639645530
2015-01-07,9934782350
2015-01-08,10089803710
2015-01-09,10003349490
2015-01-12,9766345680
2015-01-13,9691816180
2015-01-14,9627720810
2015-01-15,9597909010
2015-01-16,9809572790
2015-01-20,10130049640
2015-01-21,10261221560
2015-01-22,10525055990
2015-01-23,10936458830
2015-01-26,10903665850
2015-01-27,10993101250
2015-01-28,11253954500
2015-01-29,11292709840
2015-01-30,11010988330
2015-02-02,10243334480
2015-02-03,10213522680
2015-02-04,10185201470
2015-02-05,10045086010
2015-02-06,9821497510
2015-02-09,9501020660
2015-02-10,9691816180
2015-02-11,9651570250
2015-02-12,9867705800
2015-02-13,10438601770
2015-02-17,10350656960
2015-02-18,10067444860
2015-02-19,9733552700
2015-02-20,9714175030
2015-02-23,9696287950
2015-02-24,10335751060
2015-02-25,10018255390
2015-02-26,10662190270
2015-02-27,10344694600
2015-03-02,10337241650
2015-03-03,10559339560
2015-03-04,10735229180
2015-03-05,11106386090
2015-03-06,10878325820
2015-03-09,11154084970
2015-03-10,10754606850
2015-03-11,10873854050
2015-03-12,10943911780
2015-03-13,10817211629
2015-03-16,11377673470
2015-03-17,11583374890
2015-03-18,11918757640
2015-03-19,11981362420
2015-03-20,12043967200
2015-03-23,12534371310
2015-03-24,12403199390
2015-03-25,11496920670
2015-03-26,11505864210
2015-03-27,11817397520
2015-03-30,12163683400
2015-03-31,11909650700
2015-04-01,11775162800
2015-04-02,11624237490
2015-04-06,11432965810
2015-04-07,10942832130
2015-04-08,10884554040
2015-04-09,11152035530
2015-04-10,10995132980
2015-04-13,10853173530
2015-04-14,10534885500
2015-04-15,10596152210
2015-04-16,10678339260
2015-04-17,10470630169
2015-04-20,10760526310
2015-04-21,11068354169
2015-04-22,11129620880
2015-04-23,10948809370
2015-04-24,10478101720
2015-04-27,10366028470
2015-04-28,10140387660
2015-04-29,10258438150
2015-04-30,9848997210
2015-05-01,10400397600
2015-05-04,10309244690
2015-05-05,10022337169
2015-05-06,10319704860
2015-05-07,11291006360
2015-05-08,11440437360
2015-05-11,11141575360
2015-05-12,11169967250
2015-05-13,11201347760
2015-05-14,11503198380
2015-05-15,11437448740
2015-05-18,11999309300
2015-05-19,11969423100
2015-05-20,12126325650
2015-05-21,12142763060
2015-05-22,12556686930
2015-05-26,12322080260
2015-05-27,12910838400
2015-05-28,12298171300
2015-05-29,12275756650
2015-06-01,12094945140
2015-06-02,12082990660
2015-06-03,12186098050
2015-06-04,12151728919
2015-06-05,12507374700
2015-06-08,11990343440
2015-06-09,11961951550
2015-06-10,12328057500
2015-06-11,12253342000
2015-06-12,12478982810
2015-06-15,12280239580
2015-06-16,12664277250
2015-06-17,12635885360
2015-06-18,12649334150
2015-06-19,12738992750
2015-06-22,13121536110
2015-06-23,12747958610
2015-06-24,12640368290
2015-06-25,12698646380
2015-06-26,12015746710
2015-06-29,11145562560
2015-06-30,11316143520
2015-07-01,11328831360
2015-07-02,11469807360
2015-07-06,11276670240
2015-07-07,11271031200
2015-07-08,10528087680
2015-07-09,10521038880
2015-07-10,10736732160
2015-07-13,10800171360
2015-07-14,10990488960
2015-07-15,10979210880
2015-07-16,11311914240
2015-07-17,11117367360
2015-07-20,10812859200
2015-07-21,10918591200
2015-07-22,10456189920
2015-07-23,10607034240
2015-07-24,10189745280
2015-07-27,9859861440
2015-07-28,9974052000
2015-07-29,9934578720
2015-07-30,8526933360
2015-07-31,8169559200
2015-08-03,8108939520
2015-08-04,7762138560
2015-08-05,7729714080
2015-08-06,7306786080
2015-08-07,7358947200
2015-08-10,7687421280
2015-08-11,7592967360
2015-08-12,8029992960
2015-08-13,8221720320
2015-08-14,8210442240
2015-08-17,8216081280
2015-08-18,7884787680
2015-08-19,7836855840
2015-08-20,7381503360
2015-08-21,7047390240
2015-08-24,6837336000
2015-08-25,7022014560
2015-08-26,7436484000
2015-08-27,7717026240
2015-08-28,7865051040
2015-08-31,7825577760
2015-09-01,7535167200
2015-09-02,7728304320
2015-09-03,7975012320
2015-09-04,7865051040
2015-09-08,8203393440
2015-09-09,7972192800
2015-09-10,7609884480
2015-09-11,7545035520
2015-09-14,7540806240
2015-09-15,7433664480
2015-09-16,7294098240
2015-09-17,7244756640
2015-09-18,7151712480
2015-09-21,7034702400
2015-09-22,6678033120
2015-09-23,6775306560
2015-09-24,6593447520
2015-09-25,6721735680
2015-09-28,6097212000
2015-09-29,6142324320
2015-09-30,6350968800
2015-10-01,6150782880
2015-10-02,6338280960
2015-10-05,6135773270
2015-10-06,6068618280
2015-10-07,6242673050
2015-10-08,6202928260
2015-10-09,6257748660
2015-10-12,6363277930
2015-10-13,6049431140
2015-10-14,6372871500
2015-10-15,6620933810
2015-10-16,6485253320
2015-10-19,6420839350
2015-10-20,6605858200
2015-10-21,6646973500
2015-10-22,6790877050
2015-10-23,7058126500
2015-10-26,6408504760
2015-10-27,6289270390
2015-10-28,6190593670
2015-10-29,6004204310
2015-10-30,6020650430
2015-11-02,6204298770
2015-11-03,6264601210
2015-11-04,6382465070
2015-11-05,6178259080
2015-11-06,7613183050
2015-11-09,7413088590
2015-11-10,7166396790
2015-11-11,7154062200
2015-11-12,6985489470
2015-11-13,6989601000
2015-11-16,7104723840
2015-11-17,7502171740
2015-11-18,7721453340
2015-11-19,7643334270
2015-11-20,7507653780
2015-11-23,7517247350
2015-11-24,7640593250
2015-11-25,7858504340
2015-11-27,7881803010
2015-11-30,7958551570
2015-12-01,7954440040
2015-12-02,8014742480
2015-12-03,7961292590
2015-12-04,8160016540
2015-12-07,7898249130
2015-12-08,7850281280
2015-12-09,7695413650
2015-12-10,7880432500
2015-12-11,7700895690
2015-12-14,7192436480
2015-12-15,7084166190
2015-12-16,7295224730
2015-12-17,7229440250
2015-12-18,7075943130
2015-12-21,7311670850
2015-12-22,7182842910
2015-12-23,7456944910
2015-12-24,7429534710
2015-12-28,7248627390
2015-12-29,7262332490
2015-12-30,7080054660
2015-12-31,6975895900
2016-01-04,6461017920
2016-01-05,6054656580
2016-01-06,5683963320
2016-01-07,5813897040
2016-01-08,5667403140
2016-01-11,5633008920
2016-01-12,5704345080
2016-01-13,5145120540
2016-01-14,5021556120
2016-01-15,4662327600
2016-01-19,4622837940
2016-01-20,4719651300
2016-01-21,4820286240
2016-01-22,5230469160
2016-01-25,5064867360
2016-01-26,5064867360
2016-01-27,4715829720
2016-01-28,4671244620
2016-01-29,5044485600
2016-02-01,5091618420
2016-02-02,4732389900
2016-02-03,4720925160
2016-02-04,4940029080
2016-02-05,4745128500
2016-02-08,4639398120
2016-02-09,4476344040
2016-02-10,4504368960
2016-02-11,4398638580
2016-02-12,4783344300
2016-02-16,5194801080
2016-02-17,5297983740
2016-02-18,5147668260
2016-02-19,5331104100
2016-02-22,5345116560
2016-02-23,5285245140
2016-02-24,5371867620
2016-02-25,5435560620
2016-02-26,5536195560
2016-02-29,5742560880
2016-03-01,6033000960
2016-03-02,6069942900
2016-03-03,6255926460
2016-03-04,6356561400
2016-03-07,6249557160
2016-03-08,5998606740
2016-03-09,6137457480
2016-03-10,6038096400
2016-03-11,6196055040
2016-03-14,6207519780
2016-03-15,6276308220
2016-03-16,6240640140
2016-03-17,6267391200
2016-03-18,6457196340
2016-03-21,6450827040
2016-03-22,6592225500
2016-03-23,6308154720
2016-03-24,6272486640
2016-03-28,6254652600
2016-03-29,6443183880
2016-03-30,6525984780
2016-03-31,6421528260
2016-04-01,6473756520
2016-04-04,6456197300
2016-04-05,6359265061
2016-04-06,6440892210
2016-04-07,6215142126
2016-04-08,6280188760
2016-04-11,6120760735
2016-04-12,6081222585
2016-04-13,6382222696
2016-04-14,6329930304
2016-04-15,6088875130
2016-04-18,6014900527
2016-04-19,5770019080
2016-04-20,5859298774
2016-04-21,5784048747
2016-04-22,5828688594
2016-04-25,5745786021
2016-04-26,5905214046
2016-04-27,5946027620
2016-04-28,5845269108
2016-04-29,5743235172
2016-05-02,5702421598
2016-05-03,5744510596
2016-05-04,5676913114
2016-05-05,5951129317
2016-05-06,5880980986
2016-05-09,5818485200
2016-05-10,5948578468
2016-05-11,5865675895
2016-05-12,5762366535
2016-05-13,5738133475
2016-05-16,5810832655
2016-05-17,5845269108
2016-05-18,6022553072
2016-05-19,6016175951
2016-05-20,6300595548
2016-05-23,6428137968
2016-05-24,6502112571
2016-05-25,6460023573
2016-05-26,6444718482
2016-05-27,6444718482
2016-05-31,6500837147
2016-06-01,6650061778
2016-06-02,6822244045
2016-06-03,6845201681
2016-06-06,6990600040
2016-06-07,7077328885
2016-06-08,7147477216
2016-06-09,7151303489
2016-06-10,6891116952
2016-06-13,6847752529
2016-06-14,6942133920
2016-06-15,7007180554
2016-06-16,6990600040
2016-06-17,6951061890
2016-06-20,7139824671
2016-06-21,7184464518
2016-06-22,7096460248
2016-06-23,7433172237
2016-06-24,7007180554
2016-06-27,6465125269
2016-06-28,6727862655
2016-06-29,6970193253
2016-06-30,7047994129
2016-07-01,6951061890
2016-07-05,6580880900
2016-07-06,6676127150
2016-07-07,6904718150
2016-07-08,7114259900
2016-07-11,7331421350
2016-07-12,7365710000
2016-07-13,7196806650
2016-07-14,7532073450
2016-07-15,7546042900
2016-07-18,7703516700
2016-07-19,7670498000
2016-07-20,7721296000
2016-07-21,7632399500
2016-07-22,7690817200
2016-07-25,7698436900
2016-07-26,7667958100
2016-07-27,8001954950
2016-07-28,8013384500
2016-07-29,8029893850
2016-08-01,8060372650
2016-08-02,7803842750
2016-08-03,6999964400
2016-08-04,6782802950
2016-08-05,6991074750
2016-08-08,6895828500
2016-08-09,6919957550
2016-08-10,6875509300
2016-08-11,6918687600
2016-08-12,6932657050
2016-08-15,7082511150
2016-08-16,7020283600
2016-08-17,6928847200
2016-08-18,7010124000
2016-08-19,7140928850
2016-08-22,7109180100
2016-08-23,7115529850
2016-08-24,7278083450
2016-08-25,7358090300
2016-08-26,7317451900
2016-08-29,7349200650
2016-08-30,7326341550
2016-08-31,7293322850
2016-09-01,7333961250
2016-09-02,7314912000
2016-09-06,7114259900
2016-09-07,7102830350
2016-09-08,7039332850
2016-09-09,6664697600
2016-09-12,6827251200
2016-09-13,6847570400
2016-09-14,6998694450
2016-09-15,7179027350
2016-09-16,7081241200
2016-09-19,7153628350
2016-09-20,6952976250
2016-09-21,7120609650
2016-09-22,7177757400
2016-09-23,6968215650
2016-09-26,6856460050
2016-09-27,6933927000
2016-09-28,6936466900
2016-09-29,6817091600
2016-09-30,7078701300
2016-10-03,6868141458
2016-10-04,6880825007
2016-10-05,6912533878
2016-10-06,7019075684
2016-10-07,7183961813
2016-10-10,7105323813
2016-10-11,7041906071
2016-10-12,7002587071
2016-10-13,6710865458
2016-10-14,6722280652
2016-10-17,6677888232
2016-10-18,6797113587
2016-10-19,6893508555
2016-10-20,6960731361
2016-10-21,6937900974
2016-10-24,7266404878
2016-10-25,7144642813
2016-10-26,7185230168
2016-10-27,7050784555
2016-10-28,6871946523
2016-10-31,7058394684
2016-11-01,7104055458
2016-11-02,7110397233
2016-11-03,7196645362
2016-11-04,6478756522
2016-11-07,6401386877
2016-11-08,6463536264
2016-11-09,6567541361
2016-11-10,6539637555
2016-11-11,6788235103
2016-11-14,6689303426
2016-11-15,6887166781
2016-11-16,6899850329
2016-11-17,7045711136
2016-11-18,7011465555
2016-11-21,6969609845
2016-11-22,7014002265
2016-11-23,6926485781
2016-11-25,6963268071
2016-11-28,6958194652
2016-11-29,6884630071
2016-11-30,6774283200
2016-12-01,6345579264
2016-12-02,6410265361
2016-12-05,6656326200
2016-12-06,6856726265
2016-12-07,6993708587
2016-12-08,7332359330
2016-12-09,7163668136
2016-12-12,6949316168
2016-12-13,6948047813
2016-12-14,6797113587
2016-12-15,7063468103
2016-12-16,6936632619
2016-12-19,7033027587
2016-12-20,6942974394
2016-12-21,6974683265
2016-12-22,6988635168
2016-12-23,7043174426
2016-12-27,7044442781
2016-12-28,6937900974
2016-12-29,6799650297
2016-12-30,6688035071
2017-01-03,6689945600
2017-01-04,6893552640
2017-01-05,6748119040
2017-01-06,6811351040
2017-01-09,6875847680
2017-01-10,7132569600
2017-01-11,7183155200
2017-01-12,7188213760
2017-01-13,7406996480
2017-01-17,7241328640
2017-01-18,7482874880
2017-01-19,7374115840
2017-01-20,7716833280
2017-01-23,7821798400
2017-01-24,7904000000
2017-01-25,8098754560
2017-01-26,8010229760
2017-01-27,8049433600
2017-01-30,8130370560
2017-01-31,8120253439
2017-02-01,8163251200
2017-02-02,8011494400
2017-02-03,8088637440
2017-02-06,8139223040
2017-02-07,8188544000
2017-02-08,8371916800
2017-02-09,8382033920
2017-02-10,8380769279
2017-02-13,8413649920
2017-02-14,8402268160
2017-02-15,8494586880
2017-02-16,8492057600
2017-02-17,8488263680
2017-02-21,8545172479
2017-02-22,8542643200
2017-02-23,8498380800
2017-02-24,8370652160
2017-02-27,8551495680
2017-02-28,8359270399
2017-03-01,8580582399
2017-03-02,8360535040
2017-03-03,8373181439
2017-03-06,8399738880
2017-03-07,8459176960
2017-03-08,8397209600
2017-03-09,8428825600
2017-03-10,8486999040
2017-03-13,8559083520
2017-03-14,8580582399
2017-03-15,8719692800
2017-03-16,8627374080
2017-03-17,8526202880
2017-03-20,8546437120
2017-03-21,8287185920
2017-03-22,8413649920
2017-03-23,8451589120
2017-03-24,8554024960
2017-03-27,8646343680
2017-03-28,8631168000
2017-03-29,8580582399
2017-03-30,8736133120
2017-03-31,8670371840
2017-04-03,8639729326
2017-04-04,8674008928
2017-04-05,8709558145
2017-04-06,8797161572
2017-04-07,9056163010
2017-04-10,8968559582
2017-04-11,8912696527
2017-04-12,8729871983
2017-04-13,8694322766
2017-04-17,8769230045
2017-04-18,8828901945
2017-04-19,8886034615
2017-04-20,9018074563
2017-04-21,8907618068
2017-04-24,9006648029
2017-04-25,9053623780
2017-04-26,9010456874
2017-04-27,9029501097
2017-04-28,8637190096
2017-05-01,8710827760
2017-05-02,8676548158
2017-05-03,8639729326
2017-05-04,8508958992
2017-05-05,8493723614
2017-05-08,8335021752
2017-05-09,8399772112
2017-05-10,8479757850
2017-05-11,8508958992
2017-05-12,8607988954
2017-05-15,9082824923
2017-05-16,9501797836
2017-05-17,9209786412
2017-05-18,9591940493
2017-05-19,9586862034
2017-05-22,9911883446
2017-05-23,9972824960
2017-05-24,9952511122
2017-05-25,10008374177
2017-05-26,9882682303
2017-05-30,9985521109
2017-05-31,9896648067
2017-06-01,10037575320
2017-06-02,10023609556
2017-06-05,9814123099
2017-06-06,9839515397
2017-06-07,9861098850
2017-06-08,9913153061
2017-06-09,9556391277
2017-06-12,9475135924
2017-06-13,9477675153
2017-06-14,9157732201
2017-06-15,9100599531
2017-06-16,9105677991
2017-06-19,9199629492
2017-06-20,8996491110
2017-06-21,9037118787
2017-06-22,8949515359
2017-06-23,8879686540
2017-06-26,8431512484
2017-06-27,8187746425
2017-06-28,8373110199
2017-06-29,8162354127
2017-06-30,8039201483
2017-07-03,8009631000
2017-07-05,8266447739
2017-07-06,8138039370
2017-07-07,8373242820
2017-07-10,8263905000
2017-07-11,8382142410
2017-07-12,8577933390
2017-07-13,8565219690
2017-07-14,8558862839
2017-07-17,8518179000
2017-07-18,8515636260
2017-07-19,8599546680
2017-07-20,8736854640
2017-07-21,8809322730
2017-07-24,8794066290
2017-07-25,8809958415
2017-07-26,8841106980
2017-07-27,8785166700
2017-07-28,8772453000
2017-07-31,8716512720
2017-08-01,8654215590
2017-08-02,8500379820
2017-08-03,8504193930
2017-08-04,8469866940
2017-08-07,8747025600
2017-08-08,8792794920
2017-08-09,8780081220
2017-08-10,8616074490
2017-08-11,8759739300
2017-08-14,9080124540
2017-08-15,9123351120
2017-08-16,9207261540
2017-08-17,9050883030
2017-08-18,8857634790
2017-08-21,8814408210
2017-08-22,9027998370
2017-08-23,8984771790
2017-08-24,8931374250
2017-08-25,9017827410
2017-08-28,8975872200
2017-08-29,8958073020
2017-08-30,9296257440
2017-08-31,9308971140
2017-09-01,9314056620
2017-09-05,9329313060
2017-09-06,9321684840
2017-09-07,9308971140
2017-09-08,9104280570
2017-09-11,9233960310
2017-09-12,9274644150
2017-09-13,9282272370
2017-09-14,9342026760
2017-09-15,9597572130
2017-09-18,9452635950
2017-09-19,9448821840
2017-09-20,8940273840
2017-09-21,8977143570
2017-09-22,9052154400
2017-09-25,8729226420
2017-09-26,8675828880
2017-09-27,8931374250
2017-09-28,8925017400
2017-09-29,8986043160
2017-10-02,9016260170
2017-10-03,9028907470
2017-10-04,9126291680
2017-10-05,9068114100
2017-10-06,9193322370
2017-10-09,9189528180
2017-10-10,9085820320
2017-10-11,9224940620
2017-10-12,9151586280
2017-10-13,9155380470
2017-10-16,9173086690
2017-10-17,9140203710
2017-10-18,9108585460
2017-10-19,8812638640
2017-10-20,8842992160
2017-10-23,8827815400
2017-10-24,9035231120
2017-10-25,9078231940
