,ARNC
2020-03-31,1750539999
2020-04-01,754280000
2020-04-02,676890000
2020-04-03,878540000
2020-04-06,795700000
2020-04-07,795700000
2020-04-08,1093270000
2020-04-09,1176110000
2020-04-13,1035500000
2020-04-14,1052940000
2020-04-15,969010000
2020-04-16,930859999
2020-04-17,1032230000
2020-04-20,1063840000
2020-04-21,1014790000
2020-04-22,1013700000
2020-04-23,961380000
2020-04-24,876359999
2020-04-27,997350000
2020-04-28,893799999
2020-04-29,960290000
2020-04-30,950480000
2020-05-01,931950000
2020-05-04,967920000
2020-05-05,963560000
2020-05-06,909060000
2020-05-07,945030000
2020-05-08,994079999
2020-05-11,957019999
2020-05-12,928680000
2020-05-13,904700000
2020-05-14,907970000
2020-05-15,909060000
2020-05-18,1010430000
2020-05-19,1012609999
2020-05-20,1144500000
2020-05-21,1229520000
2020-05-22,1399560000
2020-05-26,1422450000
2020-05-27,1520550000
2020-05-28,1496570000
2020-05-29,1577230000
2020-06-01,1627370000
2020-06-02,1738550000
2020-06-03,1862810000
2020-06-04,1887880000
2020-06-05,2037210000
2020-06-08,2018680000
2020-06-09,1940200000
2020-06-10,1826840000
2020-06-11,1675330000
2020-06-12,1796320000
2020-06-15,1772340000
2020-06-16,1810490000
2020-06-17,1690590000
2020-06-18,1715660000
2020-06-19,1678600000
2020-06-22,1718930000
2020-06-23,1735280000
2020-06-24,1640450000
2020-06-25,1685140000
2020-06-26,1490030000
2020-06-29,1508560000
2020-06-30,1519395735
2020-07-01,1443044191
2020-07-02,1425592409
2020-07-06,1547754880
2020-07-07,1540119726
2020-07-08,1585930652
2020-07-09,1534666044
2020-07-10,1582658443
2020-07-13,1629560106
2020-07-14,1714637542
2020-07-15,1789898350
2020-07-16,1824801913
2020-07-17,1772446568
2020-07-20,1772446568
2020-07-21,1831346331
2020-07-22,1877157258
2020-07-23,1785535404
2020-07-24,1783353932
2020-07-27,1855342531
2020-07-28,1826983386
2020-07-29,1788807613
2020-07-30,1775718777
2020-07-31,1776809514
2020-08-03,1882610940
2020-08-04,1904425667
2020-08-05,2142206191
2020-08-06,2218557735
2020-08-07,2176019018
2020-08-10,2304725907
2020-08-11,2411618069
2020-08-12,2482515932
2020-08-13,2413799542
2020-08-14,2410527333
2020-08-17,2469427096
2020-08-18,2517419495
2020-08-19,2508693605
2020-08-20,2502149186
2020-08-21,2431251324
2020-08-24,2475971514
2020-08-25,2514147286
2020-08-26,2442158687
2020-08-27,2491241823
2020-08-28,2505421395
2020-08-31,2426888378
2020-09-01,2478152987
2020-09-02,2459610469
2020-09-03,2384349661
2020-09-04,2340720207
2020-09-08,2334175789
2020-09-09,2306907380
2020-09-10,2143296927
2020-09-11,2078943483
2020-09-14,2218557735
2020-09-15,2237100253
2020-09-16,2322177689
2020-09-17,2310179589
2020-09-18,2292727807
2020-09-21,2090941582
2020-09-22,2032041820
2020-09-23,2060400965
2020-09-24,2048402865
2020-09-25,1996047520
2020-09-28,2188017118
2020-09-29,2142206191
2020-09-30,2076450000
2020-10-01,2052469999
2020-10-02,2127680000
2020-10-05,2254120000
2020-10-06,2220330000
2020-10-07,2331510000
2020-10-08,2391460000
2020-10-09,2471030000
2020-10-12,2427430000
2020-10-13,2389280000
2020-10-14,2450320000
2020-10-15,2523350000
2020-10-16,2525530000
2020-10-19,2538610000
2020-10-20,2589840000
2020-10-21,2540790000
2020-10-22,2588750000
2020-10-23,2604010000
2020-10-26,2554960000
2020-10-27,2514630000
2020-10-28,2309710000
2020-10-29,2388190000
2020-10-30,2369660000
2020-11-02,2459040000
2020-11-03,2621450000
2020-11-04,2565860000
2020-11-05,2764240000
2020-11-06,2763150000
2020-11-09,2857980000
2020-11-10,3072710000
2020-11-11,3044370000
2020-11-12,2964800000
2020-11-13,3091240000
2020-11-16,3192610000
2020-11-17,3198060000
2020-11-18,3096690000
2020-11-19,3113040000
2020-11-20,3059630000
2020-11-23,3093420000
2020-11-24,3141380000
2020-11-25,3188250000
2020-11-27,3133750000
2020-11-30,2998590000
2020-12-01,3238390000
2020-12-02,3175170000
2020-12-03,3171900000
2020-12-04,3368100000
2020-12-07,3140290000
2020-12-08,3332130000
2020-12-09,3333220000
2020-12-10,3357200000
2020-12-11,3301610000
2020-12-14,3295070000
2020-12-15,3327770000
2020-12-16,3258010000
2020-12-17,3206780000
2020-12-18,3138110000
2020-12-21,3141380000
2020-12-22,3102140000
2020-12-23,3125030000
2020-12-24,3178440000
2020-12-28,3183890000
2020-12-29,3145740000
2020-12-30,3220950000
2020-12-31,3273088811
2021-01-04,3061106884
2021-01-05,3179728895
2021-01-06,3307137721
2021-01-07,3226958029
2021-01-08,3247826716
2021-01-11,3211581101
2021-01-12,3273088811
2021-01-13,3252220123
2021-01-14,3331301464
2021-01-15,3326908056
2021-01-19,3296154201
2021-01-20,3275285514
2021-01-21,3165450319
2021-01-22,3089664035
2021-01-25,3020467862
2021-01-26,2904042555
2021-01-27,2710732612
2021-01-28,2827157919
2021-01-29,2767846914
2021-02-01,2873288701
2021-02-02,2929304650
2021-02-03,2934796410
2021-02-04,2921616187
2021-02-05,2873288701
2021-02-08,2923812890
2021-02-09,2907337611
2021-02-10,2799699120
2021-02-11,2800797472
2021-02-12,2844731550
2021-02-16,2809584288
2021-02-17,2853518366
2021-02-18,2749174930
2021-02-19,2827157919
2021-02-22,2826059567
2021-02-23,2507537501
2021-02-24,2531701244
2021-02-25,2509734205
2021-02-26,2407587474
2021-03-01,2634946328
2021-03-02,2726109539
2021-03-03,2755765042
2021-03-04,2642634791
2021-03-05,2775535377
2021-03-08,2945779929
2021-03-09,3100647554
2021-03-10,3262105291
2021-03-11,3410382804
2021-03-12,3289564090
2021-03-15,3192909118
2021-03-16,3118221186
2021-03-17,3202794286
2021-03-18,3028156326
2021-03-19,2989714007
2021-03-22,2951271689
2021-03-23,2754666690
2021-03-24,2725011187
2021-03-25,2792010656
2021-03-26,2832649679
2021-03-29,2778830433
2021-03-30,2818371103
2021-03-31,2792900000
2021-04-01,2866600000
2021-04-05,2943600000
2021-04-06,2897400000
2021-04-07,2868800000
2021-04-08,2888600000
2021-04-09,2852300000
2021-04-12,2909500000
2021-04-13,2898500000
2021-04-14,3036000000
2021-04-15,3019500000
2021-04-16,3047000000
2021-04-19,2862200000
2021-04-20,2751100000
2021-04-21,2910600000
2021-04-22,3018400000
2021-04-23,3063500000
2021-04-26,3044800000
2021-04-27,3196600000
2021-04-28,3291200000
2021-04-29,3243900000
2021-04-30,3146000000
2021-05-03,3229600000
2021-05-04,3850000000
2021-05-05,3977599999
2021-05-06,3982000000
2021-05-07,3945699999
2021-05-10,3894000000
2021-05-11,4008399999
2021-05-12,3876400000
2021-05-13,3918199999
2021-05-14,3955600000
2021-05-17,3972100000
2021-05-18,3911600000
2021-05-19,3806000000
2021-05-20,3852200000
2021-05-21,3833500000
2021-05-24,3880800000
2021-05-25,3842300000
2021-05-26,3887400000
2021-05-27,3944600000
2021-05-28,3978700000
2021-06-01,4144800000
2021-06-02,4095299999
2021-06-03,4079900000
2021-06-04,4107400000
2021-06-07,4114000000
2021-06-08,4149200000
2021-06-09,4112900000
2021-06-10,4073300000
2021-06-11,4180000000
2021-06-14,4084300000
2021-06-15,4157999999
2021-06-16,4072200000
2021-06-17,3950099999
2021-06-18,3774100000
2021-06-21,3892900000
2021-06-22,3877500000
2021-06-23,3896200000
2021-06-24,4039200000
2021-06-25,3988600000
2021-06-28,3932500000
2021-06-29,3955600000
2021-06-30,3871893999
2021-07-01,3869720000
2021-07-02,3880590000
2021-07-06,3775150999
2021-07-07,3802325999
2021-07-08,3724062000
2021-07-09,3906677999
2021-07-12,3907765000
2021-07-13,3726236000
2021-07-14,3679495000
2021-07-15,3616449000
2021-07-16,3586013000
2021-07-19,3422963000
2021-07-20,3534924000
2021-07-21,3678408000
2021-07-22,3557750999
2021-07-23,3624058000
2021-07-26,3732758000
2021-07-27,3681668999
2021-07-28,3795804000
2021-07-29,4013204000
2021-07-30,3906677999
2021-08-02,3850154000
2021-08-03,3759933000
2021-08-04,3451225000
2021-08-05,3586013000
2021-08-06,3688191000
2021-08-09,3729497000
2021-08-10,3924070000
2021-08-11,3978420000
2021-08-12,3828414000
2021-08-13,3862111000
2021-08-16,3749063000
2021-08-17,3816457000
2021-08-18,3792543000
2021-08-19,3729497000
2021-08-20,3766455000
2021-08-23,3745802000
2021-08-24,3825152999
2021-08-25,3799065000
2021-08-26,3730584000
2021-08-27,3911025999
2021-08-30,3909939000
2021-08-31,3749063000
2021-09-01,3814283000
2021-09-02,3764281000
2021-09-03,3726236000
2021-09-07,3846893000
2021-09-08,3765368000
2021-09-09,3780586000
2021-09-10,3750150000
2021-09-13,3793630000
2021-09-14,3647972000
2021-09-15,3788195000
2021-09-16,3583839000
2021-09-17,3501227000
2021-09-20,3469704000
2021-09-21,3368613000
2021-09-22,3450138000
2021-09-23,3481661000
2021-09-24,3383831000
2021-09-27,3525141000
2021-09-28,3525141000
2021-09-29,3542533000
2021-09-30,3351533537
2021-10-01,3458859120
2021-10-04,3364285091
2021-10-05,3385537682
2021-10-06,3268648434
2021-10-07,3385537682
2021-10-08,3311153615
2021-10-11,3318592022
2021-10-12,3283525247
2021-10-13,3319654651
2021-10-14,3335594094
2021-10-15,3371723498
2021-10-18,3354721426
2021-10-19,3208078551
2021-10-20,3246333214
2021-10-21,3185763330
2021-10-22,3176199665
2021-10-25,3139007631
2021-10-26,3093314561
2021-10-27,3082688266
2021-10-28,3241020066
2021-10-29,3126256077
2021-11-01,3245270584
2021-11-02,3371723498
2021-11-03,3329218317
2021-11-04,3270773693
2021-11-05,3404665014
2021-11-08,3411040791
2021-11-09,3400414496
2021-11-10,3251646361
2021-11-11,3340907242
2021-11-12,3409978161
2021-11-15,3344095130
2021-11-16,3321779910
2021-11-17,3354721426
2021-11-18,3350470908
2021-11-19,3185763330
2021-11-22,3279274729
2021-11-23,3282462618
2021-11-24,3259084768
2021-11-26,2972174795
2021-11-29,3006178940
2021-11-30,2839346104
2021-12-01,2845721881
2021-12-02,3019993124
2021-12-03,2979613202
2021-12-06,3109254004
2021-12-07,3072061971
2021-12-08,3153884445
2021-12-09,3170886517
2021-12-10,3321779910
2021-12-13,3249521102
2021-12-14,3266523175
2021-12-15,3322842540
2021-12-16,3339844612
2021-12-17,3452483342
2021-12-20,3350470908
2021-12-21,3473735933
2021-12-22,3568309961
