,AME
2000-01-03,607054837
2000-01-04,607054837
2000-01-05,611375512
2000-01-06,607054837
2000-01-07,615696187
2000-01-10,635139225
2000-01-11,617856525
2000-01-12,620016862
2000-01-13,611375512
2000-01-14,607054837
2000-01-18,635139225
2000-01-19,624337537
2000-01-20,628658212
2000-01-21,626497875
2000-01-24,602734162
2000-01-25,591932475
2000-01-26,607054837
2000-01-27,641620237
2000-01-28,654582262
2000-01-31,704270025
2000-02-01,632978887
2000-02-02,596253150
2000-02-03,585451462
2000-02-04,581130787
2000-02-07,574649775
2000-02-08,572489437
2000-02-09,559527412
2000-02-10,527122350
2000-02-11,574649775
2000-02-14,574649775
2000-02-15,574649775
2000-02-16,570329100
2000-02-17,574649775
2000-02-18,566008425
2000-02-22,581130787
2000-02-23,559527412
2000-02-24,548725725
2000-02-25,553046400
2000-02-28,537924037
2000-02-29,542244712
2000-03-01,591932475
2000-03-02,570329100
2000-03-03,557367075
2000-03-06,561687750
2000-03-07,557367075
2000-03-08,568168762
2000-03-09,557367075
2000-03-10,535763700
2000-03-13,550886062
2000-03-14,511999987
2000-03-15,516320662
2000-03-16,546565387
2000-03-17,570329100
2000-03-20,572489437
2000-03-21,561687750
2000-03-22,581130787
2000-03-23,589772137
2000-03-24,600573825
2000-03-27,596253150
2000-03-28,566008425
2000-03-29,557367075
2000-03-30,607054837
2000-03-31,615696187
2000-04-03,632257380
2000-04-04,630092115
2000-04-05,630092115
2000-04-06,640918440
2000-04-07,647414235
2000-04-10,645248970
2000-04-11,638753175
2000-04-12,636587910
2000-04-13,636587910
2000-04-14,640918440
2000-04-17,623596320
2000-04-18,636587910
2000-04-19,656075295
2000-04-20,664736355
2000-04-24,647414235
2000-04-25,662571090
2000-04-26,660405825
2000-04-27,662571090
2000-04-28,660405825
2000-05-01,666901620
2000-05-02,660405825
2000-05-03,638753175
2000-05-04,662571090
2000-05-05,673397415
2000-05-08,664736355
2000-05-09,662571090
2000-05-10,651744765
2000-05-11,649579500
2000-05-12,649579500
2000-05-15,660405825
2000-05-16,673397415
2000-05-17,664736355
2000-05-18,660405825
2000-05-19,640918440
2000-05-22,640918440
2000-05-23,619265790
2000-05-24,625761585
2000-05-25,625761585
2000-05-26,612769995
2000-05-30,649579500
2000-05-31,666901620
2000-06-01,666901620
2000-06-02,671232150
2000-06-05,658240560
2000-06-06,664736355
2000-06-07,658240560
2000-06-08,647414235
2000-06-09,658240560
2000-06-12,656075295
2000-06-13,638753175
2000-06-14,627926850
2000-06-15,643083705
2000-06-16,634422645
2000-06-19,636587910
2000-06-20,636587910
2000-06-21,640918440
2000-06-22,636587910
2000-06-23,636587910
2000-06-26,651744765
2000-06-27,653910030
2000-06-28,649579500
2000-06-29,662571090
2000-06-30,561852585
2000-07-03,642117240
2000-07-05,633439980
2000-07-06,629101350
2000-07-07,622593405
2000-07-10,616085460
2000-07-11,639947925
2000-07-12,668149020
2000-07-13,665979705
2000-07-14,668149020
2000-07-17,670318335
2000-07-18,672487650
2000-07-19,670318335
2000-07-20,663810390
2000-07-21,663810390
2000-07-24,642117240
2000-07-25,655133130
2000-07-26,631270665
2000-07-27,624762720
2000-07-28,629101350
2000-07-31,668149020
2000-08-01,644286555
2000-08-02,663810390
2000-08-03,663810390
2000-08-04,668149020
2000-08-07,681164910
2000-08-08,689842170
2000-08-09,685503540
2000-08-10,670318335
2000-08-11,689842170
2000-08-14,685503540
2000-08-15,685503540
2000-08-16,692011485
