,GNRC
2011-02-14,695120238
2011-02-15,703079195
2011-02-16,703965015
2011-02-17,718560909
2011-02-18,770294127
2011-02-22,795499726
2011-02-23,750839645
2011-02-24,780910543
2011-02-25,822476966
2011-02-28,810531820
2011-03-01,788869500
2011-03-02,792406068
2011-03-03,801250844
2011-03-04,795499726
2011-03-07,797714276
2011-03-08,823356075
2011-03-09,809652711
2011-03-10,793291888
2011-03-11,818933686
2011-03-14,816282938
2011-03-15,810974730
2011-03-16,819819506
2011-03-17,810095621
2011-03-18,843253466
2011-03-21,853426972
2011-03-22,847239655
2011-03-23,842817267
2011-03-24,830435922
2011-03-25,827335553
2011-03-28,835294510
2011-03-29,887034438
2011-03-30,892778845
2011-03-31,897568082
2011-04-01,893586977
2011-04-04,892264417
2011-04-05,883859115
2011-04-06,876339995
2011-04-07,868371071
2011-04-08,874567631
2011-04-11,873681449
2011-04-12,868814162
2011-04-13,873681449
2011-04-14,903764643
2011-04-15,895359341
2011-04-18,896245523
2011-04-19,901992279
2011-04-20,906859566
2011-04-21,910840671
2011-04-25,904650825
2011-04-26,911283762
2011-04-27,903764643
2011-04-28,913935595
2011-04-29,921018337
2011-05-02,912613035
2011-05-03,904207734
2011-05-04,842275697
2011-05-05,827230744
2011-05-06,821040897
2011-05-09,832984213
2011-05-10,838294592
2011-05-11,823249638
2011-05-12,825465093
2011-05-13,803344111
2011-05-16,785210948
2011-05-17,786533507
2011-05-18,813078686
2011-05-19,819268533
2011-05-20,811749413
2011-05-23,796268082
2011-05-24,793616250
2011-05-25,817059791
2011-05-26,794938809
2011-05-27,800692279
2011-05-31,814407959
2011-06-01,776805646
2011-06-02,785654039
2011-06-03,763089966
2011-06-06,780786751
2011-06-07,796711173
2011-06-08,791843886
2011-06-09,778128205
2011-06-10,794938809
2011-06-13,791843886
2011-06-14,802457929
2011-06-15,794052627
2011-06-16,795824991
2011-06-17,790071522
2011-06-20,798040446
2011-06-21,820154715
2011-06-22,824578911
2011-06-23,843161879
2011-06-24,830775472
2011-06-27,851567181
2011-06-28,854219013
2011-06-29,853332831
2011-06-30,858200119
2011-07-01,867934694
2011-07-05,863510497
2011-07-06,863067406
2011-07-07,864833057
2011-07-08,871472708
2011-07-11,852889740
2011-07-12,853775922
2011-07-13,876339995
2011-07-14,859086301
2011-07-15,874124540
2011-07-18,852003558
2011-07-19,878548737
2011-07-20,887397130
2011-07-21,913499217
2011-07-22,903321552
2011-07-25,900669719
2011-07-26,857313937
2011-07-27,829889290
2011-07-28,829446199
2011-07-29,820597806
2011-08-01,822813261
2011-08-02,807325216
2011-08-03,814407959
2011-08-04,767957253
2011-08-05,821040897
2011-08-08,739203333
2011-08-09,798476824
2011-08-10,754241573
2011-08-11,798919915
2011-08-12,818825442
2011-08-15,861295042
2011-08-16,849351726
2011-08-17,824135820
2011-08-18,765741798
2011-08-19,730798031
2011-08-22,758665769
2011-08-23,829889290
2011-08-24,850680999
2011-08-25,860408860
2011-08-26,898454264
2011-08-29,906859566
2011-08-30,896688614
2011-08-31,911726853
2011-09-01,896688614
2011-09-02,855984664
2011-09-06,848022453
2011-09-07,859529392
2011-09-08,844927529
2011-09-09,827230744
2011-09-12,825908184
2011-09-13,831654940
2011-09-14,824135820
2011-09-15,832098031
2011-09-16,822813261
2011-09-19,820597806
2011-09-20,814407959
2011-09-21,765741798
2011-09-22,695847551
2011-09-23,688771522
2011-09-26,822370170
2011-09-27,808654489
2011-09-28,781666220
2011-09-29,804673384
2011-09-30,832204202
2011-10-03,823797827
2011-10-04,866715994
2011-10-05,875565516
2011-10-06,924674319
2011-10-07,888839799
2011-10-10,945025534
2011-10-11,925117467
2011-10-12,918920116
2011-10-13,916711092
2011-10-14,948564000
2011-10-17,914938502
2011-10-18,939271330
2011-10-19,931751251
2011-10-20,929099080
2011-10-21,943252944
2011-10-24,964047306
2011-10-25,920249558
2011-10-26,945911829
2011-10-27,981303202
2011-10-28,977764736
2011-10-31,1011390233
2011-11-01,1027759835
2011-11-02,1058283299
2011-11-03,1094124534
2011-11-04,1066253240
2011-11-07,1067575969
2011-11-08,1113589454
2011-11-09,1101201466
2011-11-10,1104296784
2011-11-11,1114475749
2011-11-14,1090142921
2011-11-15,1081736547
2011-11-16,1051206367
2011-11-17,1044572583
2011-11-18,1057403719
2011-11-21,1050763220
2011-11-22,1046338459
2011-11-23,1004313302
2011-11-25,987057405
2011-11-28,1056517423
2011-11-29,1058726447
2011-11-30,1109164693
2011-12-01,1099428876
2011-12-02,1096776705
2011-12-05,1131288497
2011-12-06,1128629612
2011-12-07,1170218336
2011-12-08,1175086245
2011-12-09,1221542878
2011-12-12,1247648296
2011-12-13,1206059571
2011-12-14,1181726744
2011-12-15,1226853934
2011-12-16,1257377398
2011-12-19,1222429173
2011-12-20,1251186761
2011-12-21,1275076442
2011-12-22,1252509490
2011-12-23,1258263693
2011-12-27,1259593136
2011-12-28,1251629909
2011-12-29,1258706841
2011-12-30,1240121502
2012-01-03,1242946798
2012-01-04,1234089774
2012-01-05,1215932205
2012-01-06,1224345705
2012-01-09,1253571194
2012-01-10,1276157275
2012-01-11,1304052194
2012-01-12,1313796264
2012-01-13,1308037183
2012-01-17,1312022171
2012-01-18,1326194752
2012-01-19,1316894206
2012-01-20,1303165148
2012-01-23,1312909217
2012-01-24,1300067206
2012-01-25,1332390637
2012-01-26,1323977136
2012-01-27,1322653287
2012-01-30,1294751648
2012-01-31,1286781671
2012-02-01,1290766659
2012-02-02,1250916775
2012-02-03,1288112240
2012-02-06,1279698740
2012-02-07,1259330275
2012-02-08,1296969264
2012-02-09,1281916356
2012-02-10,1280142263
2012-02-13,1310254798
2012-02-14,1163683831
2012-02-15,1126044843
2012-02-16,1139773901
2012-02-17,1186269913
2012-02-21,1204864286
2012-02-22,1201766343
2012-02-23,1201766343
2012-02-24,1194683413
2012-02-27,1176969366
2012-02-28,1143315366
2012-02-29,1126488366
2012-03-01,1103465481
2012-03-02,1100360819
2012-03-05,1102134912
2012-03-06,1088405854
2012-03-07,1106119900
2012-03-08,1130473354
2012-03-09,1149517970
2012-03-12,1149517970
2012-03-13,1160142366
2012-03-14,1155713855
2012-03-15,1149954773
2012-03-16,1126931889
2012-03-19,1131803924
2012-03-20,1111878981
2012-03-21,1113646354
2012-03-22,1091954039
2012-03-23,1086194958
2012-03-26,1106563423
2012-03-27,1101247866
2012-03-28,1103909005
2012-03-29,1085307912
2012-03-30,1087082004
2012-04-02,1083961784
2012-04-03,1066663305
2012-04-04,1040049223
2012-04-05,1049364825
2012-04-09,1030740353
2012-04-10,997920357
2012-04-11,1025860431
2012-04-12,1046261868
2012-04-13,1045817627
2012-04-16,1071987467
2012-04-17,1070210503
2012-04-18,1052030271
2012-04-19,1035176033
2012-04-20,1052467782
2012-04-23,1047150350
2012-04-24,1059568909
2012-04-25,1062227624
2012-04-26,1065330581
2012-04-27,1075534665
2012-04-30,1067996028
2012-05-01,1089285947
2012-05-02,1087508982
2012-05-03,1042714670
2012-05-04,1025860431
2012-05-07,1021868992
2012-05-08,1281325997
2012-05-09,1196173052
2012-05-10,1197499044
2012-05-11,1191737372
2012-05-14,1170891694
2012-05-15,1168226247
2012-05-16,1170891694
2012-05-17,1144277612
2012-05-18,1153148973
2012-05-21,1225890090
2012-05-22,1157584653
2012-05-23,1116337538
2012-05-24,1119440495
2012-05-25,1120328978
2012-05-29,1126097381
2012-05-30,1107021937
2012-05-31,1097713066
2012-06-01,1068440269
2012-06-04,1062227624
2012-06-05,1078193381
2012-06-06,1118558744
2012-06-07,1133191777
2012-06-08,1138071699
2012-06-11,1114123064
2012-06-12,1165567531
2012-06-13,1145166095
2012-06-14,1154925937
2012-06-15,1173550409
2012-06-18,1156251930
2012-06-19,1170447453
2012-06-20,1179318813
2012-06-21,1109243142
2012-06-22,1091944663
2012-06-25,1070654744
2012-06-26,1061339142
2012-06-27,1062227624
2012-06-28,1053800505
2012-06-29,1067107546
2012-07-02,1229164088
2012-07-03,1242775250
2012-07-05,1324448963
2012-07-06,1335693845
2012-07-09,1356997100
2012-07-10,1296633384
2012-07-11,1308464780
2012-07-12,1303732221
2012-07-13,1325628731
2012-07-16,1322669197
2012-07-17,1314383849
2012-07-18,1354037565
2012-07-19,1326221987
2012-07-20,1337466869
2012-07-23,1330361290
2012-07-24,1284201991
2012-07-25,1302552453
2012-07-26,1325035476
2012-07-27,1348711752
2012-07-30,1348118496
2012-07-31,1350484776
2012-08-01,1317936638
2012-08-02,1380073379
2012-08-03,1313797335
2012-08-06,1325628731
2012-08-07,1313797335
2012-08-08,1307285011
2012-08-09,1296040129
2012-08-10,1313797335
2012-08-13,1285981756
2012-08-14,1280062688
2012-08-15,1278282922
2012-08-16,1295446873
2012-08-17,1325628731
2012-08-20,1288941291
2012-08-21,1301365942
2012-08-22,1306098501
2012-08-23,1330361290
2012-08-24,1316750128
2012-08-27,1302552453
2012-08-28,1289527805
2012-08-29,1269997574
2012-08-30,1255799898
2012-08-31,1275330129
2012-09-04,1249880830
2012-09-05,1228577575
2012-09-06,1280655943
2012-09-07,1278876177
2012-09-10,1274143619
2012-09-11,1303732221
2012-09-12,1331547800
2012-09-13,1346345472
2012-09-14,1364689193
2012-09-17,1360543148
2012-09-18,1354630821
2012-09-19,1381853144
2012-09-20,1395464306
2012-09-21,1405522678
2012-09-24,1400196864
2012-09-25,1367648727
2012-09-26,1356997100
2012-09-27,1365282448
2012-09-28,1354630821
2012-10-01,1483462624
2012-10-02,1536806326
2012-10-03,1536212193
2012-10-04,1541545888
2012-10-05,1527320451
2012-10-08,1506579804
2012-10-09,1513689147
2012-10-10,1497093929
2012-10-11,1492948500
2012-10-12,1530878498
2012-10-15,1540364374
2012-10-16,1558735240
2012-10-17,1559923506
2012-10-18,1539176107
2012-10-19,1543915669
2012-10-22,1519022842
2012-10-23,1543915669
2012-10-24,1580664153
2012-10-25,1631631322
2012-10-26,1679047196
2012-10-31,2015096989
2012-11-01,2023394598
2012-11-02,2035837636
2012-11-05,2287723072
2012-11-06,2223124598
2012-11-07,2201195685
2012-11-08,2053621120
2012-11-09,2066658292
2012-11-12,2115849813
2012-11-13,2093920900
2012-11-14,2015684371
2012-11-15,2039395683
2012-11-16,2035837636
2012-11-19,2087993072
2012-11-20,2122371774
2012-11-21,2091551119
2012-11-23,2091551119
2012-11-26,1897154814
2012-11-27,2012133075
2012-11-28,2042359597
2012-11-29,1928562851
2012-11-30,1933896546
2012-12-03,1938642859
2012-12-04,1951085897
2012-12-05,1916119813
2012-12-06,1917301328
2012-12-07,1954049811
2012-12-10,1929156984
2012-12-11,1936266327
2012-12-12,1916119813
